"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P13","A Gerardo Morales",0.066,0.015,0.003,0,0.007,0.046
"P14","Seguro lo votaria",0.073,0.129,0.392,0.316,0.069,0.064
"P14","Quizás lo votaría",0.289,0.344,0.43,0.559,0.277,0.399
"P14","Nunca lo votaría",0.638,0.527,0.178,0.125,0.654,0.537
"P15","Lo votaría",0.786,0.043,0.03,0.16,0.09,0.138
"P15","Puede que lo vote",0.095,0.037,0.015,0.226,0.1,0.113
"P15","Nunca lo votaría",0.044,0.895,0.92,0.413,0.767,0.574
"P15","No sabe",0.075,0.025,0.035,0.201,0.043,0.175
"P16","Lo votaría",0.305,0.041,0.025,0.082,0.063,0.064
"P16","Puede que lo vote",0.415,0.082,0.058,0.076,0.105,0.218
"P16","Nunca lo votaría",0.143,0.832,0.855,0.672,0.75,0.512
"P16","No sabe",0.137,0.045,0.062,0.17,0.082,0.206
"P17","Lo votaría",0.047,0.497,0.137,0.07,0.112,0.103
"P17","Puede que lo vote",0.106,0.343,0.338,0.186,0.317,0.337
"P17","Nunca lo votaría",0.778,0.128,0.441,0.572,0.436,0.255
"P17","No sabe",0.069,0.032,0.084,0.172,0.135,0.305
"P18","Lo votaría",0.017,0.361,0.127,0.089,0.153,0.1
"P18","Puede que lo vote",0.067,0.371,0.324,0.097,0.281,0.219
"P18","Nunca lo votaría",0.816,0.181,0.423,0.652,0.425,0.34
"P18","No sabe",0.1,0.087,0.126,0.162,0.141,0.341
"P19","Lo votaría",0.342,0.074,0.038,0.11,0.059,0.14
"P19","Puede que lo vote",0.429,0.085,0.077,0.252,0.147,0.195
"P19","Nunca lo votaría",0.19,0.805,0.858,0.542,0.761,0.505
"P19","No sabe",0.039,0.036,0.027,0.096,0.033,0.16
"P20","Lo votaría",0.048,0.087,0.043,0.034,0.021,0.058
"P20","Puede que lo vote",0.159,0.257,0.182,0.093,0.188,0.124
"P20","Nunca lo votaría",0.608,0.505,0.598,0.623,0.646,0.389
"P20","No sabe",0.185,0.151,0.177,0.25,0.145,0.429
"P21","Lo votaría",0.017,0.205,0.532,0.132,0.119,0.129
"P21","Puede que lo vote",0.056,0.361,0.263,0.102,0.271,0.234
"P21","Nunca lo votaría",0.842,0.332,0.154,0.694,0.553,0.356
"P21","No sabe",0.085,0.102,0.051,0.072,0.057,0.281
"P22","Lo votaría",0.008,0.056,0.078,0.033,0.04,0.032
"P22","Puede que lo vote",0.049,0.151,0.1,0.038,0.127,0.069
"P22","Nunca lo votaría",0.704,0.529,0.497,0.623,0.603,0.367
"P22","No sabe",0.239,0.264,0.325,0.306,0.23,0.532
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.023,0.292,0.114,0.064,0.155,0.164
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.012,0.291,0.021,0.102,0.046,0.13
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.025,0.284,0.171,0.21,0.284,0.129
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.06,0.022,0.011,0.093,0.042,0.11
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.714,0.028,0.013,0.049,0.066,0.084
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.148,0.05,0.07,0.007,0.07,0.061
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.003,0.014,0.573,0.008,0.011,0.069
"P23","A los candidatos de la izquierda",0.002,0.003,0.003,0.417,0.04,0.007
"P23","Otros candidatos",0.013,0.016,0.024,0.05,0.286,0.246
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.02,0.455,0.205,0.189,0.453,0.176
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.025,0.387,0.042,0.05,0.082,0.152
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.176,0.031,0.04,0.06,0.02,0.123
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.63,0.047,0.011,0.109,0.084,0.139
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.034,0.032,0.626,0.062,0.026,0.077
"P24","A los candidatos de la izquierda",0.032,0.025,0.016,0.481,0.037,0.017
"P24","Otros candidatos",0.083,0.023,0.06,0.049,0.298,0.316
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.916,0.033,0.004,0.118,0.074,0.186
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.02,0.685,0.15,0.05,0.299,0.205
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.004,0.087,0.786,0.072,0.035,0.097
"P26","A los candidatos de la izquierda",0.018,0.009,0.013,0.639,0.033,0.01
"P26","Otro candidato",0.042,0.186,0.047,0.121,0.559,0.502
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.242,0.641,0.042,0.103,0.144,0.221
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.728,0.242,0.029,0.114,0.051,0.197
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.009,0.048,0.89,0.075,0.045,0.115
"P28","A los candidatos de la izquierda",0.005,0.005,0.004,0.521,0.026,0.013
"P28","Otro candidato",0.016,0.064,0.035,0.187,0.734,0.454
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.496,0.411,0.119,0.066,0.245,0.221
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.483,0.403,0.095,0.241,0.247,0.229
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.004,0.05,0.772,0.053,0.022,0.067
"P30","A los candidatos de la izquierda",0,0.005,0.003,0.525,0.053,0.013
"P30","Otro candidato",0.017,0.131,0.011,0.115,0.433,0.47
"P31","Sergio Massa por el Frente de Todos",0.546,0.217,0.061,0.175,0.161,0.204
"P31","Patricia Bullrich por Juntos por el Cambio",0.176,0.598,0.188,0.191,0.335,0.137
"P31","Javier Milei por los liberales libertarios",0.006,0.033,0.736,0.013,0.015,0.057
"P31","Nicolás del Caño por la izquierda",0.027,0.008,0.001,0.537,0.026,0.003
"P31","Otro candidato",0.124,0.097,0.005,0.031,0.362,0.133
"P31","Aún no lo tengo decidido",0.121,0.047,0.009,0.053,0.101,0.466
"P33","Sergio Massa por el Frente de Todos",0.693,0.077,0.012,0.175,0.076,0.116
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.068,0.845,0.027,0.017,0.046,0.075
"P33","Javier Milei por los liberales libertarios",0.009,0.017,0.93,0.066,0.014,0.031
"P33","Nicolás del Caño por la izquierda",0.027,0.007,0.003,0.605,0.023,0.006
"P33","Otro candidato",0.118,0.021,0.011,0.063,0.739,0.064
"P33","Aún no lo tengo decidido",0.085,0.033,0.017,0.074,0.102,0.708
"P35","Sergio Massa por el Frente de Todos",0.399,0.433,0.093,0.112,0.218,0.115
"P35","Mauricio Macri por Juntos por el Cambio",0.388,0.377,0.097,0.078,0.188,0.133
"P35","Javier Milei por los liberales libertarios",0.005,0.047,0.795,0.015,0.019,0.045
"P35","Nicolás del Caño por la izquierda",0.029,0.011,0.001,0.716,0.006,0.003
"P35","Otro candidato",0.096,0.101,0.007,0.079,0.542,0.149
"P35","Aún no lo tengo decidido",0.083,0.031,0.007,0,0.027,0.555
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.928,0.068,0.041,0.281,0.183,0.152
"P36","Mauricio Macri por Juntos por el Cambio",0.06,0.808,0.536,0.173,0.488,0.256
"P36","No sabe",0.012,0.124,0.423,0.546,0.329,0.592
"P37","Alberto Fernández por el Frente de Todos",0.757,0.031,0.028,0.43,0.105,0.104
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.928,0.447,0.208,0.337,0.24
"P37","No sabe",0.213,0.041,0.525,0.362,0.558,0.656
"P38","Sergio Massa presidente por el Frente de Todos",0.803,0.039,0.029,0.338,0.167,0.246
"P38","Patricia Bullrich por Juntos por el Cambio",0.021,0.892,0.704,0.206,0.519,0.307
"P38","No sabe",0.176,0.069,0.267,0.456,0.314,0.447
"P39","Cristina Fernandez de Kirchner por el Frente de Todos",0.96,0.018,0.019,0.436,0.135,0.1
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.95,0.555,0.191,0.365,0.337
"P39","No sabe",0.023,0.032,0.426,0.373,0.5,0.563
"P40","Sergio Massa presidente por el Frente de Todos",0.848,0.049,0.012,0.379,0.174,0.222
"P40","Javier Milei por los liberales libertarios",0.012,0.441,0.899,0.105,0.209,0.167
"P40","No sabe",0.14,0.51,0.089,0.516,0.617,0.611
"P41","Sergio Massa por el Frente de Todos",0.838,0.023,0.041,0.328,0.16,0.186
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.896,0.561,0.212,0.324,0.292
"P41","No sabe",0.15,0.081,0.398,0.46,0.516,0.522
"P42","Sergio Massa por el Frente de Todos",0.86,0.041,0.037,0.448,0.172,0.267
"P42","Mauricio Macri por Juntos por el Cambio",0.015,0.856,0.671,0.173,0.546,0.257
"P42","No sabe",0.125,0.103,0.292,0.379,0.282,0.476
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.155,0.765,0.052,0.25,0.238,0.289
"P43","Javier Milei por los liberales libertarios",0.029,0.17,0.887,0.109,0.209,0.09
"P43","No sabe",0.816,0.065,0.061,0.641,0.553,0.621
"P44","Muy buena",0.133,0.087,0.007,0.035,0.025,0.042
"P44","Buena",0.386,0.039,0.131,0.141,0.049,0.129
"P44","Ni buena ni mala",0.359,0.039,0.034,0.284,0.202,0.214
"P44","Mala",0.084,0.124,0.059,0.181,0.095,0.198
"P44","Muy mala",0.036,0.703,0.767,0.296,0.597,0.394
"P44","No sabe",0.002,0.008,0.002,0.063,0.032,0.023
"P45","Muy buena",0.169,0.012,0.002,0.064,0.015,0.024
"P45","Buena",0.334,0.015,0.029,0.105,0.032,0.087
"P45","Ni buena ni mala",0.332,0.039,0.031,0.277,0.134,0.266
"P45","Mala",0.125,0.155,0.092,0.16,0.147,0.193
"P45","Muy mala",0.038,0.776,0.843,0.385,0.672,0.41
"P45","No sabe",0.002,0.003,0.003,0.009,0,0.02
"P46","Muy buena",0.744,0.014,0,0.048,0.073,0.048
"P46","Buena",0.145,0.005,0.01,0.07,0.057,0.051
"P46","Ni buena ni mala",0.07,0.019,0.026,0.32,0.069,0.202
"P46","Mala",0.012,0.06,0.05,0.122,0.064,0.104
"P46","Muy mala",0.024,0.902,0.903,0.387,0.725,0.561
"P46","No sabe",0.005,0,0.011,0.053,0.012,0.034
"P47","Muy buena",0.082,0.319,0.16,0.009,0.214,0.074
"P47","Buena",0.042,0.313,0.249,0.115,0.177,0.104
"P47","Ni buena ni mala",0.036,0.148,0.255,0.103,0.143,0.233
"P47","Mala",0.139,0.058,0.138,0.103,0.106,0.183
"P47","Muy mala",0.694,0.162,0.195,0.67,0.35,0.363
"P47","No sabe",0.007,0,0.003,0,0.01,0.043
"P48","Muy buena",0.021,0.414,0.1,0.023,0.059,0.075
"P48","Buena",0.025,0.41,0.188,0.104,0.171,0.212
"P48","Ni buena ni mala",0.102,0.13,0.296,0.167,0.386,0.368
"P48","Mala",0.195,0.024,0.175,0.216,0.119,0.118
"P48","Muy mala",0.632,0.021,0.226,0.49,0.25,0.162
"P48","No sabe",0.025,0.001,0.015,0,0.015,0.065
"P49","Muy buena",0.163,0.06,0.016,0.056,0.05,0.074
"P49","Buena",0.339,0.059,0.023,0.112,0.067,0.129
"P49","Ni buena ni mala",0.296,0.086,0.098,0.375,0.12,0.269
"P49","Mala",0.078,0.171,0.159,0.185,0.131,0.181
"P49","Muy mala",0.12,0.618,0.7,0.272,0.629,0.322
"P49","No sabe",0.004,0.006,0.004,0,0.003,0.025
"P50","Muy buena",0.048,0.498,0.358,0.141,0.318,0.153
"P50","Buena",0.042,0.241,0.255,0.041,0.167,0.151
"P50","Ni buena ni mala",0.065,0.108,0.186,0.147,0.124,0.251
"P50","Mala",0.089,0.055,0.084,0.119,0.119,0.137
"P50","Muy mala",0.742,0.093,0.115,0.552,0.256,0.243
"P50","No sabe",0.014,0.005,0.002,0,0.016,0.065
"P51","Muy buena",0.018,0.105,0.549,0.007,0.039,0.053
"P51","Buena",0.01,0.166,0.314,0.1,0.12,0.055
"P51","Ni buena ni mala",0.054,0.453,0.098,0.196,0.346,0.477
"P51","Mala",0.128,0.145,0.027,0.076,0.129,0.089
"P51","Muy mala",0.779,0.113,0.012,0.606,0.347,0.231
"P51","No sabe",0.011,0.018,0,0.015,0.019,0.095
"P52","Muy buena",0.026,0.427,0.199,0.137,0.099,0.088
"P52","Buena",0.007,0.323,0.211,0.101,0.25,0.188
"P52","Ni buena ni mala",0.041,0.176,0.264,0.15,0.261,0.323
"P52","Mala",0.122,0.031,0.129,0.054,0.104,0.111
"P52","Muy mala",0.782,0.037,0.19,0.554,0.285,0.188
"P52","No sabe",0.022,0.006,0.007,0.004,0.001,0.102
"P53","Muy buena",0.189,0.049,0.027,0.039,0.031,0.058
"P53","Buena",0.361,0.069,0.025,0.125,0.101,0.093
"P53","Ni buena ni mala",0.269,0.093,0.124,0.296,0.154,0.217
"P53","Mala",0.066,0.201,0.167,0.213,0.183,0.185
"P53","Muy mala",0.092,0.578,0.652,0.31,0.525,0.379
"P53","No sabe",0.023,0.01,0.005,0.017,0.006,0.068
"P54","Muy buena",0.053,0.091,0.053,0.068,0.097,0.089
"P54","Buena",0.111,0.202,0.104,0.237,0.133,0.121
"P54","Ni buena ni mala",0.397,0.329,0.268,0.273,0.256,0.373
"P54","Mala",0.172,0.168,0.208,0.188,0.203,0.069
"P54","Muy mala",0.198,0.191,0.314,0.105,0.27,0.128
"P54","No sabe",0.069,0.019,0.053,0.129,0.041,0.22
"P55","Muy buena",0.023,0.077,0.043,0.022,0.069,0.077
"P55","Buena",0.035,0.223,0.077,0.109,0.121,0.085
"P55","Ni buena ni mala",0.179,0.416,0.341,0.351,0.332,0.394
"P55","Mala",0.18,0.116,0.172,0.132,0.165,0.095
"P55","Muy mala",0.511,0.099,0.263,0.237,0.235,0.131
"P55","No sabe",0.072,0.069,0.104,0.149,0.078,0.218
"P56","Siempre",0.324,0.324,0.294,0.162,0.276,0.314
"P56","Casi siempre",0.403,0.427,0.35,0.474,0.395,0.287
"P56","Casi nunca",0.152,0.186,0.224,0.174,0.209,0.217
"P56","Nunca, pero esta es una excepción",0.121,0.063,0.132,0.19,0.12,0.182
"P57","Si",0.552,0.567,0.581,0.538,0.55,0.475
"P57","No",0.448,0.433,0.419,0.462,0.45,0.525
