"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.138,0.072,0.042,0.106,0.062,0.112
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.678,0.056,0.011,0.148,0.179,0.171
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.029,0.034,0.641,0.009,0.04,0.087
"P24","A los candidatos de la izquierda",0.031,0.013,0.015,0.47,0.043,0.05
"P24","Otros candidatos",0.027,0.022,0.061,0.033,0.313,0.31
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.851,0.091,0.009,0.25,0.31,0.358
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.071,0.655,0.135,0.051,0.203,0.151
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.013,0.073,0.807,0.009,0.026,0.096
"P26","A los candidatos de la izquierda",0.013,0.009,0.013,0.538,0.032,0.026
"P26","Otro candidato",0.052,0.172,0.036,0.152,0.429,0.369
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.234,0.647,0.039,0.281,0.147,0.207
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.69,0.252,0.031,0.161,0.305,0.336
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.01,0.036,0.903,0.038,0.046,0.113
"P28","A los candidatos de la izquierda",0.015,0.001,0.003,0.384,0.018,0.015
"P28","Otro candidato",0.051,0.064,0.024,0.136,0.484,0.329
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.463,0.44,0.117,0.32,0.305,0.269
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.455,0.389,0.087,0.208,0.345,0.379
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.011,0.042,0.786,0.009,0.02,0.062
"P30","A los candidatos de la izquierda",0.01,0.003,0.002,0.417,0.027,0.017
"P30","Otro candidato",0.061,0.126,0.008,0.046,0.303,0.273
"P31","Sergio Massa por el Frente de Todos",0.619,0.285,0.059,0.039,0.135,0.117
"P31","Patricia Bullrich por Juntos por el Cambio",0.277,0.552,0.167,0.09,0.22,0.141
"P31","Javier Milei por los liberales libertarios",0.005,0.031,0.756,0.029,0.011,0.058
"P31","Nicolás del Caño por la izquierda",0.009,0.002,0.001,0.764,0.01,0.005
"P31","Otro candidato",0.031,0.091,0.003,0.016,0.551,0.126
"P31","Aún no lo tengo decidido",0.059,0.039,0.014,0.062,0.073,0.553
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.848,0.089,0.013,0.301,0.326,0.293
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.073,0.851,0.019,0.061,0.046,0.089
"P34","Javier Milei por los liberales libertarios",0.01,0.024,0.946,0.024,0.022,0.041
"P34","Nicolás del Caño por la izquierda",0.016,0.002,0.007,0.528,0.013,0.02
"P34","Otro candidato",0.026,0.016,0.006,0.073,0.56,0.096
"P34","Aún no lo tengo decidido",0.027,0.018,0.009,0.013,0.033,0.461
"P35","Sergio Massa por el Frente de Todos",0.487,0.418,0.078,0.074,0.166,0.168
"P35","Mauricio Macri por Juntos por el Cambio",0.438,0.403,0.1,0.113,0.143,0.102
"P35","Javier Milei por los liberales libertarios",0.007,0.042,0.803,0.007,0.015,0.063
"P35","Nicolás del Caño por la izquierda",0.012,0.009,0,0.755,0.014,0.007
"P35","Otro candidato",0.019,0.103,0.008,0.029,0.596,0.166
"P35","Aún no lo tengo decidido",0.037,0.025,0.011,0.022,0.066,0.494
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.814,0.144,0.047,0.506,0.449,0.337
"P36","Mauricio Macri por Juntos por el Cambio",0.136,0.745,0.532,0.105,0.35,0.238
"P36","No sabe",0.05,0.111,0.421,0.389,0.201,0.425
"P37","Alberto Fernández por el Frente de Todos",0.745,0.093,0.032,0.53,0.237,0.16
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.09,0.85,0.452,0.106,0.271,0.238
"P37","No sabe",0.165,0.057,0.516,0.364,0.492,0.602
"P38","Sergio Massa presidente por el Frente de Todos",0.861,0.1,0.024,0.404,0.228,0.186
"P38","Patricia Bullrich por Juntos por el Cambio",0.083,0.816,0.696,0.151,0.37,0.346
"P38","No sabe",0.056,0.084,0.28,0.445,0.402,0.468
"P39","Cristina Fernandez de Kirchner por el Frente de Todos",0.852,0.085,0.025,0.579,0.394,0.35
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.089,0.872,0.551,0.136,0.299,0.288
"P39","No sabe",0.059,0.043,0.424,0.285,0.307,0.362
"P40","Sergio Massa presidente por el Frente de Todos",0.882,0.093,0.015,0.36,0.267,0.214
"P40","Javier Milei por los liberales libertarios",0.047,0.42,0.893,0.103,0.16,0.166
"P40","No sabe",0.071,0.487,0.092,0.537,0.573,0.62
"P41","Sergio Massa por el Frente de Todos",0.884,0.071,0.047,0.314,0.238,0.154
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.067,0.852,0.556,0.151,0.263,0.259
"P41","No sabe",0.049,0.077,0.397,0.535,0.499,0.587
"P42","Sergio Massa por el Frente de Todos",0.891,0.091,0.034,0.39,0.266,0.221
"P42","Mauricio Macri por Juntos por el Cambio",0.079,0.811,0.666,0.101,0.415,0.284
"P42","No sabe",0.03,0.098,0.3,0.509,0.319,0.495
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.213,0.75,0.054,0.178,0.199,0.207
"P43","Javier Milei por los liberales libertarios",0.055,0.149,0.881,0.11,0.161,0.139
"P43","No sabe",0.732,0.101,0.065,0.712,0.64,0.654
"P44","Muy buena",0.122,0.09,0.013,0.038,0.058,0.06
"P44","Buena",0.377,0.067,0.132,0.157,0.122,0.113
"P44","Ni buena ni mala",0.331,0.051,0.036,0.377,0.203,0.275
"P44","Mala",0.074,0.122,0.063,0.164,0.13,0.139
"P44","Muy mala",0.093,0.664,0.754,0.211,0.459,0.396
"P44","No sabe",0.003,0.006,0.002,0.053,0.028,0.017
"P45","Muy buena",0.164,0.011,0.003,0.035,0.057,0.068
"P45","Buena",0.313,0.044,0.032,0.182,0.087,0.093
"P45","Ni buena ni mala",0.319,0.044,0.037,0.355,0.163,0.244
"P45","Mala",0.108,0.156,0.093,0.201,0.176,0.151
"P45","Muy mala",0.095,0.741,0.832,0.227,0.517,0.426
"P45","No sabe",0.001,0.004,0.003,0,0,0.018
"P46","Muy buena",0.629,0.05,0.004,0.26,0.304,0.261
"P46","Buena",0.143,0.012,0.013,0.108,0.038,0.08
"P46","Ni buena ni mala",0.103,0.018,0.029,0.265,0.041,0.08
"P46","Mala",0.016,0.063,0.047,0.126,0.052,0.063
"P46","Muy mala",0.108,0.857,0.896,0.204,0.541,0.494
"P46","No sabe",0.001,0,0.011,0.037,0.024,0.022
"P47","Muy buena",0.082,0.329,0.16,0.008,0.182,0.088
"P47","Buena",0.058,0.308,0.253,0.047,0.104,0.163
"P47","Ni buena ni mala",0.061,0.126,0.262,0.134,0.1,0.175
"P47","Mala",0.143,0.058,0.141,0.097,0.098,0.162
"P47","Muy mala",0.65,0.175,0.181,0.714,0.504,0.396
"P47","No sabe",0.006,0.004,0.003,0,0.012,0.016
"P48","Muy buena",0.045,0.408,0.092,0.041,0.06,0.051
"P48","Buena",0.044,0.397,0.196,0.077,0.13,0.172
"P48","Ni buena ni mala",0.136,0.109,0.287,0.168,0.259,0.361
"P48","Mala",0.2,0.036,0.177,0.2,0.104,0.111
"P48","Muy mala",0.548,0.046,0.23,0.514,0.443,0.263
"P48","No sabe",0.027,0.004,0.018,0,0.004,0.042
"P49","Muy buena",0.201,0.07,0.011,0.036,0.033,0.021
"P49","Buena",0.364,0.08,0.027,0.038,0.075,0.107
"P49","Ni buena ni mala",0.237,0.085,0.092,0.415,0.239,0.319
"P49","Mala",0.048,0.166,0.154,0.251,0.162,0.199
"P49","Muy mala",0.146,0.593,0.712,0.26,0.488,0.34
"P49","No sabe",0.004,0.006,0.004,0,0.003,0.014
"P50","Muy buena",0.072,0.493,0.364,0.072,0.211,0.196
"P50","Buena",0.076,0.229,0.251,0.034,0.144,0.092
"P50","Ni buena ni mala",0.058,0.114,0.178,0.144,0.082,0.261
"P50","Mala",0.097,0.045,0.089,0.133,0.095,0.125
"P50","Muy mala",0.673,0.117,0.116,0.617,0.453,0.304
"P50","No sabe",0.024,0.002,0.002,0,0.015,0.022
"P51","Muy buena",0.025,0.098,0.556,0.034,0.034,0.059
"P51","Buena",0.029,0.156,0.316,0.016,0.095,0.068
"P51","Ni buena ni mala",0.078,0.442,0.087,0.227,0.232,0.417
"P51","Mala",0.129,0.138,0.028,0.067,0.119,0.133
"P51","Muy mala",0.72,0.144,0.013,0.651,0.504,0.293
"P51","No sabe",0.019,0.022,0,0.005,0.016,0.03
"P52","Muy buena",0.043,0.412,0.201,0.04,0.087,0.127
"P52","Buena",0.035,0.31,0.212,0.061,0.203,0.13
"P52","Ni buena ni mala",0.06,0.155,0.265,0.226,0.138,0.324
"P52","Mala",0.13,0.029,0.128,0.047,0.101,0.105
"P52","Muy mala",0.706,0.084,0.187,0.623,0.47,0.263
"P52","No sabe",0.026,0.01,0.007,0.003,0.001,0.051
"P53","Muy buena",0.194,0.045,0.037,0.034,0.063,0.068
"P53","Buena",0.337,0.1,0.023,0.127,0.166,0.122
"P53","Ni buena ni mala",0.229,0.09,0.127,0.301,0.205,0.29
"P53","Mala",0.075,0.194,0.164,0.265,0.155,0.138
"P53","Muy mala",0.136,0.558,0.643,0.259,0.406,0.354
"P53","No sabe",0.029,0.013,0.006,0.014,0.005,0.028
"P54","Muy buena",0.059,0.082,0.06,0.053,0.09,0.071
"P54","Buena",0.112,0.199,0.109,0.247,0.122,0.115
"P54","Ni buena ni mala",0.403,0.347,0.257,0.275,0.257,0.371
"P54","Mala",0.157,0.166,0.197,0.068,0.22,0.198
"P54","Muy mala",0.182,0.18,0.322,0.249,0.295,0.121
"P54","No sabe",0.087,0.026,0.055,0.108,0.016,0.124
"P55","Muy buena",0.026,0.07,0.051,0.017,0.069,0.045
"P55","Buena",0.055,0.225,0.072,0.045,0.076,0.086
"P55","Ni buena ni mala",0.218,0.396,0.328,0.337,0.242,0.402
"P55","Mala",0.175,0.129,0.174,0.114,0.171,0.096
"P55","Muy mala",0.439,0.113,0.263,0.372,0.397,0.219
"P55","No sabe",0.087,0.067,0.112,0.115,0.045,0.152
"P56","Siempre",0.33,0.332,0.291,0.117,0.329,0.254
"P56","Casi siempre",0.398,0.421,0.348,0.528,0.397,0.343
"P56","Casi nunca",0.136,0.176,0.227,0.186,0.203,0.257
"P56","Nunca, pero esta es una excepción",0.136,0.071,0.134,0.169,0.071,0.146
"P57","Si",0.566,0.548,0.577,0.493,0.559,0.536
"P57","No",0.434,0.452,0.423,0.507,0.441,0.464
