"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P40","No sabe",0.058,0.351,0.587
"P41","Sergio Massa por el Frente de Todos",0.91,0.009,0.041
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.825,0.19
"P41","No sabe",0.059,0.166,0.769
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.197,0.471,0.134
"P43","Javier Milei por los liberales libertarios",0.05,0.462,0.318
"P43","No sabe",0.753,0.067,0.548
"P44","Muy buena",0.111,0.057,0.045
"P44","Buena",0.381,0.069,0.1
"P44","Ni buena ni mala",0.353,0.028,0.198
"P44","Mala",0.1,0.077,0.147
"P44","Muy mala",0.044,0.766,0.489
"P44","No sabe",0.011,0.003,0.021
"P45","Muy buena",0.145,0.008,0.047
"P45","Buena",0.324,0.02,0.049
"P45","Ni buena ni mala",0.343,0.021,0.165
"P45","Mala",0.135,0.113,0.17
"P45","Muy mala",0.05,0.835,0.562
"P45","No sabe",0.003,0.003,0.007
"P46","Muy buena",0.648,0.008,0.149
"P46","Buena",0.141,0.004,0.051
"P46","Ni buena ni mala",0.121,0.009,0.076
"P46","Mala",0.033,0.036,0.097
"P46","Muy mala",0.052,0.94,0.598
"P46","No sabe",0.005,0.003,0.029
"P47","Muy buena",0.073,0.299,0.051
"P47","Buena",0.039,0.346,0.039
"P47","Ni buena ni mala",0.051,0.174,0.22
"P47","Mala",0.148,0.054,0.208
"P47","Muy mala",0.683,0.125,0.466
"P47","No sabe",0.006,0.002,0.016
"P48","Muy buena",0.031,0.268,0.088
"P48","Buena",0.049,0.336,0.104
"P48","Ni buena ni mala",0.113,0.232,0.265
"P48","Mala",0.199,0.083,0.142
"P48","Muy mala",0.58,0.074,0.38
"P48","No sabe",0.028,0.007,0.021
"P49","Muy buena",0.181,0.036,0.022
"P49","Buena",0.356,0.032,0.051
"P49","Ni buena ni mala",0.292,0.065,0.243
"P49","Mala",0.07,0.157,0.2
"P49","Muy mala",0.097,0.706,0.472
"P49","No sabe",0.004,0.004,0.012
"P50","Muy buena",0.049,0.508,0.116
"P50","Buena",0.056,0.268,0.104
"P50","Ni buena ni mala",0.076,0.09,0.285
"P50","Mala",0.096,0.056,0.136
"P50","Muy mala",0.706,0.075,0.338
"P50","No sabe",0.017,0.003,0.021
"P51","Muy buena",0.024,0.251,0.242
"P51","Buena",0.018,0.243,0.105
"P51","Ni buena ni mala",0.063,0.329,0.262
"P51","Mala",0.127,0.099,0.079
"P51","Muy mala",0.748,0.07,0.286
"P51","No sabe",0.02,0.008,0.026
"P52","Muy buena",0.031,0.339,0.1
"P52","Buena",0.012,0.305,0.152
"P52","Ni buena ni mala",0.054,0.221,0.246
"P52","Mala",0.128,0.065,0.111
"P52","Muy mala",0.748,0.068,0.362
"P52","No sabe",0.027,0.002,0.029
"P53","Muy buena",0.175,0.039,0.048
"P53","Buena",0.359,0.042,0.083
"P53","Ni buena ni mala",0.264,0.077,0.249
"P53","Mala",0.075,0.198,0.153
"P53","Muy mala",0.103,0.634,0.452
"P53","No sabe",0.024,0.01,0.015
"P54","Muy buena",0.063,0.073,0.074
"P54","Buena",0.121,0.153,0.141
"P54","Ni buena ni mala",0.391,0.305,0.287
"P54","Mala",0.163,0.198,0.149
"P54","Muy mala",0.168,0.249,0.26
"P54","No sabe",0.094,0.022,0.089
"P55","Muy buena",0.027,0.068,0.046
"P55","Buena",0.035,0.169,0.088
"P55","Ni buena ni mala",0.206,0.387,0.318
"P55","Mala",0.181,0.147,0.121
"P55","Muy mala",0.457,0.16,0.294
"P55","No sabe",0.094,0.069,0.133
"P56","Siempre",0.303,0.323,0.279
"P56","Casi siempre",0.395,0.405,0.353
"P56","Casi nunca",0.17,0.182,0.233
"P56","Nunca, pero esta es una excepción",0.132,0.09,0.135
"P57","Si",0.543,0.581,0.528
"P57","No",0.457,0.419,0.472
