"var","categoria","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos","Javier Milei presidente - José Luis Espert gobernador por los liberales","A los candidatos de la izquierda","Otros candidatos"
"P37","No sabe",0.214,0.063,0.236,0.228,0.243,0.317,0.562,0.524,0.657
"P38","Sergio Massa presidente por el Frente de Todos",0.047,0.127,0.046,0.509,0.767,0.602,0.033,0.419,0.223
"P38","Patricia Bullrich por Juntos por el Cambio",0.861,0.694,0.896,0.188,0.038,0.18,0.664,0.071,0.224
"P38","No sabe",0.092,0.179,0.058,0.303,0.195,0.218,0.303,0.51,0.553
"P39","Cristina Fernandez de Kirchner por el Frente de Todos",0.037,0.027,0.05,0.519,0.937,0.613,0.029,0.619,0.166
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.798,0.894,0.776,0.185,0.032,0.223,0.479,0.081,0.227
"P39","No sabe",0.165,0.079,0.174,0.296,0.031,0.164,0.492,0.3,0.607
"P40","Sergio Massa presidente por el Frente de Todos",0.052,0.098,0.073,0.49,0.809,0.611,0.006,0.467,0.249
"P40","Javier Milei por los liberales libertarios",0.486,0.417,0.516,0.181,0.017,0.201,0.916,0.091,0.128
"P40","No sabe",0.462,0.485,0.411,0.329,0.174,0.188,0.078,0.442,0.623
"P41","Sergio Massa por el Frente de Todos",0.048,0.07,0.047,0.543,0.793,0.604,0.05,0.409,0.18
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.761,0.867,0.733,0.155,0.031,0.22,0.491,0.089,0.2
"P41","No sabe",0.191,0.063,0.22,0.302,0.176,0.176,0.459,0.502,0.62
"P42","Sergio Massa por el Frente de Todos",0.048,0.098,0.067,0.514,0.821,0.598,0.042,0.572,0.238
"P42","Mauricio Macri por Juntos por el Cambio",0.863,0.72,0.808,0.188,0.038,0.255,0.604,0.021,0.203
"P42","No sabe",0.089,0.182,0.125,0.298,0.141,0.147,0.354,0.407,0.559
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.513,0.834,0.47,0.262,0.147,0.226,0.016,0.164,0.196
"P43","Javier Milei por los liberales libertarios",0.3,0.074,0.385,0.196,0.039,0.241,0.908,0.099,0.113
"P43","No sabe",0.187,0.092,0.145,0.542,0.814,0.533,0.076,0.737,0.691
"P44","Muy buena",0.058,0.103,0.048,0.199,0.107,0.14,0,0.009,0.011
"P44","Buena",0.067,0.042,0.053,0.251,0.408,0.334,0.074,0.092,0.062
"P44","Ni buena ni mala",0.072,0.046,0.055,0.296,0.331,0.316,0.051,0.174,0.268
"P44","Mala",0.08,0.172,0.087,0.061,0.097,0.053,0.065,0.343,0.174
"P44","Muy mala",0.719,0.625,0.752,0.184,0.056,0.157,0.807,0.283,0.414
"P44","No sabe",0.004,0.012,0.005,0.009,0.001,0,0.003,0.099,0.071
"P45","Muy buena",0.014,0.012,0.008,0.296,0.129,0.161,0,0.009,0
"P45","Buena",0.048,0.023,0.009,0.235,0.334,0.215,0.009,0.052,0.057
"P45","Ni buena ni mala",0.041,0.057,0.045,0.223,0.34,0.246,0.042,0.263,0.23
"P45","Mala",0.14,0.209,0.114,0.041,0.131,0.089,0.082,0.387,0.213
"P45","Muy mala",0.756,0.696,0.823,0.205,0.065,0.286,0.863,0.289,0.472
"P45","No sabe",0.001,0.003,0.001,0,0.001,0.003,0.004,0,0.028
"P46","Muy buena",0.026,0.018,0.029,0.278,0.792,0.287,0.004,0.052,0.049
"P46","Buena",0.015,0.009,0.004,0.139,0.11,0.179,0.009,0.049,0.093
"P46","Ni buena ni mala",0.023,0.03,0.017,0.224,0.034,0.175,0.023,0.527,0.12
"P46","Mala",0.045,0.089,0.068,0.044,0.011,0.061,0.034,0.081,0.092
"P46","Muy mala",0.888,0.854,0.88,0.315,0.047,0.293,0.915,0.221,0.602
"P46","No sabe",0.003,0,0.002,0,0.006,0.005,0.015,0.07,0.044
"P47","Muy buena",0.486,0.164,0.191,0.039,0.092,0.162,0.101,0.016,0.056
"P47","Buena",0.264,0.331,0.337,0.102,0.031,0.124,0.215,0,0.057
"P47","Ni buena ni mala",0.058,0.184,0.22,0.225,0.02,0.107,0.285,0.075,0.252
"P47","Mala",0.018,0.124,0.065,0.211,0.117,0.177,0.181,0.148,0.154
"P47","Muy mala",0.174,0.185,0.185,0.423,0.739,0.409,0.214,0.761,0.444
"P47","No sabe",0,0.012,0.002,0,0.001,0.021,0.004,0,0.037
"P48","Muy buena",0.242,0.523,0.189,0.077,0.041,0.105,0.087,0.028,0.024
"P48","Buena",0.38,0.312,0.366,0.143,0.027,0.08,0.15,0.037,0.137
"P48","Ni buena ni mala",0.23,0.085,0.26,0.322,0.071,0.238,0.28,0.048,0.402
"P48","Mala",0.047,0.056,0.088,0.206,0.181,0.215,0.153,0.225,0.151
"P48","Muy mala",0.09,0.024,0.095,0.252,0.658,0.321,0.302,0.662,0.258
"P48","No sabe",0.011,0,0.002,0,0.022,0.041,0.028,0,0.028
"P49","Muy buena",0.041,0.077,0.037,0.234,0.109,0.241,0.016,0.017,0.056
"P49","Buena",0.059,0.055,0.052,0.16,0.35,0.163,0.026,0.17,0.13
"P49","Ni buena ni mala",0.085,0.132,0.087,0.16,0.321,0.18,0.111,0.265,0.249
"P49","Mala",0.127,0.24,0.136,0.219,0.073,0.179,0.124,0.252,0.149
"P49","Muy mala",0.679,0.496,0.688,0.211,0.143,0.237,0.72,0.296,0.378
"P49","No sabe",0.009,0,0,0.016,0.004,0,0.003,0,0.038
"P50","Muy buena",0.542,0.257,0.621,0.143,0.044,0.137,0.279,0.008,0.047
"P50","Buena",0.251,0.292,0.222,0.085,0.034,0.101,0.267,0.031,0.069
"P50","Ni buena ni mala",0.089,0.235,0.031,0.268,0.051,0.135,0.231,0.02,0.279
"P50","Mala",0.034,0.107,0.026,0.165,0.07,0.162,0.083,0.171,0.226
"P50","Muy mala",0.078,0.109,0.096,0.339,0.796,0.413,0.135,0.77,0.327
"P50","No sabe",0.006,0,0.004,0,0.005,0.052,0.005,0,0.052
"P51","Muy buena",0.145,0.066,0.175,0.152,0.015,0.156,0.618,0.036,0.022
"P51","Buena",0.206,0.156,0.222,0.096,0.014,0.077,0.265,0,0.115
"P51","Ni buena ni mala",0.402,0.518,0.338,0.187,0.053,0.153,0.089,0.141,0.29
"P51","Mala",0.093,0.136,0.135,0.138,0.109,0.164,0.011,0.05,0.124
"P51","Muy mala",0.128,0.117,0.121,0.421,0.803,0.412,0.017,0.763,0.372
"P51","No sabe",0.026,0.007,0.009,0.006,0.006,0.038,0,0.01,0.077
"P52","Muy buena",0.362,0.421,0.289,0.097,0.028,0.148,0.139,0.042,0.091
"P52","Buena",0.323,0.301,0.301,0.124,0.019,0.091,0.172,0.029,0.167
"P52","Ni buena ni mala",0.202,0.188,0.257,0.325,0.027,0.124,0.262,0.079,0.22
"P52","Mala",0.037,0.041,0.059,0.12,0.096,0.192,0.151,0.074,0.12
"P52","Muy mala",0.049,0.047,0.086,0.334,0.818,0.412,0.266,0.77,0.352
"P52","No sabe",0.027,0.002,0.008,0,0.012,0.033,0.01,0.006,0.05
"P53","Muy buena",0.054,0.044,0.026,0.182,0.184,0.136,0.025,0,0.041
"P53","Buena",0.06,0.087,0.052,0.191,0.388,0.169,0.014,0.049,0.145
"P53","Ni buena ni mala",0.076,0.106,0.104,0.251,0.262,0.223,0.146,0.437,0.209
"P53","Mala",0.182,0.252,0.144,0.169,0.065,0.156,0.166,0.292,0.163
"P53","Muy mala",0.607,0.492,0.669,0.207,0.09,0.27,0.641,0.196,0.411
"P53","No sabe",0.021,0.019,0.005,0,0.011,0.046,0.008,0.026,0.031
"P54","Muy buena",0.076,0.115,0.082,0.074,0.044,0.068,0.043,0.016,0.142
"P54","Buena",0.124,0.286,0.125,0.155,0.104,0.109,0.131,0.265,0.175
"P54","Ni buena ni mala",0.313,0.332,0.308,0.346,0.375,0.373,0.26,0.292,0.348
"P54","Mala",0.187,0.138,0.21,0.11,0.19,0.155,0.191,0.153,0.099
"P54","Muy mala",0.255,0.09,0.253,0.185,0.226,0.216,0.296,0.179,0.138
"P54","No sabe",0.045,0.039,0.022,0.13,0.061,0.079,0.079,0.095,0.098
"P55","Muy buena",0.065,0.068,0.084,0.067,0.021,0.036,0.045,0,0.055
"P55","Buena",0.154,0.23,0.189,0.074,0.038,0.106,0.038,0.024,0.107
"P55","Ni buena ni mala",0.383,0.436,0.346,0.305,0.175,0.306,0.35,0.266,0.389
"P55","Mala",0.153,0.08,0.155,0.143,0.152,0.225,0.154,0.305,0.119
"P55","Muy mala",0.191,0.096,0.142,0.201,0.57,0.214,0.274,0.287,0.172
"P55","No sabe",0.054,0.09,0.084,0.21,0.044,0.113,0.139,0.118,0.158
"P56","Siempre",0.382,0.293,0.313,0.413,0.34,0.237,0.278,0.101,0.19
"P56","Casi siempre",0.387,0.431,0.418,0.327,0.411,0.31,0.38,0.512,0.333
"P56","Casi nunca",0.123,0.235,0.223,0.157,0.155,0.209,0.216,0.122,0.247
"P56","Nunca, pero esta es una excepción",0.108,0.041,0.046,0.103,0.094,0.244,0.126,0.265,0.23
"P57","Si",0.603,0.588,0.568,0.68,0.543,0.519,0.555,0.483,0.471
"P57","No",0.397,0.412,0.432,0.32,0.457,0.481,0.445,0.517,0.529
