"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.048,0.707,0.047
"P28","A los candidatos de la izquierda",0.011,0.007,0.038
"P28","Otro candidato",0.123,0.073,0.165
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.417,0.2,0.393
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.391,0.166,0.385
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.049,0.588,0.044
"P30","A los candidatos de la izquierda",0.012,0.009,0.041
"P30","Otro candidato",0.131,0.037,0.137
"P31","Sergio Massa por el Frente de Todos",0.27,0.089,0.416
"P31","Patricia Bullrich por Juntos por el Cambio",0.537,0.279,0.163
"P31","Javier Milei por los liberales libertarios",0.032,0.574,0.036
"P31","Nicolás del Caño por la izquierda",0.014,0.007,0.056
"P31","Otro candidato",0.094,0.026,0.16
"P31","Aún no lo tengo decidido",0.053,0.025,0.169
"P33","Sergio Massa por el Frente de Todos",0.184,0.05,0.503
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.626,0.131,0.067
"P33","Javier Milei por los liberales libertarios",0.041,0.704,0.039
"P33","Nicolás del Caño por la izquierda",0.018,0.012,0.058
"P33","Otro candidato",0.073,0.062,0.188
"P33","Aún no lo tengo decidido",0.058,0.041,0.145
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.158,0.031,0.659
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.66,0.155,0.045
"P34","Javier Milei por los liberales libertarios",0.041,0.723,0.037
"P34","Nicolás del Caño por la izquierda",0.021,0.01,0.043
"P34","Otro candidato",0.069,0.064,0.128
"P34","Aún no lo tengo decidido",0.051,0.017,0.088
"P35","Sergio Massa por el Frente de Todos",0.416,0.167,0.309
"P35","Mauricio Macri por Juntos por el Cambio",0.357,0.164,0.305
"P35","Javier Milei por los liberales libertarios",0.058,0.597,0.035
"P35","Nicolás del Caño por la izquierda",0.02,0.01,0.061
"P35","Otro candidato",0.116,0.045,0.162
"P35","Aún no lo tengo decidido",0.033,0.017,0.128
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.213,0.08,0.671
"P36","Mauricio Macri por Juntos por el Cambio",0.67,0.596,0.132
"P36","No sabe",0.117,0.324,0.197
"P37","Alberto Fernández por el Frente de Todos",0.165,0.044,0.557
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.768,0.522,0.065
"P37","No sabe",0.067,0.434,0.378
"P38","Sergio Massa presidente por el Frente de Todos",0.197,0.048,0.605
"P38","Patricia Bullrich por Juntos por el Cambio",0.731,0.733,0.111
"P38","No sabe",0.072,0.219,0.284
"P39","Cristina Fernandez de Kirchner por el Frente de Todos",0.166,0.048,0.71
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.79,0.623,0.063
"P39","No sabe",0.044,0.329,0.227
"P40","Sergio Massa presidente por el Frente de Todos",0.215,0.032,0.63
"P40","Javier Milei por los liberales libertarios",0.376,0.825,0.04
"P40","No sabe",0.409,0.143,0.33
"P41","Sergio Massa por el Frente de Todos",0.18,0.059,0.617
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.755,0.582,0.06
"P41","No sabe",0.065,0.359,0.323
"P42","Sergio Massa por el Frente de Todos",0.211,0.057,0.641
"P42","Mauricio Macri por Juntos por el Cambio",0.704,0.729,0.08
"P42","No sabe",0.085,0.214,0.279
"P44","Muy buena",0.12,0.005,0.086
"P44","Buena",0.086,0.15,0.276
"P44","Ni buena ni mala",0.061,0.031,0.362
"P44","Mala",0.135,0.063,0.097
"P44","Muy mala",0.594,0.745,0.163
"P44","No sabe",0.004,0.006,0.016
"P45","Muy buena",0.038,0.005,0.123
"P45","Buena",0.078,0.036,0.236
"P45","Ni buena ni mala",0.079,0.029,0.316
"P45","Mala",0.177,0.098,0.12
"P45","Muy mala",0.627,0.827,0.201
"P45","No sabe",0.001,0.005,0.004
"P46","Muy buena",0.105,0.018,0.541
"P46","Buena",0.043,0.015,0.106
"P46","Ni buena ni mala",0.045,0.015,0.104
"P46","Mala",0.053,0.055,0.037
"P46","Muy mala",0.748,0.888,0.202
"P46","No sabe",0.006,0.009,0.01
"P47","Muy buena",0.284,0.173,0.088
"P47","Buena",0.293,0.25,0.043
"P47","Ni buena ni mala",0.141,0.228,0.078
"P47","Mala",0.08,0.117,0.143
"P47","Muy mala",0.197,0.23,0.638
"P47","No sabe",0.005,0.002,0.01
"P48","Muy buena",0.322,0.137,0.028
"P48","Buena",0.354,0.213,0.051
"P48","Ni buena ni mala",0.171,0.293,0.15
"P48","Mala",0.068,0.149,0.174
"P48","Muy mala",0.08,0.193,0.569
"P48","No sabe",0.005,0.015,0.028
"P49","Muy buena",0.059,0.034,0.135
"P49","Buena",0.094,0.043,0.26
"P49","Ni buena ni mala",0.132,0.095,0.273
"P49","Mala",0.171,0.161,0.089
"P49","Muy mala",0.54,0.661,0.237
"P49","No sabe",0.004,0.006,0.006
"P50","Muy buena",0.42,0.382,0.085
"P50","Buena",0.222,0.24,0.063
"P50","Ni buena ni mala",0.115,0.157,0.105
"P50","Mala",0.084,0.081,0.089
"P50","Muy mala",0.155,0.135,0.636
"P50","No sabe",0.004,0.005,0.022
"P51","Muy buena",0.079,0.455,0.037
"P51","Buena",0.142,0.288,0.028
"P51","Ni buena ni mala",0.392,0.167,0.141
"P51","Mala",0.157,0.05,0.103
"P51","Muy mala",0.22,0.037,0.662
"P51","No sabe",0.01,0.003,0.029
"P52","Muy buena",0.348,0.215,0.043
"P52","Buena",0.259,0.235,0.067
"P52","Ni buena ni mala",0.17,0.259,0.104
"P52","Mala",0.063,0.12,0.102
"P52","Muy mala",0.156,0.165,0.651
"P52","No sabe",0.004,0.006,0.033
"P53","Muy buena",0.064,0.043,0.137
"P53","Buena",0.092,0.052,0.285
"P53","Ni buena ni mala",0.114,0.12,0.261
"P53","Mala",0.2,0.153,0.103
"P53","Muy mala",0.51,0.625,0.194
"P53","No sabe",0.02,0.007,0.02
"P54","Muy buena",0.107,0.052,0.052
"P54","Buena",0.189,0.122,0.115
"P54","Ni buena ni mala",0.35,0.276,0.355
"P54","Mala",0.174,0.193,0.167
"P54","Muy mala",0.146,0.308,0.224
"P54","No sabe",0.034,0.049,0.087
"P55","Muy buena",0.08,0.052,0.024
"P55","Buena",0.196,0.099,0.046
"P55","Ni buena ni mala",0.394,0.331,0.235
"P55","Mala",0.124,0.176,0.16
"P55","Muy mala",0.142,0.239,0.436
"P55","No sabe",0.064,0.103,0.099
"P56","Siempre",0.326,0.295,0.304
"P56","Casi siempre",0.437,0.371,0.369
"P56","Casi nunca",0.18,0.207,0.18
"P56","Nunca, pero esta es una excepción",0.057,0.127,0.147
"P57","Si",0.577,0.565,0.538
"P57","No",0.423,0.435,0.462
