"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P22","Nunca lo votaría",0.692,0.507,0.58
"P22","No sabe",0.244,0.276,0.304
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.015,0.26,0.101
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.027,0.207,0.02
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.016,0.285,0.125
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.082,0.015,0.03
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.637,0.027,0.214
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.167,0.03,0.096
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.016,0.141,0.269
"P23","A los candidatos de la izquierda",0.019,0.006,0.029
"P23","Otros candidatos",0.021,0.029,0.116
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.021,0.438,0.17
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.039,0.287,0.032
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.197,0.029,0.038
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.616,0.032,0.184
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.041,0.15,0.31
"P24","A los candidatos de la izquierda",0.046,0.024,0.048
"P24","Otros candidatos",0.04,0.04,0.218
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.875,0.023,0.242
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.012,0.56,0.129
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.017,0.243,0.354
"P26","A los candidatos de la izquierda",0.044,0.017,0.041
"P26","Otro candidato",0.052,0.157,0.234
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.243,0.462,0.122
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.669,0.178,0.202
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.026,0.254,0.4
"P28","A los candidatos de la izquierda",0.023,0.007,0.033
"P28","Otro candidato",0.039,0.099,0.243
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.472,0.348,0.222
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.449,0.336,0.205
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.019,0.207,0.353
"P30","A los candidatos de la izquierda",0.031,0.003,0.033
"P30","Otro candidato",0.029,0.106,0.187
"P31","Sergio Massa por el Frente de Todos",0.58,0.185,0.145
"P31","Patricia Bullrich por Juntos por el Cambio",0.173,0.509,0.16
"P31","Javier Milei por los liberales libertarios",0.023,0.181,0.35
"P31","Nicolás del Caño por la izquierda",0.05,0.005,0.034
"P31","Otro candidato",0.089,0.076,0.151
"P31","Aún no lo tengo decidido",0.085,0.044,0.16
"P33","Sergio Massa por el Frente de Todos",0.697,0.061,0.152
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.084,0.551,0.05
"P33","Javier Milei por los liberales libertarios",0.024,0.25,0.391
"P33","Nicolás del Caño por la izquierda",0.053,0.008,0.036
"P33","Otro candidato",0.094,0.078,0.193
"P33","Aún no lo tengo decidido",0.048,0.052,0.178
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.864,0.024,0.24
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.605,0.036
"P34","Javier Milei por los liberales libertarios",0.022,0.253,0.406
"P34","Nicolás del Caño por la izquierda",0.034,0.012,0.028
"P34","Otro candidato",0.032,0.073,0.165
"P34","Aún no lo tengo decidido",0.02,0.033,0.125
"P35","Sergio Massa por el Frente de Todos",0.398,0.335,0.156
"P35","Mauricio Macri por Juntos por el Cambio",0.402,0.304,0.148
"P35","Javier Milei por los liberales libertarios",0.022,0.213,0.356
"P35","Nicolás del Caño por la izquierda",0.057,0.007,0.035
"P35","Otro candidato",0.074,0.114,0.16
"P35","Aún no lo tengo decidido",0.047,0.027,0.145
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.887,0.064,0.285
"P36","Mauricio Macri por Juntos por el Cambio",0.067,0.816,0.232
"P36","No sabe",0.046,0.12,0.483
"P38","Sergio Massa presidente por el Frente de Todos",0.878,0.033,0.176
"P38","Patricia Bullrich por Juntos por el Cambio",0.031,0.904,0.319
"P38","No sabe",0.091,0.063,0.505
"P39","Cristina Fernandez de Kirchner por el Frente de Todos",0.931,0.014,0.267
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.938,0.175
"P39","No sabe",0.051,0.048,0.558
"P40","Sergio Massa presidente por el Frente de Todos",0.892,0.043,0.189
"P40","Javier Milei por los liberales libertarios",0.028,0.573,0.402
"P40","No sabe",0.08,0.384,0.409
"P41","Sergio Massa por el Frente de Todos",0.881,0.029,0.193
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.881,0.185
"P41","No sabe",0.098,0.09,0.622
"P42","Sergio Massa por el Frente de Todos",0.892,0.04,0.222
"P42","Mauricio Macri por Juntos por el Cambio",0.028,0.872,0.308
"P42","No sabe",0.08,0.088,0.47
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.182,0.571,0.07
"P43","Javier Milei por los liberales libertarios",0.046,0.368,0.432
"P43","No sabe",0.772,0.061,0.498
"P44","Muy buena",0.138,0.067,0.018
"P44","Buena",0.394,0.054,0.153
"P44","Ni buena ni mala",0.355,0.035,0.185
"P44","Mala",0.069,0.106,0.116
"P44","Muy mala",0.039,0.734,0.507
"P44","No sabe",0.005,0.004,0.021
"P45","Muy buena",0.179,0.014,0.016
"P45","Buena",0.351,0.013,0.075
"P45","Ni buena ni mala",0.329,0.03,0.174
"P45","Mala",0.093,0.136,0.163
"P45","Muy mala",0.048,0.804,0.564
"P45","No sabe",0,0.003,0.008
"P46","Muy buena",0.678,0.015,0.172
"P46","Buena",0.148,0.004,0.053
"P46","Ni buena ni mala",0.109,0.011,0.081
"P46","Mala",0.015,0.048,0.076
"P46","Muy mala",0.046,0.921,0.594
"P46","No sabe",0.004,0.001,0.024
"P47","Muy buena",0.097,0.273,0.109
"P47","Buena",0.043,0.312,0.132
"P47","Ni buena ni mala",0.044,0.188,0.169
"P47","Mala",0.125,0.07,0.171
"P47","Muy mala",0.684,0.153,0.411
"P47","No sabe",0.007,0.004,0.008
"P48","Muy buena",0.033,0.317,0.034
"P48","Buena",0.024,0.382,0.09
"P48","Ni buena ni mala",0.11,0.217,0.257
"P48","Mala",0.186,0.044,0.209
"P48","Muy mala",0.618,0.037,0.384
"P48","No sabe",0.029,0.003,0.026
"P49","Muy buena",0.175,0.044,0.048
"P49","Buena",0.319,0.052,0.109
"P49","Ni buena ni mala",0.289,0.079,0.206
"P49","Mala",0.076,0.161,0.158
"P49","Muy mala",0.138,0.66,0.471
"P49","No sabe",0.003,0.004,0.008
"P50","Muy buena",0.05,0.484,0.202
"P50","Buena",0.046,0.262,0.14
"P50","Ni buena ni mala",0.082,0.104,0.191
"P50","Mala",0.077,0.056,0.133
"P50","Muy mala",0.724,0.091,0.32
"P50","No sabe",0.021,0.003,0.014
"P51","Muy buena",0.028,0.204,0.267
"P51","Buena",0.01,0.23,0.137
"P51","Ni buena ni mala",0.066,0.361,0.189
"P51","Mala",0.116,0.11,0.087
"P51","Muy mala",0.764,0.084,0.298
"P51","No sabe",0.016,0.011,0.022
"P52","Muy buena",0.017,0.368,0.1
"P52","Buena",0.01,0.311,0.144
"P52","Ni buena ni mala",0.071,0.218,0.197
"P52","Mala",0.104,0.057,0.14
"P52","Muy mala",0.778,0.042,0.39
"P52","No sabe",0.02,0.004,0.029
"P53","Muy buena",0.197,0.046,0.038
"P53","Buena",0.342,0.057,0.119
"P53","Ni buena ni mala",0.261,0.1,0.194
"P53","Mala",0.062,0.194,0.165
"P53","Muy mala",0.111,0.593,0.471
"P53","No sabe",0.027,0.01,0.013
"P54","Muy buena",0.054,0.094,0.05
"P54","Buena",0.121,0.178,0.104
"P54","Ni buena ni mala",0.39,0.327,0.278
"P54","Mala",0.165,0.186,0.175
"P54","Muy mala",0.193,0.189,0.305
"P54","No sabe",0.077,0.026,0.088
"P55","Muy buena",0.019,0.08,0.037
"P55","Buena",0.035,0.196,0.054
"P55","Ni buena ni mala",0.206,0.415,0.27
"P55","Mala",0.17,0.112,0.197
"P55","Muy mala",0.489,0.128,0.315
"P55","No sabe",0.081,0.069,0.127
"P56","Siempre",0.303,0.319,0.297
"P56","Casi siempre",0.395,0.421,0.345
"P56","Casi nunca",0.171,0.199,0.189
"P56","Nunca, pero esta es una excepción",0.131,0.061,0.169
"P57","Si",0.572,0.569,0.53
"P57","No",0.428,0.431,0.47
