"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.476,0.452,0.536,0.109,0.401,0.206
"P39","No sabe",0.088,0.082,0.435,0.298,0.26,0.361
"P40","Sergio Massa presidente por el Frente de Todos",0.45,0.483,0.01,0.403,0.246,0.226
"P40","Javier Milei por los liberales libertarios",0.276,0.269,0.885,0.054,0.15,0.101
"P40","No sabe",0.274,0.248,0.105,0.543,0.604,0.673
"P41","Sergio Massa por el Frente de Todos",0.429,0.479,0.048,0.341,0.205,0.199
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.458,0.439,0.534,0.106,0.365,0.166
"P41","No sabe",0.113,0.082,0.418,0.553,0.43,0.635
"P42","Sergio Massa por el Frente de Todos",0.441,0.472,0.043,0.486,0.233,0.284
"P42","Mauricio Macri por Juntos por el Cambio",0.517,0.492,0.595,0.037,0.315,0.162
"P42","No sabe",0.042,0.036,0.362,0.477,0.452,0.554
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.433,0.399,0.086,0.191,0.32,0.157
"P43","Javier Milei por los liberales libertarios",0.164,0.174,0.847,0.085,0.119,0.077
"P43","No sabe",0.403,0.427,0.067,0.724,0.561,0.766
"P44","Muy buena",0.121,0.081,0.006,0.064,0.043,0.083
"P44","Buena",0.22,0.22,0.128,0.188,0.1,0.113
"P44","Ni buena ni mala",0.15,0.222,0.037,0.329,0.187,0.358
"P44","Mala",0.097,0.066,0.061,0.204,0.199,0.14
"P44","Muy mala",0.408,0.409,0.766,0.164,0.434,0.286
"P44","No sabe",0.004,0.002,0.002,0.051,0.037,0.02
"P45","Muy buena",0.091,0.078,0.002,0.06,0.013,0.124
"P45","Buena",0.14,0.202,0.035,0.211,0.073,0.092
"P45","Ni buena ni mala",0.18,0.166,0.038,0.307,0.175,0.292
"P45","Mala",0.136,0.087,0.098,0.228,0.233,0.188
"P45","Muy mala",0.453,0.464,0.825,0.179,0.506,0.277
"P45","No sabe",0,0.003,0.002,0.015,0,0.027
"P46","Muy buena",0.328,0.334,0.004,0.255,0.255,0.299
"P46","Buena",0.075,0.069,0.015,0.113,0.037,0.105
"P46","Ni buena ni mala",0.042,0.066,0.026,0.296,0.041,0.131
"P46","Mala",0.026,0.024,0.061,0.128,0.098,0.066
"P46","Muy mala",0.529,0.504,0.883,0.173,0.563,0.346
"P46","No sabe",0,0.003,0.011,0.035,0.006,0.053
"P47","Muy buena",0.225,0.266,0.093,0.029,0.084,0.033
"P47","Buena",0.223,0.193,0.226,0.012,0.107,0.032
"P47","Ni buena ni mala",0.081,0.066,0.28,0.117,0.198,0.236
"P47","Mala",0.075,0.104,0.171,0.084,0.131,0.165
"P47","Muy mala",0.396,0.364,0.228,0.758,0.461,0.511
"P47","No sabe",0,0.007,0.002,0,0.019,0.023
"P48","Muy buena",0.201,0.174,0.106,0.043,0.141,0.065
"P48","Buena",0.223,0.213,0.176,0.071,0.162,0.154
"P48","Ni buena ni mala",0.178,0.143,0.286,0.084,0.218,0.295
"P48","Mala",0.104,0.15,0.172,0.221,0.08,0.119
"P48","Muy mala",0.286,0.3,0.24,0.575,0.394,0.306
"P48","No sabe",0.008,0.02,0.02,0.006,0.005,0.061
"P49","Muy buena",0.134,0.114,0.017,0.008,0.032,0.028
"P49","Buena",0.182,0.2,0.029,0.147,0.101,0.168
"P49","Ni buena ni mala",0.161,0.155,0.102,0.345,0.226,0.401
"P49","Mala",0.116,0.094,0.182,0.248,0.183,0.125
"P49","Muy mala",0.405,0.437,0.663,0.237,0.456,0.24
"P49","No sabe",0.002,0,0.007,0.015,0.002,0.038
"P50","Muy buena",0.285,0.352,0.316,0.029,0.197,0.087
"P50","Buena",0.161,0.167,0.234,0.062,0.118,0.097
"P50","Ni buena ni mala",0.088,0.06,0.211,0.099,0.157,0.242
"P50","Mala",0.074,0.055,0.099,0.124,0.12,0.132
"P50","Muy mala",0.386,0.354,0.138,0.686,0.397,0.374
"P50","No sabe",0.006,0.012,0.002,0,0.011,0.068
"P51","Muy buena",0.078,0.076,0.591,0.023,0.021,0.048
"P51","Buena",0.117,0.137,0.256,0.014,0.095,0.047
"P51","Ni buena ni mala",0.291,0.215,0.099,0.14,0.288,0.343
"P51","Mala",0.113,0.139,0.04,0.035,0.123,0.128
"P51","Muy mala",0.394,0.411,0.014,0.762,0.455,0.363
"P51","No sabe",0.007,0.022,0,0.026,0.018,0.071
"P52","Muy buena",0.21,0.22,0.202,0.037,0.119,0.131
"P52","Buena",0.196,0.182,0.189,0.025,0.185,0.096
"P52","Ni buena ni mala",0.155,0.117,0.25,0.174,0.145,0.263
"P52","Mala",0.059,0.099,0.135,0.054,0.119,0.093
"P52","Muy mala",0.376,0.358,0.215,0.707,0.431,0.324
"P52","No sabe",0.004,0.024,0.009,0.003,0.001,0.093
"P53","Muy buena",0.113,0.125,0.027,0.053,0.046,0.07
"P53","Buena",0.235,0.177,0.032,0.093,0.108,0.2
"P53","Ni buena ni mala",0.151,0.157,0.126,0.327,0.236,0.311
"P53","Mala",0.119,0.136,0.173,0.247,0.219,0.086
"P53","Muy mala",0.366,0.39,0.633,0.267,0.39,0.264
"P53","No sabe",0.016,0.015,0.009,0.013,0.001,0.069
"P54","Muy buena",0.07,0.071,0.057,0.026,0.109,0.055
"P54","Buena",0.131,0.143,0.119,0.227,0.165,0.147
"P54","Ni buena ni mala",0.379,0.355,0.251,0.277,0.282,0.356
"P54","Mala",0.15,0.172,0.218,0.12,0.238,0.118
"P54","Muy mala",0.226,0.209,0.283,0.253,0.189,0.146
"P54","No sabe",0.044,0.05,0.072,0.097,0.017,0.178
"P55","Muy buena",0.058,0.05,0.039,0.008,0.067,0.038
"P55","Buena",0.115,0.126,0.079,0.03,0.145,0.073
"P55","Ni buena ni mala",0.317,0.293,0.354,0.286,0.258,0.364
"P55","Mala",0.159,0.157,0.161,0.15,0.142,0.114
"P55","Muy mala",0.282,0.298,0.245,0.409,0.33,0.234
"P55","No sabe",0.069,0.076,0.122,0.117,0.058,0.177
"P56","Siempre",0.334,0.343,0.274,0.087,0.275,0.312
"P56","Casi siempre",0.397,0.392,0.353,0.544,0.439,0.326
"P56","Casi nunca",0.174,0.151,0.239,0.159,0.224,0.201
"P56","Nunca, pero esta es una excepción",0.095,0.114,0.134,0.21,0.062,0.161
"P57","Si",0.539,0.581,0.565,0.483,0.571,0.547
"P57","No",0.461,0.419,0.435,0.517,0.429,0.453
