"var","categoria","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos","Sergio Massa presidente – Axel Kicillof Gobernador","Javier Milei presidente - José Luis Espert gobernador por los liberales","A los candidatos de la izquierda","Otros candidatos"
"P34","Aún no lo tengo decidido",0.049,0.07,0.089,0.036,0.028,0.029,0.207
"P35","Sergio Massa por el Frente de Todos",0.389,0.296,0.272,0.432,0.092,0.306,0.109
"P35","Mauricio Macri por Juntos por el Cambio",0.341,0.344,0.363,0.412,0.047,0.019,0.113
"P35","Javier Milei por los liberales libertarios",0.127,0.095,0.094,0.011,0.801,0.062,0.115
"P35","Nicolás del Caño por la izquierda",0.008,0.017,0.041,0.016,0.003,0.415,0.02
"P35","Otro candidato",0.106,0.191,0.045,0.072,0.03,0.122,0.405
"P35","Aún no lo tengo decidido",0.029,0.057,0.185,0.057,0.027,0.076,0.238
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.074,0.085,0.675,0.856,0.097,0.525,0.387
"P36","Mauricio Macri por Juntos por el Cambio",0.819,0.713,0.185,0.08,0.421,0.197,0.177
"P36","No sabe",0.107,0.202,0.14,0.064,0.482,0.278,0.436
"P37","Alberto Fernández por el Frente de Todos",0.026,0.083,0.713,0.728,0.072,0.362,0.127
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.758,0.848,0.147,0.051,0.37,0.257,0.176
"P37","No sabe",0.216,0.069,0.14,0.221,0.558,0.381,0.697
"P38","Sergio Massa presidente por el Frente de Todos",0.026,0.12,0.596,0.865,0.072,0.308,0.162
"P38","Patricia Bullrich por Juntos por el Cambio",0.92,0.716,0.166,0.035,0.623,0.287,0.211
"P38","No sabe",0.054,0.164,0.238,0.1,0.305,0.405,0.627
"P39","Cristina Fernandez de Kirchner por el Frente de Todos",0.019,0.062,0.711,0.892,0.077,0.566,0.35
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.8,0.873,0.149,0.042,0.461,0.273,0.232
"P39","No sabe",0.181,0.065,0.14,0.066,0.462,0.161,0.418
"P40","Sergio Massa presidente por el Frente de Todos",0.036,0.128,0.609,0.888,0.031,0.35,0.208
"P40","Javier Milei por los liberales libertarios",0.534,0.365,0.182,0.018,0.853,0.184,0.186
"P40","No sabe",0.43,0.507,0.209,0.094,0.116,0.466,0.606
"P41","Sergio Massa por el Frente de Todos",0.028,0.086,0.62,0.888,0.066,0.291,0.151
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.767,0.822,0.187,0.038,0.447,0.227,0.235
"P41","No sabe",0.205,0.092,0.193,0.074,0.487,0.482,0.614
"P42","Sergio Massa por el Frente de Todos",0.039,0.108,0.635,0.897,0.061,0.374,0.212
"P42","Mauricio Macri por Juntos por el Cambio",0.867,0.715,0.205,0.043,0.57,0.262,0.243
"P42","No sabe",0.094,0.177,0.16,0.06,0.369,0.364,0.545
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.514,0.696,0.264,0.174,0.055,0.184,0.14
"P43","Javier Milei por los liberales libertarios",0.339,0.152,0.19,0.032,0.84,0.186,0.211
"P43","No sabe",0.147,0.152,0.546,0.794,0.105,0.63,0.649
"P44","Muy buena",0.06,0.067,0.239,0.096,0.024,0.058,0.016
"P44","Buena",0.035,0.079,0.35,0.399,0.117,0.094,0.144
"P44","Ni buena ni mala",0.049,0.086,0.234,0.37,0.052,0.286,0.206
"P44","Mala",0.078,0.165,0.055,0.092,0.055,0.215,0.137
"P44","Muy mala",0.774,0.592,0.122,0.04,0.752,0.3,0.451
"P44","No sabe",0.004,0.011,0,0.003,0,0.047,0.046
"P45","Muy buena",0.015,0.016,0.278,0.125,0.008,0.042,0.016
"P45","Buena",0.006,0.068,0.335,0.319,0.022,0.097,0.069
"P45","Ni buena ni mala",0.03,0.077,0.144,0.385,0.049,0.241,0.184
"P45","Mala",0.113,0.17,0.07,0.127,0.095,0.241,0.208
"P45","Muy mala",0.836,0.661,0.17,0.042,0.825,0.374,0.508
"P45","No sabe",0,0.008,0.003,0.002,0.001,0.005,0.015
"P46","Muy buena",0.018,0.041,0.471,0.695,0.03,0.192,0.245
"P46","Buena",0.008,0.027,0.104,0.141,0.012,0.129,0.05
"P46","Ni buena ni mala",0.007,0.05,0.112,0.091,0.035,0.258,0.047
"P46","Mala",0.047,0.087,0.051,0.018,0.048,0.044,0.061
"P46","Muy mala",0.919,0.791,0.238,0.054,0.867,0.343,0.561
"P46","No sabe",0.001,0.004,0.024,0.001,0.008,0.034,0.036
"P47","Muy buena",0.35,0.23,0.103,0.087,0.121,0.071,0.051
"P47","Buena",0.308,0.304,0.143,0.03,0.221,0.074,0.078
"P47","Ni buena ni mala",0.153,0.174,0.098,0.047,0.258,0.086,0.162
"P47","Mala",0.044,0.111,0.193,0.121,0.166,0.068,0.17
"P47","Muy mala",0.144,0.17,0.459,0.707,0.233,0.701,0.518
"P47","No sabe",0.001,0.011,0.004,0.008,0.001,0,0.021
"P48","Muy buena",0.214,0.474,0.103,0.031,0.087,0.073,0.029
"P48","Buena",0.369,0.322,0.129,0.034,0.139,0.13,0.144
"P48","Ni buena ni mala",0.281,0.104,0.143,0.121,0.28,0.066,0.286
"P48","Mala",0.064,0.046,0.196,0.198,0.187,0.173,0.108
"P48","Muy mala",0.061,0.052,0.38,0.598,0.285,0.558,0.41
"P48","No sabe",0.011,0.002,0.049,0.018,0.022,0,0.023
"P49","Muy buena",0.035,0.06,0.186,0.18,0.016,0.056,0.028
"P49","Buena",0.041,0.066,0.208,0.371,0.03,0.122,0.099
"P49","Ni buena ni mala",0.07,0.151,0.234,0.292,0.114,0.181,0.257
"P49","Mala",0.131,0.204,0.165,0.055,0.166,0.215,0.156
"P49","Muy mala",0.718,0.508,0.2,0.1,0.674,0.426,0.441
"P49","No sabe",0.005,0.011,0.007,0.002,0,0,0.019
"P50","Muy buena",0.646,0.308,0.146,0.039,0.267,0.118,0.067
"P50","Buena",0.234,0.274,0.102,0.03,0.254,0.054,0.106
"P50","Ni buena ni mala",0.031,0.226,0.114,0.067,0.229,0.077,0.205
"P50","Mala",0.018,0.08,0.193,0.092,0.091,0.091,0.157
"P50","Muy mala",0.069,0.104,0.421,0.753,0.158,0.66,0.428
"P50","No sabe",0.002,0.008,0.024,0.019,0.001,0,0.037
"P51","Muy buena",0.163,0.093,0.098,0.011,0.584,0.065,0.091
"P51","Buena",0.239,0.143,0.047,0.012,0.261,0.1,0.081
"P51","Ni buena ni mala",0.373,0.471,0.181,0.063,0.094,0.149,0.225
"P51","Mala",0.112,0.121,0.227,0.113,0.023,0.044,0.125
"P51","Muy mala",0.107,0.138,0.418,0.787,0.038,0.63,0.44
"P51","No sabe",0.006,0.034,0.029,0.014,0,0.012,0.038
"P52","Muy buena",0.314,0.418,0.123,0.017,0.168,0.057,0.12
"P52","Buena",0.359,0.267,0.062,0.014,0.154,0.117,0.142
"P52","Ni buena ni mala",0.226,0.178,0.17,0.053,0.269,0.159,0.143
"P52","Mala",0.037,0.032,0.169,0.125,0.147,0.063,0.128
"P52","Muy mala",0.062,0.087,0.412,0.781,0.255,0.599,0.416
"P52","No sabe",0.002,0.018,0.064,0.01,0.007,0.005,0.051
"P53","Muy buena",0.031,0.075,0.222,0.168,0.029,0.068,0.045
"P53","Buena",0.052,0.102,0.203,0.384,0.029,0.073,0.14
"P53","Ni buena ni mala",0.076,0.123,0.184,0.275,0.143,0.311,0.228
"P53","Mala",0.176,0.211,0.146,0.059,0.162,0.214,0.162
"P53","Muy mala",0.659,0.476,0.177,0.098,0.632,0.318,0.398
"P53","No sabe",0.006,0.013,0.068,0.016,0.005,0.016,0.027
"P54","Muy buena",0.074,0.112,0.081,0.042,0.047,0.056,0.112
"P54","Buena",0.12,0.244,0.109,0.116,0.118,0.173,0.154
"P54","Ni buena ni mala",0.306,0.331,0.395,0.404,0.267,0.289,0.278
"P54","Mala",0.216,0.125,0.134,0.173,0.197,0.138,0.172
"P54","Muy mala",0.249,0.136,0.168,0.195,0.307,0.299,0.225
"P54","No sabe",0.035,0.052,0.113,0.07,0.064,0.045,0.059
"P55","Muy buena",0.063,0.087,0.034,0.024,0.049,0.014,0.062
"P55","Buena",0.194,0.19,0.068,0.035,0.066,0.097,0.068
"P55","Ni buena ni mala",0.389,0.416,0.28,0.203,0.331,0.223,0.281
"P55","Mala",0.139,0.089,0.195,0.185,0.169,0.208,0.116
"P55","Muy mala",0.141,0.126,0.307,0.483,0.279,0.367,0.346
"P55","No sabe",0.074,0.092,0.116,0.07,0.106,0.091,0.127
"P56","Siempre",0.324,0.312,0.302,0.33,0.274,0.256,0.291
"P56","Casi siempre",0.421,0.369,0.275,0.41,0.375,0.455,0.384
"P56","Casi nunca",0.185,0.246,0.197,0.13,0.23,0.125,0.207
"P56","Nunca, pero esta es una excepción",0.07,0.073,0.226,0.13,0.121,0.164,0.118
"P57","Si",0.588,0.543,0.528,0.548,0.552,0.492,0.595
"P57","No",0.412,0.457,0.472,0.452,0.448,0.508,0.405
