"var","categoria","Sergio Massa presidente por el Frente de Todos","Javier Milei por los liberales libertarios","No sabe"
"P18","Puede que lo vote",0.053,0.357,0.277
"P18","Nunca lo votaría",0.827,0.315,0.335
"P18","No sabe",0.098,0.092,0.165
"P19","Lo votaría",0.374,0.037,0.06
"P19","Puede que lo vote",0.42,0.069,0.148
"P19","Nunca lo votaría",0.174,0.868,0.717
"P19","No sabe",0.032,0.026,0.075
"P20","Lo votaría",0.05,0.072,0.042
"P20","Puede que lo vote",0.149,0.22,0.189
"P20","Nunca lo votaría",0.619,0.559,0.539
"P20","No sabe",0.182,0.149,0.23
"P21","Lo votaría",0.02,0.44,0.142
"P21","Puede que lo vote",0.048,0.332,0.261
"P21","Nunca lo votaría",0.854,0.181,0.466
"P21","No sabe",0.078,0.047,0.131
"P22","Lo votaría",0.013,0.065,0.05
"P22","Puede que lo vote",0.051,0.128,0.103
"P22","Nunca lo votaría",0.697,0.506,0.546
"P22","No sabe",0.239,0.301,0.301
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.023,0.193,0.221
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.027,0.106,0.148
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.036,0.231,0.221
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.051,0.017,0.037
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.632,0.012,0.147
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.165,0.049,0.055
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.003,0.369,0.038
"P23","A los candidatos de la izquierda",0.023,0.004,0.024
"P23","Otros candidatos",0.04,0.019,0.109
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.027,0.357,0.345
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.053,0.136,0.227
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.139,0.037,0.052
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.669,0.012,0.077
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.015,0.393,0.064
"P24","A los candidatos de la izquierda",0.042,0.02,0.06
"P24","Otros candidatos",0.055,0.045,0.175
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.861,0.009,0.129
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.024,0.384,0.419
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.01,0.516,0.078
"P26","A los candidatos de la izquierda",0.03,0.013,0.064
"P26","Otro candidato",0.075,0.078,0.31
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.247,0.248,0.401
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.656,0.099,0.235
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.013,0.579,0.071
"P28","A los candidatos de la izquierda",0.023,0.004,0.038
"P28","Otro candidato",0.061,0.07,0.255
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.456,0.246,0.337
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.441,0.24,0.307
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.01,0.475,0.082
"P30","A los candidatos de la izquierda",0.033,0.005,0.03
"P30","Otro candidato",0.06,0.034,0.244
"P31","Sergio Massa por el Frente de Todos",0.576,0.108,0.175
"P31","Patricia Bullrich por Juntos por el Cambio",0.195,0.378,0.352
"P31","Javier Milei por los liberales libertarios",0.004,0.461,0.068
"P31","Nicolás del Caño por la izquierda",0.037,0.004,0.047
"P31","Otro candidato",0.097,0.023,0.192
"P31","Aún no lo tengo decidido",0.091,0.026,0.166
"P33","Sergio Massa por el Frente de Todos",0.733,0.035,0.064
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.074,0.299,0.417
"P33","Javier Milei por los liberales libertarios",0.01,0.568,0.07
"P33","Nicolás del Caño por la izquierda",0.034,0.009,0.056
"P33","Otro candidato",0.093,0.05,0.216
"P33","Aún no lo tengo decidido",0.056,0.039,0.177
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.838,0.011,0.15
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.04,0.322,0.447
"P34","Javier Milei por los liberales libertarios",0.009,0.584,0.07
"P34","Nicolás del Caño por la izquierda",0.029,0.008,0.043
"P34","Otro candidato",0.047,0.05,0.179
"P34","Aún no lo tengo decidido",0.037,0.025,0.111
"P35","Sergio Massa por el Frente de Todos",0.411,0.228,0.272
"P35","Mauricio Macri por Juntos por el Cambio",0.414,0.208,0.231
"P35","Javier Milei por los liberales libertarios",0.006,0.494,0.07
"P35","Nicolás del Caño por la izquierda",0.04,0.005,0.058
"P35","Otro candidato",0.084,0.047,0.224
"P35","Aún no lo tengo decidido",0.045,0.018,0.145
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.853,0.065,0.186
"P36","Mauricio Macri por Juntos por el Cambio",0.081,0.673,0.518
"P36","No sabe",0.066,0.262,0.296
"P37","Alberto Fernández por el Frente de Todos",0.776,0.022,0.075
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.053,0.648,0.522
"P37","No sabe",0.171,0.33,0.403
"P38","Sergio Massa presidente por el Frente de Todos",0.893,0.015,0.059
"P38","Patricia Bullrich por Juntos por el Cambio",0.033,0.838,0.54
"P38","No sabe",0.074,0.147,0.401
"P39","Cristina Fernandez de Kirchner por el Frente de Todos",0.903,0.018,0.157
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.054,0.741,0.516
"P39","No sabe",0.043,0.241,0.327
"P41","Sergio Massa por el Frente de Todos",0.917,0.026,0.032
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.749,0.467
"P41","No sabe",0.05,0.225,0.501
"P42","Sergio Massa por el Frente de Todos",0.94,0.026,0.065
"P42","Mauricio Macri por Juntos por el Cambio",0.012,0.796,0.545
"P42","No sabe",0.048,0.178,0.39
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.208,0.311,0.427
"P43","Javier Milei por los liberales libertarios",0.029,0.647,0.141
"P43","No sabe",0.763,0.042,0.432
"P44","Muy buena",0.113,0.054,0.053
"P44","Buena",0.385,0.07,0.093
"P44","Ni buena ni mala",0.356,0.026,0.151
"P44","Mala",0.099,0.072,0.133
"P44","Muy mala",0.042,0.775,0.548
"P44","No sabe",0.005,0.003,0.022
"P45","Muy buena",0.144,0.009,0.038
"P45","Buena",0.323,0.024,0.045
"P45","Ni buena ni mala",0.343,0.03,0.117
"P45","Mala",0.137,0.107,0.158
"P45","Muy mala",0.051,0.829,0.634
"P45","No sabe",0.002,0.001,0.008
"P46","Muy buena",0.651,0.007,0.121
"P46","Buena",0.141,0.009,0.034
"P46","Ni buena ni mala",0.115,0.017,0.053
"P46","Mala",0.033,0.049,0.061
"P46","Muy mala",0.055,0.913,0.714
"P46","No sabe",0.005,0.005,0.017
"P47","Muy buena",0.08,0.222,0.217
"P47","Buena",0.038,0.289,0.205
"P47","Ni buena ni mala",0.054,0.204,0.159
"P47","Mala",0.145,0.105,0.097
"P47","Muy mala",0.676,0.179,0.309
"P47","No sabe",0.007,0.001,0.013
"P48","Muy buena",0.034,0.191,0.234
"P48","Buena",0.042,0.275,0.258
"P48","Ni buena ni mala",0.107,0.262,0.219
"P48","Mala",0.203,0.124,0.068
"P48","Muy mala",0.587,0.137,0.207
"P48","No sabe",0.027,0.011,0.014
"P49","Muy buena",0.176,0.031,0.043
"P49","Buena",0.355,0.038,0.051
"P49","Ni buena ni mala",0.291,0.082,0.17
"P49","Mala",0.068,0.165,0.174
"P49","Muy mala",0.108,0.684,0.547
"P49","No sabe",0.002,0,0.015
"P50","Muy buena",0.053,0.439,0.316
"P50","Buena",0.048,0.253,0.18
"P50","Ni buena ni mala",0.081,0.141,0.148
"P50","Mala",0.093,0.069,0.096
"P50","Muy mala",0.707,0.096,0.243
"P50","No sabe",0.018,0.002,0.017
"P51","Muy buena",0.016,0.378,0.083
"P51","Buena",0.007,0.312,0.067
"P51","Ni buena ni mala",0.074,0.242,0.374
"P51","Mala",0.13,0.043,0.156
"P51","Muy mala",0.757,0.023,0.287
"P51","No sabe",0.016,0.002,0.033
"P52","Muy buena",0.032,0.259,0.272
"P52","Buena",0.02,0.265,0.235
"P52","Ni buena ni mala",0.05,0.255,0.193
"P52","Mala",0.122,0.092,0.069
"P52","Muy mala",0.755,0.126,0.204
"P52","No sabe",0.021,0.003,0.027
"P53","Muy buena",0.182,0.036,0.046
"P53","Buena",0.357,0.043,0.079
"P53","Ni buena ni mala",0.262,0.1,0.17
"P53","Mala",0.069,0.184,0.19
"P53","Muy mala",0.106,0.627,0.5
"P53","No sabe",0.024,0.01,0.015
"P54","Muy buena",0.065,0.071,0.073
"P54","Buena",0.114,0.15,0.156
"P54","Ni buena ni mala",0.398,0.293,0.303
"P54","Mala",0.17,0.214,0.137
"P54","Muy mala",0.174,0.238,0.262
"P54","No sabe",0.079,0.034,0.069
"P55","Muy buena",0.032,0.059,0.059
"P55","Buena",0.038,0.119,0.172
"P55","Ni buena ni mala",0.192,0.391,0.347
"P55","Mala",0.192,0.152,0.113
"P55","Muy mala",0.467,0.198,0.197
"P55","No sabe",0.079,0.081,0.112
"P56","Siempre",0.312,0.299,0.315
"P56","Casi siempre",0.394,0.399,0.379
"P56","Casi nunca",0.173,0.208,0.18
"P56","Nunca, pero esta es una excepción",0.121,0.094,0.126
"P57","Si",0.543,0.581,0.546
"P57","No",0.457,0.419,0.454
