"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P17","Muy mala",0.091,0.047,0.179,0.102,0.067
"P17","No sabe",0.362,0.421,0.355,0.377,0.462
"P18","Lo votaría",0.256,0.123,0.166,0.168,0.396
"P18","Puede que lo vote",0.161,0.166,0.068,0.214,0.117
"P18","Nunca lo votaría",0.48,0.572,0.501,0.48,0.328
"P18","No sabe",0.103,0.139,0.265,0.138,0.159
"P19","Lo votaría",0.149,0.196,0.136,0.145,0.095
"P19","Puede que lo vote",0.214,0.14,0.242,0.168,0.221
"P19","Nunca lo votaría",0.462,0.483,0.394,0.355,0.387
"P19","No sabe",0.175,0.181,0.228,0.332,0.297
"P20","Lo votaría",0.073,0.071,0.17,0.107,0.112
"P20","Puede que lo vote",0.193,0.36,0.111,0.225,0.109
"P20","Nunca lo votaría",0.514,0.349,0.435,0.414,0.424
"P20","No sabe",0.22,0.22,0.284,0.254,0.355
"P21","Muy buena",0.329,0.188,0.309,0.163,0.348
"P21","Buena",0.098,0.216,0.068,0.109,0.124
"P21","Ni buena ni mala",0.147,0.094,0.128,0.26,0.138
"P21","Mala",0.148,0.19,0.126,0.16,0.206
"P21","Muy mala",0.237,0.3,0.272,0.305,0.114
"P21","No sabe",0.041,0.012,0.097,0.003,0.07
"P22","Muy buena",0.167,0.205,0.126,0.125,0.041
"P22","Buena",0.138,0.127,0.14,0.116,0.2
"P22","Ni buena ni mala",0.313,0.241,0.223,0.197,0.224
"P22","Mala",0.142,0.164,0.097,0.304,0.18
"P22","Muy mala",0.176,0.231,0.104,0.147,0.124
"P22","No sabe",0.064,0.032,0.31,0.111,0.231
"P23","Muy buena",0.076,0.051,0.055,0.069,0.05
"P23","Buena",0.142,0.159,0.056,0.145,0.125
"P23","Ni buena ni mala",0.346,0.334,0.237,0.266,0.251
"P23","Mala",0.129,0.14,0.104,0.244,0.115
"P23","Muy mala",0.189,0.26,0.255,0.158,0.183
"P23","No sabe",0.118,0.056,0.293,0.118,0.276
"P24","Muy buena",0.122,0.126,0.09,0.199,0.078
"P24","Buena",0.137,0.134,0.063,0.148,0.121
"P24","Ni buena ni mala",0.296,0.263,0.203,0.228,0.257
"P24","Mala",0.149,0.162,0.103,0.127,0.111
"P24","Muy mala",0.188,0.217,0.279,0.244,0.207
"P24","No sabe",0.108,0.098,0.262,0.054,0.226
"P25","Muy buena",0.098,0.074,0.088,0.121,0.028
"P25","Buena",0.148,0.069,0.096,0.14,0.115
"P25","Ni buena ni mala",0.35,0.279,0.231,0.143,0.256
"P25","Mala",0.147,0.12,0.055,0.253,0.165
"P25","Muy mala",0.154,0.314,0.302,0.226,0.186
"P25","No sabe",0.103,0.144,0.228,0.117,0.25
"P26","Lo votaría",0.397,0.267,0.409,0.303,0.393
"P26","Puede que lo vote",0.089,0.111,0.036,0.146,0.091
"P26","Nunca lo votaría",0.431,0.545,0.455,0.421,0.408
"P26","No sabe",0.083,0.077,0.1,0.13,0.108
"P27","Lo votaría",0.2,0.167,0.169,0.198,0.138
"P27","Puede que lo vote",0.153,0.322,0.13,0.269,0.182
"P27","Nunca lo votaría",0.535,0.415,0.556,0.38,0.379
"P27","No sabe",0.112,0.096,0.145,0.153,0.301
"P28","Lo votaría",0.118,0.114,0.194,0.188,0.08
"P28","Puede que lo vote",0.191,0.3,0.097,0.224,0.06
"P28","Nunca lo votaría",0.511,0.437,0.514,0.357,0.444
"P28","No sabe",0.18,0.149,0.195,0.231,0.416
"P29","Lo votaría",0.148,0.206,0.113,0.127,0.082
"P29","Puede que lo vote",0.188,0.128,0.206,0.287,0.14
"P29","Nunca lo votaría",0.484,0.518,0.418,0.404,0.366
"P29","No sabe",0.18,0.148,0.263,0.182,0.412
"P30","Lo votaría",0.123,0.054,0.171,0.09,0.037
"P30","Puede que lo vote",0.178,0.141,0.054,0.29,0.156
"P30","Nunca lo votaría",0.487,0.736,0.476,0.403,0.503
"P30","No sabe",0.212,0.069,0.299,0.217,0.304
"P31","La seguridad",0.157,0.1,0.142,0.019,0.036
"P31","El tránsito",0.037,0.087,0,0.024,0.028
"P31","El arreglo de las calles",0.161,0.308,0.243,0.167,0.217
"P31","Los parques y espacios públicos",0.228,0.126,0.19,0.227,0.208
"P31","El sistema de salud",0.043,0.019,0.014,0.069,0.084
"P31","La limpieza de las calles",0.036,0.022,0.014,0.009,0.061
"P31","El deporte y la cultura",0.061,0.02,0.051,0.061,0.1
"P31","La luminaria",0.026,0.005,0.021,0.049,0.024
"P31","No sabe",0.251,0.313,0.325,0.375,0.242
"P32","La seguridad",0.494,0.488,0.375,0.425,0.29
"P32","El tránsito",0.028,0.097,0.008,0.006,0.04
"P32","El arreglo de las calles",0.15,0.138,0.299,0.203,0.052
"P32","Los parques y espacios públicos",0.016,0.007,0,0.079,0.031
"P32","El sistema de salud",0.184,0.122,0.111,0.175,0.289
"P32","La limpieza de las calles",0.033,0.018,0.042,0.016,0.011
"P32","El deporte y la cultura",0.021,0,0.008,0,0.052
"P32","La luminaria",0.01,0,0.042,0.01,0.023
"P32","No sabe",0.064,0.13,0.115,0.086,0.212
"P34","Los robos",0.632,0.433,0.258,0.353,0.409
"P34","El narcotráfico",0.148,0.33,0.064,0.191,0.138
"P34","La ausencia de patrulleros y personal policial",0.135,0.147,0.518,0.339,0.227
"P34","Otro",0.08,0.058,0.16,0.111,0.097
"P34","Ninguno",0.005,0.032,0,0.006,0.129
"P35","Muy buena",0.111,0.039,0.081,0.011,0.232
"P35","Buena",0.204,0.116,0.096,0.096,0.225
"P35","Ni buena ni mala",0.272,0.279,0.471,0.334,0.21
"P35","Mala",0.24,0.283,0.072,0.219,0.125
"P35","Muy mala",0.124,0.269,0.173,0.299,0.154
"P35","No sabe",0.049,0.014,0.107,0.041,0.054
"P36","Muy buena",0.069,0.038,0.015,0.007,0.201
"P36","Buena",0.165,0.207,0.218,0.086,0.206
"P36","Ni buena ni mala",0.306,0.26,0.42,0.338,0.248
"P36","Mala",0.237,0.273,0.11,0.24,0.048
"P36","Muy mala",0.147,0.208,0.129,0.251,0.188
"P36","No sabe",0.076,0.014,0.108,0.078,0.109
"P37","Frente de Todos y el peronismo",0.39,0.347,0.421,0.346,0.44
"P37","Cambiemos",0.233,0.397,0.236,0.184,0.305
"P37","Liberales",0.212,0.105,0.119,0.314,0.06
"P37","Izquierda",0.083,0.08,0.089,0.069,0.007
"P37","No sabe",0.082,0.071,0.135,0.087,0.188
"P39","A Alberto Fernández",0.331,0.426,0.163,0.392,0.301
"P39","A Sergio Massa",0.242,0.117,0.014,0.169,0.141
"P39","A algún candidato del peronismo",0.117,0.114,0.024,0.156,0.06
"P39","A algún candidato del kirchnerismo",0.31,0.343,0.799,0.283,0.498
"P40","A Alberto Fernández",0.252,0.294,0.163,0.02,0.307
"P40","A Sergio Massa",0.205,0.195,0.014,0.064,0.056
"P40","A algún candidato del peronismo",0.073,0.016,0,0.414,0.012
"P40","A Cristina Fernández de Kirchner",0.47,0.495,0.823,0.502,0.625
"P41","A Horacio Rodriguez Larreta",0.378,0.289,0.022,0.161,0.319
"P41","A Mauricio Macri",0.143,0.181,0.064,0.185,0.066
"P41","A Patricia Bullrich",0.382,0.401,0.838,0.567,0.61
"P41","A Facundo Manes",0.078,0.129,0.076,0.056,0.005
"P41","A Gerardo Morales",0.019,0,0,0.031,0
"P42","Muy buena",0.14,0.127,0.082,0.012,0.118
"P42","Buena",0.111,0.126,0.077,0.095,0.096
"P42","Ni buena ni mala",0.222,0.228,0.368,0.382,0.324
"P42","Mala",0.21,0.213,0.17,0.147,0.202
"P42","Muy mala",0.302,0.306,0.204,0.355,0.23
"P42","No sabe",0.015,0,0.099,0.009,0.03
"P43","Muy buena",0.113,0.249,0.276,0.038,0.044
"P43","Buena",0.08,0.123,0.076,0.125,0.056
"P43","Ni buena ni mala",0.217,0.138,0.228,0.302,0.178
"P43","Mala",0.184,0.153,0.099,0.14,0.23
"P43","Muy mala",0.386,0.309,0.321,0.395,0.478
"P43","No sabe",0.02,0.028,0,0,0.014
"P44","Muy buena",0.357,0.264,0.473,0.308,0.317
"P44","Buena",0.088,0.107,0.049,0.091,0.026
"P44","Ni buena ni mala",0.065,0.039,0.006,0.071,0.104
"P44","Mala",0.113,0.117,0.084,0.075,0.171
"P44","Muy mala",0.369,0.443,0.388,0.445,0.368
"P44","No sabe",0.008,0.03,0,0.01,0.014
"P45","Muy buena",0.202,0.258,0.184,0.109,0.073
"P45","Buena",0.127,0.07,0.137,0.1,0.108
"P45","Ni buena ni mala",0.126,0.161,0.215,0.282,0.147
"P45","Mala",0.187,0.073,0.078,0.148,0.295
"P45","Muy mala",0.323,0.376,0.365,0.348,0.294
"P45","No sabe",0.035,0.062,0.021,0.013,0.083
"P46","Muy buena",0.12,0.096,0.086,0.038,0.084
"P46","Buena",0.207,0.205,0.213,0.196,0.219
"P46","Ni buena ni mala",0.176,0.108,0.307,0.273,0.136
"P46","Mala",0.141,0.178,0.107,0.199,0.222
"P46","Muy mala",0.314,0.394,0.176,0.294,0.264
"P46","No sabe",0.042,0.019,0.111,0,0.075
"P47","Muy buena",0.182,0.191,0.27,0.168,0.143
"P47","Buena",0.135,0.168,0.214,0.178,0.052
"P47","Ni buena ni mala",0.13,0.127,0.067,0.177,0.141
"P47","Mala",0.147,0.087,0.222,0.041,0.189
"P47","Muy mala",0.375,0.42,0.223,0.436,0.384
"P47","No sabe",0.031,0.007,0.004,0,0.091
"P48","Muy buena",0.216,0.166,0.201,0.258,0.153
"P48","Buena",0.064,0.103,0.06,0.138,0.106
"P48","Ni buena ni mala",0.206,0.184,0.301,0.137,0.116
"P48","Mala",0.195,0.189,0.064,0.091,0.171
"P48","Muy mala",0.271,0.341,0.374,0.361,0.338
"P48","No sabe",0.048,0.017,0,0.015,0.116
