"var","categoria","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández","A Pablo Cocuzza por Juntos por el Cambio con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta y Mauricio Macri","Al candidato de Javier Milei en el municipio de Merlo","Al candidato de José Luis Espert en la boleta de Espert gobernador","A Cristian Franco por el Frente de Izquierda","No sabe"
"P14","Mala",0.17,0.037,0.105,0.041,0.176,0.046
"P14","Muy mala",0.105,0.101,0.156,0.05,0.276,0.155
"P14","No sabe",0.199,0.122,0.195,0.196,0.27,0.503
"P15","Muy buena",0.044,0.18,0.069,0.023,0.007,0.03
"P15","Buena",0.065,0.194,0.099,0.083,0.01,0.053
"P15","Ni buena ni mala",0.338,0.38,0.364,0.512,0.252,0.271
"P15","Mala",0.201,0.045,0.182,0.042,0.128,0.082
"P15","Muy mala",0.132,0.039,0.12,0.207,0.33,0.13
"P15","No sabe",0.22,0.162,0.166,0.133,0.273,0.434
"P16","Muy buena",0.087,0.095,0.126,0.076,0.076,0.176
"P16","Buena",0.078,0.122,0.068,0.218,0.056,0.032
"P16","Ni buena ni mala",0.29,0.215,0.155,0.152,0.222,0.181
"P16","Mala",0.227,0.26,0.167,0.203,0.194,0.161
"P16","Muy mala",0.147,0.22,0.314,0.304,0.275,0.192
"P16","No sabe",0.171,0.088,0.17,0.047,0.177,0.258
"P17","Muy buena",0.023,0.027,0.138,0,0.093,0.017
"P17","Buena",0.041,0.024,0.043,0.03,0.105,0.01
"P17","Ni buena ni mala",0.408,0.391,0.332,0.57,0.113,0.3
"P17","Mala",0.12,0.045,0.039,0.068,0.037,0.046
"P17","Muy mala",0.057,0.137,0.13,0.148,0.219,0.081
"P17","No sabe",0.351,0.376,0.318,0.184,0.433,0.546
"P18","Lo votaría",0.491,0.073,0.128,0,0.024,0.02
"P18","Puede que lo vote",0.197,0.091,0.134,0.036,0.17,0.135
"P18","Nunca lo votaría",0.167,0.754,0.599,0.656,0.601,0.597
"P18","No sabe",0.145,0.082,0.139,0.308,0.205,0.248
"P19","Lo votaría",0.083,0.283,0.127,0.158,0.01,0.064
"P19","Puede que lo vote",0.109,0.315,0.245,0.192,0.061,0.067
"P19","Nunca lo votaría",0.569,0.213,0.327,0.303,0.641,0.487
"P19","No sabe",0.239,0.189,0.301,0.347,0.288,0.382
"P20","Lo votaría",0.07,0.211,0.091,0,0,0.045
"P20","Puede que lo vote",0.072,0.361,0.208,0.268,0.008,0.209
"P20","Nunca lo votaría",0.602,0.199,0.358,0.373,0.653,0.376
"P20","No sabe",0.256,0.229,0.343,0.359,0.339,0.37
"P21","Muy buena",0.558,0.103,0.046,0.2,0.252,0.209
"P21","Buena",0.167,0.066,0.022,0.191,0.141,0.169
"P21","Ni buena ni mala",0.132,0.112,0.195,0.155,0.301,0.263
"P21","Mala",0.083,0.21,0.308,0.049,0.164,0.141
"P21","Muy mala",0.043,0.477,0.384,0.405,0.014,0.139
"P21","No sabe",0.017,0.032,0.045,0,0.128,0.079
"P22","Muy buena",0.075,0.331,0.153,0.122,0.039,0.036
"P22","Buena",0.093,0.219,0.097,0.053,0.014,0.164
"P22","Ni buena ni mala",0.273,0.241,0.357,0.39,0.108,0.214
"P22","Mala",0.228,0.063,0.202,0.114,0.278,0.153
"P22","Muy mala",0.229,0.084,0.06,0.266,0.292,0.243
"P22","No sabe",0.102,0.062,0.131,0.055,0.269,0.19
"P23","Muy buena",0.011,0.193,0.095,0.128,0.009,0.017
"P23","Buena",0.041,0.266,0.108,0.103,0,0.105
"P23","Ni buena ni mala",0.325,0.295,0.386,0.322,0.108,0.285
"P23","Mala",0.197,0.068,0.145,0.045,0.287,0.175
"P23","Muy mala",0.279,0.077,0.107,0.273,0.364,0.268
"P23","No sabe",0.147,0.101,0.159,0.129,0.232,0.15
"P24","Muy buena",0.031,0.198,0.245,0.361,0.009,0.032
"P24","Buena",0.028,0.258,0.189,0.296,0,0.092
"P24","Ni buena ni mala",0.274,0.308,0.344,0.062,0.073,0.191
"P24","Mala",0.163,0.066,0.098,0,0.206,0.271
"P24","Muy mala",0.378,0.039,0.016,0.225,0.509,0.23
"P24","No sabe",0.126,0.131,0.108,0.056,0.203,0.184
"P25","Muy buena",0.04,0.112,0.188,0.115,0.009,0.004
"P25","Buena",0.056,0.255,0.141,0.064,0,0.075
"P25","Ni buena ni mala",0.308,0.289,0.378,0.5,0.169,0.184
"P25","Mala",0.162,0.148,0.148,0,0.191,0.133
"P25","Muy mala",0.323,0.056,0.052,0.222,0.367,0.33
"P25","No sabe",0.111,0.14,0.093,0.099,0.264,0.274
"P26","Lo votaría",0.655,0.099,0.095,0.466,0.455,0.375
"P26","Puede que lo vote",0.109,0.033,0.057,0.033,0.086,0.146
"P26","Nunca lo votaría",0.172,0.795,0.698,0.42,0.254,0.324
"P26","No sabe",0.064,0.073,0.15,0.081,0.205,0.155
"P27","Lo votaría",0.063,0.416,0.201,0.128,0.008,0.177
"P27","Puede que lo vote",0.086,0.266,0.321,0.397,0,0.191
"P27","Nunca lo votaría",0.661,0.229,0.324,0.432,0.882,0.49
"P27","No sabe",0.19,0.089,0.154,0.043,0.11,0.142
"P28","Lo votaría",0.019,0.27,0.252,0.224,0.009,0.102
"P28","Puede que lo vote",0.062,0.33,0.254,0.173,0,0.161
"P28","Nunca lo votaría",0.644,0.287,0.261,0.548,0.77,0.516
"P28","No sabe",0.275,0.113,0.233,0.055,0.221,0.221
"P29","Lo votaría",0.034,0.223,0.35,0.436,0.009,0.06
"P29","Puede que lo vote",0.049,0.322,0.337,0.075,0,0.157
"P29","Nunca lo votaría",0.625,0.283,0.159,0.388,0.758,0.599
"P29","No sabe",0.292,0.172,0.154,0.101,0.233,0.184
"P30","Lo votaría",0.033,0.123,0.246,0.143,0.009,0.04
"P30","Puede que lo vote",0.054,0.314,0.224,0.124,0.014,0.246
"P30","Nunca lo votaría",0.693,0.399,0.301,0.658,0.704,0.48
"P30","No sabe",0.22,0.164,0.229,0.075,0.273,0.234
"P31","La seguridad",0.105,0.125,0.177,0,0,0.056
"P31","El tránsito",0.028,0.048,0.064,0,0,0.02
"P31","El arreglo de las calles",0.284,0.225,0.088,0.061,0.142,0.102
"P31","Los parques y espacios públicos",0.269,0.113,0.151,0.07,0.386,0.185
"P31","El sistema de salud",0.064,0.027,0.049,0.361,0,0.003
"P31","La limpieza de las calles",0.045,0.008,0.017,0.053,0.038,0.052
"P31","El deporte y la cultura",0.071,0.044,0.052,0.073,0.117,0.029
"P31","La luminaria",0.019,0.039,0.022,0,0,0.027
"P31","No sabe",0.115,0.371,0.38,0.382,0.317,0.526
"P32","La seguridad",0.355,0.56,0.518,0.409,0.276,0.445
"P32","El tránsito",0.062,0.026,0.005,0,0.015,0.017
"P32","El arreglo de las calles",0.182,0.133,0.143,0.138,0.161,0.124
"P32","Los parques y espacios públicos",0.045,0.009,0.01,0,0.012,0.015
"P32","El sistema de salud",0.179,0.112,0.203,0.379,0.474,0.151
"P32","La limpieza de las calles",0.033,0.033,0.003,0,0.007,0.029
"P32","El deporte y la cultura",0.024,0.027,0,0,0.014,0.007
"P32","La luminaria",0.018,0.001,0.016,0,0,0.029
"P32","No sabe",0.102,0.099,0.102,0.074,0.041,0.183
"P33","Agua corriente y cloacas",0.471,0.474,0.473,0.625,0.457,0.477
"P33","Energía eléctrica",0.124,0.252,0.102,0.114,0.015,0.134
"P33","Red de gas natural",0.074,0.088,0.108,0.047,0.137,0.09
"P33","Recolección de residuos",0.112,0.09,0.225,0.211,0.222,0.139
"P33","Ninguno",0.219,0.096,0.092,0.003,0.169,0.16
"P34","Los robos",0.564,0.489,0.56,0.268,0.344,0.285
"P34","El narcotráfico",0.152,0.201,0.142,0.176,0.094,0.272
"P34","La ausencia de patrulleros y personal policial",0.223,0.233,0.126,0.092,0.277,0.243
"P34","Otro",0.037,0.042,0.144,0.461,0.255,0.174
"P34","Ninguno",0.024,0.035,0.028,0.003,0.03,0.026
"P35","Muy buena",0.196,0.068,0.029,0,0,0.038
"P35","Buena",0.288,0.102,0.058,0.048,0,0.205
"P35","Ni buena ni mala",0.32,0.298,0.193,0.631,0.45,0.177
"P35","Mala",0.114,0.259,0.369,0.177,0.218,0.189
"P35","Muy mala",0.046,0.247,0.248,0.144,0.244,0.349
"P35","No sabe",0.036,0.026,0.103,0,0.088,0.042
"P36","Muy buena",0.161,0.024,0.016,0,0,0
"P36","Buena",0.288,0.131,0.04,0,0,0.184
"P36","Ni buena ni mala",0.337,0.314,0.172,0.654,0.45,0.252
"P36","Mala",0.111,0.244,0.337,0.103,0.228,0.217
"P36","Muy mala",0.027,0.227,0.329,0.243,0.243,0.284
"P36","No sabe",0.076,0.06,0.106,0,0.079,0.063
"P37","Frente de Todos y el peronismo",0.76,0.091,0.033,0,0.404,0.43
"P37","Cambiemos",0.138,0.654,0.146,0.162,0,0.099
"P37","Liberales",0.039,0.1,0.636,0.376,0,0.141
"P37","Izquierda",0.019,0.07,0.056,0.332,0.441,0.042
"P37","No sabe",0.044,0.085,0.129,0.13,0.155,0.288
"P39","A Alberto Fernández",0.37,0.221,0.792,0,0.07,0
"P39","A Sergio Massa",0.193,0.037,0,0,0.052,0.257
"P39","A algún candidato del peronismo",0.06,0.365,0,0,0.171,0.089
"P39","A algún candidato del kirchnerismo",0.377,0.377,0.208,0,0.707,0.654
"P40","A Alberto Fernández",0.29,0.232,0,0,0.026,0.02
"P40","A Sergio Massa",0.176,0.026,0,0,0.027,0.101
"P40","A algún candidato del peronismo",0.011,0.124,0.792,0,0.041,0.189
"P40","A Cristina Fernández de Kirchner",0.523,0.618,0.208,0,0.906,0.69
"P41","A Horacio Rodriguez Larreta",0.25,0.406,0.03,0,0,0.132
"P41","A Mauricio Macri",0.24,0.123,0.02,0.266,0,0.024
"P41","A Patricia Bullrich",0.188,0.464,0.924,0.734,0,0.826
"P41","A Facundo Manes",0.287,0.004,0.026,0,0,0.018
"P41","A Gerardo Morales",0.035,0.003,0,0,0,0
"P42","Muy buena",0.208,0.085,0.004,0,0,0.085
"P42","Buena",0.194,0.041,0.013,0.322,0.106,0.069
"P42","Ni buena ni mala",0.293,0.136,0.362,0.048,0.423,0.352
"P42","Mala",0.195,0.152,0.169,0.07,0.418,0.294
"P42","Muy mala",0.088,0.552,0.447,0.56,0.053,0.172
"P42","No sabe",0.022,0.034,0.005,0,0,0.028
"P43","Muy buena",0.066,0.311,0.091,0.111,0,0.026
"P43","Buena",0.015,0.165,0.158,0.118,0,0.088
"P43","Ni buena ni mala",0.11,0.267,0.443,0.52,0.01,0.076
"P43","Mala",0.218,0.048,0.172,0.152,0.255,0.29
"P43","Muy mala",0.571,0.192,0.136,0.099,0.735,0.485
"P43","No sabe",0.02,0.017,0,0,0,0.035
"P44","Muy buena",0.615,0.145,0.066,0.334,0.248,0.334
"P44","Buena",0.114,0.009,0.017,0,0.132,0.226
"P44","Ni buena ni mala",0.051,0.032,0.078,0,0.298,0.058
"P44","Mala",0.074,0.143,0.156,0.267,0.038,0.131
"P44","Muy mala",0.146,0.648,0.678,0.399,0.284,0.203
"P44","No sabe",0,0.023,0.005,0,0,0.048
"P45","Muy buena",0.106,0.337,0.148,0.003,0.019,0.203
"P45","Buena",0.038,0.189,0.188,0.117,0.048,0.096
"P45","Ni buena ni mala",0.115,0.247,0.197,0.286,0.05,0.096
"P45","Mala",0.276,0.04,0.169,0.144,0.198,0.094
"P45","Muy mala",0.414,0.163,0.245,0.45,0.674,0.454
"P45","No sabe",0.051,0.024,0.053,0,0.011,0.057
"P46","Muy buena",0.128,0.098,0.065,0.003,0.016,0.087
"P46","Buena",0.413,0.073,0.086,0.059,0.061,0.064
"P46","Ni buena ni mala",0.163,0.154,0.092,0.333,0.344,0.419
"P46","Mala",0.118,0.162,0.199,0.14,0.303,0.219
"P46","Muy mala",0.131,0.496,0.458,0.465,0.236,0.2
"P46","No sabe",0.047,0.017,0.1,0,0.04,0.011
"P47","Muy buena",0.073,0.403,0.217,0.215,0,0.055
"P47","Buena",0.074,0.22,0.23,0.145,0.019,0.08
"P47","Ni buena ni mala",0.107,0.133,0.154,0.25,0.058,0.202
"P47","Mala",0.167,0.115,0.106,0.063,0.156,0.135
"P47","Muy mala",0.531,0.129,0.256,0.327,0.731,0.5
"P47","No sabe",0.048,0,0.037,0,0.036,0.028
"P48","Muy buena",0.066,0.212,0.611,0.273,0,0.037
"P48","Buena",0.015,0.135,0.15,0.026,0,0.162
"P48","Ni buena ni mala",0.164,0.351,0.074,0.275,0.035,0.126
"P48","Mala",0.221,0.173,0.061,0.035,0.162,0.147
"P48","Muy mala",0.465,0.102,0.067,0.391,0.803,0.48
"P48","No sabe",0.069,0.027,0.037,0,0,0.048
