"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez"
"Cristian Ritondo","Neutra",0.315,0.246,0.386,0.367,0.364,0.272,0.172,0.329,0.335,0.244,0.312,0.343,0.341,0.256,0.22,0.324,0.276
"Cristian Ritondo","Negativa",0.347,0.421,0.269,0.264,0.368,0.384,0.35,0.367,0.301,0.42,0.314,0.397,0.305,0.401,0.331,0.255,0.461
"Cristian Ritondo","No sabe",0.141,0.138,0.144,0.19,0.098,0.136,0.195,0.152,0.14,0.124,0.133,0.154,0.086,0.11,0.056,0.229,0.153
"Carolina Píparo","Positiva",0.206,0.239,0.173,0.201,0.236,0.178,0.178,0.163,0.241,0.196,0.192,0.179,0.227,0.198,0.199,0.294,0.121
"Carolina Píparo","Neutra",0.3,0.241,0.361,0.308,0.354,0.249,0.223,0.27,0.35,0.232,0.293,0.3,0.272,0.29,0.327,0.326,0.252
"Carolina Píparo","Negativa",0.354,0.393,0.313,0.333,0.33,0.426,0.332,0.38,0.297,0.447,0.362,0.402,0.153,0.431,0.387,0.278,0.464
"Carolina Píparo","No sabe",0.14,0.127,0.153,0.158,0.08,0.147,0.267,0.187,0.112,0.125,0.153,0.119,0.348,0.081,0.087,0.102,0.163
"Gustavo Menendez","Positiva",0.353,0.365,0.341,0.284,0.309,0.475,0.397,0.425,0.337,0.248,0.359,0.342,0.335,0.378,0.293,0.384,0.465
"Gustavo Menendez","Neutra",0.195,0.141,0.247,0.205,0.185,0.178,0.234,0.193,0.189,0.212,0.176,0.236,0.193,0.151,0.196,0.161,0.215
"Gustavo Menendez","Negativa",0.369,0.409,0.331,0.416,0.415,0.288,0.287,0.298,0.395,0.448,0.398,0.321,0.426,0.364,0.455,0.379,0.238
"Gustavo Menendez","No sabe",0.083,0.085,0.081,0.095,0.091,0.059,0.082,0.084,0.079,0.092,0.067,0.101,0.046,0.107,0.056,0.076,0.082
"Axel Kicillof","Positiva",0.4,0.429,0.371,0.224,0.419,0.514,0.445,0.466,0.347,0.41,0.323,0.391,0.379,0.56,0.353,0.427,0.599
"Axel Kicillof","Neutra",0.16,0.143,0.176,0.18,0.17,0.121,0.161,0.17,0.157,0.147,0.181,0.158,0.211,0.164,0.137,0.107,0.19
"Axel Kicillof","Negativa",0.403,0.401,0.406,0.548,0.38,0.352,0.318,0.313,0.475,0.392,0.473,0.417,0.394,0.225,0.483,0.395,0.19
"Axel Kicillof","No sabe",0.037,0.027,0.047,0.048,0.031,0.013,0.076,0.051,0.021,0.051,0.023,0.034,0.016,0.051,0.027,0.071,0.021
"Raúl Othacehé","Positiva",0.188,0.193,0.184,0.231,0.157,0.178,0.229,0.168,0.211,0.168,0.189,0.204,0.207,0.125,0.17,0.207,0.176
"Raúl Othacehé","Neutra",0.23,0.224,0.237,0.202,0.234,0.219,0.287,0.178,0.287,0.187,0.221,0.189,0.319,0.287,0.26,0.222,0.251
"Raúl Othacehé","Negativa",0.425,0.416,0.433,0.399,0.469,0.446,0.3,0.406,0.381,0.566,0.455,0.404,0.36,0.43,0.493,0.435,0.367
"Raúl Othacehé","No sabe",0.157,0.167,0.146,0.168,0.14,0.157,0.184,0.248,0.121,0.079,0.135,0.203,0.114,0.158,0.077,0.136,0.206
"Sergio Massa","Positiva",0.304,0.296,0.312,0.215,0.321,0.359,0.309,0.384,0.248,0.307,0.204,0.293,0.306,0.481,0.261,0.381,0.427
"Sergio Massa","Neutra",0.184,0.211,0.158,0.22,0.154,0.168,0.241,0.236,0.149,0.182,0.207,0.178,0.136,0.148,0.289,0.171,0.231
"Sergio Massa","Negativa",0.468,0.465,0.47,0.48,0.495,0.45,0.396,0.336,0.546,0.499,0.516,0.482,0.531,0.371,0.45,0.385,0.313
"Sergio Massa","No sabe",0.044,0.028,0.06,0.085,0.03,0.023,0.054,0.044,0.057,0.012,0.073,0.047,0.027,0,0,0.063,0.029
"Javier Milei","Positiva",0.288,0.323,0.255,0.461,0.308,0.202,0.104,0.196,0.347,0.305,0.293,0.321,0.261,0.214,0.23,0.294,0.173
"Javier Milei","Neutra",0.188,0.173,0.202,0.093,0.208,0.224,0.222,0.204,0.19,0.156,0.184,0.155,0.355,0.166,0.232,0.157,0.142
"Javier Milei","Negativa",0.479,0.487,0.47,0.401,0.462,0.531,0.557,0.543,0.412,0.53,0.466,0.47,0.314,0.598,0.531,0.525,0.631
"Javier Milei","No sabe",0.045,0.017,0.073,0.045,0.022,0.043,0.117,0.057,0.051,0.009,0.057,0.054,0.07,0.022,0.007,0.024,0.054
"Alberto Fernandez","Positiva",0.219,0.179,0.258,0.236,0.198,0.253,0.192,0.255,0.199,0.207,0.239,0.204,0.169,0.2,0.257,0.258,0.353
"Alberto Fernandez","Neutra",0.272,0.276,0.269,0.261,0.25,0.276,0.344,0.413,0.208,0.197,0.215,0.273,0.326,0.362,0.208,0.285,0.289
"Alberto Fernandez","Negativa",0.488,0.523,0.453,0.463,0.542,0.466,0.412,0.313,0.569,0.579,0.53,0.486,0.505,0.428,0.531,0.438,0.336
"Alberto Fernandez","No sabe",0.021,0.022,0.02,0.04,0.01,0.005,0.052,0.019,0.024,0.017,0.016,0.037,0,0.01,0.004,0.019,0.022
"Horacio Rodriguez Larreta","Positiva",0.29,0.24,0.34,0.367,0.249,0.286,0.295,0.322,0.303,0.205,0.321,0.265,0.299,0.234,0.276,0.356,0.165
"Horacio Rodriguez Larreta","Neutra",0.163,0.125,0.199,0.177,0.138,0.179,0.184,0.1,0.203,0.173,0.173,0.116,0.216,0.223,0.222,0.165,0.15
"Horacio Rodriguez Larreta","Negativa",0.505,0.608,0.405,0.413,0.58,0.504,0.437,0.5,0.463,0.615,0.441,0.578,0.446,0.526,0.502,0.423,0.647
"Horacio Rodriguez Larreta","No sabe",0.042,0.027,0.056,0.043,0.033,0.031,0.084,0.078,0.031,0.007,0.065,0.041,0.039,0.017,0,0.056,0.038
"CFK","Positiva",0.419,0.433,0.405,0.356,0.404,0.504,0.414,0.535,0.347,0.404,0.379,0.44,0.35,0.452,0.349,0.486,0.657
"CFK","Neutra",0.063,0.037,0.087,0.005,0.083,0.064,0.088,0.062,0.061,0.066,0.061,0.063,0.068,0,0.079,0.091,0.055
"CFK","Negativa",0.506,0.513,0.501,0.639,0.497,0.428,0.468,0.384,0.586,0.515,0.56,0.476,0.56,0.538,0.572,0.42,0.284
"CFK","No sabe",0.012,0.017,0.007,0,0.016,0.004,0.03,0.019,0.006,0.015,0,0.021,0.022,0.01,0,0.003,0.004
"Patricia Bullrich","Positiva",0.323,0.345,0.302,0.298,0.322,0.38,0.273,0.333,0.324,0.303,0.398,0.292,0.322,0.366,0.347,0.263,0.129
"Patricia Bullrich","Neutra",0.132,0.118,0.146,0.166,0.121,0.104,0.157,0.168,0.115,0.111,0.163,0.094,0.203,0.067,0.141,0.182,0.109
"Patricia Bullrich","Negativa",0.515,0.521,0.508,0.492,0.538,0.502,0.505,0.469,0.52,0.582,0.387,0.591,0.432,0.55,0.507,0.524,0.725
"Patricia Bullrich","No sabe",0.03,0.016,0.044,0.044,0.019,0.014,0.065,0.03,0.041,0.004,0.052,0.023,0.043,0.017,0.005,0.031,0.037
"Mauricio Macri","Positiva",0.217,0.233,0.202,0.242,0.2,0.21,0.241,0.18,0.26,0.175,0.175,0.253,0.16,0.233,0.274,0.178,0.103
"Mauricio Macri","Neutra",0.211,0.174,0.248,0.326,0.191,0.173,0.163,0.275,0.192,0.155,0.253,0.148,0.334,0.24,0.194,0.228,0.079
"Mauricio Macri","Negativa",0.556,0.571,0.54,0.432,0.593,0.617,0.53,0.507,0.546,0.659,0.57,0.571,0.464,0.527,0.527,0.594,0.808
"Mauricio Macri","No sabe",0.016,0.022,0.01,0,0.016,0,0.066,0.038,0.002,0.011,0.002,0.028,0.042,0,0.005,0,0.01
