"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"Pablo Cocuzza","Buena",0.101,0.117,0.085,0.105,0.093,0.121,0.085,0.082,0.108,0.121,0.112,0.128,0.161,0.022,0.102,0.056,0.076,0.17,0.107
"Pablo Cocuzza","Ni buena ni mala",0.347,0.352,0.342,0.3,0.371,0.3,0.431,0.312,0.38,0.328,0.362,0.3,0.353,0.432,0.396,0.331,0.301,0.392,0.434
"Pablo Cocuzza","Mala",0.14,0.124,0.157,0.138,0.15,0.133,0.129,0.118,0.157,0.14,0.098,0.204,0.071,0.035,0.087,0.216,0.175,0.095,0.044
"Pablo Cocuzza","Muy mala",0.115,0.118,0.112,0.138,0.13,0.115,0.034,0.106,0.085,0.209,0.124,0.111,0.034,0.108,0.227,0.115,0.121,0.078,0.259
"Pablo Cocuzza","No sabe",0.217,0.228,0.205,0.203,0.191,0.247,0.263,0.284,0.195,0.143,0.224,0.21,0.291,0.228,0.121,0.212,0.262,0.137,0.088
"Diego Santilli","Muy buena",0.153,0.136,0.171,0.165,0.147,0.176,0.113,0.149,0.168,0.124,0.151,0.12,0.177,0.213,0.113,0.199,0.073,0.328,0.163
"Diego Santilli","Buena",0.13,0.125,0.135,0.095,0.137,0.138,0.151,0.101,0.157,0.114,0.179,0.123,0.106,0.105,0.164,0.095,0.115,0.16,0.2
"Diego Santilli","Ni buena ni mala",0.27,0.215,0.327,0.28,0.332,0.207,0.187,0.293,0.276,0.216,0.257,0.23,0.298,0.274,0.298,0.355,0.223,0.252,0.43
"Diego Santilli","Mala",0.171,0.195,0.147,0.194,0.144,0.178,0.204,0.19,0.16,0.166,0.138,0.221,0.199,0.121,0.122,0.14,0.222,0.125,0.1
"Diego Santilli","Muy mala",0.163,0.195,0.129,0.096,0.168,0.205,0.179,0.165,0.123,0.256,0.176,0.179,0.076,0.196,0.196,0.118,0.239,0.073,0.107
"Diego Santilli","No sabe",0.113,0.134,0.091,0.17,0.072,0.096,0.166,0.102,0.116,0.124,0.099,0.127,0.144,0.091,0.107,0.093,0.128,0.062,0
"José Luis Espert","Muy buena",0.122,0.129,0.113,0.117,0.139,0.125,0.073,0.083,0.145,0.131,0.112,0.094,0.039,0.143,0.176,0.221,0.073,0.194,0.075
"José Luis Espert","Buena",0.13,0.147,0.113,0.165,0.124,0.103,0.138,0.088,0.155,0.142,0.147,0.096,0.208,0.127,0.174,0.119,0.083,0.196,0.167
"José Luis Espert","Ni buena ni mala",0.274,0.208,0.342,0.328,0.262,0.279,0.216,0.329,0.253,0.23,0.343,0.265,0.358,0.221,0.198,0.216,0.207,0.356,0.34
"José Luis Espert","Mala",0.135,0.163,0.106,0.143,0.13,0.111,0.179,0.17,0.129,0.089,0.078,0.198,0.062,0.118,0.113,0.131,0.17,0.094,0.25
"José Luis Espert","Muy mala",0.207,0.244,0.169,0.131,0.214,0.286,0.175,0.197,0.174,0.305,0.192,0.212,0.145,0.297,0.286,0.149,0.318,0.071,0.141
"José Luis Espert","No sabe",0.132,0.109,0.157,0.116,0.131,0.096,0.219,0.133,0.144,0.103,0.128,0.135,0.188,0.094,0.053,0.164,0.149,0.089,0.027
"Cristian Ritondo","Muy buena",0.078,0.073,0.084,0.043,0.085,0.062,0.138,0.047,0.091,0.099,0.117,0.031,0.038,0.085,0.092,0.161,0.028,0.171,0.01
"Cristian Ritondo","Buena",0.119,0.122,0.117,0.136,0.085,0.146,0.145,0.105,0.133,0.113,0.124,0.075,0.23,0.148,0.301,0.031,0.082,0.172,0.239
"Cristian Ritondo","Ni buena ni mala",0.315,0.246,0.386,0.367,0.364,0.272,0.172,0.329,0.335,0.244,0.312,0.343,0.341,0.256,0.22,0.324,0.276,0.324,0.59
"Cristian Ritondo","Mala",0.152,0.148,0.155,0.152,0.151,0.138,0.176,0.179,0.137,0.138,0.084,0.21,0.124,0.19,0.103,0.111,0.197,0.106,0.01
"Cristian Ritondo","Muy mala",0.195,0.273,0.114,0.112,0.217,0.246,0.174,0.188,0.164,0.282,0.23,0.187,0.181,0.211,0.228,0.144,0.264,0.118,0.151
"Cristian Ritondo","No sabe",0.141,0.138,0.144,0.19,0.098,0.136,0.195,0.152,0.14,0.124,0.133,0.154,0.086,0.11,0.056,0.229,0.153,0.109,0
"Carolina Píparo","Muy buena",0.083,0.104,0.061,0.139,0.085,0.051,0.043,0.05,0.124,0.04,0.077,0.08,0.089,0.053,0.053,0.135,0.049,0.161,0.031
"Carolina Píparo","Buena",0.123,0.135,0.112,0.062,0.151,0.127,0.135,0.113,0.117,0.156,0.115,0.099,0.138,0.145,0.146,0.159,0.072,0.218,0.215
"Carolina Píparo","Ni buena ni mala",0.3,0.241,0.361,0.308,0.354,0.249,0.223,0.27,0.35,0.232,0.293,0.3,0.272,0.29,0.327,0.326,0.252,0.338,0.223
"Carolina Píparo","Mala",0.151,0.146,0.155,0.187,0.122,0.164,0.151,0.159,0.135,0.174,0.15,0.205,0.052,0.157,0.1,0.101,0.173,0.117,0.336
"Carolina Píparo","Muy mala",0.203,0.247,0.158,0.146,0.208,0.262,0.181,0.221,0.162,0.273,0.212,0.197,0.101,0.274,0.287,0.177,0.291,0.077,0.195
"Carolina Píparo","No sabe",0.14,0.127,0.153,0.158,0.08,0.147,0.267,0.187,0.112,0.125,0.153,0.119,0.348,0.081,0.087,0.102,0.163,0.089,0
"Gustavo Menendez","Muy buena",0.196,0.183,0.209,0.202,0.176,0.249,0.156,0.232,0.186,0.15,0.233,0.197,0.149,0.176,0.158,0.209,0.261,0.143,0.182
"Gustavo Menendez","Buena",0.157,0.182,0.132,0.082,0.133,0.226,0.241,0.193,0.151,0.098,0.126,0.145,0.186,0.202,0.135,0.175,0.204,0.084,0.168
"Gustavo Menendez","Ni buena ni mala",0.195,0.141,0.247,0.205,0.185,0.178,0.234,0.193,0.189,0.212,0.176,0.236,0.193,0.151,0.196,0.161,0.215,0.147,0.215
"Gustavo Menendez","Mala",0.118,0.127,0.109,0.118,0.157,0.073,0.076,0.067,0.137,0.172,0.147,0.093,0.06,0.145,0.168,0.123,0.1,0.157,0.08
"Gustavo Menendez","Muy mala",0.251,0.282,0.222,0.298,0.258,0.215,0.211,0.231,0.258,0.276,0.251,0.228,0.366,0.219,0.287,0.256,0.138,0.407,0.303
"Gustavo Menendez","No sabe",0.083,0.085,0.081,0.095,0.091,0.059,0.082,0.084,0.079,0.092,0.067,0.101,0.046,0.107,0.056,0.076,0.082,0.062,0.052
"Axel Kicillof","Muy buena",0.288,0.276,0.3,0.177,0.288,0.373,0.327,0.317,0.247,0.334,0.264,0.253,0.198,0.422,0.292,0.348,0.438,0.128,0.305
"Axel Kicillof","Buena",0.112,0.153,0.071,0.047,0.131,0.141,0.118,0.149,0.1,0.076,0.059,0.138,0.181,0.138,0.061,0.079,0.161,0.063,0.034
"Axel Kicillof","Ni buena ni mala",0.16,0.143,0.176,0.18,0.17,0.121,0.161,0.17,0.157,0.147,0.181,0.158,0.211,0.164,0.137,0.107,0.19,0.09,0.183
"Axel Kicillof","Mala",0.167,0.109,0.227,0.257,0.175,0.088,0.13,0.153,0.183,0.155,0.171,0.174,0.158,0.148,0.156,0.173,0.108,0.227,0.221
"Axel Kicillof","Muy mala",0.236,0.292,0.179,0.291,0.205,0.264,0.188,0.16,0.292,0.237,0.302,0.243,0.236,0.077,0.327,0.222,0.082,0.475,0.257
"Axel Kicillof","No sabe",0.037,0.027,0.047,0.048,0.031,0.013,0.076,0.051,0.021,0.051,0.023,0.034,0.016,0.051,0.027,0.071,0.021,0.017,0
"Raúl Othacehé","Muy buena",0.104,0.116,0.092,0.147,0.093,0.065,0.131,0.092,0.117,0.093,0.115,0.085,0.075,0.115,0.092,0.148,0.102,0.122,0.057
"Raúl Othacehé","Buena",0.084,0.077,0.092,0.084,0.064,0.113,0.098,0.076,0.094,0.075,0.074,0.119,0.132,0.01,0.078,0.059,0.074,0.109,0.11
"Raúl Othacehé","Ni buena ni mala",0.23,0.224,0.237,0.202,0.234,0.219,0.287,0.178,0.287,0.187,0.221,0.189,0.319,0.287,0.26,0.222,0.251,0.225,0.011
"Raúl Othacehé","Mala",0.216,0.198,0.233,0.186,0.224,0.222,0.228,0.236,0.188,0.246,0.258,0.216,0.139,0.183,0.235,0.226,0.186,0.253,0.299
"Raúl Othacehé","Muy mala",0.209,0.218,0.2,0.213,0.245,0.224,0.072,0.17,0.193,0.32,0.197,0.188,0.221,0.247,0.258,0.209,0.181,0.207,0.443
"Raúl Othacehé","No sabe",0.157,0.167,0.146,0.168,0.14,0.157,0.184,0.248,0.121,0.079,0.135,0.203,0.114,0.158,0.077,0.136,0.206,0.084,0.08
"Sergio Massa","Muy buena",0.097,0.075,0.118,0.098,0.095,0.089,0.115,0.084,0.114,0.077,0.06,0.067,0.137,0.127,0.062,0.204,0.146,0.03,0.222
"Sergio Massa","Buena",0.207,0.221,0.194,0.117,0.226,0.27,0.194,0.3,0.134,0.23,0.144,0.226,0.169,0.354,0.199,0.177,0.281,0.148,0.191
"Sergio Massa","Ni buena ni mala",0.184,0.211,0.158,0.22,0.154,0.168,0.241,0.236,0.149,0.182,0.207,0.178,0.136,0.148,0.289,0.171,0.231,0.087,0.255
"Sergio Massa","Mala",0.164,0.152,0.174,0.186,0.14,0.147,0.219,0.138,0.173,0.183,0.178,0.149,0.313,0.102,0.151,0.12,0.114,0.209,0.17
"Sergio Massa","Muy mala",0.304,0.313,0.296,0.294,0.355,0.303,0.177,0.198,0.373,0.316,0.338,0.333,0.218,0.269,0.299,0.265,0.199,0.478,0.162
"Sergio Massa","No sabe",0.044,0.028,0.06,0.085,0.03,0.023,0.054,0.044,0.057,0.012,0.073,0.047,0.027,0,0,0.063,0.029,0.048,0
"Javier Milei","Muy buena",0.203,0.243,0.164,0.346,0.232,0.112,0.047,0.14,0.249,0.199,0.162,0.227,0.239,0.186,0.162,0.199,0.123,0.31,0.132
"Javier Milei","Buena",0.085,0.08,0.091,0.115,0.076,0.09,0.057,0.056,0.098,0.106,0.131,0.094,0.022,0.028,0.068,0.095,0.05,0.126,0.036
"Javier Milei","Ni buena ni mala",0.188,0.173,0.202,0.093,0.208,0.224,0.222,0.204,0.19,0.156,0.184,0.155,0.355,0.166,0.232,0.157,0.142,0.248,0.299
"Javier Milei","Mala",0.166,0.145,0.186,0.178,0.129,0.167,0.246,0.192,0.161,0.131,0.14,0.164,0.073,0.321,0.109,0.193,0.18,0.197,0.023
"Javier Milei","Muy mala",0.313,0.342,0.284,0.223,0.333,0.364,0.311,0.351,0.251,0.399,0.326,0.306,0.241,0.277,0.422,0.332,0.451,0.095,0.404
"Javier Milei","No sabe",0.045,0.017,0.073,0.045,0.022,0.043,0.117,0.057,0.051,0.009,0.057,0.054,0.07,0.022,0.007,0.024,0.054,0.024,0.106
"Alberto Fernandez","Muy buena",0.113,0.063,0.161,0.18,0.109,0.08,0.077,0.141,0.101,0.093,0.1,0.123,0.091,0.172,0.016,0.129,0.182,0.059,0.009
"Alberto Fernandez","Buena",0.106,0.116,0.097,0.056,0.089,0.173,0.115,0.114,0.098,0.114,0.139,0.081,0.078,0.028,0.241,0.129,0.171,0.021,0.221
"Alberto Fernandez","Ni buena ni mala",0.272,0.276,0.269,0.261,0.25,0.276,0.344,0.413,0.208,0.197,0.215,0.273,0.326,0.362,0.208,0.285,0.289,0.221,0.304
"Alberto Fernandez","Mala",0.197,0.213,0.181,0.193,0.201,0.191,0.202,0.213,0.165,0.249,0.15,0.226,0.151,0.256,0.214,0.17,0.195,0.185,0.241
"Alberto Fernandez","Muy mala",0.291,0.31,0.272,0.27,0.341,0.275,0.21,0.1,0.404,0.33,0.38,0.26,0.354,0.172,0.317,0.268,0.141,0.506,0.225
"Alberto Fernandez","No sabe",0.021,0.022,0.02,0.04,0.01,0.005,0.052,0.019,0.024,0.017,0.016,0.037,0,0.01,0.004,0.019,0.022,0.008,0
"Horacio Rodriguez Larreta","Muy buena",0.178,0.126,0.228,0.239,0.134,0.209,0.153,0.271,0.147,0.093,0.179,0.165,0.173,0.132,0.107,0.283,0.118,0.281,0.317
"Horacio Rodriguez Larreta","Buena",0.112,0.114,0.112,0.128,0.115,0.077,0.142,0.051,0.156,0.112,0.142,0.1,0.126,0.102,0.169,0.073,0.047,0.174,0.291
"Horacio Rodriguez Larreta","Ni buena ni mala",0.163,0.125,0.199,0.177,0.138,0.179,0.184,0.1,0.203,0.173,0.173,0.116,0.216,0.223,0.222,0.165,0.15,0.195,0.104
"Horacio Rodriguez Larreta","Mala",0.171,0.199,0.143,0.162,0.163,0.159,0.225,0.21,0.149,0.155,0.165,0.183,0.214,0.13,0.11,0.174,0.19,0.168,0.082
"Horacio Rodriguez Larreta","Muy mala",0.334,0.409,0.262,0.251,0.417,0.345,0.212,0.29,0.314,0.46,0.276,0.395,0.232,0.396,0.392,0.249,0.457,0.18,0.206
"Horacio Rodriguez Larreta","No sabe",0.042,0.027,0.056,0.043,0.033,0.031,0.084,0.078,0.031,0.007,0.065,0.041,0.039,0.017,0,0.056,0.038,0.002,0
"CFK","Muy buena",0.34,0.36,0.321,0.315,0.302,0.413,0.363,0.403,0.301,0.333,0.284,0.364,0.309,0.354,0.295,0.393,0.537,0.132,0.321
"CFK","Buena",0.079,0.073,0.084,0.041,0.102,0.091,0.051,0.132,0.046,0.071,0.095,0.076,0.041,0.098,0.054,0.093,0.12,0.035,0.029
"CFK","Ni buena ni mala",0.063,0.037,0.087,0.005,0.083,0.064,0.088,0.062,0.061,0.066,0.061,0.063,0.068,0,0.079,0.091,0.055,0.04,0.018
"CFK","Mala",0.114,0.095,0.134,0.126,0.095,0.059,0.242,0.108,0.131,0.083,0.102,0.099,0.134,0.174,0.129,0.111,0.08,0.137,0.215
"CFK","Muy mala",0.392,0.418,0.367,0.513,0.402,0.369,0.226,0.276,0.455,0.432,0.458,0.377,0.426,0.364,0.443,0.309,0.204,0.651,0.417
"CFK","No sabe",0.012,0.017,0.007,0,0.016,0.004,0.03,0.019,0.006,0.015,0,0.021,0.022,0.01,0,0.003,0.004,0.005,0
"Patricia Bullrich","Muy buena",0.183,0.197,0.17,0.149,0.189,0.207,0.181,0.21,0.186,0.129,0.225,0.168,0.207,0.182,0.238,0.122,0.079,0.365,0.092
"Patricia Bullrich","Buena",0.14,0.148,0.132,0.149,0.133,0.173,0.092,0.123,0.138,0.174,0.173,0.124,0.115,0.184,0.109,0.141,0.05,0.259,0.313
"Patricia Bullrich","Ni buena ni mala",0.132,0.118,0.146,0.166,0.121,0.104,0.157,0.168,0.115,0.111,0.163,0.094,0.203,0.067,0.141,0.182,0.109,0.126,0.062
"Patricia Bullrich","Mala",0.137,0.13,0.144,0.154,0.139,0.106,0.156,0.116,0.171,0.09,0.093,0.144,0.116,0.216,0.068,0.174,0.179,0.109,0.072
"Patricia Bullrich","Muy mala",0.378,0.391,0.364,0.338,0.399,0.396,0.349,0.353,0.349,0.492,0.294,0.447,0.316,0.334,0.439,0.35,0.546,0.138,0.355
"Patricia Bullrich","No sabe",0.03,0.016,0.044,0.044,0.019,0.014,0.065,0.03,0.041,0.004,0.052,0.023,0.043,0.017,0.005,0.031,0.037,0.003,0.106
"Mauricio Macri","Muy buena",0.128,0.127,0.13,0.169,0.12,0.131,0.088,0.144,0.139,0.078,0.088,0.181,0.059,0.183,0.063,0.089,0.075,0.255,0.009
"Mauricio Macri","Buena",0.089,0.106,0.072,0.073,0.08,0.079,0.153,0.036,0.121,0.097,0.087,0.072,0.101,0.05,0.211,0.089,0.028,0.174,0.127
"Mauricio Macri","Ni buena ni mala",0.211,0.174,0.248,0.326,0.191,0.173,0.163,0.275,0.192,0.155,0.253,0.148,0.334,0.24,0.194,0.228,0.079,0.324,0.621
"Mauricio Macri","Mala",0.173,0.173,0.172,0.167,0.156,0.175,0.224,0.199,0.164,0.153,0.177,0.172,0.147,0.111,0.153,0.241,0.206,0.151,0.032
"Mauricio Macri","Muy mala",0.383,0.398,0.368,0.265,0.437,0.442,0.306,0.308,0.382,0.506,0.393,0.399,0.317,0.416,0.374,0.353,0.602,0.096,0.211
"Mauricio Macri","No sabe",0.016,0.022,0.01,0,0.016,0,0.066,0.038,0.002,0.011,0.002,0.028,0.042,0,0.005,0,0.01,0,0
