"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P15","Ni buena ni mala",0.355,0.336,0.297,0.27,0.34
"P15","Mala",0.175,0.216,0.111,0.077,0.037
"P15","Muy mala",0.139,0.067,0.119,0.292,0.076
"P15","No sabe",0.13,0.218,0.315,0.23,0.481
"P16","Muy buena",0.078,0.063,0.14,0.238,0.095
"P16","Buena",0.124,0.11,0.079,0.022,0.056
"P16","Ni buena ni mala",0.235,0.264,0.232,0.123,0.119
"P16","Mala",0.257,0.195,0.157,0.178,0.145
"P16","Muy mala",0.256,0.208,0.193,0.269,0.218
"P16","No sabe",0.05,0.16,0.199,0.17,0.367
"P17","Muy buena",0.031,0.087,0,0.142,0.076
"P17","Buena",0.024,0.098,0.031,0.032,0.029
"P17","Ni buena ni mala",0.415,0.308,0.331,0.294,0.304
"P17","Mala",0.077,0.056,0.06,0.093,0
"P17","Muy mala",0.096,0.067,0.06,0.169,0.078
"P17","No sabe",0.357,0.384,0.518,0.27,0.513
"P18","Lo votaría",0.263,0.255,0.174,0.224,0.337
"P18","Puede que lo vote",0.171,0.157,0.141,0.166,0.031
"P18","Nunca lo votaría",0.458,0.438,0.55,0.437,0.449
"P18","No sabe",0.108,0.15,0.135,0.173,0.183
"P19","Lo votaría",0.16,0.17,0.134,0.076,0.082
"P19","Puede que lo vote",0.229,0.145,0.163,0.226,0.299
"P19","Nunca lo votaría",0.456,0.429,0.458,0.372,0.152
"P19","No sabe",0.155,0.256,0.245,0.326,0.467
"P20","Lo votaría",0.082,0.123,0.064,0.156,0.088
"P20","Puede que lo vote",0.191,0.205,0.266,0.134,0.19
"P20","Nunca lo votaría",0.521,0.404,0.405,0.401,0.307
"P20","No sabe",0.206,0.268,0.265,0.309,0.415
"P21","Muy buena",0.252,0.341,0.312,0.386,0.122
"P21","Buena",0.091,0.24,0.099,0.05,0.323
"P21","Ni buena ni mala",0.168,0.111,0.188,0.103,0.067
"P21","Mala",0.192,0.096,0.133,0.151,0.107
"P21","Muy mala",0.27,0.2,0.188,0.228,0.299
"P21","No sabe",0.027,0.012,0.08,0.082,0.082
"P22","Muy buena",0.16,0.186,0.095,0.137,0.017
"P22","Buena",0.143,0.113,0.205,0.049,0.167
"P22","Ni buena ni mala",0.296,0.319,0.22,0.167,0.161
"P22","Mala",0.164,0.131,0.172,0.223,0.056
"P22","Muy mala",0.166,0.2,0.145,0.141,0.192
"P22","No sabe",0.071,0.051,0.163,0.283,0.407
"P23","Muy buena",0.072,0.069,0.046,0.04,0.112
"P23","Buena",0.165,0.128,0.07,0.097,0.246
"P23","Ni buena ni mala",0.348,0.366,0.283,0.178,0.084
"P23","Mala",0.102,0.138,0.157,0.292,0
"P23","Muy mala",0.203,0.192,0.219,0.17,0.18
"P23","No sabe",0.11,0.107,0.225,0.223,0.378
"P24","Muy buena",0.168,0.081,0.063,0.138,0.075
"P24","Buena",0.145,0.136,0.085,0.122,0.138
"P24","Ni buena ni mala",0.316,0.216,0.295,0.109,0.083
"P24","Mala",0.076,0.24,0.125,0.219,0.203
"P24","Muy mala",0.207,0.177,0.234,0.225,0.318
"P24","No sabe",0.088,0.15,0.198,0.187,0.183
"P25","Muy buena",0.103,0.1,0.039,0.118,0.016
"P25","Buena",0.154,0.126,0.084,0.039,0.166
"P25","Ni buena ni mala",0.374,0.24,0.212,0.106,0.349
"P25","Mala",0.103,0.224,0.17,0.206,0
"P25","Muy mala",0.179,0.202,0.224,0.349,0.123
"P25","No sabe",0.087,0.108,0.271,0.182,0.346
"P26","Lo votaría",0.31,0.444,0.405,0.434,0.479
"P26","Puede que lo vote",0.076,0.148,0.127,0.086,0.015
"P26","Nunca lo votaría",0.532,0.349,0.36,0.347,0.436
"P26","No sabe",0.082,0.059,0.108,0.133,0.07
"P27","Lo votaría",0.18,0.226,0.147,0.142,0.301
"P27","Puede que lo vote",0.205,0.216,0.236,0.114,0.016
"P27","Nunca lo votaría",0.493,0.473,0.438,0.545,0.318
"P27","No sabe",0.122,0.085,0.179,0.199,0.365
"P28","Lo votaría",0.127,0.151,0.086,0.177,0.184
"P28","Puede que lo vote",0.208,0.172,0.192,0.063,0.146
"P28","Nunca lo votaría",0.462,0.472,0.496,0.523,0.292
"P28","No sabe",0.203,0.205,0.226,0.237,0.378
"P29","Lo votaría",0.17,0.135,0.074,0.157,0.14
"P29","Puede que lo vote",0.21,0.177,0.165,0.17,0.073
"P29","Nunca lo votaría",0.436,0.479,0.47,0.436,0.628
"P29","No sabe",0.184,0.209,0.291,0.237,0.159
"P30","Lo votaría",0.092,0.156,0.065,0.139,0.037
"P30","Puede que lo vote",0.208,0.162,0.172,0.016,0.145
"P30","Nunca lo votaría",0.518,0.558,0.482,0.574,0.353
"P30","No sabe",0.182,0.124,0.281,0.271,0.465
"P31","La seguridad",0.126,0.151,0.049,0.131,0.037
"P31","El tránsito",0.055,0.048,0.014,0,0
"P31","El arreglo de las calles",0.242,0.177,0.184,0.052,0.23
"P31","Los parques y espacios públicos",0.188,0.224,0.226,0.14,0.293
"P31","El sistema de salud",0.027,0.014,0.093,0.127,0
"P31","La limpieza de las calles",0.032,0.034,0.038,0.027,0.021
"P31","El deporte y la cultura",0.06,0.07,0.072,0.04,0.002
"P31","La luminaria",0.014,0.013,0.072,0,0.041
"P31","No sabe",0.256,0.269,0.252,0.483,0.376
"P32","La seguridad",0.533,0.523,0.292,0.299,0.048
"P32","El tránsito",0.038,0.068,0.007,0.016,0.037
"P32","El arreglo de las calles",0.114,0.19,0.256,0.067,0.198
"P32","Los parques y espacios públicos",0.017,0.028,0.006,0.014,0.037
"P32","El sistema de salud",0.161,0.076,0.272,0.357,0.061
"P32","La limpieza de las calles",0.026,0.006,0.043,0.024,0.022
"P32","El deporte y la cultura",0.021,0,0.039,0.006,0
"P32","La luminaria",0.016,0.006,0.01,0.018,0.03
"P32","No sabe",0.074,0.103,0.075,0.199,0.567
"P33","Agua corriente y cloacas",0.607,0.414,0.307,0.424,0.082
"P33","Energía eléctrica",0.129,0.286,0.103,0.096,0.172
"P33","Red de gas natural",0.046,0.033,0.216,0.155,0
"P33","Recolección de residuos",0.092,0.144,0.209,0.161,0.029
"P33","Ninguno",0.126,0.123,0.165,0.164,0.717
"P35","Muy buena",0.16,0.073,0.017,0.023,0.155
"P35","Buena",0.172,0.281,0.117,0.058,0.241
"P35","Ni buena ni mala",0.264,0.271,0.418,0.231,0.053
"P35","Mala",0.233,0.18,0.202,0.222,0.072
"P35","Muy mala",0.142,0.174,0.18,0.323,0.354
"P35","No sabe",0.029,0.021,0.066,0.143,0.125
"P36","Muy buena",0.119,0.021,0.016,0.011,0.122
"P36","Buena",0.167,0.356,0.12,0.027,0.03
"P36","Ni buena ni mala",0.308,0.231,0.375,0.247,0.31
"P36","Mala",0.195,0.169,0.251,0.193,0.223
"P36","Muy mala",0.151,0.199,0.139,0.343,0.209
"P36","No sabe",0.06,0.024,0.099,0.179,0.106
"P37","Frente de Todos y el peronismo",0.365,0.453,0.426,0.282,0.45
"P37","Cambiemos",0.286,0.239,0.193,0.361,0.228
"P37","Liberales",0.201,0.145,0.201,0.081,0.084
"P37","Izquierda",0.043,0.076,0.103,0.104,0.148
"P37","No sabe",0.105,0.087,0.077,0.172,0.09
"P39","A Alberto Fernández",0.329,0.385,0.366,0.046,0
"P39","A Sergio Massa",0.202,0.155,0.095,0.066,0.701
"P39","A algún candidato del peronismo",0.065,0.218,0.066,0.04,0.109
"P39","A algún candidato del kirchnerismo",0.404,0.242,0.473,0.848,0.19
"P40","A Alberto Fernández",0.258,0.116,0.362,0.011,0.046
"P40","A Sergio Massa",0.216,0.122,0.047,0.025,0.094
"P40","A algún candidato del peronismo",0.044,0.267,0,0.031,0.069
"P40","A Cristina Fernández de Kirchner",0.482,0.495,0.591,0.933,0.791
"P41","A Horacio Rodriguez Larreta",0.293,0.435,0.361,0.151,0.106
"P41","A Mauricio Macri",0.181,0.041,0.176,0.044,0.045
"P41","A Patricia Bullrich",0.446,0.331,0.4,0.805,0.849
"P41","A Facundo Manes",0.065,0.183,0.063,0,0
"P41","A Gerardo Morales",0.015,0.01,0,0,0
"P42","Muy buena",0.092,0.164,0.143,0.056,0.108
"P42","Buena",0.107,0.09,0.076,0.189,0.19
"P42","Ni buena ni mala",0.255,0.264,0.257,0.361,0.489
"P42","Mala",0.238,0.171,0.169,0.136,0
"P42","Muy mala",0.306,0.297,0.284,0.254,0.138
"P42","No sabe",0.002,0.014,0.071,0.004,0.075
"P43","Muy buena",0.151,0.074,0.106,0.19,0.038
"P43","Buena",0.104,0.065,0.073,0.059,0.167
"P43","Ni buena ni mala",0.206,0.257,0.177,0.263,0.15
"P43","Mala",0.172,0.213,0.143,0.181,0.151
"P43","Muy mala",0.358,0.364,0.481,0.3,0.419
"P43","No sabe",0.009,0.027,0.02,0.007,0.075
"P44","Muy buena",0.302,0.363,0.382,0.422,0.351
"P44","Buena",0.072,0.149,0.065,0.038,0.002
"P44","Ni buena ni mala",0.064,0.031,0.076,0.063,0.118
"P44","Mala",0.159,0.069,0.086,0.015,0.08
"P44","Muy mala",0.401,0.347,0.384,0.456,0.373
"P44","No sabe",0.002,0.041,0.007,0.006,0.076
"P45","Muy buena",0.165,0.204,0.15,0.316,0.054
"P45","Buena",0.14,0.009,0.1,0.092,0.408
"P45","Ni buena ni mala",0.156,0.169,0.21,0.092,0.078
"P45","Mala",0.189,0.177,0.118,0.156,0.237
"P45","Muy mala",0.327,0.361,0.348,0.335,0.198
"P45","No sabe",0.023,0.08,0.074,0.009,0.025
"P46","Muy buena",0.087,0.152,0.063,0.141,0.096
"P46","Buena",0.238,0.127,0.178,0.128,0.596
"P46","Ni buena ni mala",0.131,0.251,0.242,0.274,0.041
"P46","Mala",0.181,0.172,0.163,0.079,0.033
"P46","Muy mala",0.34,0.279,0.263,0.263,0.209
"P46","No sabe",0.023,0.019,0.091,0.115,0.025
"P47","Muy buena",0.21,0.178,0.121,0.206,0.136
"P47","Buena",0.149,0.126,0.134,0.073,0.331
"P47","Ni buena ni mala",0.118,0.159,0.168,0.103,0.017
"P47","Mala",0.149,0.128,0.132,0.123,0.035
"P47","Muy mala",0.352,0.399,0.375,0.495,0.39
"P47","No sabe",0.022,0.01,0.07,0,0.091
"P48","Muy buena",0.235,0.174,0.151,0.221,0.118
"P48","Buena",0.068,0.07,0.126,0.098,0.16
"P48","Ni buena ni mala",0.212,0.194,0.188,0.085,0.014
"P48","Mala",0.187,0.185,0.122,0.139,0.035
"P48","Muy mala",0.268,0.345,0.301,0.457,0.616
"P48","No sabe",0.03,0.032,0.112,0,0.057
