"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P08","Liberales",0.225,0.177,0.237,0.206,0.179,0.236,0.265,0.278,0.266
"P08","Izquierda",0.007,0.006,0.013,0.038,0.023,0.031,0.032,0.033,0.045
"P08","No sabe",0.109,0.158,0.071,0.087,0.08,0.141,0.115,0.14,0.093
"P10","Lo votaría",0.327,0.339,0.401,0.34,0.211,0.253,0.355,0.277,0.053
"P10","Puede que lo vote",0.268,0.376,0.355,0.439,0.429,0.325,0.352,0.301,0.696
"P10","Nunca lo votaría",0.357,0.229,0.211,0.144,0.246,0.268,0.195,0.365,0.032
"P10","No sabe",0.048,0.056,0.033,0.077,0.114,0.154,0.098,0.057,0.219
"P11","Lo votaría",0.489,0.821,0.377,0.321,0.277,0.438,0.367,0.492,0.462
"P11","Puede que lo vote",0.396,0.124,0.358,0.469,0.434,0.253,0.37,0.275,0.304
"P11","Nunca lo votaría",0.074,0.044,0.207,0.151,0.198,0.24,0.195,0.197,0.165
"P11","No sabe",0.041,0.011,0.058,0.059,0.091,0.069,0.068,0.036,0.069
"P12","Lo votaría",0.356,0.244,0.406,0.404,0.34,0.35,0.398,0.451,0.498
"P12","Puede que lo vote",0.551,0.574,0.455,0.41,0.45,0.444,0.404,0.365,0.312
"P12","Nunca lo votaría",0.093,0.04,0.11,0.129,0.174,0.151,0.103,0.103,0.159
"P12","No sabe",0,0.142,0.029,0.057,0.036,0.055,0.095,0.081,0.031
"P13","Lo votaría",0.177,0.621,0.27,0.284,0.191,0.246,0.218,0.265,0.133
"P13","Puede que lo vote",0.024,0.116,0.377,0.374,0.36,0.345,0.36,0.329,0.219
"P13","Nunca lo votaría",0.799,0.08,0.314,0.299,0.363,0.314,0.315,0.304,0.398
"P13","No sabe",0,0.183,0.039,0.043,0.086,0.095,0.107,0.102,0.25
"P14","La votaría",0.26,0.676,0.59,0.513,0.547,0.53,0.548,0.583,0.567
"P14","Puede que la vote",0.609,0.04,0.246,0.279,0.243,0.264,0.255,0.212,0.22
"P14","Nunca la votaría",0.131,0.04,0.123,0.165,0.173,0.155,0.128,0.148,0.131
"P14","No sabe",0,0.244,0.041,0.043,0.037,0.051,0.069,0.057,0.082
"P15","Lo votaría",0.164,0.118,0.221,0.161,0.207,0.173,0.172,0.169,0.057
"P15","Puede que lo vote",0.035,0.408,0.318,0.279,0.301,0.259,0.304,0.189,0.136
"P15","Nunca lo votaría",0.801,0.191,0.439,0.473,0.448,0.52,0.474,0.561,0.643
"P15","No sabe",0,0.283,0.022,0.087,0.044,0.048,0.05,0.081,0.164
"P16","Sí, lo votaría",0.273,0.404,0.326,0.282,0.286,0.338,0.34,0.378,0.284
"P16","Puede que lo vote",0.163,0.015,0.125,0.122,0.108,0.136,0.147,0.112,0.202
"P16","Nunca lo votaría",0.463,0.535,0.516,0.559,0.566,0.465,0.46,0.431,0.438
"P16","No sabe",0.101,0.046,0.033,0.037,0.04,0.061,0.053,0.079,0.076
"P17","Sí, la votaría",0.222,0.476,0.337,0.373,0.362,0.274,0.282,0.254,0.183
"P17","Puede que la vote",0.156,0.096,0.085,0.088,0.084,0.075,0.09,0.082,0.1
"P17","Nunca la votaría",0.532,0.374,0.555,0.53,0.52,0.618,0.593,0.605,0.65
"P17","No sabe",0.09,0.054,0.023,0.009,0.034,0.033,0.035,0.059,0.067
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.283,0.448,0.371,0.362,0.4,0.299,0.274,0.246,0.251
"P18","Mauricio Macri por Cambiemos",0.193,0.159,0.203,0.232,0.211,0.233,0.272,0.263,0.183
"P18","Javier Milei por los liberales",0.252,0.183,0.232,0.219,0.199,0.236,0.261,0.272,0.264
"P18","Nicolás del Caño por la izquierda",0.067,0,0.016,0.018,0.018,0.018,0.017,0.03,0.031
"P18","Otro candidato",0.205,0.21,0.178,0.169,0.172,0.214,0.176,0.189,0.271
"P19","Horacio Rodríguez Larreta por Cambiemos",0.41,0.179,0.233,0.237,0.233,0.25,0.281,0.272,0.242
"P19","Alberto Fernández por el Frente de Todos",0.245,0.496,0.302,0.297,0.313,0.247,0.238,0.211,0.177
"P19","Javier Milei por los liberales",0.21,0.215,0.261,0.227,0.194,0.251,0.269,0.272,0.268
"P19","Nicolás del Caño por la izquierda",0,0,0.027,0.036,0.026,0.027,0.026,0.027,0.032
"P19","Otro candidato",0.135,0.11,0.177,0.203,0.234,0.225,0.186,0.218,0.281
"P20","Mauricio Macri presidente Javier Milei vice",0.369,0.216,0.335,0.348,0.313,0.361,0.424,0.391,0.311
"P20","Sergio Massa presidente Gerardo Morales vice",0.223,0.194,0.239,0.184,0.205,0.129,0.144,0.119,0.164
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.048,0.054,0.077,0.083,0.084,0.071,0.058,0.062,0.038
"P20","No sabe",0.36,0.536,0.349,0.385,0.398,0.439,0.374,0.428,0.487
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.263,0.17,0.245,0.246,0.229,0.291,0.299,0.323,0.178
"P21","Alberto Fernández presidente Sergio Massa vice",0.264,0.312,0.141,0.171,0.158,0.168,0.147,0.149,0.157
"P21","Javier Milei presidente José Luis Espert vice",0.201,0.183,0.166,0.177,0.144,0.178,0.206,0.213,0.251
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.052,0.07,0.16,0.143,0.155,0.107,0.121,0.098,0.169
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.213,0.223,0.223,0.18,0.23,0.148,0.135,0.114,0.06
"P21","Otros candidatos",0.007,0.042,0.065,0.083,0.084,0.108,0.092,0.103,0.185
"P22","Muy buena",0.22,0.28,0.043,0.053,0.082,0.078,0.071,0.086,0.092
"P22","Buena",0.124,0.046,0.226,0.211,0.208,0.139,0.129,0.097,0.191
"P22","Ni buena ni mala",0.147,0.256,0.14,0.168,0.165,0.171,0.132,0.163,0.193
"P22","Mala",0.192,0.043,0.156,0.103,0.149,0.175,0.17,0.159,0.168
"P22","Muy mala",0.302,0.35,0.424,0.457,0.387,0.42,0.484,0.479,0.329
"P22","No sabe",0.015,0.025,0.011,0.008,0.009,0.017,0.014,0.016,0.027
"P23","Si",0.82,0.633,0.76,0.703,0.714,0.588,0.624,0.56,0.585
"P23","No",0.051,0.125,0.154,0.151,0.141,0.191,0.178,0.238,0.16
"P23","No sabe",0.129,0.242,0.086,0.146,0.145,0.221,0.198,0.202,0.255
"P24","El kirchnerismo",0.427,0.315,0.45,0.486,0.413,0.449,0.463,0.468,0.253
"P24","Cambiemos",0.191,0.234,0.191,0.199,0.221,0.197,0.148,0.134,0.191
"P24","Los medios de comunicación",0.177,0.181,0.243,0.191,0.218,0.158,0.175,0.139,0.056
"P24","Otros",0.111,0.109,0.063,0.048,0.075,0.084,0.102,0.118,0.152
"P24","No sabe",0.094,0.161,0.053,0.076,0.073,0.112,0.112,0.141,0.348
"P25","Sin deuda",0.581,0.253,0.476,0.419,0.386,0.155,0.25,0.211,0.234
"P25","Menos de 10%",0.162,0.011,0.163,0.189,0.187,0.104,0.219,0.109,0.038
"P25","Entre 10 y 20%",0.006,0.037,0.08,0.102,0.145,0.2,0.15,0.126,0.097
"P25","Entre 20 y 30%",0.059,0.091,0.079,0.06,0.114,0.128,0.104,0.094,0.013
"P25","Entre 30 y 40%",0.006,0.008,0.015,0.114,0.067,0.155,0.087,0.135,0.063
"P25","Mas del 40%",0.125,0.052,0.174,0.087,0.07,0.22,0.159,0.278,0.043
"P25","No sabe",0.061,0.548,0.013,0.029,0.031,0.038,0.031,0.047,0.512
"P27","Muy buena",0.686,0.083,0.115,0.021,0.042,0.003,0.006,0.072,0.04
"P27","Buena",0.11,0.316,0.469,0.334,0.258,0.047,0.139,0.043,0.107
"P27","Ni buena ni mala",0.071,0.237,0.205,0.457,0.541,0.445,0.47,0.243,0.36
"P27","Mala",0.026,0.23,0.071,0.103,0.136,0.388,0.314,0.39,0.229
"P27","Muy mala",0.107,0.069,0.08,0.078,0.022,0.109,0.064,0.241,0.095
"P27","No sabe",0,0.065,0.06,0.007,0.001,0.008,0.007,0.011,0.169
"P28","Mejor",0.232,0.186,0.197,0.152,0.182,0.106,0.103,0.07,0.128
"P28","Igual",0.46,0.435,0.379,0.357,0.378,0.195,0.267,0.162,0.249
"P28","Peor",0.301,0.193,0.371,0.463,0.408,0.655,0.597,0.728,0.364
"P28","No sabe",0.007,0.186,0.053,0.028,0.032,0.044,0.033,0.04,0.259
"P29","Mejor",0.254,0.148,0.237,0.188,0.206,0.092,0.11,0.072,0.097
"P29","Igual",0.369,0.387,0.295,0.269,0.288,0.225,0.252,0.198,0.145
"P29","Peor",0.324,0.271,0.39,0.463,0.421,0.548,0.554,0.645,0.338
"P29","No sabe",0.053,0.194,0.078,0.08,0.085,0.135,0.084,0.085,0.42
"P30","Muy buena",0.123,0.12,0.06,0.056,0.04,0.038,0.031,0.062,0.044
"P30","Buena",0.064,0.111,0.082,0.082,0.103,0.048,0.077,0.051,0.079
"P30","Ni buena ni mala",0.182,0.239,0.173,0.163,0.194,0.128,0.145,0.102,0.196
"P30","Mala",0.283,0.266,0.263,0.285,0.258,0.294,0.281,0.31,0.21
"P30","Muy mala",0.348,0.214,0.414,0.412,0.399,0.469,0.453,0.467,0.334
"P30","No sabe",0,0.05,0.008,0.002,0.006,0.023,0.013,0.008,0.137
"P31","Muy buena",0.232,0.196,0.291,0.265,0.277,0.179,0.194,0.158,0.241
"P31","Buena",0.191,0.046,0.078,0.085,0.1,0.106,0.085,0.089,0.108
"P31","Ni buena ni mala",0.029,0.209,0.052,0.058,0.067,0.101,0.091,0.121,0.063
"P31","Mala",0.066,0.155,0.051,0.076,0.07,0.076,0.082,0.082,0.138
"P31","Muy mala",0.482,0.375,0.525,0.512,0.48,0.526,0.544,0.537,0.376
"P31","No sabe",0,0.019,0.003,0.004,0.006,0.012,0.004,0.013,0.074
"P32","Muy buena",0.143,0.304,0.074,0.066,0.081,0.086,0.083,0.077,0.11
"P32","Buena",0.198,0.101,0.194,0.192,0.182,0.128,0.13,0.138,0.068
"P32","Ni buena ni mala",0.167,0.193,0.126,0.164,0.174,0.189,0.159,0.141,0.226
"P32","Mala",0.153,0.072,0.167,0.165,0.151,0.155,0.166,0.136,0.198
"P32","Muy mala",0.339,0.31,0.435,0.412,0.405,0.426,0.458,0.498,0.321
"P32","No sabe",0,0.02,0.004,0.001,0.007,0.016,0.004,0.01,0.077
"P33","Muy buena",0.158,0.137,0.089,0.062,0.042,0.038,0.049,0.051,0.019
"P33","Buena",0.155,0.074,0.117,0.133,0.148,0.096,0.109,0.078,0.037
"P33","Ni buena ni mala",0.173,0.245,0.204,0.217,0.221,0.235,0.209,0.21,0.226
"P33","Mala",0.065,0.093,0.179,0.19,0.186,0.172,0.211,0.188,0.232
"P33","Muy mala",0.348,0.313,0.403,0.381,0.383,0.396,0.387,0.426,0.288
"P33","No sabe",0.101,0.138,0.008,0.017,0.02,0.063,0.035,0.047,0.198
"P34","Muy buena",0.219,0.216,0.252,0.213,0.255,0.095,0.155,0.128,0.216
"P34","Buena",0.182,0.061,0.137,0.128,0.126,0.114,0.103,0.088,0.058
"P34","Ni buena ni mala",0.073,0.29,0.094,0.089,0.107,0.167,0.119,0.128,0.168
"P34","Mala",0.037,0.125,0.063,0.083,0.092,0.102,0.109,0.136,0.083
"P34","Muy mala",0.489,0.239,0.454,0.458,0.414,0.466,0.484,0.482,0.366
"P34","No sabe",0,0.069,0,0.029,0.006,0.056,0.03,0.038,0.109
"P35","Muy buena",0.131,0.022,0.094,0.085,0.092,0.112,0.12,0.156,0.112
"P35","Buena",0.247,0.126,0.147,0.158,0.155,0.143,0.135,0.131,0.093
"P35","Ni buena ni mala",0.038,0.126,0.151,0.142,0.141,0.198,0.224,0.197,0.144
"P35","Mala",0.138,0.27,0.118,0.145,0.138,0.197,0.164,0.184,0.309
"P35","Muy mala",0.446,0.445,0.486,0.457,0.467,0.326,0.348,0.318,0.216
"P35","No sabe",0,0.011,0.004,0.013,0.007,0.024,0.009,0.014,0.126
"P36","Muy buena",0.116,0.162,0.146,0.082,0.082,0.112,0.105,0.161,0.122
"P36","Buena",0.245,0.099,0.16,0.2,0.175,0.185,0.22,0.161,0.098
"P36","Ni buena ni mala",0.191,0.144,0.211,0.175,0.212,0.276,0.265,0.267,0.288
"P36","Mala",0.134,0.17,0.16,0.216,0.195,0.18,0.156,0.13,0.08
"P36","Muy mala",0.303,0.353,0.308,0.299,0.318,0.166,0.21,0.226,0.113
"P36","No sabe",0.011,0.072,0.015,0.028,0.018,0.081,0.044,0.055,0.299
"P37","Muy buena",0.115,0.072,0.096,0.108,0.093,0.133,0.128,0.168,0.114
"P37","Buena",0.172,0.08,0.182,0.141,0.175,0.176,0.194,0.172,0.131
"P37","Ni buena ni mala",0.132,0.143,0.145,0.169,0.167,0.21,0.205,0.21,0.209
"P37","Mala",0.139,0.121,0.15,0.139,0.142,0.152,0.153,0.157,0.166
"P37","Muy mala",0.442,0.541,0.419,0.415,0.418,0.292,0.277,0.262,0.15
"P37","No sabe",0,0.043,0.008,0.028,0.005,0.037,0.043,0.031,0.23
"P38","Muy buena",0.082,0.166,0.155,0.137,0.138,0.151,0.183,0.195,0.109
"P38","Buena",0.289,0.064,0.153,0.124,0.114,0.127,0.126,0.149,0.126
"P38","Ni buena ni mala",0.019,0.195,0.191,0.182,0.186,0.257,0.256,0.27,0.219
"P38","Mala",0.115,0.008,0.088,0.117,0.123,0.119,0.102,0.098,0.102
"P38","Muy mala",0.478,0.319,0.408,0.412,0.416,0.238,0.26,0.227,0.245
"P38","No sabe",0.017,0.248,0.005,0.028,0.023,0.108,0.073,0.061,0.199
"P39","Muy buena",0.189,0.172,0.203,0.193,0.223,0.225,0.267,0.283,0.185
"P39","Buena",0.191,0.163,0.176,0.167,0.14,0.157,0.18,0.141,0.071
"P39","Ni buena ni mala",0.024,0.096,0.135,0.108,0.103,0.17,0.139,0.19,0.213
"P39","Mala",0.098,0.067,0.059,0.08,0.084,0.104,0.095,0.106,0.111
"P39","Muy mala",0.498,0.437,0.415,0.413,0.428,0.26,0.278,0.23,0.279
"P39","No sabe",0,0.065,0.012,0.039,0.022,0.084,0.041,0.05,0.141
"P40","Muy buena",0.096,0.008,0.035,0.047,0.065,0.047,0.042,0.045,0.023
"P40","Buena",0.124,0.218,0.22,0.156,0.133,0.123,0.137,0.125,0.177
"P40","Ni buena ni mala",0.248,0.433,0.206,0.301,0.284,0.267,0.268,0.299,0.175
"P40","Mala",0.298,0.085,0.286,0.288,0.286,0.271,0.287,0.225,0.161
"P40","Muy mala",0.088,0.156,0.221,0.172,0.206,0.231,0.228,0.267,0.221
"P40","No sabe",0.146,0.1,0.032,0.036,0.026,0.061,0.038,0.039,0.243
"P41","Muy buena",0.01,0.02,0.026,0.011,0.006,0.02,0.023,0.035,0.035
"P41","Buena",0.035,0.137,0.063,0.044,0.05,0.047,0.065,0.084,0.14
"P41","Ni buena ni mala",0.19,0.214,0.142,0.201,0.15,0.219,0.185,0.218,0.145
"P41","Mala",0.252,0.063,0.251,0.267,0.293,0.251,0.307,0.249,0.368
"P41","Muy mala",0.503,0.441,0.507,0.467,0.467,0.392,0.385,0.382,0.197
"P41","No sabe",0.01,0.125,0.011,0.01,0.034,0.071,0.035,0.032,0.115
