"var","categoria","Son lo mismo, ambos son de Massa","Son aliados en el Frente de Todos pero compiten","Son enemigos porque Zamora traicionó a Massa","No sabe"
"P15","Mala",0.225,0.107,0.225,0.073
"P15","Muy mala",0.199,0.117,0.211,0.116
"P15","No sabe",0.006,0.008,0.034,0.05
"P16","Muy buena",0.249,0.144,0.181,0.061
"P16","Buena",0.242,0.143,0.133,0.098
"P16","Ni buena ni mala",0.144,0.335,0.278,0.465
"P16","Mala",0.133,0.137,0.116,0.053
"P16","Muy mala",0.111,0.188,0.2,0.086
"P16","No sabe",0.121,0.053,0.092,0.237
"P17","Muy buena",0.134,0.088,0.091,0.043
"P17","Buena",0.024,0.036,0.044,0.086
"P17","Ni buena ni mala",0.25,0.36,0.229,0.4
"P17","Mala",0.174,0.049,0.052,0.046
"P17","Muy mala",0.086,0.036,0.145,0.031
"P17","No sabe",0.332,0.431,0.439,0.394
"P18","Muy buena",0.162,0.131,0.135,0.023
"P18","Buena",0.097,0.083,0.113,0.067
"P18","Ni buena ni mala",0.383,0.345,0.345,0.467
"P18","Mala",0.074,0.121,0.108,0.038
"P18","Muy mala",0.12,0.116,0.168,0.113
"P18","No sabe",0.164,0.204,0.131,0.292
"P19","Muy buena",0.214,0.244,0.122,0.256
"P19","Buena",0.108,0.324,0.136,0.201
"P19","Ni buena ni mala",0.173,0.214,0.312,0.267
"P19","Mala",0.271,0.125,0.258,0.069
"P19","Muy mala",0.229,0.067,0.158,0.11
"P19","No sabe",0.005,0.026,0.014,0.097
"P20","Que continúe el intendente Julio Zamora",0.181,0.192,0.101,0.278
"P20","Que continúe Julio Zamora pero con mejoras",0.189,0.339,0.171,0.395
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.104,0.143,0.229,0.128
"P20","Que cambie el intendente Julio Zamora",0.526,0.326,0.499,0.199
"P21","Es kirchnerista",0.227,0.11,0.159,0.14
"P21","Forma parte del Frente de Todos",0.134,0.352,0.231,0.221
"P21","Es un hombre de Massa",0.337,0.188,0.025,0.14
"P21","Es un peronista independiente de centro",0.056,0.161,0.165,0.144
"P21","Es un oportunista y está donde le conviene",0.2,0.114,0.324,0.135
"P21","No sabe",0.046,0.075,0.096,0.22
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.252,0.193,0.233,0.059
"P22","Son aliados tácticos pero lo ocultan",0.169,0.145,0.173,0.029
"P22","Son adversarios políticos",0.414,0.534,0.478,0.153
"P22","No sabe",0.165,0.128,0.116,0.759
"P24","La seguridad",0.403,0.273,0.21,0.252
"P24","El tránsito",0.043,0.191,0.006,0.061
"P24","El arreglo de las calles",0.069,0.073,0.14,0.121
"P24","El estado de las escuelas y la educación",0.003,0.026,0.068,0.061
"P24","El sistema de salud",0.058,0.039,0.052,0.084
"P24","El deporte y la cultura",0.112,0.15,0.143,0.101
"P24","La obra pública",0.006,0.044,0.002,0.03
"P24","La luminaria",0.099,0.086,0.137,0.05
"P24","No sabe",0.207,0.118,0.242,0.24
"P25","La seguridad",0.203,0.168,0.108,0.16
"P25","El tránsito",0.124,0.106,0.078,0.099
"P25","El arreglo de las calles",0.188,0.265,0.262,0.197
"P25","El estado de las escuelas y la educación",0.139,0.095,0.101,0.09
"P25","El sistema de salud",0.187,0.212,0.18,0.129
"P25","El deporte y la cultura",0.028,0.012,0.088,0.11
"P25","La obra pública",0.039,0.041,0.039,0.014
"P25","La luminaria",0.056,0.009,0.047,0.003
"P25","No sabe",0.036,0.092,0.097,0.198
"P26","Agua corriente y cloacas",0.455,0.444,0.402,0.357
"P26","Energía eléctrica",0.221,0.092,0.147,0.108
"P26","Red de gas natural",0.119,0.108,0.066,0.021
"P26","Recolección de residuos",0.085,0.111,0.249,0.117
"P26","Ninguno",0.12,0.245,0.136,0.397
"P27","Los robos",0.249,0.241,0.304,0.29
"P27","El narcotráfico",0.349,0.309,0.277,0.132
"P27","La ausencia de patrulleros y personal policial",0.157,0.13,0.213,0.173
"P27","Otro",0.146,0.141,0.127,0.182
"P27","Ninguno",0.099,0.179,0.079,0.223
"P28","Frente de Todos y el peronismo",0.232,0.498,0.178,0.307
"P28","Cambiemos",0.326,0.177,0.379,0.218
"P28","Liberales Libertarios",0.316,0.219,0.256,0.119
"P28","Izquierda",0.081,0.027,0.027,0.071
"P28","No sabe",0.045,0.079,0.16,0.285
"P30","A Alberto Fernández",0.159,0.331,0.232,0.04
"P30","A Sergio Massa",0.176,0.168,0.37,0.443
"P30","A algún candidato del peronismo",0.428,0.295,0.371,0.416
"P30","A algún candidato del kirchnerismo",0.237,0.206,0.027,0.101
"P31","A Alberto Fernández",0.182,0.268,0.219,0.407
"P31","A Sergio Massa",0.171,0.104,0.374,0.403
"P31","A algún candidato del peronismo",0.448,0.216,0.374,0.127
"P31","A Cristina Fernández de Kirchner",0.199,0.412,0.033,0.063
"P32","A Horacio Rodriguez Larreta",0.316,0.191,0.233,0.327
"P32","A Mauricio Macri",0.231,0.202,0.309,0.106
"P32","A Patricia Bullrich",0.371,0.287,0.243,0.18
"P32","A Facundo Manes",0.054,0.211,0.201,0.198
"P32","A Gerardo Morales",0.028,0.109,0.014,0.189
"P33","Seguro lo votaria",0.506,0.164,0.291,0.123
"P33","Quizás lo votaría",0.125,0.326,0.157,0.202
"P33","Nunca lo votaría",0.369,0.51,0.552,0.675
"P34","Muy buena",0.113,0.128,0.098,0.116
"P34","Buena",0.118,0.191,0.11,0.133
"P34","Ni buena ni mala",0.121,0.215,0.173,0.309
"P34","Mala",0.087,0.147,0.136,0.097
"P34","Muy mala",0.561,0.311,0.481,0.32
"P34","No sabe",0,0.008,0.002,0.025
"P35","Muy buena",0.266,0.146,0.244,0.064
"P35","Buena",0.152,0.217,0.201,0.067
"P35","Ni buena ni mala",0.147,0.155,0.228,0.163
"P35","Mala",0.215,0.073,0.103,0.298
"P35","Muy mala",0.22,0.406,0.218,0.355
"P35","No sabe",0,0.003,0.006,0.053
"P36","Muy buena",0.203,0.357,0.156,0.242
"P36","Buena",0.068,0.179,0.047,0.044
"P36","Ni buena ni mala",0.079,0.053,0.087,0.251
"P36","Mala",0.045,0.036,0.06,0.038
"P36","Muy mala",0.603,0.375,0.65,0.374
"P36","No sabe",0.002,0,0,0.051
"P37","Muy buena",0.152,0.075,0.104,0.133
"P37","Buena",0.174,0.166,0.378,0.104
"P37","Ni buena ni mala",0.225,0.312,0.175,0.216
"P37","Mala",0.119,0.14,0.061,0.153
"P37","Muy mala",0.318,0.304,0.277,0.224
"P37","No sabe",0.012,0.003,0.005,0.17
"P38","Muy buena",0.063,0.133,0.125,0.098
"P38","Buena",0.115,0.155,0.149,0.153
"P38","Ni buena ni mala",0.164,0.302,0.065,0.295
"P38","Mala",0.124,0.094,0.274,0.125
"P38","Muy mala",0.532,0.316,0.382,0.288
"P38","No sabe",0.002,0,0.005,0.041
"P39","Muy buena",0.349,0.175,0.351,0.114
"P39","Buena",0.184,0.113,0.197,0.123
"P39","Ni buena ni mala",0.155,0.283,0.089,0.179
"P39","Mala",0.04,0.048,0.111,0.23
"P39","Muy mala",0.263,0.381,0.242,0.251
"P39","No sabe",0.009,0,0.01,0.103
"P40","Muy buena",0.327,0.153,0.3,0.082
"P40","Buena",0.169,0.106,0.137,0.113
"P40","Ni buena ni mala",0.139,0.227,0.21,0.267
"P40","Mala",0.169,0.138,0.146,0.115
"P40","Muy mala",0.19,0.372,0.199,0.282
"P40","No sabe",0.006,0.004,0.008,0.141
