"var","categoria","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P38","Muy buena",0.177,0.042,0.046,0.345,0.08
"P38","Buena",0.235,0.069,0.086,0.016,0.146
"P38","Ni buena ni mala",0.295,0.195,0.145,0.112,0.238
"P38","Mala",0.142,0.138,0.085,0.223,0.184
"P38","Muy mala",0.138,0.553,0.636,0.304,0.326
"P38","No sabe",0.013,0.003,0.002,0,0.026
"P39","Muy buena",0.081,0.458,0.318,0.14,0.147
"P39","Buena",0.072,0.158,0.246,0.058,0.196
"P39","Ni buena ni mala",0.19,0.162,0.185,0.072,0.304
"P39","Mala",0.165,0.029,0.065,0.099,0.082
"P39","Muy mala",0.468,0.186,0.186,0.616,0.173
"P39","No sabe",0.024,0.007,0,0.015,0.098
"P40","Muy buena",0.037,0.21,0.521,0.016,0.226
"P40","Buena",0.081,0.197,0.199,0.072,0.051
"P40","Ni buena ni mala",0.206,0.262,0.101,0,0.32
"P40","Mala",0.127,0.155,0.104,0.287,0.175
"P40","Muy mala",0.482,0.165,0.072,0.625,0.188
"P40","No sabe",0.067,0.011,0.003,0,0.04
