"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P38","Muy positiva",0.269,0.117,0.044
"P38","Positiva",0.201,0.182,0.036
"P38","Neutral",0.273,0.253,0.159
"P38","Algo negativa",0.073,0.005,0.304
"P38","Negativa",0.123,0.258,0.152
"P38","No sabe",0.061,0.185,0.305
"P39","Muy positiva",0.451,0.388,0.078
"P39","Positiva",0.203,0.28,0.059
"P39","Neutral",0.183,0.199,0.058
"P39","Algo negativa",0.077,0.045,0.455
"P39","Negativa",0.07,0.053,0.045
"P39","No sabe",0.016,0.035,0.305
"P40","Muy positiva",0.376,0.313,0.076
"P40","Positiva",0.206,0.211,0.31
"P40","Neutral",0.222,0.139,0.115
"P40","Algo negativa",0.087,0.055,0.146
"P40","Negativa",0.051,0.187,0.043
"P40","No sabe",0.058,0.095,0.31
"P41","Lo votaría",0.427,0.259,0.447
"P41","Puede que lo vote",0.059,0.232,0.31
"P41","Nunca lo votaría",0.488,0.396,0.243
"P41","No sabe",0.026,0.113,0
"P42","Lo votaría",0.296,0.223,0.475
"P42","Puede que lo vote",0.119,0.273,0.164
"P42","Nunca lo votaría",0.548,0.474,0.361
"P42","No sabe",0.037,0.03,0
"P43","Lo votaría",0.244,0.121,0
"P43","Puede que lo vote",0.122,0.165,0.034
"P43","Nunca lo votaría",0.607,0.691,0.966
"P43","No sabe",0.027,0.023,0
"P44","Si",0.422,0.21,0.14
"P44","No",0.578,0.79,0.86
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.398,0.334,0.09
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.25,0.109,0.297
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.289,0.203,0.446
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.025,0.079,0.052
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.026,0,0
"PRESIDENTE","En blanco",0.005,0.039,0.041
"PRESIDENTE","No sabe",0.007,0.236,0.074
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.393,0.331,0.105
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.255,0.13,0.19
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.279,0.152,0.538
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.031,0.079,0.052
"GOBERNADOR","En blanco",0.022,0.077,0.041
"GOBERNADOR","No sabe",0.02,0.231,0.074
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria.",0.384,0.452,0.09
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.285,0.143,0.17
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.236,0.139,0.446
"INTENDENTE","El candidato del Frente de Izquierda",0.042,0,0.152
"INTENDENTE","En blanco",0.023,0.03,0.068
"INTENDENTE","No sabe",0.03,0.236,0.074
"CORTA_PRESIDENTE","Si",0.159,0.098,0.039
"CORTA_PRESIDENTE","No",0.841,0.902,0.961
"CORTA_GOBERNADOR","Si",0.167,0.174,0.119
"CORTA_GOBERNADOR","No",0.833,0.826,0.881
"CORTA_INTENDENTE","Si",0.205,0.23,0.112
"CORTA_INTENDENTE","No",0.795,0.77,0.888
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.403,0.351,0.121
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.259,0.22,0.313
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.287,0.31,0.446
"P13_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.029,0.08,0.052
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.018,0,0
"P13_imputada","En blanco",0.004,0.039,0.068
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.336,0.242,0.026
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.326,0.07,0.974
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.278,0.326,0
"P17_imputada","Los candidatos a presidente de la Izquierda",0.023,0.285,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.032,0.028,0
"P17_imputada","En blanco",0.005,0.049,0
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.317,0.26,0.121
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.351,0.145,0.49
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.281,0.089,0.389
"P20_imputada","El candidato a gobernador de la Izquierda",0.038,0.285,0
"P20_imputada","En blanco",0.013,0.221,0
"P23_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.309,0.721,0.087
"P23_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.443,0.22,0.501
"P23_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.161,0.039,0
"P23_imputada","El candidato del Frente de Izquierda",0.069,0,0.352
"P23_imputada","En blanco",0.018,0.02,0.06
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.403,0.402,0.104
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.252,0.216,0.357
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.289,0.257,0.446
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.025,0.079,0.052
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.026,0.007,0
"PRESIDENTE_imputada","En blanco",0.005,0.039,0.041
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.398,0.399,0.148
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.265,0.241,0.221
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.284,0.197,0.538
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.031,0.08,0.052
"GOBERNADOR_imputada","En blanco",0.022,0.083,0.041
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.395,0.525,0.133
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.292,0.263,0.201
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.248,0.182,0.446
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.042,0,0.152
"INTENDENTE_imputada","En blanco",0.023,0.03,0.068
