"var","categoria","Sí, absolutamente","Sí, en cierta medida","No, en absoluto"
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.147,0.228,0.315
"P20","El candidato a gobernador de la Izquierda",0.096,0.04,0
"P20","En blanco",0.049,0.002,0.006
"P20","No sabe",0.055,0.037,0.047
"P23","Fernando Moreira a intendente por Unión por la Patria.",0.458,0.252,0.158
"P23","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.225,0.485,0.6
"P23","Hernán Sardella a intendente por la Libertad Avanza",0.077,0.106,0.224
"P23","El candidato del Frente de Izquierda",0.173,0.058,0
"P23","En blanco",0.021,0.013,0.009
"P23","No sabe",0.046,0.086,0.009
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.309,0.316,0.726
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.18,0.321,0.169
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.342,0.237,0.051
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.103,0.045,0.025
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.029,0.023,0
"P26","No sabe",0.037,0.058,0.029
"P27","Totalmente seguro.",0.728,0.639,0.843
"P27","Bastante seguro",0.132,0.22,0.085
"P27","Algo seguro",0.092,0.119,0.031
"P27","Para nada seguro",0.048,0.022,0.041
"P28","Tiene Decidido que va a ir a votar.",0.923,0.881,0.917
"P28","Tiene dudas sobre si va a ir a  votar",0.067,0.06,0.072
"P28","Tiene Decidido que no va a ir a votar",0.01,0.059,0.011
"P29","No estaba enterado del tema",0.23,0.123,0.136
"P29","Un tema de la vida privada de él",0.13,0.115,0.024
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.407,0.312,0.145
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.121,0.228,0.209
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.091,0.205,0.474
"P29","No sabe",0.021,0.017,0.012
"P30","Si",0.737,0.799,0.796
"P30","No",0.263,0.201,0.204
"P31","Sergio Massa",0.595,0.33,0.18
"P31","Patria Bullrich",0.147,0.338,0.33
"P31","Javier Milei",0.138,0.118,0.369
"P31","Myriam Bregman",0.089,0.112,0.005
"P31","Juan Schiaretti",0.031,0.102,0.116
"P32","Ha aumentado significativamente",0.193,0.052,0.052
"P32","Ha aumentado ligeramente",0.189,0.182,0.191
"P32","Se mantiene igual",0.3,0.278,0.187
"P32","Ha disminuido ligeramente",0.142,0.24,0.193
"P32","Ha disminuido significativamente",0.176,0.248,0.377
"P33","No, ninguna dificultad",0.426,0.211,0.219
"P33","Alguna dificultad ocasional",0.236,0.411,0.331
"P33","Sí, dificultades frecuentes",0.338,0.378,0.45
"P35","Reducir la inflación",0.546,0.332,0.232
"P35","Implementar reformas fiscales",0.049,0.239,0.076
"P35","Establecer políticas de control de precios",0.204,0.108,0.134
"P35","Reducir el gasto público",0.155,0.265,0.523
"P35","Estimular la inversión extranjera",0.023,0.052,0.026
"P35","Aumentar los subsidios a los servicios públicos",0.023,0.004,0.009
"P36","Muy positiva",0.377,0.16,0.115
"P36","Positiva",0.202,0.227,0.07
"P36","Neutral",0.161,0.303,0.378
"P36","Algo negativa",0.087,0.089,0.149
"P36","Negativa",0.055,0.063,0.188
"P36","No sabe",0.118,0.158,0.1
"P37","Muy positiva",0.603,0.248,0.173
"P37","Positiva",0.204,0.246,0.092
"P37","Neutral",0.087,0.292,0.299
"P37","Algo negativa",0.04,0.089,0.217
"P37","Negativa",0.04,0.056,0.177
"P37","No sabe",0.026,0.069,0.042
"P38","Muy positiva",0.403,0.144,0.079
"P38","Positiva",0.229,0.209,0.098
"P38","Neutral",0.225,0.323,0.289
"P38","Algo negativa",0.033,0.089,0.149
"P38","Negativa",0.068,0.117,0.304
"P38","No sabe",0.042,0.118,0.081
"P39","Muy positiva",0.569,0.342,0.285
"P39","Positiva",0.206,0.223,0.169
"P39","Neutral",0.132,0.237,0.206
"P39","Algo negativa",0.058,0.084,0.147
"P39","Negativa",0.032,0.07,0.15
"P39","No sabe",0.003,0.044,0.043
"P40","Muy positiva",0.511,0.274,0.173
"P40","Positiva",0.182,0.277,0.165
"P40","Neutral",0.167,0.206,0.339
"P40","Algo negativa",0.078,0.046,0.172
"P40","Negativa",0.036,0.062,0.1
"P40","No sabe",0.026,0.135,0.051
"P41","Lo votaría",0.664,0.265,0.089
"P41","Puede que lo vote",0.048,0.095,0.1
"P41","Nunca lo votaría",0.274,0.572,0.806
"P41","No sabe",0.014,0.068,0.005
"P42","Lo votaría",0.249,0.318,0.385
"P42","Puede que lo vote",0.059,0.171,0.225
"P42","Nunca lo votaría",0.667,0.45,0.372
"P42","No sabe",0.025,0.061,0.018
"P43","Lo votaría",0.165,0.252,0.367
"P43","Puede que lo vote",0.064,0.137,0.239
"P43","Nunca lo votaría",0.756,0.563,0.377
"P43","No sabe",0.015,0.048,0.017
"P44","Si",0.427,0.314,0.519
"P44","No",0.573,0.686,0.481
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.489,0.355,0.173
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.161,0.246,0.422
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.259,0.336,0.304
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.032,0.015,0.041
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.037,0.02,0.002
"PRESIDENTE","En blanco",0.006,0.008,0.012
"PRESIDENTE","No sabe",0.016,0.02,0.046
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.491,0.354,0.153
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.156,0.294,0.413
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.244,0.269,0.325
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.045,0.023,0.039
"GOBERNADOR","En blanco",0.037,0.027,0.011
"GOBERNADOR","No sabe",0.027,0.033,0.059
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria.",0.48,0.376,0.163
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.177,0.301,0.437
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.222,0.224,0.307
"INTENDENTE","El candidato del Frente de Izquierda",0.065,0.021,0.039
"INTENDENTE","En blanco",0.03,0.032,0.013
"INTENDENTE","No sabe",0.026,0.046,0.041
"CORTA_PRESIDENTE","Si",0.124,0.184,0.131
"CORTA_PRESIDENTE","No",0.876,0.816,0.869
"CORTA_GOBERNADOR","Si",0.125,0.161,0.167
"CORTA_GOBERNADOR","No",0.875,0.839,0.833
"CORTA_INTENDENTE","Si",0.187,0.23,0.136
"CORTA_INTENDENTE","No",0.813,0.77,0.864
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.483,0.414,0.158
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.17,0.247,0.459
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.278,0.297,0.321
"P13_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.041,0.014,0.041
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.022,0.02,0
"P13_imputada","En blanco",0.006,0.008,0.021
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.485,0.149,0.23
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.193,0.365,0.584
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.182,0.47,0.162
"P17_imputada","Los candidatos a presidente de la Izquierda",0.064,0.01,0.013
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.069,0.006,0.006
"P17_imputada","En blanco",0.007,0,0.005
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.513,0.161,0.152
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.179,0.552,0.523
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.163,0.242,0.315
"P20_imputada","El candidato a gobernador de la Izquierda",0.096,0.04,0
"P20_imputada","En blanco",0.049,0.005,0.01
"P23_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.479,0.252,0.167
"P23_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.25,0.505,0.6
"P23_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.077,0.172,0.224
"P23_imputada","El candidato del Frente de Izquierda",0.173,0.058,0
"P23_imputada","En blanco",0.021,0.013,0.009
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.496,0.366,0.175
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.163,0.252,0.461
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.266,0.337,0.306
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.032,0.015,0.044
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.037,0.022,0.002
"PRESIDENTE_imputada","En blanco",0.006,0.008,0.012
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.499,0.367,0.158
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.165,0.307,0.465
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.253,0.275,0.325
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.046,0.023,0.039
"GOBERNADOR_imputada","En blanco",0.037,0.028,0.013
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.495,0.385,0.168
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.182,0.317,0.473
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.228,0.245,0.307
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.065,0.021,0.039
"INTENDENTE_imputada","En blanco",0.03,0.032,0.013
