"var","categoria","Fernando Moreira a intendente por Unión por la Patria.","Mauricio D’Alessandro a intendente por Juntos por el Cambio","Hernán Sardella a intendente por la Libertad Avanza","El candidato del Frente de Izquierda","En blanco"
"P37","Positiva",0.238,0.154,0.248,0.471,0.297
"P37","Neutral",0.118,0.357,0.349,0,0.068
"P37","Algo negativa",0.006,0.203,0.012,0,0.184
"P37","Negativa",0.011,0.096,0.26,0,0
"P37","No sabe",0.058,0.043,0.105,0,0
"P38","Muy positiva",0.396,0.051,0.145,0.546,0.511
"P38","Positiva",0.198,0.072,0.038,0.085,0.191
"P38","Neutral",0.174,0.416,0.344,0,0.111
"P38","Algo negativa",0.017,0.238,0.039,0,0
"P38","Negativa",0.021,0.142,0.145,0.369,0
"P38","No sabe",0.194,0.081,0.289,0,0.187
"P39","Muy positiva",0.496,0.264,0.41,0.518,0.667
"P39","Positiva",0.21,0.139,0.173,0.11,0.333
"P39","Neutral",0.215,0.223,0.242,0,0
"P39","Algo negativa",0.015,0.22,0.042,0.364,0
"P39","Negativa",0.023,0.125,0.133,0.008,0
"P39","No sabe",0.041,0.029,0,0,0
"P40","Muy positiva",0.555,0.166,0.085,0.145,0.812
"P40","Positiva",0.118,0.222,0.26,0.034,0.075
"P40","Neutral",0.156,0.285,0.317,0.042,0.07
"P40","Algo negativa",0.016,0.174,0.018,0.771,0
"P40","Negativa",0.07,0.082,0.128,0.008,0.043
"P40","No sabe",0.085,0.071,0.192,0,0
"P41","Lo votaría",0.603,0.053,0.205,0.557,0.743
"P41","Puede que lo vote",0.106,0.054,0,0.057,0
"P41","Nunca lo votaría",0.207,0.858,0.604,0.386,0.257
"P41","No sabe",0.084,0.035,0.191,0,0
"P42","Lo votaría",0.201,0.546,0.309,0.014,0.301
"P42","Puede que lo vote",0.213,0.196,0.13,0.361,0.07
"P42","Nunca lo votaría",0.565,0.241,0.37,0.625,0.629
"P42","No sabe",0.021,0.017,0.191,0,0
"P43","Lo votaría",0.189,0.28,0.56,0.008,0
"P43","Puede que lo vote",0.077,0.303,0.188,0.014,0.362
"P43","Nunca lo votaría",0.726,0.395,0.227,0.978,0.449
"P43","No sabe",0.008,0.022,0.025,0,0.189
"P44","Si",0.451,0.442,0.235,0.19,0.629
"P44","No",0.549,0.558,0.765,0.81,0.371
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.371,0.207,0.358,0.582,0.255
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.174,0.533,0.301,0.151,0.206
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.35,0.245,0.317,0.063,0.362
"P13_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.088,0.002,0.008,0.204,0
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.007,0.01,0.007,0,0
"P13_imputada","En blanco",0.01,0.003,0.009,0,0.177
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.534,0.112,0.319,0.598,0.644
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.16,0.49,0.212,0.151,0.3
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.183,0.316,0.378,0.149,0.056
"P17_imputada","Los candidatos a presidente de la Izquierda",0.092,0.037,0,0.035,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.013,0.043,0.091,0.057,0
"P17_imputada","En blanco",0.018,0.002,0,0.01,0
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.581,0.159,0.099,0.607,0.655
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.154,0.514,0.254,0.151,0.262
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.121,0.302,0.647,0,0
"P20_imputada","El candidato a gobernador de la Izquierda",0.091,0.008,0,0.242,0
"P20_imputada","En blanco",0.053,0.017,0,0,0.083
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.534,0.112,0.319,0.598,0.644
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.16,0.49,0.212,0.151,0.3
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.183,0.316,0.378,0.149,0.056
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.092,0.037,0,0.035,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.013,0.043,0.091,0.057,0
"PRESIDENTE_imputada","En blanco",0.018,0.002,0,0.01,0
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.581,0.159,0.099,0.607,0.655
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.154,0.514,0.254,0.151,0.262
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.121,0.302,0.647,0,0
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.091,0.008,0,0.242,0
"GOBERNADOR_imputada","En blanco",0.053,0.017,0,0,0.083
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria.",1,0,0,0,0
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0,1,0,0,0
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0,0,1,0,0
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0,0,0,1,0
"INTENDENTE_imputada","En blanco",0,0,0,0,1
