"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.041,0.134,0,0,0
"P17","En blanco",0.003,0.007,0,0,0.03,0
"P17","No sabe",0.01,0.017,0.019,0,0.028,0.029
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.537,0.219,0.171,0.216,0.169,0.116
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.173,0.604,0.474,0.774,0.246,0.099
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.167,0.072,0.199,0.01,0.53,0.53
"P20","El candidato a gobernador de la Izquierda",0.111,0.029,0,0,0.007,0.17
"P20","En blanco",0.002,0.008,0.066,0,0.02,0.014
"P20","No sabe",0.01,0.068,0.09,0,0.028,0.071
"P23","Fernando Moreira a intendente por Unión por la Patria.",0.628,0.225,0.24,0.04,0.278,0.279
"P23","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.192,0.509,0.502,0.533,0.429,0.317
"P23","Hernán Sardella a intendente por la Libertad Avanza",0.043,0.225,0.208,0.02,0.247,0
"P23","El candidato del Frente de Izquierda",0.035,0.014,0.014,0.407,0.007,0
"P23","En blanco",0.054,0.008,0.006,0,0.011,0
"P23","No sabe",0.048,0.019,0.03,0,0.028,0.404
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.241,0.346,0.504,0.631,0.563,0.49
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.196,0.24,0.228,0.2,0.196,0.318
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.439,0.221,0.163,0.153,0.129,0.074
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.066,0.124,0.039,0.016,0.023,0.079
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.026,0.029,0.019,0,0,0.032
"P26","No sabe",0.032,0.04,0.047,0,0.089,0.007
"P27","Totalmente seguro.",0.789,0.724,0.751,0.709,0.803,0.428
"P27","Bastante seguro",0.115,0.151,0.163,0.17,0.064,0.296
"P27","Algo seguro",0.072,0.086,0.049,0.121,0.109,0.204
"P27","Para nada seguro",0.024,0.039,0.037,0,0.024,0.072
"P28","Tiene Decidido que va a ir a votar.",0.952,0.912,0.954,0.926,0.818,0.811
"P28","Tiene dudas sobre si va a ir a  votar",0.043,0.051,0.033,0.032,0.163,0.072
"P28","Tiene Decidido que no va a ir a votar",0.005,0.037,0.013,0.042,0.019,0.117
"P29","No estaba enterado del tema",0.225,0.172,0.157,0.099,0.239,0.125
"P29","Un tema de la vida privada de él",0.145,0.081,0.037,0,0.051,0.008
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.471,0.36,0.176,0.26,0.16,0.299
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.071,0.171,0.292,0.321,0.136,0.068
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.071,0.207,0.331,0.32,0.395,0.344
"P29","No sabe",0.017,0.009,0.007,0,0.019,0.156
"P30","Si",0.823,0.853,0.706,0.952,0.673,0.937
"P30","No",0.177,0.147,0.294,0.048,0.327,0.063
"P31","Sergio Massa",0.664,0.428,0.177,0.236,0.266,0.372
"P31","Patria Bullrich",0.105,0.284,0.36,0.295,0.302,0.268
"P31","Javier Milei",0.088,0.178,0.326,0.174,0.432,0.176
"P31","Myriam Bregman",0.115,0.034,0.081,0,0,0.134
"P31","Juan Schiaretti",0.028,0.076,0.056,0.295,0,0.05
"P32","Ha aumentado significativamente",0.16,0.122,0.057,0.022,0.119,0.04
"P32","Ha aumentado ligeramente",0.227,0.123,0.211,0.302,0.007,0.219
"P32","Se mantiene igual",0.305,0.351,0.239,0.051,0.196,0.233
"P32","Ha disminuido ligeramente",0.132,0.229,0.246,0.349,0.12,0.189
"P32","Ha disminuido significativamente",0.176,0.175,0.247,0.276,0.558,0.319
"P33","No, ninguna dificultad",0.527,0.281,0.165,0.115,0.222,0.078
"P33","Alguna dificultad ocasional",0.219,0.376,0.444,0.227,0.206,0.545
"P33","Sí, dificultades frecuentes",0.254,0.343,0.391,0.658,0.572,0.377
"P34","Sí, absolutamente",0.665,0.415,0.371,0.425,0.297,0.188
"P34","Sí, en cierta medida",0.237,0.422,0.304,0.168,0.343,0.653
"P34","No, en absoluto",0.098,0.163,0.325,0.407,0.36,0.159
"P35","Reducir la inflación",0.486,0.446,0.277,0.318,0.362,0.434
"P35","Implementar reformas fiscales",0.104,0.098,0.108,0.099,0.12,0.242
"P35","Establecer políticas de control de precios",0.228,0.151,0.138,0.058,0.084,0.177
"P35","Reducir el gasto público",0.143,0.212,0.438,0.514,0.305,0.147
"P35","Estimular la inversión extranjera",0.027,0.049,0.032,0.006,0.11,0
"P35","Aumentar los subsidios a los servicios públicos",0.012,0.044,0.007,0.005,0.019,0
"P36","Muy positiva",0.438,0.247,0.102,0.1,0.124,0.082
"P36","Positiva",0.243,0.238,0.151,0.073,0.108,0.03
"P36","Neutral",0.153,0.263,0.403,0.444,0.12,0.169
"P36","Algo negativa",0.066,0.094,0.129,0.2,0.039,0.064
"P36","Negativa",0.015,0.077,0.109,0.11,0.496,0.007
"P36","No sabe",0.085,0.081,0.106,0.073,0.113,0.648
"P37","Muy positiva",0.7,0.359,0.232,0.138,0.081,0.271
"P37","Positiva",0.155,0.242,0.169,0.197,0.291,0.191
"P37","Neutral",0.085,0.2,0.411,0.132,0.252,0.062
"P37","Algo negativa",0.026,0.126,0.067,0.427,0.035,0.093
"P37","Negativa",0.021,0.036,0.084,0.1,0.323,0.145
"P37","No sabe",0.013,0.037,0.037,0.006,0.018,0.238
"P38","Muy positiva",0.516,0.186,0.072,0.088,0.018,0.042
"P38","Positiva",0.215,0.307,0.173,0.153,0.03,0.071
"P38","Neutral",0.117,0.282,0.489,0.404,0.114,0.323
"P38","Algo negativa",0.026,0.097,0.095,0.14,0.122,0.052
"P38","Negativa",0.051,0.097,0.147,0.192,0.661,0.084
"P38","No sabe",0.075,0.031,0.024,0.023,0.055,0.428
"P39","Muy positiva",0.714,0.341,0.232,0.231,0.26,0.283
"P39","Positiva",0.172,0.343,0.233,0.121,0.038,0.098
"P39","Neutral",0.061,0.208,0.403,0.123,0.055,0.229
"P39","Algo negativa",0.021,0.082,0.068,0.446,0.041,0.085
"P39","Negativa",0.017,0.022,0.064,0.067,0.596,0.061
"P39","No sabe",0.015,0.004,0,0.012,0.01,0.244
"P41","Lo votaría",0.731,0.317,0.192,0.163,0.099,0.37
"P41","Puede que lo vote",0.045,0.187,0.049,0.088,0,0
"P41","Nunca lo votaría",0.218,0.483,0.741,0.732,0.848,0.384
"P41","No sabe",0.006,0.013,0.018,0.017,0.053,0.246
"P42","Lo votaría",0.211,0.267,0.384,0.601,0.164,0.324
"P42","Puede que lo vote",0.083,0.122,0.197,0.07,0.228,0.141
"P42","Nunca lo votaría",0.687,0.569,0.382,0.312,0.589,0.402
"P42","No sabe",0.019,0.042,0.037,0.017,0.019,0.133
"P43","Lo votaría",0.149,0.192,0.362,0.222,0.402,0.261
"P43","Puede que lo vote",0.063,0.119,0.138,0.226,0.344,0.09
"P43","Nunca lo votaría",0.778,0.647,0.465,0.552,0.227,0.582
"P43","No sabe",0.01,0.042,0.035,0,0.027,0.067
"P44","Si",0.528,0.368,0.299,0.458,0.257,0.267
"P44","No",0.472,0.632,0.701,0.542,0.743,0.733
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.516,0.329,0.299,0.145,0.183,0.327
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.125,0.305,0.301,0.601,0.294,0.174
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.319,0.29,0.306,0.149,0.197,0.389
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.022,0.004,0.008,0.105,0.065,0.03
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.029,0.069,0,0.086,0
"PRESIDENTE","En blanco",0.002,0.015,0.007,0,0.023,0
"PRESIDENTE","No sabe",0.016,0.028,0.01,0,0.152,0.08
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.518,0.322,0.291,0.145,0.182,0.296
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.127,0.371,0.345,0.601,0.235,0.146
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.315,0.218,0.27,0.149,0.257,0.37
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.023,0.011,0.005,0.105,0.069,0.073
"GOBERNADOR","En blanco",0.002,0.032,0.055,0,0.105,0.007
"GOBERNADOR","No sabe",0.015,0.046,0.034,0,0.152,0.108
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria.",0.537,0.318,0.313,0.087,0.179,0.331
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.138,0.354,0.349,0.525,0.347,0.277
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.271,0.259,0.27,0.154,0.159,0.139
"INTENDENTE","El candidato del Frente de Izquierda",0.012,0.006,0.012,0.234,0.069,0.031
"INTENDENTE","En blanco",0.017,0.032,0.041,0,0.094,0
"INTENDENTE","No sabe",0.025,0.031,0.015,0,0.152,0.222
"CORTA_PRESIDENTE","Si",0.135,0.172,0.141,0.106,0.258,0.063
"CORTA_PRESIDENTE","No",0.865,0.828,0.859,0.894,0.742,0.937
"CORTA_GOBERNADOR","Si",0.135,0.12,0.143,0.106,0.346,0.133
"CORTA_GOBERNADOR","No",0.865,0.88,0.857,0.894,0.654,0.867
"CORTA_INTENDENTE","Si",0.176,0.184,0.187,0.237,0.194,0.317
"CORTA_INTENDENTE","No",0.824,0.816,0.813,0.763,0.806,0.683
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.492,0.353,0.359,0.224,0.162,0.375
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.139,0.347,0.272,0.495,0.535,0.187
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.342,0.261,0.317,0.176,0.129,0.4
"P13_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.004,0.008,0.105,0.065,0.031
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0.018,0.034,0,0.086,0
"P13_imputada","En blanco",0.004,0.017,0.01,0,0.023,0.007
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.507,0.241,0.177,0.216,0.22,0.183
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.169,0.328,0.337,0.774,0.402,0.141
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.214,0.375,0.34,0.01,0.348,0.661
"P17_imputada","Los candidatos a presidente de la Izquierda",0.107,0.008,0.012,0,0,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.041,0.134,0,0,0.015
"P17_imputada","En blanco",0.003,0.007,0,0,0.03,0
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.541,0.232,0.171,0.216,0.197,0.13
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.176,0.627,0.529,0.774,0.246,0.156
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.167,0.097,0.234,0.01,0.53,0.53
"P20_imputada","El candidato a gobernador de la Izquierda",0.11,0.029,0,0,0.007,0.17
"P20_imputada","En blanco",0.006,0.015,0.066,0,0.02,0.014
"P23_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.639,0.231,0.24,0.04,0.306,0.335
"P23_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.229,0.521,0.524,0.533,0.429,0.332
"P23_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.043,0.225,0.216,0.02,0.247,0.333
"P23_imputada","El candidato del Frente de Izquierda",0.035,0.014,0.014,0.407,0.007,0
"P23_imputada","En blanco",0.054,0.009,0.006,0,0.011,0
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.53,0.329,0.299,0.145,0.183,0.398
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.126,0.313,0.309,0.601,0.446,0.174
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.32,0.31,0.306,0.149,0.197,0.389
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.022,0.004,0.01,0.105,0.065,0.031
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.029,0.069,0,0.086,0.008
"PRESIDENTE_imputada","En blanco",0.002,0.015,0.007,0,0.023,0
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.53,0.327,0.291,0.145,0.2,0.368
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.129,0.386,0.37,0.601,0.369,0.182
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.315,0.242,0.279,0.149,0.257,0.37
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.023,0.011,0.005,0.105,0.069,0.073
"GOBERNADOR_imputada","En blanco",0.003,0.034,0.055,0,0.105,0.007
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria.",0.553,0.32,0.313,0.087,0.197,0.431
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.147,0.366,0.361,0.525,0.481,0.285
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.271,0.276,0.273,0.154,0.159,0.254
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.012,0.006,0.012,0.234,0.069,0.03
"INTENDENTE_imputada","En blanco",0.017,0.032,0.041,0,0.094,0
