"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P16","No sabe",0.089,0.017,0.076
"P17","La votaría",0.774,0.007,0.049
"P17","Puede que la vote",0.143,0.013,0.053
"P17","Nunca la votaría",0.056,0.968,0.834
"P17","No sabe",0.027,0.012,0.064
"P18","Lo votaría",0.059,0.311,0.039
"P18","Puede que lo vote",0.058,0.45,0.197
"P18","Nunca lo votaría",0.837,0.195,0.617
"P18","No sabe",0.046,0.044,0.147
"P19","Lo votaría",0.02,0.17,0.061
"P19","Puede que lo vote",0.1,0.41,0.241
"P19","Nunca lo votaría",0.774,0.34,0.538
"P19","No sabe",0.106,0.08,0.16
"P20","La votaría",0.012,0.505,0.246
"P20","Puede que la vote",0.042,0.291,0.251
"P20","Nunca la votaría",0.925,0.17,0.407
"P20","No sabe",0.021,0.034,0.096
"P21","Lo votaría",0.036,0.256,0.334
"P21","Puede que lo vote",0.062,0.247,0.137
"P21","Nunca lo votaría",0.872,0.444,0.407
"P21","No sabe",0.03,0.053,0.122
"P22","La votaría",0.014,0.235,0.085
"P22","Puede que la vote",0.024,0.397,0.174
"P22","Nunca la votaría",0.906,0.288,0.624
"P22","No sabe",0.056,0.08,0.117
"P23","Lo votaría",0.203,0.027,0.033
"P23","Puede que lo vote",0.482,0.048,0.086
"P23","Nunca lo votaría",0.246,0.892,0.825
"P23","No sabe",0.069,0.033,0.056
"P24","Lo votaría",0.016,0.082,0.017
"P24","Puede que lo vote",0.104,0.243,0.102
"P24","Nunca lo votaría",0.78,0.581,0.692
"P24","No sabe",0.1,0.094,0.189
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.008,0.433,0.181
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.007,0.241,0.043
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.097,0.002,0.058
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.836,0.009,0.051
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.007,0.211,0.4
"P25","Otros candidatos",0.045,0.104,0.267
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.909,0.012,0.084
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.02,0.591,0.2
"P29","Javier Milei – José Luis Espert por los liberales",0.016,0.251,0.419
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.029,0.012,0.041
"P29","Otro candidato",0.026,0.134,0.256
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.085,0.534,0.077
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.586,0.045,0.08
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.041,0.28,0.445
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.055,0.01,0.045
"P31","Otro candidato",0.233,0.131,0.353
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.704,0.052,0.092
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.036,0.645,0.22
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.02,0.2,0.388
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.057,0.009,0.041
"P33","Otro candidato",0.183,0.094,0.259
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.526,0.189,0.083
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.226,0.412,0.072
"P35","Javier Milei – José Luis Espert por los liberales",0.019,0.294,0.445
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.054,0.006,0.042
"P35","Otro candidato",0.175,0.099,0.358
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.487,0.28,0.096
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.439,0.307,0.046
"P37","Javier Milei – José Luis Espert por los liberales",0.008,0.291,0.421
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.033,0.011,0.05
"P37","Otro candidato",0.033,0.111,0.387
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.899,0.043,0.062
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.056,0.78,0.298
"P38","No sabe",0.045,0.177,0.64
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.733,0.018,0.077
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.037,0.886,0.105
"P39","No sabe",0.23,0.096,0.818
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.795,0.035,0.074
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.019,0.847,0.336
"P40","No sabe",0.186,0.118,0.59
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.829,0.035,0.077
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.016,0.888,0.061
"P42","No sabe",0.155,0.077,0.862
"P43","Muy buena",0.164,0.001,0.012
"P43","Buena",0.337,0.056,0.034
"P43","Ni buena ni mala",0.289,0.05,0.171
"P43","Mala",0.147,0.106,0.124
"P43","Muy mala",0.046,0.78,0.635
"P43","No sabe",0.017,0.007,0.024
"P44","Muy de acuerdo",0.322,0.107,0.102
"P44","De acuerdo",0.293,0.126,0.115
"P44","Ni de acuerdo ni en desacuerdo",0.27,0.323,0.301
"P44","En desacuerdo",0.055,0.165,0.147
"P44","Muy en desacuerdo",0.02,0.236,0.215
"P44","No sabe",0.04,0.043,0.12
"P45","Muy de acuerdo",0.349,0.045,0.063
"P45","De acuerdo",0.36,0.063,0.07
"P45","Ni de acuerdo ni en desacuerdo",0.216,0.29,0.303
"P45","En desacuerdo",0.045,0.21,0.125
"P45","Muy en desacuerdo",0.02,0.367,0.377
"P45","No sabe",0.01,0.025,0.062
"P46","Si",0.633,0.06,0.111
"P46","No",0.106,0.743,0.647
"P46","No sabe",0.261,0.197,0.242
"P47","Muy buena",0.21,0.013,0.039
"P47","Buena",0.303,0.098,0.088
"P47","Ni buena ni mala",0.275,0.075,0.13
"P47","Mala",0.154,0.12,0.157
"P47","Muy mala",0.054,0.692,0.569
"P47","No sabe",0.004,0.002,0.017
"P48","Muy buena",0.669,0.001,0.016
"P48","Buena",0.181,0.013,0.034
"P48","Ni buena ni mala",0.094,0.028,0.069
"P48","Mala",0.043,0.072,0.128
"P48","Muy mala",0.012,0.877,0.735
"P48","No sabe",0.001,0.009,0.018
"P49","Muy buena",0.085,0.273,0.121
"P49","Buena",0.011,0.274,0.169
"P49","Ni buena ni mala",0.049,0.19,0.175
"P49","Mala",0.196,0.101,0.219
"P49","Muy mala",0.65,0.157,0.294
"P49","No sabe",0.009,0.005,0.022
"P50","Muy buena",0.016,0.295,0.048
"P50","Buena",0.036,0.361,0.161
"P50","Ni buena ni mala",0.136,0.238,0.252
"P50","Mala",0.242,0.057,0.195
"P50","Muy mala",0.556,0.034,0.301
"P50","No sabe",0.014,0.015,0.043
"P51","Muy buena",0.159,0.038,0.045
"P51","Buena",0.365,0.052,0.058
"P51","Ni buena ni mala",0.339,0.131,0.157
"P51","Mala",0.078,0.187,0.184
"P51","Muy mala",0.054,0.586,0.521
"P51","No sabe",0.005,0.006,0.035
"P52","Muy buena",0.024,0.463,0.231
"P52","Buena",0.054,0.254,0.224
"P52","Ni buena ni mala",0.079,0.14,0.196
"P52","Mala",0.167,0.05,0.114
"P52","Muy mala",0.673,0.085,0.18
"P52","No sabe",0.003,0.008,0.055
"P53","Muy buena",0.016,0.179,0.316
"P53","Buena",0.039,0.243,0.124
"P53","Ni buena ni mala",0.109,0.315,0.231
"P53","Mala",0.154,0.135,0.122
"P53","Muy mala",0.669,0.115,0.165
"P53","No sabe",0.013,0.013,0.042
"P54","Muy buena",0.011,0.315,0.098
"P54","Buena",0.009,0.328,0.176
"P54","Ni buena ni mala",0.074,0.209,0.22
"P54","Mala",0.186,0.069,0.193
"P54","Muy mala",0.714,0.073,0.281
"P54","No sabe",0.006,0.006,0.032
"P55","Muy buena",0.144,0.019,0.03
"P55","Buena",0.382,0.047,0.042
"P55","Ni buena ni mala",0.311,0.088,0.154
"P55","Mala",0.079,0.204,0.18
"P55","Muy mala",0.077,0.64,0.56
"P55","No sabe",0.007,0.002,0.034
"P56","Muy buena",0.023,0.152,0.084
"P56","Buena",0.094,0.292,0.11
"P56","Ni buena ni mala",0.37,0.309,0.331
"P56","Mala",0.213,0.095,0.173
"P56","Muy mala",0.229,0.12,0.232
"P56","No sabe",0.071,0.032,0.07
"P57","Muy buena",0.01,0.082,0.034
"P57","Buena",0.035,0.245,0.072
"P57","Ni buena ni mala",0.219,0.426,0.319
"P57","Mala",0.183,0.107,0.167
"P57","Muy mala",0.479,0.092,0.299
"P57","No sabe",0.074,0.048,0.109
