"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P50","Buena",0.06,0.383,0.108
"P50","Ni buena ni mala",0.138,0.228,0.251
"P50","Mala",0.247,0.05,0.192
"P50","Muy mala",0.511,0.029,0.365
"P50","No sabe",0.024,0.008,0.036
"P51","Muy buena",0.19,0.032,0.027
"P51","Buena",0.392,0.046,0.064
"P51","Ni buena ni mala",0.306,0.117,0.228
"P51","Mala",0.062,0.199,0.177
"P51","Muy mala",0.046,0.6,0.474
"P51","No sabe",0.004,0.006,0.03
"P52","Muy buena",0.027,0.482,0.202
"P52","Buena",0.079,0.243,0.195
"P52","Ni buena ni mala",0.084,0.14,0.176
"P52","Mala",0.162,0.054,0.114
"P52","Muy mala",0.633,0.077,0.275
"P52","No sabe",0.015,0.004,0.038
"P53","Muy buena",0.009,0.182,0.281
"P53","Buena",0.055,0.226,0.126
"P53","Ni buena ni mala",0.116,0.321,0.209
"P53","Mala",0.16,0.141,0.112
"P53","Muy mala",0.64,0.124,0.233
"P53","No sabe",0.02,0.006,0.039
"P54","Muy buena",0.018,0.32,0.09
"P54","Buena",0.018,0.335,0.152
"P54","Ni buena ni mala",0.083,0.211,0.192
"P54","Mala",0.181,0.069,0.19
"P54","Muy mala",0.69,0.061,0.35
"P54","No sabe",0.01,0.004,0.026
"P55","Muy buena",0.139,0.024,0.038
"P55","Buena",0.379,0.045,0.082
"P55","Ni buena ni mala",0.319,0.068,0.18
"P55","Mala",0.084,0.205,0.166
"P55","Muy mala",0.07,0.656,0.507
"P55","No sabe",0.009,0.002,0.027
"P56","Muy buena",0.031,0.157,0.067
"P56","Buena",0.118,0.299,0.087
"P56","Ni buena ni mala",0.367,0.314,0.331
"P56","Mala",0.21,0.094,0.177
"P56","Muy mala",0.204,0.115,0.257
"P56","No sabe",0.07,0.021,0.081
"P57","Muy buena",0.004,0.094,0.026
"P57","Buena",0.043,0.259,0.055
"P57","Ni buena ni mala",0.228,0.425,0.309
"P57","Mala",0.191,0.104,0.158
"P57","Muy mala",0.452,0.08,0.347
"P57","No sabe",0.082,0.038,0.105
