"var","categoria","Si","No","No sabe"
"P15","Lo votaría",0.402,0.051,0.073
"P15","Puede que lo vote",0.363,0.054,0.278
"P15","Nunca lo votaría",0.154,0.86,0.497
"P15","No sabe",0.081,0.035,0.152
"P16","Lo votaría",0.264,0.022,0.108
"P16","Puede que lo vote",0.367,0.045,0.216
"P16","Nunca lo votaría",0.276,0.916,0.582
"P16","No sabe",0.093,0.017,0.094
"P17","La votaría",0.658,0.065,0.336
"P17","Puede que la vote",0.141,0.022,0.092
"P17","Nunca la votaría",0.167,0.9,0.514
"P17","No sabe",0.034,0.013,0.058
"P18","Lo votaría",0.085,0.205,0.127
"P18","Puede que lo vote",0.091,0.34,0.243
"P18","Nunca lo votaría",0.763,0.405,0.517
"P18","No sabe",0.061,0.05,0.113
"P19","Lo votaría",0.041,0.123,0.082
"P19","Puede que lo vote",0.144,0.316,0.286
"P19","Nunca lo votaría",0.698,0.496,0.471
"P19","No sabe",0.117,0.065,0.161
"P20","La votaría",0.052,0.431,0.173
"P20","Puede que la vote",0.056,0.269,0.199
"P20","Nunca la votaría",0.874,0.269,0.563
"P20","No sabe",0.018,0.031,0.065
"P21","Lo votaría",0.079,0.297,0.137
"P21","Puede que lo vote",0.072,0.211,0.133
"P21","Nunca lo votaría",0.809,0.446,0.636
"P21","No sabe",0.04,0.046,0.094
"P22","La votaría",0.036,0.18,0.096
"P22","Puede que la vote",0.059,0.311,0.185
"P22","Nunca la votaría",0.841,0.453,0.603
"P22","No sabe",0.064,0.056,0.116
"P23","Lo votaría",0.227,0.028,0.058
"P23","Puede que lo vote",0.437,0.065,0.273
"P23","Nunca lo votaría",0.274,0.878,0.585
"P23","No sabe",0.062,0.029,0.084
"P24","Lo votaría",0.033,0.046,0.041
"P24","Puede que lo vote",0.106,0.184,0.169
"P24","Nunca lo votaría",0.738,0.692,0.615
"P24","No sabe",0.123,0.078,0.175
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.029,0.36,0.149
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.038,0.125,0.146
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.095,0.015,0.057
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.724,0.072,0.362
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.035,0.304,0.126
"P25","Otros candidatos",0.079,0.124,0.16
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.791,0.073,0.42
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.047,0.455,0.223
"P29","Javier Milei – José Luis Espert por los liberales",0.052,0.33,0.155
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.024,0.017,0.041
"P29","Otro candidato",0.086,0.125,0.161
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.124,0.339,0.252
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.536,0.072,0.272
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.06,0.36,0.182
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.034,0.02,0.065
"P31","Otro candidato",0.246,0.209,0.229
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.719,0.063,0.298
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.079,0.482,0.258
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.041,0.298,0.116
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.025,0.02,0.063
"P33","Otro candidato",0.136,0.137,0.265
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.529,0.132,0.325
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.257,0.276,0.224
"P35","Javier Milei – José Luis Espert por los liberales",0.057,0.375,0.145
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.025,0.019,0.056
"P35","Otro candidato",0.132,0.198,0.25
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.46,0.216,0.336
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.398,0.22,0.301
"P37","Javier Milei – José Luis Espert por los liberales",0.051,0.354,0.149
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.018,0.021,0.046
"P37","Otro candidato",0.073,0.189,0.168
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.782,0.092,0.401
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.078,0.642,0.293
"P38","No sabe",0.14,0.266,0.306
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.682,0.056,0.32
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.099,0.587,0.303
"P39","No sabe",0.219,0.357,0.377
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.776,0.058,0.325
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.062,0.674,0.33
"P40","No sabe",0.162,0.268,0.345
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.822,0.08,0.413
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.081,0.591,0.329
"P41","No sabe",0.097,0.329,0.258
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.805,0.062,0.345
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.057,0.574,0.305
"P42","No sabe",0.138,0.364,0.35
"P43","Muy buena",0.184,0.009,0.031
"P43","Buena",0.332,0.053,0.147
"P43","Ni buena ni mala",0.268,0.075,0.24
"P43","Mala",0.132,0.086,0.201
"P43","Muy mala",0.064,0.772,0.351
"P43","No sabe",0.02,0.005,0.03
"P44","Muy de acuerdo",0.421,0.094,0.086
"P44","De acuerdo",0.296,0.114,0.198
"P44","Ni de acuerdo ni en desacuerdo",0.173,0.305,0.438
"P44","En desacuerdo",0.05,0.164,0.114
"P44","Muy en desacuerdo",0.02,0.272,0.057
"P44","No sabe",0.04,0.051,0.107
"P45","Muy de acuerdo",0.505,0.016,0.048
"P45","De acuerdo",0.363,0.061,0.181
"P45","Ni de acuerdo ni en desacuerdo",0.092,0.23,0.556
"P45","En desacuerdo",0.021,0.197,0.108
"P45","Muy en desacuerdo",0.004,0.471,0.055
"P45","No sabe",0.015,0.025,0.052
"P47","Muy buena",0.274,0.004,0.052
"P47","Buena",0.273,0.132,0.128
"P47","Ni buena ni mala",0.227,0.051,0.316
"P47","Mala",0.157,0.114,0.181
"P47","Muy mala",0.065,0.699,0.302
"P47","No sabe",0.004,0,0.021
"P48","Muy buena",0.588,0.045,0.266
"P48","Buena",0.171,0.017,0.098
"P48","Ni buena ni mala",0.093,0.024,0.105
"P48","Mala",0.072,0.064,0.103
"P48","Muy mala",0.071,0.844,0.409
"P48","No sabe",0.005,0.006,0.019
"P49","Muy buena",0.101,0.244,0.085
"P49","Buena",0.03,0.227,0.141
"P49","Ni buena ni mala",0.075,0.163,0.148
"P49","Mala",0.193,0.126,0.213
"P49","Muy mala",0.591,0.234,0.392
"P49","No sabe",0.01,0.006,0.021
"P50","Muy buena",0.054,0.192,0.098
"P50","Buena",0.089,0.255,0.186
"P50","Ni buena ni mala",0.136,0.237,0.22
"P50","Mala",0.222,0.111,0.183
"P50","Muy mala",0.478,0.195,0.267
"P50","No sabe",0.021,0.01,0.046
"P51","Muy buena",0.242,0.021,0.025
"P51","Buena",0.392,0.042,0.161
"P51","Ni buena ni mala",0.265,0.079,0.431
"P51","Mala",0.045,0.182,0.196
"P51","Muy mala",0.044,0.671,0.158
"P51","No sabe",0.012,0.005,0.029
"P52","Muy buena",0.053,0.405,0.143
"P52","Buena",0.082,0.231,0.163
"P52","Ni buena ni mala",0.086,0.14,0.171
"P52","Mala",0.157,0.06,0.15
"P52","Muy mala",0.609,0.154,0.332
"P52","No sabe",0.013,0.01,0.041
"P53","Muy buena",0.03,0.25,0.1
"P53","Buena",0.069,0.191,0.113
"P53","Ni buena ni mala",0.118,0.255,0.265
"P53","Mala",0.171,0.114,0.152
"P53","Muy mala",0.592,0.18,0.329
"P53","No sabe",0.02,0.01,0.041
"P54","Muy buena",0.043,0.23,0.113
"P54","Buena",0.039,0.262,0.152
"P54","Ni buena ni mala",0.087,0.193,0.188
"P54","Mala",0.175,0.107,0.178
"P54","Muy mala",0.64,0.203,0.345
"P54","No sabe",0.016,0.005,0.024
"P55","Muy buena",0.177,0.018,0.038
"P55","Buena",0.349,0.049,0.2
"P55","Ni buena ni mala",0.28,0.086,0.282
"P55","Mala",0.097,0.168,0.186
"P55","Muy mala",0.083,0.676,0.267
"P55","No sabe",0.014,0.003,0.027
"P56","Muy buena",0.047,0.114,0.082
"P56","Buena",0.108,0.2,0.2
"P56","Ni buena ni mala",0.365,0.324,0.331
"P56","Mala",0.203,0.136,0.149
"P56","Muy mala",0.201,0.207,0.13
"P56","No sabe",0.076,0.019,0.108
"P57","Muy buena",0.014,0.061,0.042
"P57","Buena",0.055,0.156,0.146
"P57","Ni buena ni mala",0.239,0.364,0.343
"P57","Mala",0.176,0.141,0.136
"P57","Muy mala",0.421,0.239,0.216
"P57","No sabe",0.095,0.039,0.117
