"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","No sabe"
"P55","Muy buena",0.147,0.023,0.038
"P55","Buena",0.38,0.037,0.118
"P55","Ni buena ni mala",0.304,0.074,0.222
"P55","Mala",0.083,0.172,0.208
"P55","Muy mala",0.08,0.689,0.384
"P55","No sabe",0.006,0.005,0.03
"P56","Muy buena",0.031,0.134,0.083
"P56","Buena",0.106,0.262,0.117
"P56","Ni buena ni mala",0.362,0.329,0.318
"P56","Mala",0.219,0.109,0.16
"P56","Muy mala",0.208,0.141,0.238
"P56","No sabe",0.074,0.025,0.084
"P57","Muy buena",0.007,0.078,0.033
"P57","Buena",0.043,0.212,0.086
"P57","Ni buena ni mala",0.233,0.414,0.292
"P57","Mala",0.193,0.118,0.148
"P57","Muy mala",0.445,0.138,0.323
"P57","No sabe",0.079,0.04,0.118
