"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Mauricio Macri presidente – María Eugenia Vidal vice","No sabe"
"P19","No sabe",0.11,0.075,0.176
"P20","La votaría",0.029,0.523,0.166
"P20","Puede que la vote",0.033,0.302,0.247
"P20","Nunca la votaría",0.905,0.145,0.503
"P20","No sabe",0.033,0.03,0.084
"P21","Lo votaría",0.04,0.247,0.339
"P21","Puede que lo vote",0.056,0.239,0.154
"P21","Nunca lo votaría",0.862,0.467,0.379
"P21","No sabe",0.042,0.047,0.128
"P22","La votaría",0.021,0.232,0.067
"P22","Puede que la vote",0.033,0.37,0.191
"P22","Nunca la votaría",0.884,0.331,0.594
"P22","No sabe",0.062,0.067,0.148
"P23","Lo votaría",0.206,0.018,0.042
"P23","Puede que lo vote",0.474,0.049,0.097
"P23","Nunca lo votaría",0.252,0.906,0.791
"P23","No sabe",0.068,0.027,0.07
"P24","Lo votaría",0.023,0.057,0.044
"P24","Puede que lo vote",0.1,0.226,0.116
"P24","Nunca lo votaría",0.766,0.631,0.632
"P24","No sabe",0.111,0.086,0.208
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.03,0.493,0.043
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.025,0.164,0.14
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.109,0.01,0.045
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.791,0.05,0.06
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.006,0.214,0.391
"P25","Otros candidatos",0.039,0.069,0.321
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.878,0.053,0.082
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.045,0.648,0.049
"P29","Javier Milei – José Luis Espert por los liberales",0.016,0.243,0.427
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.032,0.003,0.053
"P29","Otro candidato",0.029,0.053,0.389
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.09,0.47,0.159
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.589,0.065,0.057
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.032,0.294,0.427
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.057,0.006,0.049
"P31","Otro candidato",0.232,0.165,0.308
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.679,0.062,0.126
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.06,0.66,0.135
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.019,0.197,0.392
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.056,0.007,0.049
"P33","Otro candidato",0.186,0.074,0.298
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.529,0.167,0.118
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.226,0.365,0.134
"P35","Javier Milei – José Luis Espert por los liberales",0.018,0.304,0.419
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.051,0.008,0.048
"P35","Otro candidato",0.176,0.156,0.281
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.543,0.216,0.122
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.391,0.319,0.098
"P37","Javier Milei – José Luis Espert por los liberales",0.006,0.291,0.42
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.034,0.007,0.052
"P37","Otro candidato",0.026,0.167,0.308
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.72,0.038,0.076
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.07,0.766,0.202
"P39","No sabe",0.21,0.196,0.722
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.76,0.05,0.111
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.047,0.864,0.233
"P40","No sabe",0.193,0.086,0.656
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.912,0.053,0.067
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.045,0.755,0.273
"P41","No sabe",0.043,0.192,0.66
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.798,0.05,0.124
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.047,0.723,0.229
"P42","No sabe",0.155,0.227,0.647
"P43","Muy buena",0.155,0.008,0.018
"P43","Buena",0.322,0.06,0.058
"P43","Ni buena ni mala",0.293,0.062,0.158
"P43","Mala",0.145,0.08,0.171
"P43","Muy mala",0.068,0.777,0.58
"P43","No sabe",0.017,0.013,0.015
"P44","Muy de acuerdo",0.314,0.118,0.102
"P44","De acuerdo",0.291,0.133,0.11
"P44","Ni de acuerdo ni en desacuerdo",0.265,0.319,0.312
"P44","En desacuerdo",0.053,0.155,0.163
"P44","Muy en desacuerdo",0.041,0.221,0.202
"P44","No sabe",0.036,0.054,0.111
"P45","Muy de acuerdo",0.344,0.044,0.084
"P45","De acuerdo",0.344,0.058,0.113
"P45","Ni de acuerdo ni en desacuerdo",0.224,0.271,0.32
"P45","En desacuerdo",0.045,0.201,0.132
"P45","Muy en desacuerdo",0.029,0.404,0.291
"P45","No sabe",0.014,0.022,0.06
"P46","Si",0.617,0.055,0.165
"P46","No",0.124,0.776,0.539
"P46","No sabe",0.259,0.169,0.296
"P47","Muy buena",0.204,0.016,0.05
"P47","Buena",0.305,0.087,0.111
"P47","Ni buena ni mala",0.272,0.068,0.155
"P47","Mala",0.156,0.104,0.184
"P47","Muy mala",0.062,0.721,0.483
"P47","No sabe",0.001,0.004,0.017
"P48","Muy buena",0.651,0.028,0.014
"P48","Buena",0.17,0.017,0.047
"P48","Ni buena ni mala",0.085,0.021,0.097
"P48","Mala",0.05,0.051,0.156
"P48","Muy mala",0.039,0.877,0.667
"P48","No sabe",0.005,0.006,0.019
"P49","Muy buena",0.081,0.314,0.045
"P49","Buena",0.014,0.306,0.1
"P49","Ni buena ni mala",0.045,0.185,0.184
"P49","Mala",0.193,0.088,0.253
"P49","Muy mala",0.657,0.102,0.395
"P49","No sabe",0.01,0.005,0.023
"P50","Muy buena",0.034,0.25,0.078
"P50","Buena",0.051,0.312,0.204
"P50","Ni buena ni mala",0.125,0.261,0.228
"P50","Mala",0.244,0.08,0.165
"P50","Muy mala",0.536,0.095,0.253
"P50","No sabe",0.01,0.002,0.072
"P51","Muy buena",0.167,0.028,0.054
"P51","Buena",0.367,0.041,0.081
"P51","Ni buena ni mala",0.313,0.114,0.231
"P51","Mala",0.086,0.173,0.193
"P51","Muy mala",0.061,0.637,0.41
"P51","No sabe",0.006,0.007,0.031
"P52","Muy buena",0.041,0.489,0.138
"P52","Buena",0.049,0.266,0.204
"P52","Ni buena ni mala",0.068,0.132,0.228
"P52","Mala",0.169,0.038,0.138
"P52","Muy mala",0.668,0.071,0.232
"P52","No sabe",0.005,0.004,0.06
"P53","Muy buena",0.019,0.191,0.294
"P53","Buena",0.041,0.224,0.14
"P53","Ni buena ni mala",0.117,0.302,0.231
"P53","Mala",0.152,0.146,0.107
"P53","Muy mala",0.659,0.13,0.172
"P53","No sabe",0.012,0.007,0.056
"P54","Muy buena",0.025,0.304,0.075
"P54","Buena",0.015,0.332,0.144
"P54","Ni buena ni mala",0.077,0.199,0.229
"P54","Mala",0.18,0.071,0.208
"P54","Muy mala",0.697,0.088,0.309
"P54","No sabe",0.006,0.006,0.035
"P55","Muy buena",0.147,0.02,0.027
"P55","Buena",0.372,0.042,0.077
"P55","Ni buena ni mala",0.311,0.081,0.175
"P55","Mala",0.086,0.178,0.208
"P55","Muy mala",0.077,0.674,0.482
"P55","No sabe",0.007,0.005,0.031
"P56","Muy buena",0.026,0.117,0.133
"P56","Buena",0.091,0.252,0.168
"P56","Ni buena ni mala",0.37,0.345,0.272
"P56","Mala",0.216,0.123,0.128
"P56","Muy mala",0.228,0.142,0.205
"P56","No sabe",0.069,0.021,0.094
"P57","Muy buena",0.014,0.065,0.052
"P57","Buena",0.04,0.208,0.114
"P57","Ni buena ni mala",0.227,0.398,0.345
"P57","Mala",0.186,0.128,0.132
"P57","Muy mala",0.466,0.154,0.233
"P57","No sabe",0.067,0.047,0.124
