"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","Javier Milei presidente – José Luis Espert vice por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P46","No",0.101,0.74,0.79,0.315,0.4
"P46","No sabe",0.228,0.19,0.147,0.458,0.369
"P47","Muy buena",0.217,0.024,0.006,0.046,0.094
"P47","Buena",0.298,0.091,0.113,0.192,0.15
"P47","Ni buena ni mala",0.277,0.059,0.054,0.304,0.239
"P47","Mala",0.147,0.107,0.149,0.224,0.177
"P47","Muy mala",0.057,0.716,0.673,0.234,0.322
"P47","No sabe",0.004,0.003,0.005,0,0.018
"P48","Muy buena",0.585,0.027,0.006,0.333,0.313
"P48","Buena",0.183,0.015,0.01,0.141,0.076
"P48","Ni buena ni mala",0.103,0.016,0.037,0.141,0.089
"P48","Mala",0.07,0.06,0.061,0.2,0.106
"P48","Muy mala",0.056,0.88,0.874,0.173,0.388
"P48","No sabe",0.003,0.002,0.012,0.012,0.028
"P49","Muy buena",0.074,0.371,0.054,0.025,0.096
"P49","Buena",0.029,0.287,0.231,0.015,0.059
"P49","Ni buena ni mala",0.055,0.174,0.197,0.084,0.147
"P49","Mala",0.22,0.056,0.233,0.08,0.213
"P49","Muy mala",0.61,0.111,0.274,0.79,0.457
"P49","No sabe",0.012,0.001,0.011,0.006,0.028
"P50","Muy buena",0.03,0.296,0.09,0.005,0.075
"P50","Buena",0.065,0.361,0.206,0.039,0.12
"P50","Ni buena ni mala",0.149,0.248,0.245,0.107,0.196
"P50","Mala",0.238,0.053,0.179,0.27,0.172
"P50","Muy mala",0.497,0.04,0.263,0.525,0.378
"P50","No sabe",0.021,0.002,0.017,0.054,0.059
"P51","Muy buena",0.2,0.042,0.018,0.021,0.037
"P51","Buena",0.412,0.041,0.047,0.09,0.112
"P51","Ni buena ni mala",0.289,0.109,0.15,0.534,0.281
"P51","Mala",0.054,0.176,0.196,0.148,0.202
"P51","Muy mala",0.04,0.626,0.577,0.204,0.324
"P51","No sabe",0.005,0.006,0.012,0.003,0.044
"P52","Muy buena",0.038,0.581,0.232,0.017,0.039
"P52","Buena",0.078,0.238,0.3,0.014,0.115
"P52","Ni buena ni mala",0.079,0.074,0.249,0.147,0.208
"P52","Mala",0.172,0.037,0.089,0.076,0.157
"P52","Muy mala",0.623,0.065,0.118,0.686,0.425
"P52","No sabe",0.01,0.005,0.012,0.06,0.056
"P53","Muy buena",0.012,0.118,0.592,0.009,0.023
"P53","Buena",0.054,0.219,0.244,0.004,0.048
"P53","Ni buena ni mala",0.091,0.38,0.122,0.085,0.277
"P53","Mala",0.175,0.153,0.021,0.154,0.175
"P53","Muy mala",0.65,0.12,0.015,0.694,0.423
"P53","No sabe",0.018,0.01,0.006,0.054,0.054
"P54","Muy buena",0.029,0.36,0.105,0.005,0.048
"P54","Buena",0.02,0.366,0.194,0.019,0.092
"P54","Ni buena ni mala",0.064,0.183,0.256,0.186,0.195
"P54","Mala",0.184,0.047,0.169,0.211,0.208
"P54","Muy mala",0.692,0.043,0.263,0.579,0.416
"P54","No sabe",0.011,0.001,0.013,0,0.041
"P55","Muy buena",0.147,0.03,0.021,0,0.056
"P55","Buena",0.394,0.043,0.038,0.151,0.145
"P55","Ni buena ni mala",0.308,0.086,0.083,0.354,0.235
"P55","Mala",0.076,0.191,0.17,0.181,0.193
"P55","Muy mala",0.072,0.644,0.675,0.308,0.333
"P55","No sabe",0.003,0.006,0.013,0.006,0.038
"P56","Muy buena",0.035,0.127,0.105,0.006,0.106
"P56","Buena",0.107,0.292,0.161,0.078,0.108
"P56","Ni buena ni mala",0.364,0.322,0.338,0.26,0.328
"P56","Mala",0.21,0.108,0.133,0.256,0.166
"P56","Muy mala",0.208,0.132,0.221,0.335,0.191
"P56","No sabe",0.076,0.019,0.042,0.065,0.101
"P57","Muy buena",0.014,0.08,0.038,0,0.044
"P57","Buena",0.046,0.253,0.089,0.005,0.09
"P57","Ni buena ni mala",0.242,0.391,0.378,0.225,0.306
"P57","Mala",0.177,0.115,0.15,0.134,0.168
"P57","Muy mala",0.444,0.132,0.246,0.459,0.294
"P57","No sabe",0.077,0.029,0.099,0.177,0.098
