"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.278,0.19,0.03
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.012,0.002,0.011
"P31","Otro candidato",0.125,0.177,0.282
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.047,0.044,0.058
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.656,0.752,0.806
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.206,0.104,0.011
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.004,0,0.008
"P33","Otro candidato",0.087,0.1,0.117
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.169,0.166,0.218
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.444,0.426,0.493
"P35","Javier Milei – José Luis Espert por los liberales",0.275,0.23,0.036
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0,0,0.008
"P35","Otro candidato",0.112,0.178,0.245
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.334,0.268,0.387
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.328,0.321,0.32
"P37","Javier Milei – José Luis Espert por los liberales",0.206,0.228,0.04
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.002,0,0.003
"P37","Otro candidato",0.13,0.183,0.25
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.087,0.089,0.083
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.777,0.84,0.785
"P38","No sabe",0.136,0.071,0.132
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.075,0.031,0.044
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.767,0.788,0.756
"P39","No sabe",0.158,0.181,0.2
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.056,0.025,0.036
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.836,0.845,0.857
"P40","No sabe",0.108,0.13,0.107
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.035,0.042,0.048
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.865,0.784,0.756
"P41","No sabe",0.1,0.174,0.196
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.037,0.039,0.041
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.834,0.768,0.736
"P42","No sabe",0.129,0.193,0.223
"P43","Muy buena",0.034,0.001,0.016
"P43","Buena",0.089,0.058,0.045
"P43","Ni buena ni mala",0.012,0.051,0.042
"P43","Mala",0.137,0.059,0.053
"P43","Muy mala",0.723,0.823,0.844
"P43","No sabe",0.005,0.008,0
"P44","Muy de acuerdo",0.108,0.089,0.089
"P44","De acuerdo",0.07,0.128,0.122
"P44","Ni de acuerdo ni en desacuerdo",0.297,0.331,0.373
"P44","En desacuerdo",0.2,0.188,0.167
"P44","Muy en desacuerdo",0.258,0.238,0.213
"P44","No sabe",0.067,0.026,0.036
"P45","Muy de acuerdo",0.063,0.018,0.038
"P45","De acuerdo",0.052,0.069,0.048
"P45","Ni de acuerdo ni en desacuerdo",0.268,0.319,0.278
"P45","En desacuerdo",0.197,0.189,0.194
"P45","Muy en desacuerdo",0.39,0.394,0.428
"P45","No sabe",0.03,0.011,0.014
"P46","Si",0.077,0.04,0.05
"P46","No",0.763,0.78,0.764
"P46","No sabe",0.16,0.18,0.186
"P47","Muy buena",0.031,0,0.025
"P47","Buena",0.09,0.111,0.084
"P47","Ni buena ni mala",0.074,0.041,0.049
"P47","Mala",0.161,0.112,0.06
"P47","Muy mala",0.644,0.727,0.78
"P47","No sabe",0,0.009,0.002
"P48","Muy buena",0.028,0.004,0.032
"P48","Buena",0.006,0.033,0.007
"P48","Ni buena ni mala",0.017,0.01,0.01
"P48","Mala",0.06,0.056,0.032
"P48","Muy mala",0.887,0.873,0.919
"P48","No sabe",0.002,0.024,0
"P49","Muy buena",0.291,0.302,0.431
"P49","Buena",0.258,0.371,0.262
"P49","Ni buena ni mala",0.212,0.156,0.135
"P49","Mala",0.034,0.05,0.06
"P49","Muy mala",0.202,0.104,0.112
"P49","No sabe",0.003,0.017,0
"P50","Muy buena",0.374,0.245,0.323
"P50","Buena",0.297,0.404,0.353
"P50","Ni buena ni mala",0.191,0.24,0.187
"P50","Mala",0.086,0.034,0.065
"P50","Muy mala",0.052,0.077,0.069
"P50","No sabe",0,0,0.003
"P51","Muy buena",0.068,0.018,0.029
"P51","Buena",0.039,0.068,0.029
"P51","Ni buena ni mala",0.124,0.073,0.105
"P51","Mala",0.179,0.171,0.141
"P51","Muy mala",0.563,0.65,0.69
"P51","No sabe",0.027,0.02,0.006
"P52","Muy buena",0.512,0.478,0.575
"P52","Buena",0.24,0.294,0.206
"P52","Ni buena ni mala",0.141,0.095,0.107
"P52","Mala",0.04,0.046,0.046
"P52","Muy mala",0.064,0.078,0.066
"P52","No sabe",0.003,0.009,0
"P53","Muy buena",0.16,0.082,0.056
"P53","Buena",0.33,0.334,0.085
"P53","Ni buena ni mala",0.356,0.446,0.348
"P53","Mala",0.04,0.099,0.24
"P53","Muy mala",0.112,0.033,0.265
"P53","No sabe",0.002,0.006,0.006
"P54","Muy buena",0.358,0.33,0.344
"P54","Buena",0.355,0.358,0.344
"P54","Ni buena ni mala",0.168,0.201,0.141
"P54","Mala",0.013,0.052,0.087
"P54","Muy mala",0.1,0.059,0.084
"P54","No sabe",0.006,0,0
"P55","Muy buena",0.044,0.022,0.035
"P55","Buena",0.043,0.042,0.03
"P55","Ni buena ni mala",0.057,0.108,0.073
"P55","Mala",0.222,0.183,0.138
"P55","Muy mala",0.634,0.64,0.723
"P55","No sabe",0,0.005,0.001
"P56","Muy buena",0.138,0.135,0.137
"P56","Buena",0.282,0.298,0.244
"P56","Ni buena ni mala",0.283,0.326,0.316
"P56","Mala",0.054,0.151,0.121
"P56","Muy mala",0.186,0.088,0.173
"P56","No sabe",0.057,0.002,0.009
"P57","Muy buena",0.143,0.09,0.056
"P57","Buena",0.233,0.264,0.237
"P57","Ni buena ni mala",0.403,0.318,0.372
"P57","Mala",0.029,0.182,0.158
"P57","Muy mala",0.128,0.132,0.163
"P57","No sabe",0.064,0.014,0.014
