"var","categoria","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba","A los candidatos  a gobernador y vicegobernador del Frente de Todos","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba","A los candidatos a gobernador y vicegobernador del Frente de Izquierda","Votaría en blanco","No sabe"
"P12","No sabe",0.026,0.349,0.286,0.022,0.057,0,0.274,0.19
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.779,0.083,0.013,0.108,0.159,0.043,0.154,0.139
"P13","A Martín Llaryora por Hacemos por Córdoba",0.087,0.841,0.109,0.046,0.111,0.073,0.099,0.169
"P13","Al candidato del Frente de Todos",0.02,0.026,0.827,0.009,0.01,0.055,0.016,0.031
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.037,0.011,0.006,0.774,0.049,0.005,0.018,0.019
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.013,0.001,0.001,0.018,0.537,0.027,0.018,0.027
"P13","Al candidato del Frente de Izquierda",0.005,0.001,0.005,0.001,0.066,0.658,0.032,0
"P13","Votaría en blanco",0.012,0.013,0.016,0.016,0.033,0.071,0.495,0.062
"P13","No sabe",0.047,0.024,0.023,0.028,0.035,0.068,0.168,0.553
"P15","A Luis Juez por Juntos por el Cambio",0.693,0.142,0.017,0.147,0.124,0.119,0.33,0.21
"P15","A Martín Llaryora por Hacemos por Córdoba",0.172,0.802,0.115,0.051,0.127,0.024,0.108,0.18
"P15","Al candidato del Frente de Todos",0.012,0.015,0.814,0.008,0.052,0.076,0.03,0.019
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.047,0.005,0.01,0.741,0.04,0.014,0.007,0.016
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.022,0.002,0.002,0.014,0.547,0,0.022,0.019
"P15","Al candidato del Frente de Izquierda",0.006,0.002,0.02,0.011,0.049,0.677,0.016,0.006
"P15","Votaría en blanco",0.009,0.009,0.005,0.005,0.03,0.022,0.361,0.051
"P15","No sabe",0.039,0.023,0.017,0.023,0.031,0.068,0.126,0.499
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.837,0.105,0.02,0.101,0.208,0.094,0.228,0.192
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.074,0.855,0.026,0.026,0.052,0.007,0.055,0.043
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.005,0.011,0.894,0.006,0.003,0,0.041,0.021
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.031,0.006,0.021,0.809,0.058,0.014,0,0.009
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.012,0.001,0,0.014,0.618,0.012,0.019,0.003
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.004,0.001,0.018,0.007,0.005,0.796,0.009,0.008
"P17","Votaría en blanco",0.004,0.003,0.013,0.005,0.006,0.013,0.593,0.054
"P17","No sabe",0.033,0.018,0.008,0.032,0.05,0.064,0.055,0.67
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.858,0.064,0.009,0.097,0.141,0.077,0.263,0.17
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.055,0.834,0.114,0.017,0.051,0.131,0.074,0.073
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.009,0.017,0.841,0.007,0,0.029,0.007,0.018
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.038,0.017,0.004,0.849,0.067,0,0.005,0.029
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.008,0.002,0.022,0.002,0.689,0,0,0.002
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.004,0.006,0.008,0,0.012,0.747,0,0.007
"P19","Votaría en blanco",0.006,0.027,0,0.023,0.008,0.016,0.618,0.029
"P19","No sabe",0.022,0.033,0.002,0.005,0.032,0,0.033,0.672
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.881,0.073,0.019,0.048,0.087,0.012,0.045,0.07
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.047,0.855,0.142,0.03,0.047,0.083,0.094,0.104
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.005,0.014,0.799,0.003,0.008,0.063,0.016,0.017
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.029,0.017,0.019,0.893,0.074,0.004,0.068,0.017
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.004,0.003,0.002,0.004,0.708,0.005,0.003,0.008
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.001,0.002,0.005,0,0,0.705,0,0.004
"P20","Votaría en blanco",0.007,0.018,0.007,0.021,0.053,0.058,0.73,0.027
"P20","No sabe",0.026,0.018,0.007,0.001,0.023,0.07,0.044,0.753
"P21","Lo votaría",0.664,0.16,0.032,0.065,0.083,0.035,0.133,0.082
"P21","Puede que lo vote",0.271,0.26,0.069,0.361,0.244,0.059,0.21,0.287
"P21","Nunca lo votaría",0.061,0.578,0.893,0.502,0.639,0.871,0.601,0.462
"P21","No sabe",0.004,0.002,0.006,0.072,0.034,0.035,0.056,0.169
"P22","Lo votaría",0.177,0.729,0.113,0.044,0.128,0.063,0.107,0.087
"P22","Puede que lo vote",0.181,0.173,0.344,0.271,0.209,0.138,0.255,0.321
"P22","Nunca lo votaría",0.638,0.096,0.538,0.669,0.633,0.763,0.579,0.46
"P22","No sabe",0.004,0.002,0.005,0.016,0.03,0.036,0.059,0.132
"P23","Lo votaría",0.548,0.164,0.059,0.182,0.192,0.116,0.302,0.192
"P23","Puede que lo vote",0.262,0.17,0.068,0.258,0.121,0.033,0.154,0.169
"P23","Nunca lo votaría",0.18,0.647,0.865,0.524,0.665,0.815,0.48,0.493
"P23","No sabe",0.01,0.019,0.008,0.036,0.022,0.036,0.064,0.146
"P24","Lo votaría",0.129,0.08,0.365,0.065,0.034,0.104,0.054,0.042
"P24","Puede que lo vote",0.096,0.223,0.297,0.162,0.119,0.23,0.185,0.154
"P24","Nunca lo votaría",0.772,0.692,0.336,0.761,0.847,0.654,0.731,0.748
"P24","No sabe",0.003,0.005,0.002,0.012,0,0.012,0.03,0.056
"P25","Muy buena",0.524,0.071,0.044,0.111,0.103,0.016,0.07,0.111
"P25","Buena",0.233,0.193,0.052,0.177,0.127,0.129,0.138,0.183
"P25","Ni buena ni mala",0.211,0.418,0.176,0.445,0.455,0.317,0.427,0.369
"P25","Mala",0.003,0.147,0.253,0.131,0.222,0.288,0.092,0.098
"P25","Muy mala",0.007,0.109,0.45,0.101,0.059,0.23,0.199,0.14
"P25","No sabe",0.022,0.062,0.025,0.035,0.034,0.02,0.074,0.099
"P26","Muy buena",0.43,0.065,0.02,0.189,0.114,0.114,0.209,0.202
"P26","Buena",0.333,0.15,0.038,0.197,0.159,0.054,0.186,0.149
"P26","Ni buena ni mala",0.16,0.225,0.079,0.262,0.291,0.14,0.236,0.167
"P26","Mala",0.04,0.269,0.202,0.208,0.32,0.167,0.096,0.16
"P26","Muy mala",0.03,0.263,0.658,0.115,0.116,0.52,0.22,0.243
"P26","No sabe",0.007,0.028,0.003,0.029,0,0.005,0.053,0.079
"P27","Muy buena",0.107,0.54,0.126,0.082,0.084,0.098,0.105,0.109
"P27","Buena",0.141,0.268,0.183,0.137,0.142,0.066,0.133,0.304
"P27","Ni buena ni mala",0.369,0.105,0.307,0.275,0.407,0.225,0.249,0.198
"P27","Mala",0.243,0.038,0.206,0.247,0.196,0.142,0.195,0.152
"P27","Muy mala",0.127,0.031,0.166,0.232,0.146,0.457,0.283,0.177
"P27","No sabe",0.013,0.018,0.012,0.027,0.025,0.012,0.035,0.06
"P28","Muy buena",0.132,0.13,0.046,0.093,0.508,0.011,0.051,0.07
"P28","Buena",0.149,0.096,0.106,0.1,0.21,0.081,0.14,0.214
"P28","Ni buena ni mala",0.389,0.433,0.261,0.321,0.212,0.383,0.381,0.35
"P28","Mala",0.089,0.088,0.156,0.196,0.052,0.141,0.139,0.121
"P28","Muy mala",0.088,0.081,0.293,0.129,0.018,0.265,0.163,0.107
"P28","No sabe",0.153,0.172,0.138,0.161,0,0.119,0.126,0.138
"P29","Muy buena",0.031,0.071,0.191,0.027,0.039,0.1,0.04,0.056
"P29","Buena",0.023,0.183,0.339,0.016,0.047,0.156,0.03,0.059
"P29","Ni buena ni mala",0.103,0.236,0.228,0.05,0.174,0.202,0.207,0.193
"P29","Mala",0.161,0.211,0.098,0.175,0.21,0.245,0.231,0.186
"P29","Muy mala",0.647,0.246,0.119,0.686,0.53,0.292,0.457,0.452
"P29","No sabe",0.035,0.053,0.025,0.046,0,0.005,0.035,0.054
"P30","Muy buena",0.017,0.217,0.748,0.015,0.04,0.231,0.082,0.083
"P30","Buena",0.015,0.136,0.127,0.001,0.028,0.225,0.032,0.096
"P30","Ni buena ni mala",0.033,0.109,0.079,0.049,0.101,0.118,0.072,0.16
"P30","Mala",0.146,0.163,0.025,0.091,0.203,0.081,0.137,0.121
"P30","Muy mala",0.777,0.352,0.021,0.837,0.628,0.34,0.642,0.528
"P30","No sabe",0.012,0.023,0,0.007,0,0.005,0.035,0.012
"P31","Muy buena",0.338,0.118,0.109,0.133,0.088,0.147,0.244,0.083
"P31","Buena",0.24,0.136,0.009,0.22,0.164,0.033,0.12,0.154
"P31","Ni buena ni mala",0.182,0.134,0.028,0.204,0.146,0.076,0.189,0.193
"P31","Mala",0.09,0.243,0.101,0.149,0.286,0.086,0.104,0.201
"P31","Muy mala",0.145,0.352,0.738,0.289,0.316,0.653,0.284,0.351
"P31","No sabe",0.005,0.017,0.015,0.005,0,0.005,0.059,0.018
"P32","Muy buena",0.206,0.095,0.004,0.11,0.054,0.041,0.147,0.056
"P32","Buena",0.312,0.16,0.027,0.114,0.151,0.078,0.226,0.232
"P32","Ni buena ni mala",0.293,0.277,0.076,0.257,0.355,0.159,0.168,0.259
"P32","Mala",0.1,0.2,0.214,0.211,0.201,0.138,0.175,0.143
"P32","Muy mala",0.07,0.227,0.666,0.28,0.226,0.579,0.222,0.285
"P32","No sabe",0.019,0.041,0.013,0.028,0.013,0.005,0.062,0.025
"P33","Muy buena",0.047,0.11,0.142,0.04,0.027,0.017,0.037,0.029
"P33","Buena",0.062,0.216,0.353,0.028,0.127,0.098,0.044,0.125
"P33","Ni buena ni mala",0.104,0.264,0.272,0.126,0.05,0.291,0.149,0.211
"P33","Mala",0.232,0.167,0.112,0.133,0.243,0.158,0.218,0.212
"P33","Muy mala",0.528,0.218,0.11,0.65,0.553,0.431,0.507,0.399
"P33","No sabe",0.027,0.025,0.011,0.023,0,0.005,0.045,0.024
"P34","Muy buena",0.459,0.157,0.034,0.211,0.182,0.102,0.259,0.171
"P34","Buena",0.218,0.121,0.053,0.264,0.247,0.056,0.129,0.132
"P34","Ni buena ni mala",0.109,0.2,0.063,0.208,0.087,0.159,0.186,0.242
"P34","Mala",0.085,0.201,0.124,0.12,0.227,0.052,0.126,0.126
"P34","Muy mala",0.113,0.3,0.726,0.188,0.257,0.626,0.263,0.296
"P34","No sabe",0.016,0.021,0,0.009,0,0.005,0.037,0.033
"P35","Muy buena",0.169,0.483,0.067,0.089,0.05,0.079,0.115,0.113
"P35","Buena",0.205,0.262,0.105,0.23,0.185,0.053,0.08,0.211
"P35","Ni buena ni mala",0.288,0.121,0.178,0.256,0.336,0.146,0.155,0.258
"P35","Mala",0.167,0.066,0.272,0.185,0.269,0.22,0.32,0.165
"P35","Muy mala",0.157,0.058,0.37,0.213,0.16,0.497,0.293,0.214
"P35","No sabe",0.014,0.01,0.008,0.027,0,0.005,0.037,0.039
"P36","Muy buena",0.176,0.165,0.02,0.614,0.054,0.014,0.056,0.143
"P36","Buena",0.158,0.144,0.026,0.123,0.108,0.018,0.071,0.165
"P36","Ni buena ni mala",0.347,0.249,0.06,0.17,0.369,0.152,0.227,0.202
"P36","Mala",0.155,0.161,0.108,0.043,0.203,0.083,0.332,0.19
"P36","Muy mala",0.131,0.248,0.772,0.027,0.24,0.728,0.268,0.253
"P36","No sabe",0.033,0.033,0.014,0.023,0.026,0.005,0.046,0.047
"P37","Muy buena",0.178,0.065,0.028,0.078,0.077,0.07,0.064,0.082
"P37","Buena",0.289,0.112,0.019,0.125,0.172,0.1,0.104,0.179
"P37","Ni buena ni mala",0.316,0.409,0.243,0.308,0.443,0.256,0.247,0.292
"P37","Mala",0.087,0.172,0.254,0.126,0.164,0.156,0.281,0.189
"P37","Muy mala",0.086,0.141,0.434,0.284,0.144,0.38,0.235,0.161
"P37","No sabe",0.044,0.101,0.022,0.079,0,0.038,0.069,0.097
"P38","Muy buena",0.116,0.026,0.034,0.018,0.027,0.008,0.045,0.066
"P38","Buena",0.228,0.087,0.007,0.039,0.154,0.036,0.085,0.094
"P38","Ni buena ni mala",0.366,0.397,0.178,0.28,0.374,0.281,0.285,0.293
"P38","Mala",0.093,0.139,0.16,0.143,0.203,0.143,0.289,0.181
"P38","Muy mala",0.091,0.155,0.589,0.352,0.123,0.439,0.152,0.189
"P38","No sabe",0.106,0.196,0.032,0.168,0.119,0.093,0.144,0.177
"P39","Muy buena",0.147,0.055,0.026,0.036,0.133,0.098,0.068,0.052
"P39","Buena",0.206,0.124,0.054,0.078,0.128,0.05,0.089,0.148
"P39","Ni buena ni mala",0.37,0.426,0.27,0.331,0.351,0.301,0.328,0.335
"P39","Mala",0.112,0.108,0.201,0.15,0.224,0.169,0.244,0.188
"P39","Muy mala",0.074,0.106,0.336,0.278,0.105,0.336,0.104,0.13
"P39","No sabe",0.091,0.181,0.113,0.127,0.059,0.046,0.167,0.147
