"var","categoria","A Juntos por el Cambio","Al Frente de Todos","A Hacemos por Córdoba","A los liberales libertarios de Milei","A Encuentro Vecinal Córdoba","Al Frente de Izquierda","No sabe"
"P26","Ni buena ni mala",0.154,0.119,0.21,0.277,0.287,0.122,0.213
"P26","Mala",0.056,0.2,0.229,0.173,0.32,0.165,0.187
"P26","Muy mala",0.034,0.488,0.263,0.139,0.135,0.406,0.217
"P26","No sabe",0.02,0.006,0.016,0.018,0.025,0.062,0.036
"P27","Muy buena",0.129,0.209,0.495,0.092,0.176,0.072,0.145
"P27","Buena",0.145,0.228,0.2,0.177,0.182,0.211,0.257
"P27","Ni buena ni mala",0.304,0.253,0.187,0.252,0.401,0.248,0.309
"P27","Mala",0.251,0.159,0.047,0.275,0.135,0.133,0.123
"P27","Muy mala",0.16,0.146,0.054,0.175,0.084,0.27,0.121
"P27","No sabe",0.011,0.005,0.017,0.029,0.022,0.066,0.045
"P28","Muy buena",0.124,0.097,0.129,0.095,0.391,0.083,0.06
"P28","Buena",0.133,0.103,0.122,0.127,0.165,0.182,0.129
"P28","Ni buena ni mala",0.404,0.319,0.427,0.31,0.264,0.267,0.385
"P28","Mala",0.091,0.136,0.094,0.186,0.041,0.115,0.095
"P28","Muy mala",0.09,0.205,0.108,0.117,0.028,0.254,0.078
"P28","No sabe",0.158,0.14,0.12,0.165,0.111,0.099,0.253
"P29","Muy buena",0.04,0.135,0.056,0.026,0.044,0.16,0.068
"P29","Buena",0.03,0.282,0.149,0.039,0.046,0.158,0.071
"P29","Ni buena ni mala",0.091,0.227,0.205,0.108,0.203,0.189,0.236
"P29","Mala",0.156,0.129,0.241,0.143,0.175,0.265,0.164
"P29","Muy mala",0.644,0.199,0.317,0.625,0.512,0.218,0.386
"P29","No sabe",0.039,0.028,0.032,0.059,0.02,0.01,0.075
"P30","Muy buena",0.036,0.585,0.171,0.032,0.086,0.181,0.095
"P30","Buena",0.019,0.081,0.125,0.044,0.026,0.224,0.092
"P30","Ni buena ni mala",0.031,0.082,0.088,0.065,0.106,0.148,0.152
"P30","Mala",0.121,0.086,0.155,0.133,0.168,0.13,0.154
"P30","Muy mala",0.778,0.154,0.447,0.719,0.614,0.31,0.481
"P30","No sabe",0.015,0.012,0.014,0.007,0,0.007,0.026
"P31","Muy buena",0.396,0.126,0.106,0.148,0.061,0.047,0.071
"P31","Buena",0.224,0.107,0.154,0.181,0.102,0.116,0.117
"P31","Ni buena ni mala",0.155,0.071,0.144,0.227,0.145,0.088,0.219
"P31","Mala",0.067,0.147,0.216,0.164,0.367,0.101,0.221
"P31","Muy mala",0.15,0.54,0.368,0.273,0.305,0.624,0.34
"P31","No sabe",0.008,0.009,0.012,0.007,0.02,0.024,0.032
"P32","Muy buena",0.218,0.083,0.074,0.081,0.152,0.026,0.091
"P32","Buena",0.327,0.115,0.188,0.106,0.06,0.069,0.152
"P32","Ni buena ni mala",0.276,0.13,0.299,0.24,0.324,0.181,0.283
"P32","Mala",0.085,0.176,0.195,0.232,0.223,0.214,0.157
"P32","Muy mala",0.073,0.479,0.222,0.314,0.229,0.503,0.225
"P32","No sabe",0.021,0.017,0.022,0.027,0.012,0.007,0.092
"P33","Muy buena",0.054,0.127,0.095,0.021,0.035,0.064,0.059
"P33","Buena",0.052,0.295,0.198,0.054,0.203,0.129,0.133
"P33","Ni buena ni mala",0.107,0.264,0.251,0.082,0.181,0.258,0.222
"P33","Mala",0.209,0.129,0.177,0.214,0.238,0.198,0.173
"P33","Muy mala",0.555,0.174,0.261,0.598,0.343,0.338,0.342
"P33","No sabe",0.023,0.011,0.018,0.031,0,0.013,0.071
"P34","Muy buena",0.503,0.1,0.18,0.181,0.157,0.035,0.146
"P34","Buena",0.205,0.085,0.12,0.278,0.191,0.155,0.122
"P34","Ni buena ni mala",0.089,0.084,0.205,0.223,0.144,0.113,0.252
"P34","Mala",0.073,0.157,0.176,0.111,0.301,0.126,0.149
"P34","Muy mala",0.113,0.572,0.304,0.197,0.201,0.567,0.277
"P34","No sabe",0.017,0.002,0.015,0.01,0.006,0.004,0.054
"P35","Muy buena",0.173,0.142,0.436,0.133,0.072,0.139,0.212
"P35","Buena",0.216,0.17,0.265,0.161,0.136,0.044,0.204
"P35","Ni buena ni mala",0.253,0.173,0.165,0.247,0.41,0.141,0.24
"P35","Mala",0.164,0.236,0.075,0.185,0.228,0.235,0.17
"P35","Muy mala",0.178,0.27,0.055,0.245,0.154,0.437,0.131
"P35","No sabe",0.016,0.009,0.004,0.029,0,0.004,0.043
"P36","Muy buena",0.14,0.088,0.167,0.549,0.089,0.092,0.117
"P36","Buena",0.159,0.069,0.129,0.13,0.093,0.11,0.134
"P36","Ni buena ni mala",0.336,0.11,0.278,0.148,0.304,0.171,0.309
"P36","Mala",0.184,0.154,0.151,0.059,0.114,0.046,0.163
"P36","Muy mala",0.144,0.566,0.255,0.093,0.31,0.574,0.208
"P36","No sabe",0.037,0.013,0.02,0.021,0.09,0.007,0.069
"P37","Muy buena",0.171,0.075,0.067,0.099,0.142,0.041,0.045
"P37","Buena",0.277,0.086,0.154,0.117,0.129,0.064,0.142
"P37","Ni buena ni mala",0.334,0.253,0.405,0.279,0.324,0.365,0.317
"P37","Mala",0.112,0.246,0.144,0.113,0.095,0.183,0.178
"P37","Muy mala",0.072,0.305,0.161,0.305,0.166,0.298,0.166
"P37","No sabe",0.034,0.035,0.069,0.087,0.144,0.049,0.152
"P38","Muy buena",0.117,0.041,0.029,0.037,0.009,0.078,0.027
"P38","Buena",0.224,0.077,0.088,0.067,0.084,0.029,0.097
"P38","Ni buena ni mala",0.377,0.25,0.402,0.252,0.348,0.254,0.302
"P38","Mala",0.105,0.152,0.137,0.153,0.19,0.179,0.123
"P38","Muy mala",0.092,0.406,0.17,0.336,0.141,0.385,0.163
"P38","No sabe",0.085,0.074,0.174,0.155,0.228,0.075,0.288
"P39","Muy buena",0.136,0.038,0.061,0.085,0.153,0.051,0.063
"P39","Buena",0.192,0.101,0.133,0.104,0.068,0.059,0.153
"P39","Ni buena ni mala",0.382,0.314,0.443,0.271,0.253,0.358,0.343
"P39","Mala",0.135,0.189,0.079,0.164,0.265,0.152,0.132
"P39","Muy mala",0.078,0.231,0.12,0.252,0.065,0.321,0.103
"P39","No sabe",0.077,0.127,0.164,0.124,0.196,0.059,0.206
