var,categoria,A Rodrigo De Loredo por Juntos por el Cambio,A Daniel Passerini por Hacemos por Cordoba,Al candidato del frente de todos,Al candidato de los liberales libertarios con el apoyo de Javier Milei,A  Juan Pablo Quinteros por Encuentro Vecinal,Al candidato del frente de izquierda,Votaría en blanco,No sabe
P48,Nunca lo votaría,0.235,0.717,0.762,0.663,0.563,0.791,0.729,0.454
P48,No sabe,0.008,0.021,0.003,0.0,0.0,0.021,0.0,0.166
P49,Lo votaría,0.152,0.056,0.038,0.122,0.649,0.028,0.0,0.05
P49,Puede que lo vote,0.277,0.236,0.222,0.247,0.086,0.036,0.21,0.299
P49,Nunca lo votaría,0.56,0.697,0.669,0.631,0.265,0.897,0.79,0.452
P49,No sabe,0.011,0.011,0.071,0.0,0.0,0.039,0.0,0.199
P50,Lo votaría,0.043,0.175,0.202,0.022,0.096,0.068,0.06,0.066
P50,Puede que lo vote,0.132,0.288,0.295,0.04,0.235,0.201,0.131,0.159
P50,Nunca lo votaría,0.818,0.53,0.452,0.938,0.669,0.692,0.809,0.566
P50,No sabe,0.007,0.007,0.051,0.0,0.0,0.039,0.0,0.209
P51,Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio,0.776,0.082,0.14,0.158,0.379,0.02,0.171,0.247
P51,Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba,0.104,0.788,0.108,0.085,0.122,0.0,0.245,0.123
P51,A los candidatos a gobernador e intendente del Frente de Todos,0.01,0.055,0.682,0.0,0.063,0.026,0.039,0.031
P51,A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei,0.042,0.02,0.03,0.683,0.019,0.0,0.0,0.014
P51,A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba,0.027,0.025,0.024,0.063,0.38,0.023,0.0,0.033
P51,A los candidatos a gobernador e intendente del Frente de Izquierda,0.005,0.005,0.006,0.0,0.015,0.816,0.106,0.011
P51,Votaría en blanco,0.012,0.011,0.0,0.0,0.0,0.115,0.325,0.0
P51,No sabe,0.024,0.014,0.01,0.011,0.022,0.0,0.114,0.541
P52,Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio,0.69,0.078,0.153,0.09,0.053,0.044,0.171,0.155
P52,Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba,0.11,0.759,0.1,0.119,0.11,0.0,0.245,0.125
P52,A los candidatos a gobernador e intendente del Frente de Todos,0.007,0.06,0.643,0.0,0.22,0.026,0.039,0.046
P52,A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei,0.07,0.022,0.016,0.703,0.0,0.0,0.0,0.0
P52,A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba,0.04,0.031,0.033,0.065,0.542,0.023,0.0,0.025
P52,A los candidatos a gobernador e intendente del Frente de Izquierda,0.004,0.0,0.006,0.0,0.037,0.684,0.106,0.024
P52,Votaría en blanco,0.018,0.009,0.0,0.0,0.016,0.178,0.227,0.02
P52,No sabe,0.061,0.041,0.049,0.023,0.022,0.045,0.212,0.605
