"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.401,0.367,0.069,0.127
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.298,0.117,0.039,0.063
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.052,0.366,0.045,0.058
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.008,0.004,0.054,0.052
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.006,0.011,0.011,0.03
"P18","Otros",0.012,0.006,0.022,0.041
"P18","En blanco",0.007,0.011,0.04,0.009
"P18","No sabe",0.024,0.004,0.02,0.056
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.12,0.122,0.47,0.304
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.33,0.305,0.073,0.161
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.362,0.162,0.082,0.097
"P21","Ramiro Marra por la Libertad Avanza",0.059,0.251,0.041,0.098
"P21","Vanina Biasi por el Frente de Izquierda",0.035,0.031,0.151,0.065
"P21","Otros",0.021,0.053,0.072,0.116
"P21","En blanco",0.021,0.051,0.079,0.042
"P21","No sabe",0.052,0.025,0.032,0.117
"P25","Totalmente seguro",0.674,0.736,0.719,0.618
"P25","Bastante seguro",0.194,0.156,0.201,0.137
"P25","Algo seguro",0.091,0.091,0.041,0.088
"P25","Para nada seguro",0.041,0.017,0.039,0.157
"P26","Tiene Decidido que va a ir a votar",0.919,0.908,0.936,0.84
"P26","Tiene dudas sobre si va a ir a votar",0.042,0.065,0.039,0.088
"P26","Tiene Decidido que no va a ir a votar",0.039,0.027,0.025,0.072
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.204,0.067,0.707,0.49
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.637,0.386,0.092,0.2
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.032,0.48,0.021,0.003
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.017,0.018,0.088,0.076
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.021,0.014,0.032,0.069
"P27","Otros",0.043,0.007,0.025,0.058
"P27","En blanco",0.014,0.004,0.02,0.006
"P27","No sabe",0.032,0.024,0.015,0.098
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.175,0.067,0.716,0.514
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.704,0.209,0.031,0.055
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.049,0.66,0.027,0.012
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.016,0.083,0.071
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.008,0.005,0.038,0.053
"P28","Otros",0.024,0.015,0.032,0.125
"P28","En blanco",0.007,0.014,0.055,0.038
"P28","No sabe",0.022,0.014,0.018,0.132
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.17,0.087,0.745,0.501
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.65,0.377,0.078,0.214
"P29","Ramiro Marra por la Libertad Avanza",0.06,0.41,0.026,0.024
"P29","Vanina Biasi por el Frente de Izquierda",0.01,0.006,0.052,0.042
"P29","Otros",0.068,0.055,0.048,0.084
"P29","En blanco",0.015,0.031,0.036,0.031
"P29","No sabe",0.027,0.034,0.015,0.104
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.144,0.09,0.712,0.49
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.647,0.292,0.103,0.145
"P30","Ramiro Marra por la Libertad Avanza",0.052,0.49,0.031,0.034
"P30","Vanina Biasi por el Frente de Izquierda",0.009,0.003,0.034,0.031
"P30","Otros",0.068,0.05,0.035,0.13
"P30","En blanco",0.034,0.031,0.052,0.028
"P30","No sabe",0.046,0.044,0.033,0.142
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.274,0.102,0.732,0.519
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.65,0.731,0.085,0.171
"P33","En blanco",0.039,0.108,0.157,0.077
"P33","No sabe",0.037,0.059,0.026,0.233
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.737,0.432,0.131,0.254
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.06,0.512,0.024,0.037
"P34","En blanco",0.164,0.029,0.79,0.165
"P34","No sabe",0.039,0.027,0.055,0.544
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.266,0.111,0.759,0.5
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.672,0.465,0.019,0.082
"P35","En blanco",0.031,0.312,0.199,0.082
"P35","No sabe",0.031,0.112,0.023,0.336
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.3,0.105,0.706,0.51
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.279,0.813,0.026,0.032
"P37","En blanco",0.248,0.045,0.244,0.064
"P37","No sabe",0.173,0.037,0.024,0.394
"P38","Leandro Santoro por Unión por la Patria",0.238,0.1,0.732,0.484
"P38","Jorge Macri por Juntos por el Cambio",0.662,0.701,0.075,0.222
"P38","En blanco",0.07,0.145,0.188,0.066
"P38","No sabe",0.03,0.054,0.005,0.228
"P39","Leandro Santoro por Unión por la Patria",0.191,0.094,0.747,0.443
"P39","Martin Lousteau por Juntos por el Cambio",0.697,0.496,0.081,0.195
"P39","En blanco",0.06,0.351,0.167,0.071
"P39","No sabe",0.052,0.059,0.005,0.291
"P40","Lo votaría",0.202,0.083,0.73,0.507
"P40","Puede que lo vote",0.149,0.149,0.05,0.041
"P40","Nunca lo votaría",0.621,0.723,0.198,0.347
"P40","No sabe",0.028,0.045,0.022,0.105
"P41","Lo votaría",0.163,0.062,0.523,0.335
"P41","Puede que lo vote",0.076,0.058,0.17,0.104
"P41","Nunca lo votaría",0.749,0.852,0.281,0.422
"P41","No sabe",0.012,0.028,0.026,0.139
"P42","Lo votaría",0.601,0.477,0.139,0.217
"P42","Puede que lo vote",0.117,0.227,0.055,0.069
"P42","Nunca lo votaría",0.261,0.265,0.784,0.568
"P42","No sabe",0.021,0.031,0.022,0.146
"P43","Lo votaría",0.589,0.204,0.031,0.078
"P43","Puede que lo vote",0.249,0.302,0.064,0.17
"P43","Nunca lo votaría",0.137,0.451,0.878,0.618
"P43","No sabe",0.025,0.043,0.027,0.134
"P44","Lo votaría",0.138,0.504,0.014,0.037
"P44","Puede que lo vote",0.246,0.308,0.03,0.12
"P44","Nunca lo votaría",0.582,0.175,0.94,0.739
"P44","No sabe",0.034,0.013,0.016,0.104
"P45","Lo votaría",0.079,0.087,0.157,0.115
"P45","Puede que lo vote",0.128,0.11,0.361,0.31
"P45","Nunca lo votaría",0.749,0.781,0.451,0.42
"P45","No sabe",0.044,0.022,0.031,0.155
"P46","Lo votaría",0.072,0.035,0.054,0.065
"P46","Puede que lo vote",0.188,0.143,0.174,0.124
"P46","Nunca lo votaría",0.694,0.794,0.75,0.685
"P46","No sabe",0.046,0.028,0.022,0.126
"P54","Lo votaría",0.147,0.096,0.643,0.415
"P54","Puede que lo vote",0.138,0.072,0.073,0.042
"P54","Nunca lo votaría",0.692,0.822,0.271,0.429
"P54","No sabe",0.023,0.01,0.013,0.114
"P55","Lo votaría",0.54,0.366,0.123,0.275
"P55","Puede que lo vote",0.177,0.297,0.033,0.02
"P55","Nunca lo votaría",0.272,0.316,0.829,0.607
"P55","No sabe",0.011,0.021,0.015,0.098
"P56","Lo votaría",0.488,0.255,0.046,0.125
"P56","Puede que lo vote",0.311,0.283,0.182,0.221
"P56","Nunca lo votaría",0.167,0.445,0.743,0.531
"P56","No sabe",0.034,0.017,0.029,0.123
"P57","Si",0.55,0.531,0.472,0.515
"P57","No",0.45,0.469,0.528,0.485
