"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.052,0.435,0.391,0.023,0.144,0.341,0.543,0.22
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.051,0.34,0.059,0.077,0.141,0.104,0.024,0.119
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.024,0.084,0.415,0.053,0.052,0.113,0.111,0.106
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.002,0,0.23,0.073,0.099,0.037,0.016
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.004,0.003,0.018,0.068,0.226,0,0.049,0.017
"P18","Otros",0.02,0.019,0.015,0.013,0.035,0.168,0.032,0.058
"P18","En blanco",0.004,0.006,0.011,0.038,0.062,0.021,0.189,0.009
"P18","No sabe",0.011,0.022,0.01,0.031,0.064,0.007,0,0.238
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.532,0.044,0.11,0.253,0.084,0.178,0.054,0.025
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.047,0.382,0.311,0.124,0.192,0.307,0.28,0.232
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.118,0.394,0.124,0.181,0.357,0.151,0.102,0.279
"P21","Ramiro Marra por la Libertad Avanza",0.045,0.051,0.287,0.008,0.065,0.141,0.175,0.111
"P21","Vanina Biasi por el Frente de Izquierda",0.115,0.035,0.022,0.227,0.045,0.058,0.027,0.025
"P21","Otros",0.081,0.022,0.048,0.121,0.093,0.083,0.013,0
"P21","En blanco",0.045,0.018,0.052,0.072,0.087,0.015,0.312,0.044
"P21","No sabe",0.017,0.054,0.046,0.014,0.077,0.067,0.037,0.284
"P25","Totalmente seguro",0.701,0.661,0.772,0.735,0.393,0.51,0.71,0.525
"P25","Bastante seguro",0.177,0.211,0.112,0.242,0.209,0.194,0.144,0.201
"P25","Algo seguro",0.07,0.09,0.097,0,0.142,0.153,0.06,0.024
"P25","Para nada seguro",0.052,0.038,0.019,0.023,0.256,0.143,0.086,0.25
"P26","Tiene Decidido que va a ir a votar",0.901,0.921,0.923,0.883,0.796,0.852,0.89,0.782
"P26","Tiene dudas sobre si va a ir a votar",0.062,0.053,0.026,0.086,0.147,0.091,0.049,0.09
"P26","Tiene Decidido que no va a ir a votar",0.037,0.026,0.051,0.031,0.057,0.057,0.061,0.128
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.91,0.048,0.016,0.046,0.064,0.068,0,0.027
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.02,0.793,0.324,0.118,0.139,0.362,0.705,0.378
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.014,0.027,0.615,0.023,0.011,0.055,0,0.019
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.015,0.007,0.007,0.757,0.046,0.006,0,0
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.002,0.021,0.013,0.007,0.644,0.083,0.013,0.016
"P27","Otros",0.022,0.045,0.002,0.039,0.096,0.426,0,0.007
"P27","En blanco",0.005,0.02,0,0.01,0,0,0.282,0.017
"P27","No sabe",0.012,0.039,0.023,0,0,0,0,0.536
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.867,0.043,0.034,0.339,0.136,0.118,0.085,0.055
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.021,0.8,0.273,0.061,0.144,0.416,0.624,0.443
"P29","Ramiro Marra por la Libertad Avanza",0.021,0.049,0.546,0.009,0.069,0.08,0.037,0
"P29","Vanina Biasi por el Frente de Izquierda",0.005,0.003,0.008,0.449,0.146,0.048,0,0.017
"P29","Otros",0.049,0.063,0.083,0.124,0.37,0.215,0.045,0.041
"P29","En blanco",0.016,0.017,0.03,0.018,0.087,0.088,0.157,0.01
"P29","No sabe",0.021,0.025,0.026,0,0.048,0.035,0.052,0.434
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.839,0.034,0.013,0.366,0.083,0.162,0.054,0.058
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.077,0.779,0.179,0.169,0.444,0.168,0.292,0.409
"P30","Ramiro Marra por la Libertad Avanza",0.019,0.027,0.69,0.02,0.039,0.055,0.103,0.024
"P30","Vanina Biasi por el Frente de Izquierda",0.002,0.004,0.006,0.284,0.072,0.05,0,0.008
"P30","Otros",0.027,0.062,0.046,0.096,0.141,0.438,0.016,0.024
"P30","En blanco",0.02,0.038,0.031,0.045,0.136,0.087,0.282,0.067
"P30","No sabe",0.016,0.056,0.035,0.02,0.085,0.04,0.253,0.41
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.916,0.106,0.067,0.383,0.174,0.158,0.013,0.241
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.033,0.817,0.7,0.077,0.257,0.549,0.651,0.372
"P33","En blanco",0.039,0.036,0.156,0.358,0.278,0.115,0.286,0.083
"P33","No sabe",0.012,0.041,0.077,0.182,0.291,0.178,0.05,0.304
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.151,0.829,0.373,0.173,0.173,0.485,0.756,0.494
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.06,0.074,0.573,0.07,0.097,0.104,0.058,0.137
"P34","En blanco",0.627,0.068,0.025,0.474,0.414,0.225,0.139,0.136
"P34","No sabe",0.162,0.029,0.029,0.283,0.316,0.186,0.047,0.233
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.921,0.085,0.112,0.395,0.278,0.201,0.052,0.092
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.024,0.839,0.368,0.077,0.254,0.344,0.213,0.265
"P35","En blanco",0.039,0.028,0.404,0.405,0.261,0.177,0.58,0.197
"P35","No sabe",0.016,0.048,0.116,0.123,0.207,0.278,0.155,0.446
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.238,0.819,0.108,0.125,0.17,0.291,0.12,0.295
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.055,0.145,0.854,0.116,0.065,0.106,0.148,0.11
"P36","En blanco",0.518,0.019,0.031,0.53,0.449,0.2,0.543,0.124
"P36","No sabe",0.189,0.017,0.007,0.229,0.316,0.403,0.189,0.471
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.899,0.121,0.064,0.443,0.165,0.211,0.026,0.18
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.03,0.375,0.877,0.028,0.138,0.157,0.189,0.104
"P37","En blanco",0.041,0.306,0.03,0.396,0.227,0.177,0.687,0.203
"P37","No sabe",0.03,0.198,0.029,0.133,0.47,0.455,0.098,0.513
"P38","Leandro Santoro por Unión por la Patria",0.836,0.089,0.073,0.489,0.383,0.237,0.08,0.213
"P38","Jorge Macri por Juntos por el Cambio",0.044,0.797,0.717,0.091,0.156,0.514,0.641,0.445
"P38","En blanco",0.095,0.073,0.173,0.325,0.197,0.082,0.265,0.075
"P38","No sabe",0.025,0.041,0.037,0.095,0.264,0.167,0.014,0.267
"P39","Leandro Santoro por Unión por la Patria",0.861,0.032,0.085,0.399,0.258,0.167,0.065,0.074
"P39","Martin Lousteau por Juntos por el Cambio",0.091,0.837,0.413,0.103,0.203,0.362,0.421,0.533
"P39","En blanco",0.034,0.071,0.444,0.324,0.174,0.173,0.453,0.139
"P39","No sabe",0.014,0.06,0.058,0.174,0.365,0.298,0.061,0.254
"P40","Lo votaría",0.894,0.044,0.088,0.247,0.311,0.049,0,0.033
"P40","Puede que lo vote",0.073,0.155,0.072,0.186,0,0.206,0.103,0.235
"P40","Nunca lo votaría",0.024,0.769,0.792,0.486,0.624,0.609,0.859,0.541
"P40","No sabe",0.009,0.032,0.048,0.081,0.065,0.136,0.038,0.191
"P41","Lo votaría",0.62,0.029,0.093,0.302,0.119,0.074,0.041,0.091
"P41","Puede que lo vote",0.211,0.038,0.014,0.222,0.095,0.031,0.077,0.07
"P41","Nunca lo votaría",0.138,0.915,0.875,0.448,0.584,0.816,0.816,0.708
"P41","No sabe",0.031,0.018,0.018,0.028,0.202,0.079,0.066,0.131
"P42","Lo votaría",0.089,0.701,0.534,0.051,0.124,0.419,0.678,0.345
"P42","Puede que lo vote",0.081,0.126,0.239,0.037,0.053,0.085,0.056,0.085
"P42","Nunca lo votaría",0.795,0.162,0.187,0.87,0.587,0.417,0.2,0.435
"P42","No sabe",0.035,0.011,0.04,0.042,0.236,0.079,0.066,0.135
"P43","Lo votaría",0.041,0.703,0.154,0.089,0.109,0.248,0.085,0.188
"P43","Puede que lo vote",0.124,0.237,0.302,0.063,0.224,0.201,0.258,0.368
"P43","Nunca lo votaría",0.794,0.053,0.489,0.789,0.483,0.436,0.604,0.3
"P43","No sabe",0.041,0.007,0.055,0.059,0.184,0.115,0.053,0.144
"P44","Lo votaría",0.031,0.134,0.608,0.033,0.044,0.144,0.083,0.17
"P44","Puede que lo vote",0.046,0.302,0.274,0.017,0.208,0.115,0.2,0.368
"P44","Nunca lo votaría",0.903,0.53,0.108,0.903,0.679,0.62,0.664,0.353
"P44","No sabe",0.02,0.034,0.01,0.047,0.069,0.121,0.053,0.109
"P45","Lo votaría",0.154,0.038,0.108,0.484,0,0.022,0.029,0
"P45","Puede que lo vote",0.446,0.07,0.045,0.351,0.216,0.08,0.199,0.045
"P45","Nunca lo votaría",0.344,0.862,0.82,0.132,0.655,0.755,0.733,0.805
"P45","No sabe",0.056,0.03,0.027,0.033,0.129,0.143,0.039,0.15
"P46","Lo votaría",0.059,0.041,0.068,0.079,0.42,0.063,0,0
"P46","Puede que lo vote",0.22,0.164,0.101,0.202,0.237,0.148,0.156,0.038
"P46","Nunca lo votaría",0.678,0.757,0.8,0.719,0.215,0.656,0.805,0.833
"P46","No sabe",0.043,0.038,0.031,0,0.128,0.133,0.039,0.129
"P54","Lo votaría",0.736,0.045,0.071,0.28,0.283,0.105,0.083,0.074
"P54","Puede que lo vote",0.11,0.102,0.049,0.17,0.181,0.087,0.083,0.076
"P54","Nunca lo votaría",0.147,0.828,0.864,0.513,0.453,0.65,0.834,0.7
"P54","No sabe",0.007,0.025,0.016,0.037,0.083,0.158,0,0.15
"P55","Lo votaría",0.113,0.619,0.377,0.021,0.165,0.489,0.531,0.324
"P55","Puede que lo vote",0.051,0.203,0.288,0.057,0.132,0.035,0.069,0.163
"P55","Nunca lo votaría",0.83,0.166,0.304,0.922,0.635,0.308,0.362,0.39
"P55","No sabe",0.006,0.012,0.031,0,0.068,0.168,0.038,0.123
"P56","Lo votaría",0.076,0.569,0.219,0.068,0.216,0.178,0.135,0.2
"P56","Puede que lo vote",0.256,0.285,0.248,0.211,0.291,0.216,0.203,0.372
"P56","Nunca lo votaría",0.639,0.109,0.515,0.682,0.493,0.427,0.623,0.306
"P56","No sabe",0.029,0.037,0.018,0.039,0,0.179,0.039,0.122
"P57","Si",0.517,0.542,0.572,0.423,0.536,0.514,0.334,0.38
"P57","No",0.483,0.458,0.428,0.577,0.464,0.486,0.666,0.62
