"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P12","No sabe",0.03,0.009,0.044,0.18
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.474,0.032,0.127,0.088
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.293,0.018,0.09,0.035
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.051,0.5,0.197,0.212
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.08,0.231,0.159,0.15
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.031,0.181,0.242,0.163
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.029,0.001,0.053,0.102
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.003,0.004,0.024,0.063
"P18","Otros",0.024,0.001,0.044,0.069
"P18","En blanco",0.002,0.014,0.06,0
"P18","No sabe",0.013,0.018,0.004,0.118
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.459,0.05,0.206,0.129
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.071,0.41,0.12,0.2
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.157,0.281,0.127,0.25
"P21","Ramiro Marra por la Libertad Avanza",0.042,0.138,0.202,0.054
"P21","Vanina Biasi por el Frente de Izquierda",0.113,0.023,0.104,0.039
"P21","Otros",0.082,0.021,0.085,0.112
"P21","En blanco",0.05,0.035,0.11,0
"P21","No sabe",0.026,0.042,0.046,0.216
"P25","Totalmente seguro",0.712,0.706,0.739,0.514
"P25","Bastante seguro",0.173,0.185,0.122,0.204
"P25","Algo seguro",0.073,0.08,0.07,0.072
"P25","Para nada seguro",0.042,0.029,0.069,0.21
"P26","Tiene Decidido que va a ir a votar",0.921,0.916,0.917,0.822
"P26","Tiene dudas sobre si va a ir a votar",0.04,0.055,0.052,0.107
"P26","Tiene Decidido que no va a ir a votar",0.039,0.029,0.031,0.071
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.776,0.015,0.168,0.082
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.081,0.745,0.088,0.109
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.037,0.168,0.326,0.224
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.038,0.008,0.158,0.134
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.009,0.011,0.081,0.156
"P27","Otros",0.027,0.031,0.046,0.072
"P27","En blanco",0.012,0.008,0.066,0.024
"P27","No sabe",0.02,0.014,0.067,0.199
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.776,0.02,0.139,0.06
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.103,0.594,0.148,0.235
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.035,0.278,0.347,0.241
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.041,0.006,0.158,0.113
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.009,0.009,0.058,0.084
"P28","Otros",0.015,0.04,0.047,0.102
"P28","En blanco",0.001,0.03,0.074,0.018
"P28","No sabe",0.02,0.023,0.029,0.147
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.741,0.033,0.272,0.143
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.092,0.697,0.167,0.237
"P29","Ramiro Marra por la Libertad Avanza",0.048,0.172,0.262,0.14
"P29","Vanina Biasi por el Frente de Izquierda",0.013,0.008,0.095,0.11
"P29","Otros",0.066,0.043,0.085,0.164
"P29","En blanco",0.017,0.02,0.083,0.034
"P29","No sabe",0.023,0.027,0.036,0.172
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.698,0.033,0.256,0.128
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.178,0.556,0.242,0.262
"P30","Ramiro Marra por la Libertad Avanza",0.041,0.203,0.288,0.207
"P30","Vanina Biasi por el Frente de Izquierda",0.009,0.004,0.074,0.051
"P30","Otros",0.03,0.083,0.042,0.153
"P30","En blanco",0.026,0.048,0.067,0.05
"P30","No sabe",0.018,0.073,0.031,0.149
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.235,0.763,0.137,0.115
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.059,0.199,0.35,0.228
"P34","En blanco",0.57,0.022,0.486,0.099
"P34","No sabe",0.136,0.016,0.027,0.558
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.86,0.056,0.224,0.109
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.073,0.727,0.184,0.201
"P35","En blanco",0.046,0.147,0.572,0.085
"P35","No sabe",0.021,0.07,0.02,0.605
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.318,0.553,0.186,0.251
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.071,0.37,0.31,0.239
"P36","En blanco",0.453,0.039,0.405,0.094
"P36","No sabe",0.158,0.038,0.099,0.416
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.862,0.049,0.239,0.131
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.048,0.561,0.329,0.149
"P37","En blanco",0.06,0.228,0.405,0.124
"P37","No sabe",0.03,0.162,0.027,0.596
"P38","Leandro Santoro por Unión por la Patria",0.807,0.043,0.3,0.135
"P38","Jorge Macri por Juntos por el Cambio",0.087,0.855,0.213,0.259
"P38","En blanco",0.089,0.075,0.463,0.098
"P38","No sabe",0.017,0.027,0.024,0.508
"P39","Leandro Santoro por Unión por la Patria",0.793,0.025,0.223,0.133
"P39","Martin Lousteau por Juntos por el Cambio",0.155,0.715,0.238,0.314
"P39","En blanco",0.039,0.189,0.479,0.156
"P39","No sabe",0.013,0.071,0.06,0.397
"P40","Lo votaría",0.805,0.021,0.216,0.077
"P40","Puede que lo vote",0.117,0.124,0.063,0.105
"P40","Nunca lo votaría",0.069,0.834,0.632,0.528
"P40","No sabe",0.009,0.021,0.089,0.29
"P41","Lo votaría",0.553,0.021,0.236,0.115
"P41","Puede que lo vote",0.193,0.034,0.1,0.012
"P41","Nunca lo votaría",0.227,0.931,0.633,0.659
"P41","No sabe",0.027,0.014,0.031,0.214
"P42","Lo votaría",0.145,0.726,0.127,0.094
"P42","Puede que lo vote",0.057,0.161,0.091,0.3
"P42","Nunca lo votaría",0.77,0.103,0.694,0.376
"P42","No sabe",0.028,0.01,0.088,0.23
"P43","Lo votaría",0.134,0.479,0.161,0.233
"P43","Puede que lo vote",0.128,0.304,0.107,0.118
"P43","Nunca lo votaría",0.7,0.202,0.644,0.443
"P43","No sabe",0.038,0.015,0.088,0.206
"P44","Lo votaría",0.081,0.244,0.33,0.187
"P44","Puede que lo vote",0.055,0.336,0.057,0.146
"P44","Nunca lo votaría",0.851,0.392,0.566,0.503
"P44","No sabe",0.013,0.028,0.047,0.164
"P45","Lo votaría",0.187,0.026,0.21,0.05
"P45","Puede que lo vote",0.406,0.062,0.166,0.074
"P45","Nunca lo votaría",0.356,0.893,0.535,0.677
"P45","No sabe",0.051,0.019,0.089,0.199
"P46","Lo votaría",0.094,0.019,0.112,0.075
"P46","Puede que lo vote",0.21,0.149,0.122,0.126
"P46","Nunca lo votaría",0.659,0.798,0.727,0.613
"P46","No sabe",0.037,0.034,0.039,0.186
"P54","Lo votaría",0.689,0.026,0.163,0.108
"P54","Puede que lo vote",0.135,0.07,0.088,0.088
"P54","Nunca lo votaría",0.172,0.881,0.688,0.642
"P54","No sabe",0.004,0.023,0.061,0.162
"P55","Lo votaría",0.166,0.582,0.089,0.239
"P55","Puede que lo vote",0.057,0.247,0.089,0.089
"P55","Nunca lo votaría",0.773,0.162,0.733,0.498
"P55","No sabe",0.004,0.009,0.089,0.174
"P56","Lo votaría",0.158,0.414,0.164,0.181
"P56","Puede que lo vote",0.231,0.299,0.175,0.308
"P56","Nunca lo votaría",0.583,0.268,0.565,0.327
"P56","No sabe",0.028,0.019,0.096,0.184
"P57","Si",0.55,0.516,0.51,0.444
"P57","No",0.45,0.484,0.49,0.556
