"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P18","En blanco",0.005,0.008,0.016,0.058,0.015,0.093,0.012
"P18","No sabe",0.011,0.024,0,0,0.005,0.017,0.149
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.538,0.065,0.14,0.058,0.101,0.047,0.042
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.038,0.367,0.254,0.056,0.367,0.34,0.329
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.135,0.428,0.063,0.229,0.147,0.03,0.115
"P21","Ramiro Marra por la Libertad Avanza",0.036,0.056,0.374,0.025,0.144,0.023,0.078
"P21","Vanina Biasi por el Frente de Izquierda",0.128,0.03,0.032,0.37,0.027,0.023,0.03
"P21","Otros",0.073,0.013,0.054,0.113,0.17,0.078,0.012
"P21","En blanco",0.03,0.013,0.054,0.119,0.034,0.331,0.069
"P21","No sabe",0.022,0.028,0.029,0.03,0.01,0.128,0.325
"P25","Totalmente seguro",0.723,0.661,0.788,0.607,0.664,0.764,0.405
"P25","Bastante seguro",0.2,0.184,0.124,0.299,0.149,0.04,0.367
"P25","Algo seguro",0.048,0.114,0.074,0.038,0.121,0.023,0.104
"P25","Para nada seguro",0.029,0.041,0.014,0.056,0.066,0.173,0.124
"P26","Tiene Decidido que va a ir a votar",0.94,0.911,0.92,0.831,0.886,0.865,0.733
"P26","Tiene dudas sobre si va a ir a votar",0.047,0.054,0.037,0.055,0.11,0.071,0.079
"P26","Tiene Decidido que no va a ir a votar",0.013,0.035,0.043,0.114,0.004,0.064,0.188
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.846,0.101,0.041,0.149,0.094,0.081,0.089
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.043,0.704,0.288,0.025,0.549,0.5,0.532
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.023,0.054,0.615,0.056,0.07,0.068,0.107
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.047,0.011,0,0.562,0.059,0.015,0.013
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.003,0.031,0.006,0.102,0.045,0.061,0.017
"P27","Otros",0.022,0.042,0.004,0.106,0.167,0.059,0
"P27","En blanco",0.003,0.016,0.005,0,0.005,0.199,0.012
"P27","No sabe",0.013,0.041,0.041,0,0.011,0.017,0.23
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.87,0.063,0.036,0.043,0.132,0.149,0.089
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.041,0.731,0.059,0.094,0.352,0.322,0.352
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.009,0.094,0.863,0.076,0.147,0.146,0.124
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.044,0.016,0.004,0.584,0.054,0.038,0.013
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.005,0.023,0.005,0.081,0.044,0.063,0.029
"P28","Otros",0.02,0.016,0.013,0.106,0.251,0.075,0.026
"P28","En blanco",0.004,0.017,0.014,0,0.006,0.149,0.1
"P28","No sabe",0.007,0.04,0.006,0.016,0.014,0.058,0.267
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.922,0.07,0.033,0.016,0.074,0.03,0.007
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.024,0.745,0.179,0.021,0.449,0.575,0.472
"P29","Ramiro Marra por la Libertad Avanza",0.023,0.05,0.708,0.081,0.042,0.01,0
"P29","Vanina Biasi por el Frente de Izquierda",0.005,0.014,0.015,0.737,0.051,0,0
"P29","Otros",0.023,0.083,0.028,0.107,0.363,0,0.057
"P29","En blanco",0.002,0.012,0.032,0,0.021,0.362,0
"P29","No sabe",0.001,0.026,0.005,0.038,0,0.023,0.464
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.847,0.171,0.097,0.224,0.167,0.222,0.12
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.054,0.732,0.66,0.144,0.636,0.57,0.666
"P33","En blanco",0.073,0.055,0.162,0.425,0.055,0.137,0.049
"P33","No sabe",0.026,0.042,0.081,0.207,0.142,0.071,0.165
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.137,0.753,0.315,0.125,0.669,0.67,0.558
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.063,0.103,0.6,0.08,0.096,0.052,0.147
"P34","En blanco",0.626,0.103,0.049,0.558,0.144,0.206,0.089
"P34","No sabe",0.174,0.041,0.036,0.237,0.091,0.072,0.206
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.88,0.148,0.145,0.209,0.205,0.207,0.083
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.041,0.725,0.333,0.102,0.503,0.334,0.382
"P35","En blanco",0.055,0.061,0.418,0.467,0.141,0.405,0.207
"P35","No sabe",0.024,0.066,0.104,0.222,0.151,0.054,0.328
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.199,0.704,0.14,0.244,0.445,0.378,0.356
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.076,0.192,0.79,0.045,0.198,0.212,0.207
"P36","En blanco",0.54,0.061,0.045,0.487,0.125,0.323,0.14
"P36","No sabe",0.185,0.043,0.025,0.224,0.232,0.087,0.297
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.846,0.19,0.112,0.213,0.127,0.186,0.158
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.049,0.368,0.825,0.123,0.288,0.271,0.289
"P37","En blanco",0.081,0.27,0.028,0.42,0.204,0.437,0.152
"P37","No sabe",0.024,0.172,0.035,0.244,0.381,0.106,0.401
"P38","Leandro Santoro por Unión por la Patria",0.852,0.141,0.086,0.126,0.228,0.133,0.035
"P38","Jorge Macri por Juntos por el Cambio",0.051,0.717,0.706,0.078,0.576,0.612,0.636
"P38","En blanco",0.081,0.088,0.186,0.595,0.08,0.181,0.152
"P38","No sabe",0.016,0.054,0.022,0.201,0.116,0.074,0.177
"P39","Leandro Santoro por Unión por la Patria",0.91,0.049,0.086,0.163,0.167,0.096,0.015
"P39","Martin Lousteau por Juntos por el Cambio",0.043,0.883,0.345,0.155,0.358,0.148,0.416
"P39","En blanco",0.028,0.049,0.513,0.517,0.154,0.698,0.173
"P39","No sabe",0.019,0.019,0.056,0.165,0.321,0.058,0.396
"P40","Lo votaría",0.853,0.08,0.134,0.024,0.137,0.109,0.038
"P40","Puede que lo vote",0.089,0.175,0.066,0.139,0.146,0.019,0.073
"P40","Nunca lo votaría",0.043,0.713,0.76,0.837,0.611,0.841,0.779
"P40","No sabe",0.015,0.032,0.04,0,0.106,0.031,0.11
"P41","Lo votaría",0.638,0.056,0.106,0.087,0.15,0.022,0.041
"P41","Puede que lo vote",0.214,0.061,0.019,0.053,0.044,0.075,0.087
"P41","Nunca lo votaría",0.13,0.857,0.864,0.807,0.731,0.872,0.769
"P41","No sabe",0.018,0.026,0.011,0.053,0.075,0.031,0.103
"P42","Lo votaría",0.107,0.628,0.495,0.028,0.557,0.603,0.443
"P42","Puede que lo vote",0.055,0.129,0.234,0.106,0.095,0.085,0.313
"P42","Nunca lo votaría",0.819,0.219,0.216,0.83,0.254,0.293,0.141
"P42","No sabe",0.019,0.024,0.055,0.036,0.094,0.019,0.103
"P43","Lo votaría",0.054,0.579,0.138,0.028,0.34,0.275,0.294
"P43","Puede que lo vote",0.083,0.286,0.248,0.215,0.287,0.214,0.266
"P43","Nunca lo votaría",0.827,0.113,0.562,0.714,0.279,0.488,0.309
"P43","No sabe",0.036,0.022,0.052,0.043,0.094,0.023,0.131
"P44","Lo votaría",0.039,0.143,0.633,0.037,0.17,0.076,0.164
"P44","Puede que lo vote",0.051,0.303,0.2,0.133,0.277,0.284,0.203
"P44","Nunca lo votaría",0.892,0.524,0.152,0.786,0.5,0.555,0.53
"P44","No sabe",0.018,0.03,0.015,0.044,0.053,0.085,0.103
"P45","Lo votaría",0.162,0.051,0.084,0.497,0.062,0.076,0.016
"P45","Puede que lo vote",0.465,0.085,0.048,0.439,0.044,0.09,0.062
"P45","Nunca lo votaría",0.32,0.828,0.833,0.064,0.825,0.756,0.823
"P45","No sabe",0.053,0.036,0.035,0,0.069,0.078,0.099
"P46","Lo votaría",0.061,0.044,0.044,0.205,0.106,0.057,0.031
"P46","Puede que lo vote",0.199,0.223,0.06,0.22,0.092,0.052,0.079
"P46","Nunca lo votaría",0.697,0.69,0.862,0.575,0.753,0.816,0.782
"P46","No sabe",0.043,0.043,0.034,0,0.049,0.075,0.108
"P54","Lo votaría",0.77,0.054,0.083,0.194,0.102,0.058,0
"P54","Puede que lo vote",0.068,0.142,0.061,0.13,0.056,0.101,0.063
"P54","Nunca lo votaría",0.158,0.769,0.849,0.676,0.779,0.777,0.837
"P54","No sabe",0.004,0.035,0.007,0,0.063,0.064,0.1
"P55","Lo votaría",0.128,0.538,0.364,0,0.491,0.605,0.403
"P55","Puede que lo vote",0.047,0.215,0.236,0.196,0.118,0.09,0.22
"P55","Nunca lo votaría",0.821,0.237,0.353,0.804,0.336,0.241,0.268
"P55","No sabe",0.004,0.01,0.047,0,0.055,0.064,0.109
"P56","Lo votaría",0.07,0.606,0.141,0.051,0.199,0.066,0.068
"P56","Puede que lo vote",0.245,0.288,0.222,0.221,0.274,0.178,0.392
"P56","Nunca lo votaría",0.657,0.089,0.613,0.64,0.423,0.67,0.391
"P56","No sabe",0.028,0.017,0.024,0.088,0.104,0.086,0.149
"P57","Si",0.515,0.55,0.555,0.358,0.507,0.554,0.423
"P57","No",0.485,0.45,0.445,0.642,0.493,0.446,0.577
