"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.042,0.012,0.085,0.039
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.009,0.013,0.028,0.098
"P27","Otros",0.027,0.017,0.063,0.039
"P27","En blanco",0.009,0.005,0.045,0.006
"P27","No sabe",0.023,0.015,0.046,0.098
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.754,0.028,0.071,0.067
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.118,0.4,0.62,0.523
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.035,0.52,0.034,0.042
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.046,0.003,0.087,0.038
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.009,0.008,0.026,0.069
"P28","Otros",0.021,0.018,0.037,0.124
"P28","En blanco",0.002,0.013,0.088,0.016
"P28","No sabe",0.015,0.01,0.037,0.121
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.717,0.045,0.143,0.095
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.107,0.521,0.613,0.651
"P29","Ramiro Marra por la Libertad Avanza",0.046,0.33,0.046,0.023
"P29","Vanina Biasi por el Frente de Izquierda",0.016,0.008,0.054,0.026
"P29","Otros",0.071,0.048,0.062,0.093
"P29","En blanco",0.018,0.025,0.048,0.015
"P29","No sabe",0.025,0.023,0.034,0.097
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.685,0.045,0.138,0.053
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.193,0.419,0.577,0.489
"P30","Ramiro Marra por la Libertad Avanza",0.047,0.392,0.024,0.042
"P30","Vanina Biasi por el Frente de Izquierda",0.008,0.005,0.035,0.027
"P30","Otros",0.023,0.058,0.077,0.192
"P30","En blanco",0.021,0.034,0.102,0.033
"P30","No sabe",0.023,0.047,0.047,0.164
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.856,0.054,0.124,0.083
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.066,0.833,0.635,0.611
"P33","En blanco",0.056,0.085,0.197,0.018
"P33","No sabe",0.022,0.028,0.044,0.288
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.229,0.579,0.644,0.659
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.061,0.386,0.039,0.046
"P34","En blanco",0.569,0.017,0.299,0.009
"P34","No sabe",0.141,0.018,0.018,0.286
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.846,0.056,0.14,0.096
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.099,0.612,0.599,0.515
"P35","En blanco",0.037,0.254,0.236,0.038
"P35","No sabe",0.018,0.078,0.025,0.351
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.343,0.355,0.588,0.556
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.072,0.617,0.063,0.071
"P36","En blanco",0.433,0.017,0.31,0.042
"P36","No sabe",0.152,0.011,0.039,0.331
"P38","Leandro Santoro por Unión por la Patria",0.787,0.054,0.168,0.096
"P38","Jorge Macri por Juntos por el Cambio",0.102,0.808,0.571,0.634
"P38","En blanco",0.086,0.108,0.241,0.044
"P38","No sabe",0.025,0.03,0.02,0.226
"P39","Leandro Santoro por Unión por la Patria",0.758,0.047,0.131,0.069
"P39","Martin Lousteau por Juntos por el Cambio",0.188,0.621,0.598,0.535
"P39","En blanco",0.03,0.28,0.251,0.083
"P39","No sabe",0.024,0.052,0.02,0.313
"P40","Lo votaría",0.783,0.045,0.104,0.077
"P40","Puede que lo vote",0.136,0.112,0.099,0.084
"P40","Nunca lo votaría",0.059,0.812,0.765,0.717
"P40","No sabe",0.022,0.031,0.032,0.122
"P41","Lo votaría",0.545,0.036,0.125,0.066
"P41","Puede que lo vote",0.2,0.047,0.035,0.017
"P41","Nunca lo votaría",0.222,0.897,0.817,0.836
"P41","No sabe",0.033,0.02,0.023,0.081
"P42","Lo votaría",0.128,0.628,0.579,0.491
"P42","Puede que lo vote",0.068,0.184,0.104,0.163
"P42","Nunca lo votaría",0.77,0.161,0.294,0.252
"P42","No sabe",0.034,0.027,0.023,0.094
"P43","Lo votaría",0.141,0.349,0.501,0.419
"P43","Puede que lo vote",0.128,0.308,0.16,0.264
"P43","Nunca lo votaría",0.696,0.311,0.302,0.225
"P43","No sabe",0.035,0.032,0.037,0.092
"P44","Lo votaría",0.069,0.423,0.062,0.087
"P44","Puede que lo vote",0.043,0.414,0.102,0.197
"P44","Nunca lo votaría",0.87,0.146,0.8,0.608
"P44","No sabe",0.018,0.017,0.036,0.108
"P45","Lo votaría",0.183,0.058,0.072,0.034
"P45","Puede que lo vote",0.38,0.1,0.096,0.077
"P45","Nunca lo votaría",0.373,0.825,0.791,0.798
"P45","No sabe",0.064,0.017,0.041,0.091
"P46","Lo votaría",0.079,0.041,0.042,0.067
"P46","Puede que lo vote",0.205,0.138,0.154,0.154
"P46","Nunca lo votaría",0.676,0.792,0.768,0.667
"P46","No sabe",0.04,0.029,0.036,0.112
"P54","Lo votaría",0.653,0.044,0.128,0.076
"P54","Puede que lo vote",0.15,0.076,0.057,0.054
"P54","Nunca lo votaría",0.191,0.866,0.781,0.759
"P54","No sabe",0.006,0.014,0.034,0.111
"P55","Lo votaría",0.135,0.502,0.455,0.556
"P55","Puede que lo vote",0.065,0.26,0.167,0.118
"P55","Nunca lo votaría",0.792,0.22,0.359,0.233
"P55","No sabe",0.008,0.018,0.019,0.093
"P56","Lo votaría",0.141,0.334,0.42,0.389
"P56","Puede que lo vote",0.25,0.306,0.193,0.298
"P56","Nunca lo votaría",0.58,0.342,0.347,0.2
"P56","No sabe",0.029,0.018,0.04,0.113
"P57","Si",0.542,0.53,0.519,0.464
"P57","No",0.458,0.47,0.481,0.536
