"var","categoria","Leandro Santoro por Unión por la Patria","Jorge Macri por Juntos por el Cambio","En blanco","No sabe"
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.764,0.041,0.265,0.116
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.073,0.709,0.217,0.235
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.03,0.177,0.298,0.138
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.056,0.002,0.103,0.088
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.009,0.015,0.026,0.087
"P27","Otros",0.033,0.023,0.024,0.127
"P27","En blanco",0.007,0.012,0.036,0.009
"P27","No sabe",0.028,0.021,0.031,0.2
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.751,0.028,0.254,0.15
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.091,0.571,0.219,0.282
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.042,0.292,0.298,0.144
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.05,0.006,0.099,0.065
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.017,0.005,0.026,0.078
"P28","Otros",0.023,0.035,0.023,0.107
"P28","En blanco",0.006,0.034,0.06,0.007
"P28","No sabe",0.02,0.029,0.021,0.167
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.79,0.017,0.241,0.143
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.059,0.722,0.168,0.2
"P29","Ramiro Marra por la Libertad Avanza",0.036,0.197,0.202,0.098
"P29","Vanina Biasi por el Frente de Izquierda",0.02,0.006,0.081,0.066
"P29","Otros",0.077,0.028,0.106,0.15
"P29","En blanco",0.012,0.008,0.12,0.054
"P29","No sabe",0.006,0.022,0.082,0.289
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.74,0.031,0.208,0.091
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.152,0.544,0.283,0.388
"P30","Ramiro Marra por la Libertad Avanza",0.039,0.227,0.252,0.066
"P30","Vanina Biasi por el Frente de Izquierda",0.006,0.002,0.079,0.06
"P30","Otros",0.042,0.074,0.044,0.143
"P30","En blanco",0.015,0.047,0.059,0.054
"P30","No sabe",0.006,0.075,0.075,0.198
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.837,0.063,0.274,0.117
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.062,0.867,0.32,0.258
"P33","En blanco",0.078,0.039,0.356,0.041
"P33","No sabe",0.023,0.031,0.05,0.584
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.202,0.747,0.24,0.26
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.06,0.208,0.254,0.192
"P34","En blanco",0.594,0.026,0.475,0.024
"P34","No sabe",0.144,0.019,0.031,0.524
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.844,0.067,0.282,0.093
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.073,0.713,0.203,0.275
"P35","En blanco",0.051,0.145,0.46,0.019
"P35","No sabe",0.032,0.075,0.055,0.613
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.284,0.554,0.247,0.235
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.073,0.362,0.316,0.263
"P36","En blanco",0.491,0.035,0.375,0.024
"P36","No sabe",0.152,0.049,0.062,0.478
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.825,0.075,0.267,0.176
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.052,0.552,0.313,0.193
"P37","En blanco",0.087,0.208,0.372,0.07
"P37","No sabe",0.036,0.165,0.048,0.561
"P39","Leandro Santoro por Unión por la Patria",0.846,0.018,0.161,0.08
"P39","Martin Lousteau por Juntos por el Cambio",0.125,0.734,0.239,0.392
"P39","En blanco",0.009,0.177,0.562,0.086
"P39","No sabe",0.02,0.071,0.038,0.442
"P40","Lo votaría",0.808,0.029,0.219,0.101
"P40","Puede que lo vote",0.121,0.12,0.063,0.222
"P40","Nunca lo votaría",0.055,0.826,0.648,0.466
"P40","No sabe",0.016,0.025,0.07,0.211
"P41","Lo votaría",0.587,0.032,0.195,0.056
"P41","Puede que lo vote",0.196,0.046,0.084,0.042
"P41","Nunca lo votaría",0.19,0.912,0.695,0.661
"P41","No sabe",0.027,0.01,0.026,0.241
"P42","Lo votaría",0.117,0.712,0.246,0.151
"P42","Puede que lo vote",0.036,0.166,0.191,0.252
"P42","Nunca lo votaría",0.819,0.101,0.525,0.362
"P42","No sabe",0.028,0.021,0.038,0.235
"P43","Lo votaría",0.116,0.488,0.115,0.186
"P43","Puede que lo vote",0.1,0.303,0.185,0.206
"P43","Nunca lo votaría",0.744,0.186,0.662,0.362
"P43","No sabe",0.04,0.023,0.038,0.246
"P44","Lo votaría",0.094,0.246,0.219,0.139
"P44","Puede que lo vote",0.042,0.341,0.12,0.093
"P44","Nunca lo votaría",0.849,0.392,0.616,0.53
"P44","No sabe",0.015,0.021,0.045,0.238
"P45","Lo votaría",0.183,0.028,0.164,0.019
"P45","Puede que lo vote",0.399,0.067,0.183,0.109
"P45","Nunca lo votaría",0.357,0.885,0.606,0.64
"P45","No sabe",0.061,0.02,0.047,0.232
"P46","Lo votaría",0.097,0.025,0.053,0.072
"P46","Puede que lo vote",0.159,0.163,0.207,0.201
"P46","Nunca lo votaría",0.689,0.781,0.719,0.525
"P46","No sabe",0.055,0.031,0.021,0.202
"P54","Lo votaría",0.715,0.022,0.155,0.066
"P54","Puede que lo vote",0.132,0.078,0.085,0.041
"P54","Nunca lo votaría",0.148,0.885,0.705,0.635
"P54","No sabe",0.005,0.015,0.055,0.258
"P55","Lo votaría",0.125,0.627,0.116,0.11
"P55","Puede que lo vote",0.026,0.259,0.129,0.108
"P55","Nunca lo votaría",0.835,0.102,0.722,0.574
"P55","No sabe",0.014,0.012,0.033,0.208
"P56","Lo votaría",0.162,0.403,0.187,0.265
"P56","Puede que lo vote",0.21,0.317,0.232,0.188
"P56","Nunca lo votaría",0.597,0.257,0.524,0.332
"P56","No sabe",0.031,0.023,0.057,0.215
"P57","Si",0.538,0.549,0.386,0.56
"P57","No",0.462,0.451,0.614,0.44
