"var","categoria","Si","No","No sabe"
"P33","Muy mala",0.337,0.217,0.281
"P33","No sabe",0.009,0.004,0.06
"P34","Muy buena",0.222,0.102,0.04
"P34","Buena",0.183,0.1,0.193
"P34","Ni buena ni mala",0.166,0.089,0.161
"P34","Mala",0.151,0.174,0.114
"P34","Muy mala",0.254,0.534,0.467
"P34","No sabe",0.024,0.001,0.025
"P35","Muy buena",0.255,0.519,0.335
"P35","Buena",0.109,0.113,0.177
"P35","Ni buena ni mala",0.116,0.075,0.097
"P35","Mala",0.184,0.083,0.039
"P35","Muy mala",0.331,0.208,0.323
"P35","No sabe",0.005,0.002,0.029
"P36","Muy buena",0.246,0.359,0.269
"P36","Buena",0.156,0.311,0.232
"P36","Ni buena ni mala",0.108,0.081,0.174
"P36","Mala",0.142,0.076,0.036
"P36","Muy mala",0.348,0.171,0.254
"P36","No sabe",0,0.002,0.035
"P37","Muy buena",0.173,0.312,0.145
"P37","Buena",0.118,0.226,0.258
"P37","Ni buena ni mala",0.219,0.244,0.259
"P37","Mala",0.17,0.057,0.078
"P37","Muy mala",0.312,0.141,0.204
"P37","No sabe",0.008,0.02,0.056
"P38","Muy buena",0.283,0.578,0.416
"P38","Buena",0.128,0.153,0.146
"P38","Ni buena ni mala",0.163,0.083,0.144
"P38","Mala",0.133,0.039,0.065
"P38","Muy mala",0.286,0.14,0.204
"P38","No sabe",0.007,0.007,0.025
"P39","Muy buena",0.173,0.138,0.134
"P39","Buena",0.172,0.195,0.204
"P39","Ni buena ni mala",0.339,0.366,0.396
"P39","Mala",0.151,0.131,0.072
"P39","Muy mala",0.137,0.153,0.129
"P39","No sabe",0.028,0.017,0.065
"P40","Muy buena",0.142,0.242,0.12
"P40","Buena",0.124,0.231,0.176
"P40","Ni buena ni mala",0.224,0.203,0.341
"P40","Mala",0.143,0.147,0.062
"P40","Muy mala",0.339,0.161,0.208
"P40","No sabe",0.028,0.016,0.093
"P41","Muy buena",0.128,0.207,0.119
"P41","Buena",0.117,0.304,0.117
"P41","Ni buena ni mala",0.318,0.229,0.387
"P41","Mala",0.146,0.101,0.08
"P41","Muy mala",0.234,0.132,0.145
"P41","No sabe",0.057,0.027,0.152
