"var","categoria","Si","No","No sabe"
"P19","No sabe",0.032,0.047,0.036
"P20","Autoritaria",0.516,0.242,0.345
"P20","Inexperta negociando",0.181,0.107,0.227
"P20","Indecisa",0.145,0.023,0.132
"P20","Prudente",0.071,0.175,0.108
"P20","Hábil negociando",0.014,0.122,0.063
"P20","Firme y decidido",0.073,0.331,0.125
"P21","Si",0.762,0.427,0.515
"P21","No",0.106,0.353,0.146
"P21","No sabe",0.132,0.22,0.339
"P22","Si",0.745,0.296,0.31
"P22","No",0.121,0.47,0.073
"P22","No sabe",0.134,0.234,0.617
"P23","Si",0.924,0.19,0.301
"P23","No",0.052,0.734,0.115
"P23","No sabe",0.024,0.076,0.584
"P25","Muy de acuerdo",0.408,0.448,0.223
"P25","De acuerdo",0.097,0.241,0.093
"P25","Ni de acuerdo ni en desacuerdo",0.118,0.095,0.279
"P25","En desacuerdo",0.174,0.056,0.173
"P25","Muy en desacuerdo",0.196,0.16,0.218
"P25","No sabe",0.007,0,0.014
"P26","Muy de acuerdo",0.383,0.51,0.229
"P26","De acuerdo",0.079,0.138,0.176
"P26","Ni de acuerdo ni en desacuerdo",0.146,0.101,0.111
"P26","En desacuerdo",0.163,0.057,0.229
"P26","Muy en desacuerdo",0.223,0.176,0.217
"P26","No sabe",0.006,0.018,0.038
"P27","Muy buena",0.41,0.158,0.138
"P27","Buena",0.348,0.154,0.26
"P27","Ni buena ni mala",0.085,0.338,0.455
"P27","Mala",0.089,0.221,0.116
"P27","Muy mala",0.038,0.129,0.009
"P27","No sabe",0.03,0,0.022
"P28","Muy buena",0.566,0.015,0.019
"P28","Buena",0.276,0.124,0.356
"P28","Ni buena ni mala",0.1,0.148,0.544
"P28","Mala",0.05,0.432,0.04
"P28","Muy mala",0,0.281,0.006
"P28","No sabe",0.008,0,0.035
"P29","Muy buena",0.355,0.013,0.064
"P29","Buena",0.221,0.105,0.185
"P29","Ni buena ni mala",0.172,0.141,0.423
"P29","Mala",0.163,0.352,0.248
"P29","Muy mala",0.061,0.385,0.059
"P29","No sabe",0.028,0.004,0.021
"P30","Muy buena",0.322,0.025,0.069
"P30","Buena",0.183,0.055,0.088
"P30","Ni buena ni mala",0.293,0.364,0.536
"P30","Mala",0.131,0.278,0.176
"P30","Muy mala",0.032,0.274,0.065
"P30","No sabe",0.039,0.004,0.066
"P31","Muy buena",0.329,0.028,0.129
"P31","Buena",0.163,0.073,0.126
"P31","Ni buena ni mala",0.231,0.23,0.471
"P31","Mala",0.157,0.29,0.169
"P31","Muy mala",0.105,0.374,0.069
"P31","No sabe",0.015,0.005,0.036
"P32","Muy buena",0.426,0.14,0.209
"P32","Buena",0.074,0.029,0.119
"P32","Ni buena ni mala",0.117,0.062,0.136
"P32","Mala",0.191,0.201,0.175
"P32","Muy mala",0.152,0.566,0.347
"P32","No sabe",0.04,0.002,0.014
"P33","Muy buena",0.221,0.161,0.113
"P33","Buena",0.117,0.187,0.129
"P33","Ni buena ni mala",0.102,0.2,0.194
"P33","Mala",0.214,0.183,0.267
"P33","Muy mala",0.306,0.256,0.278
"P33","No sabe",0.04,0.013,0.019
"P34","Muy buena",0.293,0.096,0.116
"P34","Buena",0.164,0.115,0.208
"P34","Ni buena ni mala",0.131,0.064,0.221
"P34","Mala",0.148,0.17,0.157
"P34","Muy mala",0.201,0.555,0.283
"P34","No sabe",0.063,0,0.015
"P35","Muy buena",0.359,0.397,0.238
"P35","Buena",0.086,0.17,0.092
"P35","Ni buena ni mala",0.095,0.061,0.233
"P35","Mala",0.238,0.086,0.135
"P35","Muy mala",0.219,0.281,0.288
"P35","No sabe",0.003,0.005,0.014
"P36","Muy buena",0.316,0.309,0.226
"P36","Buena",0.151,0.307,0.161
"P36","Ni buena ni mala",0.086,0.089,0.148
"P36","Mala",0.138,0.088,0.169
"P36","Muy mala",0.309,0.199,0.282
"P36","No sabe",0,0.008,0.014
"P37","Muy buena",0.287,0.228,0.117
"P37","Buena",0.11,0.167,0.162
"P37","Ni buena ni mala",0.123,0.296,0.314
"P37","Mala",0.241,0.113,0.13
"P37","Muy mala",0.236,0.175,0.237
"P37","No sabe",0.003,0.021,0.04
"P38","Muy buena",0.402,0.45,0.307
"P38","Buena",0.065,0.15,0.099
"P38","Ni buena ni mala",0.154,0.165,0.181
"P38","Mala",0.145,0.061,0.127
"P38","Muy mala",0.231,0.168,0.258
"P38","No sabe",0.003,0.006,0.028
"P39","Muy buena",0.266,0.113,0.076
"P39","Buena",0.181,0.164,0.21
"P39","Ni buena ni mala",0.291,0.431,0.422
"P39","Mala",0.124,0.107,0.132
"P39","Muy mala",0.108,0.178,0.107
"P39","No sabe",0.03,0.007,0.053
"P40","Muy buena",0.271,0.172,0.105
"P40","Buena",0.15,0.177,0.159
"P40","Ni buena ni mala",0.156,0.297,0.276
"P40","Mala",0.157,0.136,0.145
"P40","Muy mala",0.263,0.217,0.249
"P40","No sabe",0.003,0.001,0.066
"P41","Muy buena",0.249,0.11,0.067
"P41","Buena",0.096,0.236,0.194
"P41","Ni buena ni mala",0.197,0.333,0.412
"P41","Mala",0.235,0.096,0.092
"P41","Muy mala",0.2,0.195,0.161
"P41","No sabe",0.023,0.03,0.074
