"var","categoria","Federico Meca a intendente por Unión por la Patria.","Ramón Lanus a intendente por Juntos por el Cambio","Rodolfo Paolucci a intendente por la Libertad Avanza","Camila Paiz a intendenta por el Frente de Izquierda","En blanco","No sabe"
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.215,0.591,0.212,0.063,0.161,0.21
"P16","Javier Milei a presidente por la Libertad Avanza",0.13,0.302,0.502,0,0.203,0.251
"P16","Myriam Bregman a presidenta por el Frente de Izquierda",0.107,0,0.029,0.495,0,0.028
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.03,0.019,0.054,0,0.284,0.051
"P16","En blanco",0.032,0.002,0,0,0.138,0.087
"P16","No sabe",0,0.022,0.006,0.023,0,0.159
"P19","Axel Kicillof a gobernador por Unión por la Patria.",0.573,0.058,0.147,0.455,0.11,0.221
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.299,0.629,0.35,0.051,0.211,0.135
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.055,0.266,0.464,0.145,0.225,0.111
"P19","Rubén Sobrero a gobernador por el Frente de Izquierda",0.008,0.007,0,0.349,0,0
"P19","En blanco",0.01,0.003,0,0,0.302,0.011
"P19","No sabe",0.055,0.037,0.039,0,0.152,0.522
"P22","Federico Meca a intendente por Unión por la Patria.",1,0,0,0,0,0
"P22","Ramón Lanus a intendente por Juntos por el Cambio",0,1,0,0,0,0
"P22","Rodolfo Paolucci a intendente por la Libertad Avanza",0,0,1,0,0,0
"P22","Camila Paiz a intendenta por el Frente de Izquierda",0,0,0,1,0,0
"P22","En blanco",0,0,0,0,1,0
"P22","No sabe",0,0,0,0,0,1
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.093,0.486,0.549,0.14,0.375,0.38
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.243,0.335,0.283,0.152,0.085,0.177
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.545,0.14,0.091,0.136,0.206,0.126
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.054,0.002,0.036,0.21,0.048,0.043
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.02,0.008,0.02,0.322,0.165,0.081
"P25","No sabe",0.045,0.029,0.021,0.04,0.121,0.193
"P26","Totalmente seguro.",0.765,0.74,0.768,0.602,0.622,0.441
"P26","Bastante seguro",0.141,0.142,0.132,0.335,0.105,0.145
"P26","Algo seguro",0.059,0.09,0.071,0,0.027,0.157
"P26","Para nada seguro",0.035,0.028,0.029,0.063,0.246,0.257
"P27","Tiene Decidido que va a ir a votar.",0.959,0.926,0.882,0.967,0.73,0.8
"P27","Tiene dudas sobre si va a ir a  votar",0.034,0.054,0.071,0,0.234,0.161
"P27","Tiene Decidido que no va a ir a votar",0.007,0.02,0.047,0.033,0.036,0.039
"P28","Si",0.47,0.402,0.395,0.433,0.147,0.326
"P28","No",0.53,0.598,0.605,0.567,0.853,0.674
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.891,0.03,0.079,0.245,0.159,0.164
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.046,0.814,0.079,0.031,0.086,0.145
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.027,0.138,0.807,0,0.133,0.21
"PRESIDENTE","Myriam Bregman a presidenta por el Frente de Izquierda",0.024,0,0.008,0.711,0,0.027
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.006,0.008,0.025,0,0.289,0.056
"PRESIDENTE","En blanco",0.006,0.001,0,0,0.333,0.073
"PRESIDENTE","No sabe",0,0.009,0.002,0.013,0,0.325
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.913,0.026,0.057,0.299,0.098,0.165
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.06,0.834,0.143,0.024,0.119,0.094
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.012,0.118,0.788,0.077,0.145,0.106
"GOBERNADOR","Rubén Sobrero a gobernador por el Frente de Izquierda",0.002,0.003,0,0.6,0,0
"GOBERNADOR","En blanco",0.002,0.002,0,0,0.538,0.009
"GOBERNADOR","No sabe",0.011,0.017,0.012,0,0.1,0.626
"CORTA_PRESIDENTE","Si",0.076,0.079,0.103,0.257,0.182,0.174
"CORTA_PRESIDENTE","No",0.924,0.921,0.897,0.743,0.818,0.826
"CORTA_GOBERNADOR","Si",0.09,0.146,0.158,0.154,0.114,0.327
"CORTA_GOBERNADOR","No",0.91,0.854,0.842,0.846,0.886,0.673
"CORTA_INTENDENTE","Si",0.081,0.183,0.175,0.407,0.379,0.595
"CORTA_INTENDENTE","No",0.919,0.817,0.825,0.593,0.621,0.405
