"var","categoria","Unión por la Patria","Juntos por el Cambio ","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro país","En blanco","No sabe"
"INTENDENTE","Ramón Lanus a intendente por Juntos por el Cambio",0.133,0.823,0.367,0.176,0.223,0.372,0.146
"INTENDENTE","Rodolfo Paolucci a intendente por la Libertad Avanza",0.028,0.083,0.529,0.219,0.222,0.049,0.108
"INTENDENTE","Camila Paiz a intendenta por el Frente de Izquierda",0.024,0.002,0,0.35,0.048,0,0.013
"INTENDENTE","En blanco",0.011,0.006,0.011,0.05,0.251,0.242,0.069
"INTENDENTE","No sabe",0.019,0.015,0.037,0.022,0.091,0.139,0.41
"CORTA_PRESIDENTE","Si",0.093,0.107,0.122,0.307,0.304,0.172,0.181
"CORTA_PRESIDENTE","No",0.907,0.893,0.878,0.693,0.696,0.828,0.819
"CORTA_GOBERNADOR","Si",0.093,0.146,0.216,0.388,0.604,0.444,0.242
"CORTA_GOBERNADOR","No",0.907,0.854,0.784,0.612,0.396,0.556,0.758
"CORTA_INTENDENTE","Si",0.138,0.152,0.337,0.453,0.66,0.389,0.43
"CORTA_INTENDENTE","No",0.862,0.848,0.663,0.547,0.34,0.611,0.57
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.",0.824,0.076,0.07,0.178,0.282,0.255,0.355
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Ramón Lanus a intendente por Juntos por el Cambio",0.106,0.841,0.14,0.158,0.053,0.268,0.287
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Rodolfo Paolucci a intendente por la Libertad Avanza",0.06,0.069,0.787,0.127,0.027,0.085,0.268
"P12_imputada","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Camila Paiz a intendenta por el Frente de Izquierda",0.009,0.001,0,0.431,0.047,0,0.053
"P12_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro País",0,0.001,0.002,0.016,0.48,0.081,0.013
"P12_imputada","En blanco",0.001,0.012,0.001,0.09,0.111,0.311,0.024
"P16_imputada","Sergio Massa a presidente por Unión por la Patria.",0.617,0.082,0.111,0.215,0.24,0.063,0.129
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.242,0.756,0.124,0.097,0.073,0.187,0.4
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0.074,0.148,0.761,0.241,0.029,0.182,0.355
"P16_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.059,0,0,0.406,0.103,0,0.011
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro País",0,0.014,0.004,0.041,0.555,0.146,0.017
"P16_imputada","En blanco",0.008,0,0,0,0,0.422,0.088
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.621,0.058,0.07,0.607,0.202,0.164,0.127
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.189,0.803,0.349,0.145,0.174,0.319,0.584
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.174,0.125,0.577,0.019,0.283,0.023,0.244
"P19_imputada","Rubén Sobrero a gobernador por el Frente de Izquierda",0.012,0.009,0,0.143,0.18,0,0.045
"P19_imputada","En blanco",0.004,0.005,0.004,0.086,0.161,0.494,0
"P22_imputada","Federico Meca a intendente por Unión por la Patria.",0.544,0.067,0.063,0.299,0.096,0.252,0.05
"P22_imputada","Ramón Lanus a intendente por Juntos por el Cambio",0.253,0.77,0.566,0.154,0.313,0.29,0.659
"P22_imputada","Rodolfo Paolucci a intendente por la Libertad Avanza",0.053,0.141,0.341,0.199,0.349,0.035,0.096
"P22_imputada","Camila Paiz a intendenta por el Frente de Izquierda",0.119,0.006,0,0.274,0.039,0,0.07
"P22_imputada","En blanco",0.031,0.016,0.03,0.074,0.203,0.423,0.125
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.805,0.075,0.09,0.136,0.25,0.12,0.31
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.138,0.826,0.138,0.121,0.07,0.314,0.292
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.036,0.092,0.769,0.218,0.023,0.116,0.326
"PRESIDENTE_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.018,0.001,0,0.427,0.078,0,0.012
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro País",0,0.006,0.002,0.017,0.569,0.084,0.013
"PRESIDENTE_imputada","En blanco",0.003,0,0.001,0.081,0.01,0.366,0.047
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.815,0.066,0.071,0.4,0.24,0.172,0.323
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.121,0.844,0.256,0.16,0.168,0.386,0.346
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.057,0.084,0.67,0.118,0.222,0.057,0.298
"GOBERNADOR_imputada","Rubén Sobrero a gobernador por el Frente de Izquierda",0.005,0.004,0,0.266,0.155,0,0.027
"GOBERNADOR_imputada","En blanco",0.002,0.002,0.003,0.056,0.215,0.385,0.006
"INTENDENTE_imputada","Federico Meca a intendente por Unión por la Patria.",0.798,0.072,0.063,0.205,0.189,0.198,0.297
"INTENDENTE_imputada","Ramón Lanus a intendente por Juntos por el Cambio",0.133,0.836,0.381,0.176,0.29,0.399,0.388
"INTENDENTE_imputada","Rodolfo Paolucci a intendente por la Libertad Avanza",0.029,0.084,0.545,0.219,0.222,0.059,0.204
"INTENDENTE_imputada","Camila Paiz a intendenta por el Frente de Izquierda",0.029,0.002,0,0.35,0.048,0,0.031
"INTENDENTE_imputada","En blanco",0.011,0.006,0.011,0.05,0.251,0.344,0.08
