"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Ramón Lanus a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Rodolfo Paolucci a intendente por la Libertad Avanza","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Camila Paiz a intendenta por el Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro País","En blanco","No sabe"
"P25","No sabe",0.047,0.032,0.023,0.047,0.102,0.129,0.166
"P26","Totalmente seguro.",0.748,0.717,0.841,0.75,0.593,0.388,0.319
"P26","Bastante seguro",0.154,0.172,0.092,0.151,0.037,0.017,0.118
"P26","Algo seguro",0.057,0.094,0.048,0.043,0.202,0.03,0.234
"P26","Para nada seguro",0.041,0.017,0.019,0.056,0.168,0.565,0.329
"P27","Tiene Decidido que va a ir a votar.",0.959,0.927,0.901,0.962,0.782,0.65,0.72
"P27","Tiene dudas sobre si va a ir a  votar",0.035,0.053,0.056,0,0.218,0.268,0.239
"P27","Tiene Decidido que no va a ir a votar",0.006,0.02,0.043,0.038,0,0.082,0.041
"P28","Si",0.482,0.412,0.347,0.439,0.31,0.293,0.243
"P28","No",0.518,0.588,0.653,0.561,0.69,0.707,0.757
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.903,0.02,0.044,0.073,0,0.026,0.087
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.029,0.94,0.062,0.121,0.045,0.006,0.154
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.02,0.032,0.889,0.141,0,0.222,0.063
"PRESIDENTE","Myriam Bregman a presidenta por el Frente de Izquierda",0.026,0.001,0.004,0.665,0.053,0,0
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.005,0.005,0,0,0.902,0.095,0
"PRESIDENTE","En blanco",0.006,0.001,0,0,0,0.64,0.029
"PRESIDENTE","No sabe",0.011,0.001,0.001,0,0,0.011,0.667
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.896,0.022,0.027,0.316,0.076,0,0
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.046,0.912,0.155,0,0.104,0.269,0.201
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.016,0.05,0.789,0.073,0.282,0,0.038
"GOBERNADOR","Rubén Sobrero a gobernador por el Frente de Izquierda",0.016,0.002,0.004,0.567,0,0,0.009
"GOBERNADOR","En blanco",0.001,0.001,0,0.044,0.478,0.464,0
"GOBERNADOR","No sabe",0.025,0.013,0.025,0,0.06,0.267,0.752
"INTENDENTE","Federico Meca a intendente por Unión por la Patria.",0.858,0.017,0.03,0.284,0.108,0,0.055
"INTENDENTE","Ramón Lanus a intendente por Juntos por el Cambio",0.055,0.924,0.262,0,0.161,0.214,0.231
"INTENDENTE","Rodolfo Paolucci a intendente por la Libertad Avanza",0.023,0.04,0.65,0,0.256,0,0.052
"INTENDENTE","Camila Paiz a intendenta por el Frente de Izquierda",0.025,0.002,0.004,0.673,0,0,0.01
"INTENDENTE","En blanco",0.01,0.005,0.017,0,0.339,0.591,0.047
"INTENDENTE","No sabe",0.029,0.012,0.037,0.043,0.136,0.195,0.605
"CORTA_PRESIDENTE","Si",0.112,0.071,0.145,0.412,0.108,0.42,0.399
"CORTA_PRESIDENTE","No",0.888,0.929,0.855,0.588,0.892,0.58,0.601
"CORTA_GOBERNADOR","Si",0.129,0.107,0.272,0.553,0.562,0.588,0.325
"CORTA_GOBERNADOR","No",0.871,0.893,0.728,0.447,0.438,0.412,0.675
"CORTA_INTENDENTE","Si",0.184,0.102,0.412,0.496,0.742,0.507,0.499
"CORTA_INTENDENTE","No",0.816,0.898,0.588,0.504,0.258,0.493,0.501
