"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.426,0.407,0.371
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.212,0.221,0.365
"PRESIDENTE","Myriam Bregman a presidenta por el Frente de Izquierda",0.024,0.007,0.03
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.016,0.1,0
"PRESIDENTE","En blanco",0.007,0.042,0.081
"PRESIDENTE","No sabe",0.017,0.067,0.061
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.296,0.177,0.061
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.449,0.423,0.395
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.197,0.195,0.366
"GOBERNADOR","Rubén Sobrero a gobernador por el Frente de Izquierda",0.013,0.015,0.03
"GOBERNADOR","En blanco",0.011,0.081,0.044
"GOBERNADOR","No sabe",0.034,0.109,0.104
"INTENDENTE","Federico Meca a intendente por Unión por la Patria.",0.284,0.153,0.09
"INTENDENTE","Ramón Lanus a intendente por Juntos por el Cambio",0.479,0.43,0.424
"INTENDENTE","Rodolfo Paolucci a intendente por la Libertad Avanza",0.156,0.193,0.337
"INTENDENTE","Camila Paiz a intendenta por el Frente de Izquierda",0.022,0,0.03
"INTENDENTE","En blanco",0.021,0.107,0.044
"INTENDENTE","No sabe",0.038,0.117,0.075
"CORTA_PRESIDENTE","Si",0.093,0.124,0.051
"CORTA_PRESIDENTE","No",0.907,0.876,0.949
"CORTA_GOBERNADOR","Si",0.132,0.195,0.067
"CORTA_GOBERNADOR","No",0.868,0.805,0.933
"CORTA_INTENDENTE","Si",0.178,0.252,0.096
"CORTA_INTENDENTE","No",0.822,0.748,0.904
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.",0.308,0.212,0.085
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Ramón Lanus a intendente por Juntos por el Cambio",0.441,0.41,0.401
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Rodolfo Paolucci a intendente por la Libertad Avanza",0.207,0.233,0.425
"P12_imputada","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Camila Paiz a intendenta por el Frente de Izquierda",0.019,0,0.03
"P12_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.013,0.056,0
"P12_imputada","En blanco",0.012,0.089,0.059
"P16_imputada","Sergio Massa a presidente por Unión por la Patria.",0.194,0.075,0.183
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.411,0.409,0.62
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0.314,0.25,0.079
"P16_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.04,0.011,0
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.03,0.192,0
"P16_imputada","En blanco",0.011,0.063,0.118
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.196,0.158,0.077
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.512,0.47,0.75
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.268,0.227,0.173
"P19_imputada","Rubén Sobrero a gobernador por el Frente de Izquierda",0.013,0.022,0
"P19_imputada","En blanco",0.011,0.123,0
"P22_imputada","Federico Meca a intendente por Unión por la Patria.",0.168,0.093,0.172
"P22_imputada","Ramón Lanus a intendente por Juntos por el Cambio",0.573,0.465,0.828
"P22_imputada","Rodolfo Paolucci a intendente por la Libertad Avanza",0.182,0.246,0
"P22_imputada","Camila Paiz a intendenta por el Frente de Izquierda",0.042,0,0
"P22_imputada","En blanco",0.035,0.196,0
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.3,0.189,0.092
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.433,0.411,0.401
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.218,0.251,0.396
"PRESIDENTE_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.024,0.007,0.03
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.016,0.1,0
"PRESIDENTE_imputada","En blanco",0.009,0.042,0.081
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.303,0.231,0.061
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.472,0.448,0.44
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.199,0.225,0.425
"GOBERNADOR_imputada","Rubén Sobrero a gobernador por el Frente de Izquierda",0.014,0.015,0.03
"GOBERNADOR_imputada","En blanco",0.012,0.081,0.044
"INTENDENTE_imputada","Federico Meca a intendente por Unión por la Patria.",0.291,0.202,0.09
"INTENDENTE_imputada","Ramón Lanus a intendente por Juntos por el Cambio",0.499,0.457,0.468
"INTENDENTE_imputada","Rodolfo Paolucci a intendente por la Libertad Avanza",0.163,0.234,0.368
"INTENDENTE_imputada","Camila Paiz a intendenta por el Frente de Izquierda",0.025,0,0.03
"INTENDENTE_imputada","En blanco",0.022,0.107,0.044
