"var","categoria","Federico Meca a intendente por Unión por la Patria.","Ramón Lanus a intendente por Juntos por el Cambio","Rodolfo Paolucci a intendente por la Libertad Avanza","Camila Paiz a intendenta por el Frente de Izquierda","En blanco","No sabe"
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.219,0.224,0.267,0.203,0.08,0.111
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.415,0.171,0.138,0.219,0.209,0.11
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.045,0.004,0.006,0.117,0.049,0.017
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.004,0,0.012,0.345,0.171,0.09
"P25","No sabe",0.052,0.039,0.022,0,0.071,0.188
"P26","Totalmente seguro.",0.679,0.66,0.672,0.451,0.44,0.463
"P26","Bastante seguro",0.192,0.149,0.156,0.524,0.202,0.141
"P26","Algo seguro",0.093,0.143,0.136,0,0.012,0.106
"P26","Para nada seguro",0.036,0.048,0.036,0.025,0.346,0.29
"P27","Tiene Decidido que va a ir a votar.",0.949,0.916,0.898,1,0.669,0.897
"P27","Tiene dudas sobre si va a ir a  votar",0.033,0.061,0.102,0,0.331,0.095
"P27","Tiene Decidido que no va a ir a votar",0.018,0.023,0,0,0,0.008
"P28","Si",0.484,0.376,0.503,0.449,0.178,0.379
"P28","No",0.516,0.624,0.497,0.551,0.822,0.621
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.486,0.064,0.197,0.419,0.214,0.214
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.215,0.591,0.212,0.063,0.161,0.21
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.13,0.302,0.502,0,0.203,0.251
"PRESIDENTE","Myriam Bregman a presidenta por el Frente de Izquierda",0.107,0,0.029,0.495,0,0.028
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.03,0.019,0.054,0,0.284,0.051
"PRESIDENTE","En blanco",0.032,0.002,0,0,0.138,0.087
"PRESIDENTE","No sabe",0,0.022,0.006,0.023,0,0.159
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.573,0.058,0.147,0.455,0.11,0.221
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.299,0.629,0.35,0.051,0.211,0.135
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.055,0.266,0.464,0.145,0.225,0.111
"GOBERNADOR","Rubén Sobrero a gobernador por el Frente de Izquierda",0.008,0.007,0,0.349,0,0
"GOBERNADOR","En blanco",0.01,0.003,0,0,0.302,0.011
"GOBERNADOR","No sabe",0.055,0.037,0.039,0,0.152,0.522
"INTENDENTE","Federico Meca a intendente por Unión por la Patria.",1,0,0,0,0,0
"INTENDENTE","Ramón Lanus a intendente por Juntos por el Cambio",0,1,0,0,0,0
"INTENDENTE","Rodolfo Paolucci a intendente por la Libertad Avanza",0,0,1,0,0,0
"INTENDENTE","Camila Paiz a intendenta por el Frente de Izquierda",0,0,0,1,0,0
"INTENDENTE","En blanco",0,0,0,0,1,0
"INTENDENTE","No sabe",0,0,0,0,0,1
"CORTA_PRESIDENTE","Si",0.351,0.176,0.271,0.402,0.319,0.231
"CORTA_PRESIDENTE","No",0.649,0.824,0.729,0.598,0.681,0.769
"CORTA_GOBERNADOR","Si",0.425,0.325,0.413,0.268,0.149,0.405
"CORTA_GOBERNADOR","No",0.575,0.675,0.587,0.732,0.851,0.595
"CORTA_INTENDENTE","Si",0.379,0.405,0.452,0.641,0.597,0.741
"CORTA_INTENDENTE","No",0.621,0.595,0.548,0.359,0.403,0.259
