"var","categoria","Unidos para Cambiar Santa Fe","Juntos Avancemos","De los liberales libertarios","De la Izquierda","En blanco","No sabe"
"P15","No sabe",0.3,0.326,0.333,0.422,0.276,0.579
"P16","La votaría",0.196,0.308,0.217,0.038,0.035,0.128
"P16","Puede que la vote",0.116,0.163,0.198,0.104,0.194,0.144
"P16","Nunca la votaría",0.584,0.427,0.482,0.669,0.494,0.409
"P16","No sabe",0.104,0.102,0.103,0.189,0.277,0.319
"P17","Lo votaría",0.221,0.299,0.21,0.091,0.093,0.136
"P17","Puede que lo vote",0.14,0.206,0.189,0.072,0.078,0.184
"P17","Nunca lo votaría",0.534,0.422,0.501,0.692,0.518,0.377
"P17","No sabe",0.105,0.073,0.1,0.145,0.311,0.303
"P18","La votaría",0.109,0.129,0.076,0.04,0,0.047
"P18","Puede que la vote",0.093,0.152,0.123,0.07,0.024,0.101
"P18","Nunca la votaría",0.494,0.424,0.502,0.53,0.574,0.302
"P18","No sabe",0.304,0.295,0.299,0.36,0.402,0.55
"P19","La votaría",0.137,0.113,0.078,0.116,0.1,0.079
"P19","Puede que la vote",0.214,0.188,0.175,0.153,0.042,0.135
"P19","Nunca la votaría",0.444,0.554,0.555,0.538,0.566,0.346
"P19","No sabe",0.205,0.145,0.192,0.193,0.292,0.44
"P20","Lo votaría",0.297,0.207,0.089,0.13,0.059,0.134
"P20","Puede que lo vote",0.149,0.146,0.109,0.184,0.086,0.142
"P20","Nunca lo votaría",0.43,0.517,0.592,0.475,0.578,0.325
"P20","No sabe",0.124,0.13,0.21,0.211,0.277,0.399
"P21","Lo votaría",0.28,0.097,0.017,0.112,0.042,0.045
"P21","Puede que lo vote",0.137,0.157,0.09,0.186,0.068,0.125
"P21","Nunca lo votaría",0.457,0.557,0.682,0.48,0.633,0.395
"P21","No sabe",0.126,0.189,0.211,0.222,0.257,0.435
"P22","Lo votaría",0.167,0.07,0.032,0.05,0,0.017
"P22","Puede que lo vote",0.143,0.138,0.065,0.168,0.039,0.084
"P22","Nunca lo votaría",0.428,0.474,0.568,0.497,0.622,0.327
"P22","No sabe",0.262,0.318,0.335,0.285,0.339,0.572
"P23","Lo votaría",0.162,0.084,0.017,0.042,0.03,0.023
"P23","Puede que lo vote",0.161,0.111,0.094,0.176,0.07,0.08
"P23","Nunca lo votaría",0.496,0.539,0.609,0.498,0.604,0.384
"P23","No sabe",0.181,0.266,0.28,0.284,0.296,0.513
"P24","Lo votaría",0.151,0.056,0.029,0.092,0.011,0.033
"P24","Puede que lo vote",0.109,0.155,0.091,0.188,0.03,0.099
"P24","Nunca lo votaría",0.532,0.556,0.653,0.469,0.662,0.369
"P24","No sabe",0.208,0.233,0.227,0.251,0.297,0.499
"P25","Lo votaría",0.092,0.153,0.066,0.017,0.019,0.062
"P25","Puede que lo vote",0.183,0.198,0.137,0.142,0.093,0.128
"P25","Nunca lo votaría",0.554,0.443,0.52,0.594,0.575,0.328
"P25","No sabe",0.171,0.206,0.277,0.247,0.313,0.482
"P26","Lo votaría",0.037,0.049,0.04,0.026,0.011,0.003
"P26","Puede que la vote",0.112,0.107,0.101,0.109,0,0.049
"P26","Nunca la votaría",0.532,0.437,0.488,0.574,0.653,0.34
"P26","No sabe",0.319,0.407,0.371,0.291,0.336,0.608
"P27","La votaría",0.075,0.065,0.074,0.026,0,0.003
"P27","Puede que la vote",0.135,0.148,0.104,0.157,0.065,0.073
"P27","Nunca la votaría",0.485,0.451,0.515,0.475,0.609,0.394
"P27","No sabe",0.305,0.336,0.307,0.342,0.326,0.53
"P28","Lo votaría",0.035,0.019,0.081,0.033,0,0.005
"P28","Puede que la vote",0.078,0.096,0.105,0.109,0.02,0.064
"P28","Nunca la votaría",0.534,0.49,0.494,0.539,0.652,0.336
"P28","No sabe",0.353,0.395,0.32,0.319,0.328,0.595
"P29","La votaría",0.107,0.113,0.013,0.16,0.021,0.02
"P29","Puede que la vote",0.134,0.114,0.126,0.082,0.046,0.073
"P29","Nunca la votaría",0.465,0.456,0.516,0.514,0.635,0.367
"P29","No sabe",0.294,0.317,0.345,0.244,0.298,0.54
"P30","Lo votaría",0.07,0.042,0.022,0.122,0.01,0.006
"P30","Puede que la vote",0.113,0.077,0.092,0.099,0,0.047
"P30","Nunca la votaría",0.456,0.485,0.557,0.497,0.671,0.324
"P30","No sabe",0.361,0.396,0.329,0.282,0.319,0.623
"P31","La votaría",0.112,0.082,0.006,0.151,0.005,0.013
"P31","Puede que la vote",0.184,0.152,0.078,0.151,0.007,0.125
"P31","Nunca la votaría",0.476,0.511,0.658,0.514,0.713,0.418
"P31","No sabe",0.228,0.255,0.258,0.184,0.275,0.444
"P32","La votaría",0.055,0.06,0.025,0.137,0,0.013
"P32","Puede que la vote",0.117,0.069,0.063,0.109,0.036,0.034
"P32","Nunca la votaría",0.513,0.506,0.595,0.488,0.713,0.347
"P32","No sabe",0.315,0.365,0.317,0.266,0.251,0.606
"P33","Lo votaría",0.048,0.025,0,0.077,0,0.017
"P33","Puede que la vote",0.109,0.108,0.116,0.14,0.033,0.054
"P33","Nunca la votaría",0.477,0.472,0.565,0.463,0.705,0.341
"P33","No sabe",0.366,0.395,0.319,0.32,0.262,0.588
"P34","La votaría",0.02,0.029,0.035,0.05,0,0.011
"P34","Puede que la vote",0.098,0.058,0.103,0.106,0,0.078
"P34","Nunca la votaría",0.491,0.472,0.482,0.465,0.717,0.346
"P34","No sabe",0.391,0.441,0.38,0.379,0.283,0.565
"P35","Si",0.469,0.471,0.388,0.368,0.265,0.382
"P35","No",0.531,0.529,0.612,0.632,0.735,0.618
