"var","categoria","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P13","A Ramiro Marra por La Libertad Avanza",0.002,0.01,0.005,0.611,0.046,0.065,0.051,0.01
"P13","Al candidato del Frente de Izquierda",0.01,0.002,0.003,0,0.617,0.025,0.048,0.012
"P13","A Luis Zamora por Autodeterminación y Libertad",0.021,0,0.003,0.015,0.049,0.583,0.071,0.16
"P13","En blanco",0.011,0.005,0.017,0.035,0.066,0,0.266,0.018
"P13","No sabe",0.025,0.035,0.019,0.019,0.027,0.033,0.063,0.238
"P14","A Leandro Santoro por el Frente de Todos",0.706,0.048,0.051,0.017,0.033,0.025,0.005,0.038
"P14","A Pedro Rosemblat por el Frente de Todos",0.142,0.037,0.061,0.018,0.118,0.074,0.045,0.07
"P14","A María Eugenia Vidal por Juntos por el Cambio",0.032,0.651,0.111,0.045,0.007,0.083,0.011,0.053
"P14","A Martín Lousteau por Juntos por el Cambio",0.049,0.151,0.686,0.049,0.019,0.041,0.053,0.028
"P14","A Ramiro Marra por La Libertad Avanza",0.018,0.015,0.042,0.692,0.053,0.013,0.076,0.043
"P14","Al candidato del Frente de Izquierda",0.004,0.004,0.002,0.073,0.484,0.073,0,0.014
"P14","A Luis Zamora por Autodeterminación y Libertad",0.015,0.003,0.005,0.023,0.174,0.532,0.109,0.007
"P14","En blanco",0.013,0.025,0.019,0.031,0.074,0.085,0.509,0.262
"P14","No sabe",0.021,0.066,0.023,0.052,0.038,0.074,0.192,0.485
"P15","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.928,0.014,0.037,0.006,0.111,0.009,0.005,0.021
"P15","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.014,0.796,0.166,0.107,0.027,0.036,0.264,0.256
"P15","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.018,0.118,0.727,0.012,0.016,0.091,0.029,0.023
"P15","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.01,0.028,0.038,0.754,0.03,0.026,0.029,0.031
"P15","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.003,0.004,0.016,0.095,0.643,0.065,0.02,0.013
"P15","A Luis Zamora por Autodeterminación y Libertad",0.003,0.005,0.001,0.007,0.118,0.725,0.051,0.013
"P15","En blanco",0.006,0.009,0.004,0.005,0.028,0.042,0.491,0.009
"P15","No sabe",0.018,0.026,0.011,0.014,0.027,0.006,0.111,0.634
"P17","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri y Horacio Rodríguez Larreta",0.102,0.54,0.133,0.059,0.016,0.029,0.213,0.144
"P17","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.015,0.169,0.599,0.067,0.012,0.008,0.025,0.016
"P17","A Ricardo López Murphy por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.033,0.223,0.13,0.143,0.101,0,0.169,0.248
"P17","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.574,0.023,0.033,0.096,0.026,0.059,0,0.015
"P17","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.246,0.003,0.085,0.007,0.291,0.064,0.06,0.062
"P17","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.003,0.008,0.001,0.619,0.013,0.286,0.028,0.047
"P17","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.005,0.003,0.004,0,0.514,0.027,0.27,0.012
"P17","A Luis Zamora por Autodeterminación y Libertad",0.01,0.006,0.001,0.001,0.014,0.513,0.06,0.244
"P17","En blanco",0.001,0.014,0.001,0.004,0,0,0.156,0.018
"P17","No sabe",0.011,0.011,0.013,0.004,0.013,0.014,0.019,0.194
"P18","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.595,0.038,0.033,0.018,0.015,0.019,0.01,0.037
"P18","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.286,0.026,0.065,0.056,0.083,0.054,0.061,0.076
"P18","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.034,0.818,0.131,0.05,0.022,0.009,0.058,0.084
"P18","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.04,0.081,0.72,0.024,0.025,0.039,0.01,0.003
"P18","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.023,0.015,0.015,0.761,0.062,0.04,0.046,0.067
"P18","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.007,0.002,0.005,0.068,0.406,0.203,0.051,0.054
"P18","A Luis Zamora por Autodeterminación y Libertad",0.003,0.001,0.006,0.004,0.184,0.607,0.192,0.012
"P18","En blanco",0.001,0.007,0.004,0.007,0.083,0.029,0.533,0.212
"P18","No sabe",0.011,0.012,0.021,0.012,0.12,0,0.039,0.455
"P19","A Martín Lousteau por Juntos por el Cambio",0.025,0.546,0.871,0.038,0.006,0.019,0.05,0.086
"P19","A Ramiro Marra por La Libertad Avanza",0.039,0.071,0.028,0.835,0.037,0.031,0.006,0.069
"P19","A Leandro Santoro por el Frente de Todos",0.882,0.034,0.04,0.017,0.121,0.107,0,0.071
"P19","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.007,0.004,0.006,0.039,0.607,0.023,0.054,0.008
"P19","A Luis Zamora por Autodeterminación y Libertad",0.007,0.026,0.006,0.009,0.049,0.666,0.076,0
"P19","En blanco",0.013,0.135,0.019,0.023,0.009,0.046,0.739,0.094
"P19","No sabe",0.027,0.184,0.03,0.039,0.171,0.108,0.075,0.672
"P22","A Leandro Santoro por el Frente de Todos",0.834,0.062,0.109,0.037,0.055,0.083,0.01,0.043
"P22","A Jorge Macri por Juntos por el Cambio",0.057,0.744,0.45,0.172,0.009,0.038,0.261,0.28
"P22","A Ramiro Marra por La Libertad Avanza",0.056,0.055,0.098,0.716,0.056,0.051,0.017,0.079
"P22","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.014,0.004,0.025,0.036,0.805,0.057,0.046,0.009
"P22","A Luis Zamora por Autodeterminación y Libertad",0.003,0.013,0.031,0.006,0.027,0.639,0.092,0.019
"P22","En blanco",0.009,0.046,0.113,0.018,0.007,0.034,0.479,0.013
"P22","No sabe",0.027,0.076,0.174,0.015,0.041,0.098,0.095,0.557
"P25","A Leandro Santoro por el Frente de Todos",0.869,0.04,0.124,0.046,0.033,0.096,0,0.147
"P25","A María Eugenia Vidal por Juntos por el Cambio",0.059,0.822,0.47,0.066,0.006,0.01,0.07,0.087
"P25","A Ramiro Marra por La Libertad Avanza",0.024,0.052,0.076,0.764,0.069,0.031,0.049,0.071
"P25","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.009,0.002,0.023,0.035,0.646,0.024,0.021,0.014
"P25","A Luis Zamora por Autodeterminación y Libertad",0.009,0.003,0.035,0.025,0.111,0.659,0.099,0.023
"P25","En blanco",0.008,0.025,0.136,0.034,0.089,0.033,0.643,0.06
"P25","No sabe",0.022,0.056,0.136,0.03,0.046,0.147,0.118,0.598
"P28","A Pedro Rosemblat por el Frente de Todos",0.57,0.066,0.096,0.043,0.134,0.092,0.103,0.141
"P28","A María Eugenia Vidal por Juntos por el Cambio",0.065,0.788,0.503,0.068,0.01,0.051,0.043,0.079
"P28","A Ramiro Marra por La Libertad Avanza",0.069,0.074,0.074,0.789,0.047,0.055,0.031,0.093
"P28","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.046,0.001,0.024,0.038,0.648,0,0.008,0.007
"P28","A Luis Zamora por Autodeterminación y Libertad",0.049,0.004,0.048,0.018,0.074,0.742,0.113,0.012
"P28","En blanco",0.073,0.019,0.122,0.028,0.023,0.06,0.537,0.07
"P28","No sabe",0.128,0.048,0.133,0.016,0.064,0,0.165,0.598
"P31","Lo votaría",0.802,0.055,0.061,0.031,0.064,0.12,0.044,0.018
"P31","Puede que lo vote",0.134,0.057,0.137,0.071,0.317,0.377,0.112,0.104
"P31","Nunca lo votaría",0.033,0.845,0.733,0.838,0.411,0.451,0.794,0.702
"P31","No sabe",0.031,0.043,0.069,0.06,0.208,0.052,0.05,0.176
"P32","Lo votaría",0.43,0.026,0.053,0.032,0.132,0.119,0.03,0.078
"P32","Puede que lo vote",0.302,0.025,0.061,0.046,0.244,0.254,0.083,0.058
"P32","Nunca lo votaría",0.172,0.851,0.786,0.868,0.47,0.438,0.825,0.698
"P32","No sabe",0.096,0.098,0.1,0.054,0.154,0.189,0.062,0.166
"P33","Lo votaría",0.351,0.025,0.058,0.027,0.06,0.124,0.046,0
"P33","Puede que lo vote",0.383,0.045,0.077,0.058,0.197,0.09,0.08,0.066
"P33","Nunca lo votaría",0.178,0.846,0.774,0.86,0.66,0.704,0.846,0.751
"P33","No sabe",0.088,0.084,0.091,0.055,0.083,0.082,0.028,0.183
"P34","Lo votaría",0.058,0.588,0.261,0.114,0.022,0.046,0.259,0.221
"P34","Puede que lo vote",0.063,0.222,0.34,0.256,0.036,0.092,0.131,0.246
"P34","Nunca lo votaría",0.846,0.169,0.342,0.577,0.835,0.811,0.579,0.388
"P34","No sabe",0.033,0.021,0.057,0.053,0.107,0.051,0.031,0.145
"P35","Lo votaría",0.024,0.274,0.681,0.041,0,0,0.056,0.039
"P35","Puede que lo vote",0.119,0.413,0.236,0.105,0.159,0.108,0.054,0.261
"P35","Nunca lo votaría",0.821,0.277,0.08,0.811,0.78,0.85,0.794,0.547
"P35","No sabe",0.036,0.036,0.003,0.043,0.061,0.042,0.096,0.153
"P36","Lo votaría",0.018,0.447,0.346,0.22,0.084,0.064,0.274,0.417
"P36","Puede que lo vote",0.04,0.351,0.376,0.312,0.066,0.079,0.265,0.141
"P36","Nunca lo votaría",0.917,0.158,0.223,0.425,0.817,0.838,0.403,0.332
"P36","No sabe",0.025,0.044,0.055,0.043,0.033,0.019,0.058,0.11
"P37","Lo votaría",0.09,0.078,0.094,0.061,0.149,0.777,0.039,0.088
"P37","Puede que lo vote",0.386,0.084,0.163,0.062,0.342,0.094,0.082,0.128
"P37","Nunca lo votaría",0.448,0.79,0.677,0.84,0.445,0.129,0.808,0.619
"P37","No sabe",0.076,0.048,0.066,0.037,0.064,0,0.071,0.165
"P38","Lo votaría",0.04,0.611,0.25,0.051,0.103,0.037,0.059,0.094
"P38","Puede que lo vote",0.061,0.239,0.344,0.154,0.158,0.106,0.111,0.187
"P38","Nunca lo votaría",0.877,0.134,0.354,0.746,0.706,0.824,0.728,0.511
"P38","No sabe",0.022,0.016,0.052,0.049,0.033,0.033,0.102,0.208
"P39","Si",0.552,0.586,0.569,0.513,0.599,0.522,0.422,0.506
"P39","No",0.448,0.414,0.431,0.487,0.401,0.478,0.578,0.494
