"var","categoria","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P13","A Leandro Santoro por el Frente de Todos",0.751,0.36,0.053,0.103,0.032,0.042,0.034,0.069,0.04
"P13","A Pedro Rosemblat por el Frente de Todos",0.036,0.371,0.038,0.037,0.028,0,0.03,0.006,0.015
"P13","A Ramiro Marra por La Libertad Avanza",0.001,0.049,0.014,0.005,0.574,0.123,0.036,0.041,0.02
"P13","Al candidato del Frente de Izquierda",0.007,0.006,0.001,0.001,0.007,0.421,0.268,0.012,0.039
"P13","A Luis Zamora por Autodeterminación y Libertad",0.009,0.009,0.002,0,0.011,0.153,0.486,0.195,0.018
"P13","En blanco",0.004,0.01,0.004,0.013,0.04,0.017,0.098,0.095,0.074
"P13","No sabe",0.022,0.007,0.032,0.019,0.018,0.038,0.006,0.065,0.285
"P14","A Leandro Santoro por el Frente de Todos",0.802,0.371,0.06,0.081,0.025,0.033,0.068,0.004,0.059
"P14","A Pedro Rosemblat por el Frente de Todos",0.026,0.408,0.032,0.062,0.008,0.008,0.022,0.07,0.014
"P14","A María Eugenia Vidal por Juntos por el Cambio",0.075,0.048,0.661,0.066,0.052,0.082,0,0.012,0.073
"P14","A Martín Lousteau por Juntos por el Cambio",0.038,0.08,0.139,0.714,0.045,0.054,0.02,0.025,0.054
"P14","A Ramiro Marra por La Libertad Avanza",0.006,0.031,0.029,0.038,0.692,0.165,0.02,0.052,0.052
"P14","Al candidato del Frente de Izquierda",0.007,0.025,0.007,0.002,0.056,0.365,0.053,0.018,0.039
"P14","A Luis Zamora por Autodeterminación y Libertad",0.006,0.019,0.001,0.001,0.016,0.148,0.656,0.038,0
"P14","En blanco",0.011,0.011,0.019,0.014,0.048,0.09,0.065,0.605,0.15
"P14","No sabe",0.029,0.007,0.052,0.022,0.058,0.055,0.096,0.176,0.559
"P15","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.882,0.674,0.04,0.074,0.037,0.058,0.062,0.078,0.091
"P15","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.059,0.048,0.744,0.205,0.151,0.028,0.037,0.33,0.224
"P15","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.023,0.129,0.127,0.637,0.018,0.086,0.01,0.024,0.107
"P15","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.016,0.065,0.026,0.055,0.662,0.195,0.02,0.042,0.082
"P15","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.001,0.026,0.015,0.008,0.084,0.367,0.202,0.028,0.09
"P15","A Luis Zamora por Autodeterminación y Libertad",0.003,0.014,0.004,0.005,0.011,0.152,0.458,0.02,0
"P15","En blanco",0.001,0.011,0.008,0.004,0.005,0.037,0.197,0.208,0.015
"P15","No sabe",0.015,0.033,0.036,0.012,0.032,0.077,0.014,0.27,0.391
"P16","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.893,0.715,0.038,0.074,0.057,0.063,0.034,0.013,0.087
"P16","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.052,0.059,0.832,0.137,0.034,0.017,0.015,0.061,0.085
"P16","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.029,0.093,0.083,0.758,0.022,0.025,0.04,0.024,0.092
"P16","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.012,0.06,0.024,0.019,0.829,0.275,0.02,0.031,0.041
"P16","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.002,0.021,0.002,0.005,0.016,0.38,0.22,0.083,0.095
"P16","A Luis Zamora por Autodeterminación y Libertad",0.002,0.008,0.001,0.005,0.006,0.12,0.461,0.018,0
"P16","En blanco",0.001,0.013,0.005,0.001,0.009,0.039,0.187,0.433,0.026
"P16","No sabe",0.009,0.031,0.015,0.001,0.027,0.081,0.023,0.337,0.574
"P17","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri y Horacio Rodríguez Larreta",0.177,0.062,0.531,0.113,0.06,0.011,0.007,0.183,0.158
"P17","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.008,0.115,0.139,0.615,0.043,0.072,0.017,0.019,0.074
"P17","A Ricardo López Murphy por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.066,0.014,0.221,0.124,0.175,0.061,0.038,0.179,0.225
"P17","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.702,0.148,0.064,0.061,0.06,0.018,0.01,0.008,0.048
"P17","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.036,0.649,0.002,0.068,0.048,0.067,0.092,0.079,0
"P17","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.004,0.003,0.006,0.007,0.601,0.378,0.064,0.028,0.02
"P17","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0,0,0.002,0.002,0.001,0.385,0.268,0.09,0.09
"P17","A Luis Zamora por Autodeterminación y Libertad",0.001,0.007,0.008,0,0.004,0.008,0.476,0.3,0.051
"P17","En blanco",0,0,0.014,0.001,0.003,0,0,0.109,0.061
"P17","No sabe",0.006,0.002,0.013,0.009,0.005,0,0.028,0.005,0.273
"P19","A Martín Lousteau por Juntos por el Cambio",0.055,0.114,0.531,0.809,0.027,0.082,0.058,0.055,0.182
"P19","A Ramiro Marra por La Libertad Avanza",0.044,0.04,0.074,0.049,0.807,0.243,0.022,0.049,0.061
"P19","A Leandro Santoro por el Frente de Todos",0.842,0.703,0.053,0.078,0.05,0.055,0.138,0.021,0.058
"P19","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.01,0.054,0.007,0,0.008,0.425,0.141,0.021,0.05
"P19","A Luis Zamora por Autodeterminación y Libertad",0.002,0.009,0.03,0.01,0.014,0.047,0.476,0.039,0.005
"P19","En blanco",0.013,0.043,0.131,0.014,0.035,0.057,0.115,0.533,0.04
"P19","No sabe",0.034,0.037,0.174,0.04,0.059,0.091,0.05,0.282,0.604
"P22","A Leandro Santoro por el Frente de Todos",0.781,0.677,0.086,0.118,0.065,0.059,0.091,0.013,0.071
"P22","A Jorge Macri por Juntos por el Cambio",0.108,0.102,0.724,0.45,0.145,0.113,0.008,0.314,0.24
"P22","A Ramiro Marra por La Libertad Avanza",0.059,0.067,0.059,0.117,0.708,0.198,0.025,0.045,0.026
"P22","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.014,0.063,0.004,0.024,0.007,0.448,0.212,0.113,0.046
"P22","A Luis Zamora por Autodeterminación y Libertad",0.004,0.016,0.016,0.017,0.011,0.053,0.538,0.03,0.01
"P22","En blanco",0.013,0.031,0.041,0.104,0.027,0.029,0.088,0.309,0.029
"P22","No sabe",0.021,0.044,0.07,0.17,0.037,0.1,0.038,0.176,0.578
"P25","A Leandro Santoro por el Frente de Todos",0.818,0.678,0.079,0.136,0.052,0.113,0.046,0.128,0.067
"P25","A María Eugenia Vidal por Juntos por el Cambio",0.1,0.115,0.792,0.482,0.056,0.005,0.008,0.033,0.104
"P25","A Ramiro Marra por La Libertad Avanza",0.038,0.05,0.049,0.082,0.772,0.222,0.022,0.054,0.063
"P25","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.012,0.055,0.003,0.024,0.004,0.416,0.129,0.016,0.049
"P25","A Luis Zamora por Autodeterminación y Libertad",0.003,0.027,0.004,0.024,0.032,0.076,0.638,0.025,0.005
"P25","En blanco",0.011,0.039,0.025,0.107,0.036,0.05,0.106,0.517,0.128
"P25","No sabe",0.018,0.036,0.048,0.145,0.048,0.118,0.051,0.227,0.584
"P28","A Pedro Rosemblat por el Frente de Todos",0.451,0.674,0.078,0.094,0.058,0.013,0.121,0.158,0.023
"P28","A María Eugenia Vidal por Juntos por el Cambio",0.086,0.113,0.79,0.503,0.061,0.029,0,0.042,0.081
"P28","A Ramiro Marra por La Libertad Avanza",0.099,0.067,0.062,0.084,0.796,0.2,0.039,0.04,0.082
"P28","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.055,0.046,0.008,0.018,0.003,0.481,0.145,0.017,0.058
"P28","A Luis Zamora por Autodeterminación y Libertad",0.057,0.018,0.003,0.038,0.011,0.183,0.577,0.048,0.064
"P28","En blanco",0.099,0.034,0.018,0.115,0.025,0.061,0.041,0.476,0.083
"P28","No sabe",0.153,0.048,0.041,0.148,0.046,0.033,0.077,0.219,0.609
"P31","Lo votaría",0.811,0.532,0.068,0.097,0.048,0.055,0.11,0.019,0.052
"P31","Puede que lo vote",0.072,0.299,0.051,0.117,0.057,0.269,0.313,0.151,0.06
"P31","Nunca lo votaría",0.085,0.13,0.823,0.723,0.852,0.587,0.403,0.78,0.707
"P31","No sabe",0.032,0.039,0.058,0.063,0.043,0.089,0.174,0.05,0.181
"P32","Lo votaría",0.29,0.598,0.047,0.054,0.034,0.023,0.037,0.008,0
"P32","Puede que lo vote",0.311,0.222,0.024,0.06,0.06,0.28,0.233,0.054,0.041
"P32","Nunca lo votaría",0.282,0.127,0.826,0.786,0.862,0.627,0.559,0.81,0.756
"P32","No sabe",0.117,0.053,0.103,0.1,0.044,0.07,0.171,0.128,0.203
"P33","Lo votaría",0.308,0.363,0.038,0.043,0.013,0.096,0.091,0.008,0
"P33","Puede que lo vote",0.356,0.329,0.058,0.087,0.069,0.155,0.087,0.062,0.04
"P33","Nunca lo votaría",0.245,0.223,0.818,0.77,0.874,0.708,0.746,0.89,0.743
"P33","No sabe",0.091,0.085,0.086,0.1,0.044,0.041,0.076,0.04,0.217
"P34","Lo votaría",0.098,0.064,0.577,0.241,0.112,0.019,0.036,0.291,0.274
"P34","Puede que lo vote",0.066,0.092,0.222,0.337,0.27,0.148,0.105,0.132,0.183
"P34","Nunca lo votaría",0.808,0.811,0.177,0.362,0.568,0.767,0.844,0.487,0.347
"P34","No sabe",0.028,0.033,0.024,0.06,0.05,0.066,0.015,0.09,0.196
"P35","Lo votaría",0.045,0.053,0.259,0.681,0.049,0.008,0.036,0.043,0.101
"P35","Puede que lo vote",0.151,0.138,0.407,0.199,0.093,0.233,0.083,0.139,0.249
"P35","Nunca lo votaría",0.769,0.765,0.296,0.11,0.826,0.718,0.858,0.746,0.467
"P35","No sabe",0.035,0.044,0.038,0.01,0.032,0.041,0.023,0.072,0.183
"P36","Lo votaría",0.048,0.026,0.424,0.378,0.218,0.098,0.057,0.428,0.387
"P36","Puede que lo vote",0.068,0.106,0.353,0.312,0.325,0.15,0.087,0.187,0.189
"P36","Nunca lo votaría",0.865,0.828,0.176,0.252,0.426,0.713,0.841,0.347,0.279
"P36","No sabe",0.019,0.04,0.047,0.058,0.031,0.039,0.015,0.038,0.145
"P37","Lo votaría",0.113,0.057,0.068,0.091,0.065,0.219,0.602,0.085,0.064
"P37","Puede que lo vote",0.338,0.411,0.092,0.138,0.066,0.249,0.222,0.068,0.172
"P37","Nunca lo votaría",0.485,0.443,0.789,0.708,0.835,0.485,0.146,0.774,0.56
"P37","No sabe",0.064,0.089,0.051,0.063,0.034,0.047,0.03,0.073,0.204
"P38","Lo votaría",0.058,0.034,0.597,0.284,0.045,0.11,0.052,0.08,0.089
"P38","Puede que lo vote",0.063,0.087,0.25,0.313,0.164,0.141,0.035,0.217,0.233
"P38","Nunca lo votaría",0.853,0.838,0.14,0.35,0.744,0.724,0.89,0.631,0.449
"P38","No sabe",0.026,0.041,0.013,0.053,0.047,0.025,0.023,0.072,0.229
"P39","Si",0.559,0.546,0.575,0.58,0.554,0.516,0.597,0.422,0.42
"P39","No",0.441,0.454,0.425,0.42,0.446,0.484,0.403,0.578,0.58
