"var","categoria","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri y Horacio Rodríguez Larreta","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta","A Ricardo López Murphy por Juntos por el Cambio con el apoyo de Patricia Bullrich","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P09","A Facundo Manes",0.031,0.031,0.027,0.248,0.236,0.232,0,0.212,0,0
"P09","A Gerardo Morales",0.019,0.069,0.028,0.079,0.066,0,0.178,0.106,0,0.103
"P10","Leandro Santoro por el Frente de Todos",0.12,0.015,0.077,0.793,0.659,0.038,0.022,0.105,0.078,0.035
"P10","Jorge Macri por Juntos por el Cambio",0.748,0.162,0.423,0.019,0.014,0.051,0.057,0.117,0.093,0.083
"P10","Martín Lousteau por Juntos por el Cambio",0.079,0.723,0.176,0.035,0.139,0.025,0.026,0.029,0.07,0.11
"P10","Ramiro Marra por La Libertad Avanza",0.012,0.04,0.114,0.054,0.009,0.717,0,0.027,0,0.013
"P10","Al candidato del Frente de Izquierda",0.006,0.001,0.012,0.013,0.062,0.002,0.548,0.067,0,0
"P10","A Luis Zamora por Autodeterminación y Libertad",0.001,0.002,0.012,0.021,0.009,0.034,0.043,0.341,0,0.027
"P10","En blanco",0.001,0.019,0.035,0.027,0.021,0.051,0.225,0.073,0.529,0.062
"P10","No sabe",0.033,0.038,0.151,0.038,0.087,0.082,0.079,0.241,0.23,0.67
"P11","María Eugenia Vidal por Juntos por el Cambio",0.556,0.204,0.339,0.044,0.055,0.056,0.011,0.048,0.411,0.081
"P11","Martín Lousteau por Juntos por el Cambio",0.18,0.649,0.155,0.048,0.166,0.027,0.037,0.085,0.014,0.075
"P11","Leandro Santoro por el Frente de Todos",0.085,0.075,0.138,0.806,0.588,0.015,0.036,0.132,0.04,0.049
"P11","Ramiro Marra por La Libertad Avanza",0.042,0.037,0.16,0.047,0.014,0.747,0.02,0.045,0.019,0.019
"P11","Al candidato del Frente de Izquierda",0.003,0,0.015,0.012,0.059,0.007,0.534,0.017,0,0
"P11","A Luis Zamora por Autodeterminación y Libertad",0.002,0.004,0.01,0.009,0.02,0.03,0.05,0.299,0.019,0.022
"P11","En blanco",0.033,0.017,0.042,0.012,0.021,0.056,0.231,0.018,0.311,0.072
"P11","No sabe",0.099,0.014,0.141,0.022,0.077,0.062,0.081,0.356,0.186,0.682
"P12","A Jorge Macri por Juntos por el Cambio",0.682,0.145,0.147,0.011,0.008,0.088,0.032,0.04,0.025,0.068
"P12","A Martín Lousteau por Juntos por el Cambio",0.066,0.647,0.098,0.027,0.075,0.047,0.024,0.035,0.24,0.105
"P12","A Ricardo López Murphy por Juntos por el Cambio",0.087,0.101,0.579,0.051,0.025,0.038,0.065,0.13,0.084,0.077
"P12","A Leandro Santoro por el Frente de Todos",0.101,0.004,0.068,0.748,0.479,0.023,0.065,0.135,0.041,0.012
"P12","A Matías Lammens por el Frente de Todos",0.021,0.042,0.01,0.068,0.243,0.007,0.042,0.017,0,0.012
"P12","A Ramiro Marra por La Libertad Avanza",0.011,0.038,0.015,0.031,0.012,0.656,0,0.101,0.038,0
"P12","Al candidato del Frente de Izquierda",0.001,0.002,0.017,0.007,0.04,0.022,0.489,0.024,0,0
"P12","A Luis Zamora por Autodeterminación y Libertad",0.006,0.001,0.015,0.01,0.034,0.047,0.098,0.445,0.028,0.101
"P12","En blanco",0.003,0.008,0.026,0.02,0.029,0.041,0.185,0.023,0.445,0
"P12","No sabe",0.022,0.012,0.025,0.027,0.055,0.031,0,0.05,0.099,0.625
"P13","A Martín Lousteau por Juntos por el Cambio",0.096,0.669,0.086,0.039,0.051,0.019,0.038,0.018,0.287,0.089
"P13","A Jorge Macri por Juntos por el Cambio",0.625,0.13,0.177,0.051,0.052,0.044,0.014,0.05,0.043,0.045
"P13","A Ricardo López Murphy por Juntos por el Cambio",0.076,0.087,0.588,0.013,0.016,0.067,0.02,0.107,0.109,0.034
"P13","A Leandro Santoro por el Frente de Todos",0.117,0.036,0.059,0.759,0.353,0.019,0.029,0.123,0.014,0.041
"P13","A Pedro Rosemblat por el Frente de Todos",0.051,0.015,0.009,0.047,0.428,0,0,0.02,0,0.038
"P13","A Ramiro Marra por La Libertad Avanza",0.01,0.023,0.026,0.043,0.013,0.72,0.02,0.014,0.019,0.019
"P13","Al candidato del Frente de Izquierda",0,0.001,0.019,0.01,0.043,0.005,0.621,0.007,0,0
"P13","A Luis Zamora por Autodeterminación y Libertad",0.002,0.015,0.004,0.008,0.015,0.051,0.021,0.566,0,0.039
"P13","En blanco",0,0.011,0.01,0.013,0.013,0.049,0.204,0.009,0.386,0
"P13","No sabe",0.023,0.013,0.022,0.017,0.016,0.026,0.033,0.086,0.142,0.695
"P14","A Leandro Santoro por el Frente de Todos",0.144,0.048,0.101,0.749,0.317,0.007,0.043,0.099,0.04,0.045
"P14","A Pedro Rosemblat por el Frente de Todos",0.035,0.082,0.019,0.046,0.401,0.007,0,0.028,0,0
"P14","A María Eugenia Vidal por Juntos por el Cambio",0.489,0.203,0.343,0.084,0.026,0.058,0,0.072,0.411,0.157
"P14","A Martín Lousteau por Juntos por el Cambio",0.158,0.589,0.187,0.034,0.089,0.039,0.072,0.025,0.014,0.092
"P14","A Ramiro Marra por La Libertad Avanza",0.046,0.023,0.156,0.026,0.066,0.67,0.026,0.009,0.019,0.048
"P14","Al candidato del Frente de Izquierda",0.003,0.012,0.015,0.023,0.026,0.054,0.439,0.006,0,0.014
"P14","A Luis Zamora por Autodeterminación y Libertad",0.005,0.011,0.006,0.006,0.044,0.037,0.165,0.322,0.037,0.035
"P14","En blanco",0.042,0.015,0.064,0.018,0.019,0.06,0.123,0.319,0.331,0.033
"P14","No sabe",0.078,0.017,0.109,0.014,0.012,0.068,0.132,0.12,0.148,0.576
"P15","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.128,0.039,0.082,0.855,0.662,0.013,0.053,0.111,0.041,0.161
"P15","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.783,0.155,0.491,0.042,0.032,0.026,0.023,0.141,0.268,0.106
"P15","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.042,0.71,0.136,0.014,0.153,0.025,0.013,0.028,0.079,0.072
"P15","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.017,0.056,0.131,0.051,0.015,0.79,0.034,0.004,0.019,0.029
"P15","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.008,0.019,0.032,0.026,0.056,0.054,0.576,0.015,0,0
"P15","A Luis Zamora por Autodeterminación y Libertad",0.001,0.001,0.01,0.007,0.026,0.041,0.077,0.37,0,0.013
"P15","En blanco",0.001,0.004,0.041,0,0.013,0.016,0.162,0.022,0.404,0.006
"P15","No sabe",0.02,0.016,0.077,0.005,0.043,0.035,0.062,0.309,0.189,0.613
"P16","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.138,0.027,0.076,0.864,0.7,0.01,0.052,0.103,0.04,0.168
"P16","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.663,0.281,0.46,0.032,0.009,0.024,0.034,0.05,0.411,0.14
"P16","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.102,0.626,0.168,0.028,0.138,0.001,0.022,0.008,0.014,0.105
"P16","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.034,0.053,0.14,0.062,0.008,0.864,0,0.004,0.047,0.025
"P16","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.002,0.003,0.024,0.004,0.088,0.005,0.609,0.014,0,0.021
"P16","A Luis Zamora por Autodeterminación y Libertad",0.003,0.001,0,0.006,0.012,0.061,0.02,0.336,0,0.013
"P16","En blanco",0.023,0.004,0.031,0,0.014,0.007,0.239,0.048,0.389,0.022
"P16","No sabe",0.035,0.005,0.101,0.004,0.031,0.028,0.024,0.437,0.099,0.506
"P18","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.158,0.01,0.099,0.719,0.066,0.008,0,0.009,0,0.068
"P18","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.033,0.083,0.013,0.091,0.713,0.004,0,0.033,0,0.014
"P18","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.64,0.228,0.449,0.088,0.004,0.018,0.019,0.082,0.384,0.191
"P18","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.082,0.609,0.153,0.051,0.101,0.012,0.01,0,0.014,0.081
"P18","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.032,0.032,0.158,0.037,0.052,0.788,0.006,0.016,0.038,0.033
"P18","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.002,0.014,0.015,0.003,0.02,0.134,0.473,0.01,0,0
"P18","A Luis Zamora por Autodeterminación y Libertad",0.001,0.003,0.007,0.001,0.022,0.018,0.257,0.443,0,0.038
"P18","En blanco",0.025,0.004,0.041,0.001,0.022,0.009,0.104,0.336,0.33,0.008
"P18","No sabe",0.027,0.017,0.065,0.009,0,0.009,0.131,0.071,0.234,0.567
"P19","A Martín Lousteau por Juntos por el Cambio",0.467,0.806,0.362,0.039,0.134,0.01,0.032,0.1,0.296,0.132
"P19","A Ramiro Marra por La Libertad Avanza",0.092,0.046,0.204,0.086,0.015,0.84,0,0.012,0.02,0.026
"P19","A Leandro Santoro por el Frente de Todos",0.137,0.024,0.092,0.836,0.693,0.014,0.038,0.105,0.044,0.05
"P19","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.01,0.023,0.015,0.008,0.045,0.005,0.562,0.005,0,0.007
"P19","A Luis Zamora por Autodeterminación y Libertad",0.009,0.023,0.03,0.004,0.013,0.032,0.043,0.45,0,0.032
"P19","En blanco",0.115,0.03,0.136,0.009,0.039,0.03,0.203,0.106,0.548,0.02
"P19","No sabe",0.17,0.048,0.161,0.018,0.061,0.069,0.122,0.222,0.092,0.733
"P22","A Leandro Santoro por el Frente de Todos",0.105,0.114,0.08,0.824,0.659,0.039,0.045,0.151,0.017,0.095
"P22","A Jorge Macri por Juntos por el Cambio",0.743,0.422,0.541,0.062,0.077,0.043,0.018,0.14,0.064,0.098
"P22","A Ramiro Marra por La Libertad Avanza",0.067,0.082,0.147,0.076,0.086,0.826,0.008,0.02,0.023,0.01
"P22","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.005,0.045,0.009,0.011,0.091,0.007,0.657,0.045,0,0.012
"P22","A Luis Zamora por Autodeterminación y Libertad",0.006,0.037,0.01,0.005,0.015,0.031,0.071,0.442,0,0.041
"P22","En blanco",0.02,0.113,0.07,0.011,0.029,0.019,0.161,0.006,0.73,0.015
"P22","No sabe",0.054,0.187,0.143,0.011,0.043,0.035,0.04,0.196,0.166,0.729
"P25","A Leandro Santoro por el Frente de Todos",0.138,0.115,0.102,0.822,0.655,0.028,0.016,0.214,0.077,0.036
"P25","A María Eugenia Vidal por Juntos por el Cambio",0.669,0.543,0.453,0.072,0.094,0.066,0.013,0.082,0.479,0.06
"P25","A Ramiro Marra por La Libertad Avanza",0.075,0.07,0.182,0.075,0.033,0.781,0,0.032,0,0.053
"P25","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.004,0.044,0.011,0.009,0.046,0,0.639,0,0,0.045
"P25","A Luis Zamora por Autodeterminación y Libertad",0.004,0.023,0.033,0.006,0.051,0.029,0.068,0.459,0,0.043
"P25","En blanco",0.05,0.075,0.095,0.007,0.083,0.034,0.187,0.01,0.267,0.07
"P25","No sabe",0.06,0.13,0.124,0.009,0.038,0.062,0.077,0.203,0.177,0.693
"P28","A Pedro Rosemblat por el Frente de Todos",0.082,0.099,0.083,0.486,0.699,0.016,0.079,0.114,0.027,0.043
"P28","A María Eugenia Vidal por Juntos por el Cambio",0.671,0.538,0.471,0.074,0.083,0.025,0.019,0.137,0.432,0.06
"P28","A Ramiro Marra por La Libertad Avanza",0.117,0.058,0.188,0.092,0.054,0.857,0.008,0.035,0.039,0.015
"P28","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.011,0.041,0.019,0.057,0.034,0,0.646,0,0,0
"P28","A Luis Zamora por Autodeterminación y Libertad",0.014,0.04,0.013,0.06,0.031,0.052,0.055,0.486,0.02,0.087
"P28","En blanco",0.047,0.092,0.088,0.087,0.053,0.027,0.099,0.029,0.29,0.094
"P28","No sabe",0.058,0.132,0.138,0.144,0.046,0.023,0.094,0.199,0.192,0.701
"P31","Lo votaría",0.13,0.065,0.094,0.811,0.514,0.035,0.039,0.106,0.088,0.05
"P31","Puede que lo vote",0.061,0.106,0.063,0.085,0.289,0.086,0.279,0.303,0.041,0.146
"P31","Nunca lo votaría",0.765,0.749,0.822,0.08,0.136,0.832,0.446,0.496,0.816,0.324
"P31","No sabe",0.044,0.08,0.021,0.024,0.061,0.047,0.236,0.095,0.055,0.48
"P32","Lo votaría",0.102,0.014,0.053,0.293,0.586,0.038,0.021,0.02,0,0.023
"P32","Puede que lo vote",0.049,0.052,0.034,0.335,0.209,0.049,0.281,0.241,0,0.023
"P32","Nunca lo votaría",0.753,0.822,0.851,0.271,0.124,0.864,0.535,0.59,0.959,0.464
"P32","No sabe",0.096,0.112,0.062,0.101,0.081,0.049,0.163,0.149,0.041,0.49
"P33","Lo votaría",0.076,0.037,0.036,0.305,0.355,0.007,0.042,0.07,0,0.023
"P33","Puede que lo vote",0.078,0.072,0.069,0.39,0.281,0.059,0.21,0.141,0,0.041
"P33","Nunca lo votaría",0.772,0.784,0.845,0.227,0.255,0.883,0.654,0.711,0.96,0.392
"P33","No sabe",0.074,0.107,0.05,0.078,0.109,0.051,0.094,0.078,0.04,0.544
"P34","Lo votaría",0.689,0.198,0.281,0.058,0.061,0.05,0.007,0.135,0.056,0.028
"P34","Puede que lo vote",0.105,0.365,0.391,0.068,0.056,0.283,0.064,0.11,0.189,0.099
"P34","Nunca lo votaría",0.195,0.374,0.284,0.843,0.826,0.609,0.871,0.746,0.674,0.506
"P34","No sabe",0.011,0.063,0.044,0.031,0.057,0.058,0.058,0.009,0.081,0.367
"P35","Lo votaría",0.223,0.652,0.179,0.048,0.097,0.044,0,0.047,0.124,0.085
"P35","Puede que lo vote",0.387,0.202,0.313,0.135,0.116,0.116,0.12,0.118,0,0.22
"P35","Nunca lo votaría",0.348,0.118,0.469,0.78,0.763,0.824,0.802,0.816,0.795,0.369
"P35","No sabe",0.042,0.028,0.039,0.037,0.024,0.016,0.078,0.019,0.081,0.326
"P36","Lo votaría",0.308,0.31,0.692,0.038,0.074,0.074,0.016,0.161,0.098,0.065
"P36","Puede que lo vote",0.381,0.356,0.168,0.058,0.079,0.404,0.024,0.116,0.126,0.12
"P36","Nunca lo votaría",0.262,0.255,0.131,0.881,0.82,0.49,0.874,0.705,0.776,0.529
"P36","No sabe",0.049,0.079,0.009,0.023,0.027,0.032,0.086,0.018,0,0.286
"P37","Lo votaría",0.055,0.104,0.135,0.102,0.045,0.057,0.135,0.568,0,0
"P37","Puede que lo vote",0.103,0.157,0.096,0.357,0.4,0.044,0.35,0.176,0.028,0.104
"P37","Nunca lo votaría",0.784,0.668,0.731,0.471,0.482,0.883,0.381,0.235,0.932,0.48
"P37","No sabe",0.058,0.071,0.038,0.07,0.073,0.016,0.134,0.021,0.04,0.416
"P38","Lo votaría",0.462,0.387,0.319,0.058,0.026,0.048,0.059,0.16,0.334,0.102
"P38","Puede que lo vote",0.256,0.255,0.309,0.049,0.094,0.14,0.087,0.082,0.028,0.059
"P38","Nunca lo votaría",0.25,0.305,0.327,0.877,0.847,0.779,0.799,0.749,0.517,0.487
"P38","No sabe",0.032,0.053,0.045,0.016,0.033,0.033,0.055,0.009,0.121,0.352
"P39","Si",0.566,0.571,0.521,0.567,0.546,0.54,0.586,0.547,0.434,0.592
"P39","No",0.434,0.429,0.479,0.433,0.454,0.46,0.414,0.453,0.566,0.408
