"var","categoria","A Martín Lousteau por Juntos por el Cambio","A Ramiro Marra por La Libertad Avanza","A Leandro Santoro por el Frente de Todos","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P10","Al candidato del Frente de Izquierda",0.002,0.001,0.01,0.635,0.021,0.006,0.049
"P10","A Luis Zamora por Autodeterminación y Libertad",0.012,0,0.007,0.044,0.477,0.02,0.004
"P10","En blanco",0.018,0.035,0.017,0.019,0.021,0.173,0.037
"P10","No sabe",0.029,0.045,0.04,0.035,0.062,0.09,0.353
"P11","María Eugenia Vidal por Juntos por el Cambio",0.373,0.124,0.074,0.06,0.18,0.494,0.304
"P11","Martín Lousteau por Juntos por el Cambio",0.493,0.027,0.069,0.02,0.101,0.108,0.08
"P11","Leandro Santoro por el Frente de Todos",0.073,0.068,0.799,0.039,0.071,0.029,0.068
"P11","Ramiro Marra por La Libertad Avanza",0.005,0.703,0.003,0.162,0.072,0.008,0.043
"P11","Al candidato del Frente de Izquierda",0,0.001,0.015,0.607,0.031,0.006,0.007
"P11","A Luis Zamora por Autodeterminación y Libertad",0.005,0,0.006,0.062,0.458,0.011,0.007
"P11","En blanco",0.013,0.039,0.003,0.022,0.02,0.227,0.067
"P11","No sabe",0.038,0.038,0.031,0.028,0.067,0.117,0.424
"P12","A Jorge Macri por Juntos por el Cambio",0.328,0.177,0.02,0.082,0.15,0.407,0.361
"P12","A Martín Lousteau por Juntos por el Cambio",0.414,0.03,0.016,0.031,0.103,0.041,0.075
"P12","A Ricardo López Murphy por Juntos por el Cambio",0.152,0.182,0.047,0.071,0.132,0.298,0.174
"P12","A Leandro Santoro por el Frente de Todos",0.018,0.038,0.759,0.086,0.084,0.008,0.02
"P12","A Matías Lammens por el Frente de Todos",0.049,0.026,0.103,0.043,0.025,0.047,0.035
"P12","A Ramiro Marra por La Libertad Avanza",0.01,0.464,0.004,0.067,0.142,0.005,0.037
"P12","Al candidato del Frente de Izquierda",0.004,0.019,0.005,0.547,0.014,0.01,0.008
"P12","A Luis Zamora por Autodeterminación y Libertad",0.004,0.004,0.013,0.032,0.329,0.023,0.054
"P12","En blanco",0.009,0.038,0.008,0.037,0.01,0.127,0.039
"P12","No sabe",0.012,0.022,0.025,0.004,0.011,0.034,0.197
"P13","A Martín Lousteau por Juntos por el Cambio",0.396,0.051,0.021,0.087,0.106,0.068,0.089
"P13","A Jorge Macri por Juntos por el Cambio",0.333,0.158,0.064,0.058,0.096,0.361,0.306
"P13","A Ricardo López Murphy por Juntos por el Cambio",0.15,0.187,0.009,0.004,0.144,0.269,0.228
"P13","A Leandro Santoro por el Frente de Todos",0.04,0.031,0.721,0.046,0.021,0.014,0.036
"P13","A Pedro Rosemblat por el Frente de Todos",0.041,0.021,0.144,0.088,0.076,0.082,0.048
"P13","A Ramiro Marra por La Libertad Avanza",0.001,0.521,0.003,0.092,0.053,0.018,0.022
"P13","Al candidato del Frente de Izquierda",0.003,0.002,0.013,0.596,0.014,0.016,0.013
"P13","A Luis Zamora por Autodeterminación y Libertad",0.013,0,0.008,0.018,0.472,0,0.04
"P13","En blanco",0.008,0.026,0.004,0.006,0,0.114,0.034
"P13","No sabe",0.015,0.003,0.013,0.005,0.018,0.058,0.184
"P14","A Leandro Santoro por el Frente de Todos",0.049,0.062,0.716,0.057,0.044,0.014,0.052
"P14","A Pedro Rosemblat por el Frente de Todos",0.053,0.031,0.148,0.144,0.031,0.019,0.061
"P14","A María Eugenia Vidal por Juntos por el Cambio",0.343,0.123,0.055,0.037,0.229,0.47,0.357
"P14","A Martín Lousteau por Juntos por el Cambio",0.48,0.035,0.034,0.03,0.076,0.037,0.056
"P14","A Ramiro Marra por La Libertad Avanza",0.02,0.623,0.009,0.042,0.037,0.037,0.06
"P14","Al candidato del Frente de Izquierda",0.003,0.058,0.002,0.561,0.021,0.005,0.006
"P14","A Luis Zamora por Autodeterminación y Libertad",0.011,0.003,0.022,0.113,0.439,0.02,0.007
"P14","En blanco",0.013,0.028,0.003,0,0.086,0.277,0.09
"P14","No sabe",0.028,0.037,0.011,0.016,0.037,0.121,0.311
"P15","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.03,0.065,0.883,0.072,0.067,0.022,0.097
"P15","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.47,0.227,0.035,0.06,0.129,0.602,0.456
"P15","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.431,0.015,0.033,0.01,0.135,0.089,0.083
"P15","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.03,0.604,0.011,0.188,0.047,0.013,0.051
"P15","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.018,0.076,0.009,0.506,0.057,0.008,0.031
"P15","A Luis Zamora por Autodeterminación y Libertad",0.001,0.009,0.009,0.118,0.464,0.019,0.005
"P15","En blanco",0.006,0.001,0.001,0.034,0.066,0.17,0.016
"P15","No sabe",0.014,0.003,0.019,0.012,0.035,0.077,0.261
"P16","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.024,0.081,0.909,0.071,0.077,0.054,0.077
"P16","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.473,0.129,0.032,0.037,0.251,0.515,0.467
"P16","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.469,0.032,0.023,0.036,0.036,0.046,0.047
"P16","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.016,0.725,0.007,0.167,0.041,0.043,0.047
"P16","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.001,0.008,0.012,0.617,0.055,0.004,0.049
"P16","A Luis Zamora por Autodeterminación y Libertad",0.001,0.004,0.007,0.015,0.47,0.013,0.02
"P16","En blanco",0.004,0.001,0,0.046,0.07,0.267,0.018
"P16","No sabe",0.012,0.02,0.01,0.011,0,0.058,0.275
"P17","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri y Horacio Rodríguez Larreta",0.333,0.137,0.103,0.073,0.075,0.361,0.354
"P17","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.41,0.049,0.013,0.122,0.13,0.066,0.072
"P17","A Ricardo López Murphy por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.153,0.18,0.041,0.067,0.141,0.253,0.199
"P17","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.025,0.114,0.559,0.054,0.029,0.026,0.034
"P17","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.048,0.012,0.264,0.168,0.052,0.063,0.065
"P17","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.003,0.502,0.004,0.015,0.103,0.038,0.058
"P17","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.003,0,0.003,0.492,0.041,0.075,0.03
"P17","A Luis Zamora por Autodeterminación y Libertad",0.008,0.002,0.009,0.004,0.407,0.037,0.052
"P17","En blanco",0.009,0.001,0.001,0,0,0.076,0.008
"P17","No sabe",0.008,0.003,0.003,0.005,0.022,0.005,0.128
"P18","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.036,0.06,0.575,0.068,0.011,0.036,0.066
"P18","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.044,0.033,0.288,0.217,0.041,0.074,0.042
"P18","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.456,0.133,0.048,0.06,0.293,0.497,0.437
"P18","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.414,0.053,0.042,0,0.056,0.032,0.06
"P18","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.01,0.644,0.02,0.031,0.06,0.058,0.066
"P18","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.008,0.048,0.006,0.418,0.05,0.024,0.025
"P18","A Luis Zamora por Autodeterminación y Libertad",0.005,0.004,0.012,0.121,0.442,0.041,0.012
"P18","En blanco",0.005,0.009,0.002,0.021,0.04,0.216,0.076
"P18","No sabe",0.022,0.016,0.007,0.064,0.007,0.022,0.216
"P22","A Leandro Santoro por el Frente de Todos",0.096,0.089,0.837,0.025,0.051,0.043,0.022
"P22","A Jorge Macri por Juntos por el Cambio",0.627,0.253,0.068,0.024,0.06,0.506,0.423
"P22","A Ramiro Marra por La Libertad Avanza",0.079,0.623,0.072,0.021,0.076,0.012,0.048
"P22","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.014,0.008,0.015,0.857,0.039,0.007,0.02
"P22","A Luis Zamora por Autodeterminación y Libertad",0.014,0,0.001,0.033,0.762,0.002,0.011
"P22","En blanco",0.06,0.008,0.004,0,0.012,0.392,0.006
"P22","No sabe",0.11,0.019,0.003,0.04,0,0.038,0.47
"P25","A Leandro Santoro por el Frente de Todos",0.085,0.069,0.879,0.033,0.054,0.103,0.02
"P25","A María Eugenia Vidal por Juntos por el Cambio",0.673,0.167,0.063,0.016,0.224,0.426,0.408
"P25","A Ramiro Marra por La Libertad Avanza",0.054,0.707,0.032,0.02,0.046,0.037,0.044
"P25","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.014,0,0.004,0.841,0.021,0.004,0.01
"P25","A Luis Zamora por Autodeterminación y Libertad",0.018,0.02,0.015,0.015,0.623,0.018,0.009
"P25","En blanco",0.073,0.015,0.001,0.012,0.01,0.383,0.05
"P25","No sabe",0.083,0.022,0.006,0.063,0.022,0.029,0.459
"P28","A Pedro Rosemblat por el Frente de Todos",0.063,0.073,0.581,0.108,0.133,0.119,0.09
"P28","A María Eugenia Vidal por Juntos por el Cambio",0.68,0.146,0.079,0.03,0.117,0.448,0.381
"P28","A Ramiro Marra por La Libertad Avanza",0.059,0.729,0.069,0.027,0.068,0.072,0.079
"P28","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.013,0,0.038,0.767,0.051,0.004,0.02
"P28","A Luis Zamora por Autodeterminación y Libertad",0.035,0,0.057,0,0.559,0.008,0.02
"P28","En blanco",0.066,0.033,0.065,0,0.039,0.307,0.022
"P28","No sabe",0.084,0.019,0.111,0.068,0.033,0.042,0.388
"P31","Lo votaría",0.059,0.062,0.806,0.035,0.118,0.052,0.037
"P31","Puede que lo vote",0.09,0.078,0.145,0.27,0.255,0.042,0.102
"P31","Nunca lo votaría",0.786,0.831,0.038,0.439,0.544,0.863,0.712
"P31","No sabe",0.065,0.029,0.011,0.256,0.083,0.043,0.149
"P32","Lo votaría",0.031,0.058,0.433,0.127,0.067,0.063,0.034
"P32","Puede que lo vote",0.044,0.069,0.291,0.236,0.16,0.055,0.043
"P32","Nunca lo votaría",0.814,0.845,0.194,0.489,0.61,0.827,0.728
"P32","No sabe",0.111,0.028,0.082,0.148,0.163,0.055,0.195
"P33","Lo votaría",0.045,0.057,0.341,0.031,0.044,0.054,0.018
"P33","Puede que lo vote",0.056,0.08,0.389,0.158,0.152,0.047,0.041
"P33","Nunca lo votaría",0.797,0.834,0.19,0.671,0.766,0.875,0.767
"P33","No sabe",0.102,0.029,0.08,0.14,0.038,0.024,0.174
"P34","Lo votaría",0.421,0.191,0.064,0.012,0.054,0.455,0.414
"P34","Puede que lo vote",0.285,0.286,0.067,0.042,0.151,0.19,0.153
"P34","Nunca lo votaría",0.255,0.492,0.842,0.846,0.755,0.324,0.315
"P34","No sabe",0.039,0.031,0.027,0.1,0.04,0.031,0.118
"P35","Lo votaría",0.543,0.052,0.034,0.041,0.045,0.053,0.074
"P35","Puede que lo vote",0.356,0.165,0.108,0.054,0.237,0.189,0.313
"P35","Nunca lo votaría",0.085,0.756,0.833,0.763,0.686,0.711,0.479
"P35","No sabe",0.016,0.027,0.025,0.142,0.032,0.047,0.134
"P36","Lo votaría",0.395,0.289,0.021,0.022,0.112,0.401,0.375
"P36","Puede que lo vote",0.384,0.302,0.039,0.026,0.249,0.259,0.241
"P36","Nunca lo votaría",0.168,0.382,0.921,0.84,0.613,0.32,0.285
"P36","No sabe",0.053,0.027,0.019,0.112,0.026,0.02,0.099
"P37","Lo votaría",0.075,0.094,0.09,0.135,0.62,0.104,0.028
"P37","Puede que lo vote",0.132,0.054,0.388,0.359,0.185,0.042,0.099
"P37","Nunca lo votaría",0.731,0.823,0.455,0.358,0.195,0.814,0.757
"P37","No sabe",0.062,0.029,0.067,0.148,0,0.04,0.116
"P38","Lo votaría",0.462,0.119,0.038,0.089,0.256,0.338,0.305
"P38","Puede que lo vote",0.269,0.18,0.066,0.123,0.107,0.219,0.261
"P38","Nunca lo votaría",0.237,0.657,0.877,0.701,0.616,0.388,0.343
"P38","No sabe",0.032,0.044,0.019,0.087,0.021,0.055,0.091
"P39","Si",0.575,0.524,0.562,0.657,0.552,0.503,0.528
"P39","No",0.425,0.476,0.438,0.343,0.448,0.497,0.472
