"var","categoria","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza","Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza","Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza","Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza","Alfredo Guevara a gobernador y Patricia Galván a vicegobernadora por Elegí Mendoza","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda","Victor da Vila a gobernador y Nadya Ortiz Gazzo a vicegobernadora por el Frente de Izquierda"
"P17_imputadas","Lautaro Giménez por el Frente de Izquierda con el apoyo de Nicolás Del Caño, Myriam Bregman, el Partido Socialista de los Trabajadores y el Movimiento Socialista de los Trabajadores",0.008,0.001,0.005,0.002,0.003,0.055,0.008,0.598,0.09
"P17_imputadas","Victor da Vila por el Frente de Izquierda con el apoyo de Gabriel Solano, Romina Del Plá y el Partido Obrero",0.002,0.007,0.004,0.017,0.004,0,0,0,0.096
"P20","Lo votaría",0.652,0.377,0.139,0.188,0.091,0.19,0.123,0.183,0.104
"P20","Puede que lo vote",0.118,0.198,0.189,0.092,0.064,0.094,0.099,0.074,0.017
"P20","Nunca lo votaría",0.152,0.303,0.58,0.548,0.807,0.435,0.559,0.681,0.461
"P20","No sabe",0.078,0.122,0.092,0.172,0.038,0.281,0.219,0.062,0.418
"P21","Lo votaría",0.202,0.39,0.078,0.069,0.104,0.182,0.082,0,0.032
"P21","Puede que lo vote",0.278,0.207,0.22,0.198,0.132,0.107,0.183,0.056,0.034
"P21","Nunca lo votaría",0.335,0.286,0.552,0.511,0.545,0.436,0.627,0.783,0.4
"P21","No sabe",0.185,0.117,0.15,0.222,0.219,0.275,0.108,0.161,0.534
"P22","Lo votaría",0.112,0.115,0.382,0.141,0.073,0.298,0.129,0.017,0.017
"P22","Puede que lo vote",0.187,0.264,0.213,0.124,0.203,0.079,0.089,0,0.051
"P22","Nunca lo votaría",0.566,0.487,0.307,0.513,0.494,0.305,0.65,0.926,0.373
"P22","No sabe",0.135,0.134,0.098,0.222,0.23,0.318,0.132,0.057,0.559
"P23","Lo votaría",0.037,0.012,0.119,0.406,0.186,0.277,0.024,0.013,0
"P23","Puede que lo vote",0.083,0.115,0.142,0.078,0.273,0.035,0.214,0.016,0.078
"P23","Nunca lo votaría",0.684,0.694,0.593,0.241,0.314,0.308,0.635,0.855,0.454
"P23","No sabe",0.196,0.179,0.146,0.275,0.227,0.38,0.127,0.116,0.468
"P24","Lo votaría",0.036,0.007,0.108,0.153,0.467,0.203,0.051,0.082,0
"P24","Puede que lo vote",0.067,0.067,0.167,0.219,0.185,0.078,0.469,0.031,0.019
"P24","Nunca lo votaría",0.73,0.761,0.535,0.351,0.22,0.364,0.421,0.813,0.382
"P24","No sabe",0.167,0.165,0.19,0.277,0.128,0.355,0.059,0.074,0.599
"P25","Lo votaría",0.034,0.005,0.02,0.052,0.012,0.282,0.092,0.012,0.105
"P25","Puede que lo vote",0.049,0.033,0.091,0.093,0.167,0.038,0.259,0.028,0.055
"P25","Nunca lo votaría",0.682,0.772,0.641,0.5,0.529,0.328,0.488,0.887,0.299
"P25","No sabe",0.235,0.19,0.248,0.355,0.292,0.352,0.161,0.073,0.541
"P26","Lo votaría",0.025,0.006,0.034,0.04,0.015,0,0.432,0.036,0
"P26","Puede que lo vote",0.036,0.037,0.078,0.131,0.159,0.172,0.128,0.031,0.055
"P26","Nunca lo votaría",0.737,0.762,0.651,0.5,0.557,0.444,0.334,0.757,0.301
"P26","No sabe",0.202,0.195,0.237,0.329,0.269,0.384,0.106,0.176,0.644
"P27","Lo votaría",0.052,0.004,0.017,0.016,0.007,0,0.076,0.492,0.116
"P27","Puede que lo vote",0.025,0.027,0.06,0.128,0.08,0.019,0.257,0.012,0.169
"P27","Nunca lo votaría",0.705,0.775,0.667,0.516,0.591,0.59,0.472,0.352,0.182
"P27","No sabe",0.218,0.194,0.256,0.34,0.322,0.391,0.195,0.144,0.533
"P28","Lo votaría",0.018,0.005,0.011,0.027,0.004,0,0.011,0.062,0.155
"P28","Puede que lo vote",0.049,0.029,0.067,0.066,0.031,0.195,0.099,0.252,0.038
"P28","Nunca lo votaría",0.727,0.763,0.666,0.573,0.634,0.406,0.551,0.593,0.16
"P28","No sabe",0.206,0.203,0.256,0.334,0.331,0.399,0.339,0.093,0.647
"P29","La votaría",0.248,0.085,0.031,0.07,0.016,0.298,0.029,0.248,0.128
"P29","Puede que la vote",0.11,0.13,0.084,0.047,0.036,0.113,0.151,0,0.038
"P29","Nunca la votaría",0.454,0.491,0.64,0.515,0.548,0.336,0.611,0.653,0.104
"P29","No sabe",0.188,0.294,0.245,0.368,0.4,0.253,0.209,0.099,0.73
"P30","La votaría",0.071,0.117,0.03,0.023,0.011,0.153,0.093,0,0
"P30","Puede que la vote",0.139,0.113,0.041,0.118,0.073,0.223,0.026,0,0.043
"P30","Nunca la votaría",0.532,0.481,0.598,0.563,0.57,0.342,0.622,0.812,0.219
"P30","No sabe",0.258,0.289,0.331,0.296,0.346,0.282,0.259,0.188,0.738
"P31","Lo votaría",0.061,0.074,0.196,0.068,0.02,0.019,0.057,0,0.02
"P31","Puede que lo vote",0.17,0.107,0.172,0.125,0.173,0.261,0.15,0,0.042
"P31","Nunca lo votaría",0.587,0.569,0.445,0.551,0.644,0.31,0.657,0.784,0.205
"P31","No sabe",0.182,0.25,0.187,0.256,0.163,0.41,0.136,0.216,0.733
"P32","Lo votaría",0.009,0.011,0.107,0.299,0.175,0.058,0.065,0.02,0
"P32","Puede que lo vote",0.03,0.063,0.104,0.067,0.355,0.084,0.343,0.146,0.042
"P32","Nunca lo votaría",0.734,0.716,0.574,0.32,0.265,0.525,0.468,0.664,0.405
"P32","No sabe",0.227,0.21,0.215,0.314,0.205,0.333,0.124,0.17,0.553
"P33","La votaría",0.009,0.001,0.035,0.086,0.354,0.04,0.168,0,0.02
"P33","Puede que la vote",0.017,0.057,0.066,0.128,0.223,0.19,0.202,0,0.041
"P33","Nunca la votaría",0.709,0.629,0.606,0.469,0.136,0.35,0.514,0.827,0.323
"P33","No sabe",0.265,0.313,0.293,0.317,0.287,0.42,0.116,0.173,0.616
"P34","La votaría",0.024,0.017,0.011,0.032,0.065,0.352,0.084,0,0
"P34","Puede que la vote",0.029,0.046,0.07,0.059,0.042,0.194,0.102,0.03,0.048
"P34","Nunca la votaría",0.695,0.606,0.596,0.525,0.304,0.322,0.42,0.639,0.413
"P34","No sabe",0.252,0.331,0.323,0.384,0.589,0.132,0.394,0.331,0.539
"P35","La votaría",0.007,0.007,0.019,0.026,0.016,0,0.27,0,0.137
"P35","Puede que la vote",0.043,0.041,0.057,0.084,0.089,0.178,0.243,0.395,0.048
"P35","Nunca la votaría",0.667,0.595,0.615,0.521,0.323,0.55,0.332,0.526,0.219
"P35","No sabe",0.283,0.357,0.309,0.369,0.572,0.272,0.155,0.079,0.596
"P36","La votaría",0.028,0.005,0.064,0.068,0.069,0.024,0.177,0.199,0.128
"P36","Puede que la vote",0.036,0.036,0.11,0.102,0.192,0.27,0.343,0.24,0
"P36","Nunca la votaría",0.781,0.79,0.669,0.579,0.534,0.491,0.419,0.526,0.318
"P36","No sabe",0.155,0.169,0.157,0.251,0.205,0.215,0.061,0.035,0.554
"P37","La votaría",0.019,0,0.004,0.02,0.016,0,0.013,0.071,0.039
"P37","Puede que la vote",0.014,0.037,0.049,0.051,0.013,0.196,0.146,0.084,0
"P37","Nunca la votaría",0.704,0.676,0.668,0.608,0.431,0.462,0.443,0.559,0.363
"P37","No sabe",0.263,0.287,0.279,0.321,0.54,0.342,0.398,0.286,0.598
"P38","Muy buena",0.513,0.223,0.077,0.079,0.052,0.11,0.132,0,0.138
"P38","Buena",0.18,0.244,0.123,0.078,0.004,0.27,0.07,0,0.031
"P38","Ni buena ni mala",0.153,0.193,0.321,0.174,0.059,0.087,0.174,0.289,0.037
"P38","Mala",0.089,0.236,0.213,0.106,0.265,0.164,0.13,0.284,0.087
"P38","Muy mala",0.064,0.096,0.24,0.449,0.61,0.369,0.494,0.427,0.424
"P38","No sabe",0.001,0.008,0.026,0.114,0.01,0,0,0,0.283
"P39","Muy buena",0.254,0.303,0.09,0.047,0.069,0.106,0.139,0.2,0
"P39","Buena",0.269,0.258,0.173,0.067,0.097,0.067,0.035,0,0.032
"P39","Ni buena ni mala",0.278,0.183,0.406,0.424,0.234,0.494,0.298,0.093,0.189
"P39","Mala",0.052,0.154,0.146,0.072,0.196,0.114,0.117,0.118,0.16
"P39","Muy mala",0.023,0.055,0.124,0.293,0.326,0.182,0.382,0.39,0.133
"P39","No sabe",0.124,0.047,0.061,0.097,0.078,0.037,0.029,0.199,0.486
"P40","Muy buena",0.109,0.109,0.241,0.099,0.038,0.022,0.08,0.043,0
"P40","Buena",0.185,0.196,0.268,0.059,0.055,0.142,0.151,0,0.02
"P40","Ni buena ni mala",0.342,0.328,0.274,0.247,0.285,0.482,0.161,0.292,0.174
"P40","Mala",0.186,0.211,0.085,0.102,0.24,0.158,0.294,0.28,0.088
"P40","Muy mala",0.116,0.104,0.104,0.365,0.326,0.196,0.296,0.385,0.233
"P40","No sabe",0.062,0.052,0.028,0.128,0.056,0,0.018,0,0.485
"P41","Muy buena",0.022,0.008,0.103,0.232,0.093,0.023,0.033,0,0
"P41","Buena",0.042,0.08,0.117,0.175,0.129,0.236,0.142,0.045,0.04
"P41","Ni buena ni mala",0.335,0.335,0.388,0.16,0.388,0.198,0.511,0.323,0.245
"P41","Mala",0.234,0.252,0.166,0.07,0.161,0.246,0.24,0.042,0
"P41","Muy mala",0.171,0.175,0.146,0.203,0.14,0.285,0.074,0.355,0.189
"P41","No sabe",0.196,0.15,0.08,0.16,0.089,0.012,0,0.235,0.526
"P42","Muy buena",0.012,0.019,0.093,0.112,0.435,0.039,0.173,0.044,0.018
"P42","Buena",0.037,0.042,0.15,0.164,0.288,0.362,0.358,0,0
"P42","Ni buena ni mala",0.257,0.242,0.351,0.216,0.056,0.263,0.149,0.346,0.218
"P42","Mala",0.282,0.33,0.149,0.163,0.054,0.063,0.196,0.08,0.074
"P42","Muy mala",0.235,0.247,0.164,0.182,0.116,0.263,0.124,0.323,0.171
"P42","No sabe",0.177,0.12,0.093,0.163,0.051,0.01,0,0.207,0.519
"P43","Muy buena",0.007,0.021,0.03,0.058,0.019,0.069,0.028,0,0
"P43","Buena",0.024,0.021,0.045,0.055,0.046,0.322,0.2,0.029,0
"P43","Ni buena ni mala",0.304,0.324,0.421,0.286,0.42,0.264,0.376,0.174,0.254
"P43","Mala",0.198,0.213,0.146,0.122,0.148,0.054,0.182,0.271,0
"P43","Muy mala",0.131,0.146,0.157,0.202,0.141,0.236,0.075,0.323,0.21
"P43","No sabe",0.336,0.275,0.201,0.277,0.226,0.055,0.139,0.203,0.536
"P44","Muy buena",0.002,0,0.057,0.067,0.037,0,0.492,0,0
"P44","Buena",0.026,0.037,0.047,0.103,0.096,0.011,0.127,0.029,0
"P44","Ni buena ni mala",0.323,0.248,0.355,0.212,0.301,0.339,0.104,0.135,0.205
"P44","Mala",0.17,0.21,0.156,0.081,0.249,0.249,0.187,0.033,0.039
"P44","Muy mala",0.162,0.232,0.171,0.201,0.142,0.292,0.039,0.328,0.22
"P44","No sabe",0.317,0.273,0.214,0.336,0.175,0.109,0.051,0.475,0.536
"P45","Muy buena",0.002,0,0.03,0.054,0.049,0.025,0.278,0.173,0.12
"P45","Buena",0.022,0.023,0.051,0.05,0.114,0,0.143,0.068,0
"P45","Ni buena ni mala",0.3,0.315,0.379,0.23,0.261,0.467,0.23,0.073,0.202
"P45","Mala",0.164,0.209,0.124,0.107,0.239,0.23,0.192,0.034,0.018
"P45","Muy mala",0.162,0.17,0.179,0.244,0.136,0.24,0.056,0.255,0.087
"P45","No sabe",0.35,0.283,0.237,0.315,0.201,0.038,0.101,0.397,0.573
"P46","Muy buena",0,0.014,0.026,0.031,0.007,0,0,0.091,0.158
"P46","Buena",0.013,0.037,0.028,0.018,0.015,0.054,0.086,0.07,0
"P46","Ni buena ni mala",0.307,0.276,0.413,0.245,0.183,0.445,0.569,0.07,0.197
"P46","Mala",0.133,0.153,0.121,0.144,0.232,0.235,0.152,0,0.041
"P46","Muy mala",0.145,0.16,0.155,0.176,0.217,0.206,0.054,0.336,0.033
"P46","No sabe",0.402,0.36,0.257,0.386,0.346,0.06,0.139,0.433,0.571
"P47","Muy buena",0.137,0.059,0.03,0.048,0,0.026,0.025,0,0
"P47","Buena",0.112,0.101,0.044,0.03,0.072,0.397,0.132,0,0
"P47","Ni buena ni mala",0.284,0.363,0.307,0.292,0.116,0.167,0.305,0.168,0.194
"P47","Mala",0.116,0.107,0.127,0.078,0.272,0.079,0.087,0,0
"P47","Muy mala",0.077,0.108,0.258,0.328,0.286,0.284,0.301,0.548,0.214
"P47","No sabe",0.274,0.262,0.234,0.224,0.254,0.047,0.15,0.284,0.592
"P48","Muy buena",0.036,0.055,0.011,0.018,0,0,0,0,0
"P48","Buena",0.091,0.069,0.037,0.026,0.012,0.012,0.03,0,0
"P48","Ni buena ni mala",0.366,0.36,0.359,0.324,0.257,0.632,0.405,0.331,0.207
"P48","Mala",0.119,0.118,0.135,0.119,0.189,0.065,0.201,0.07,0.04
"P48","Muy mala",0.063,0.116,0.165,0.216,0.233,0.219,0.147,0.319,0.154
"P48","No sabe",0.325,0.282,0.293,0.297,0.309,0.072,0.217,0.28,0.599
"P49","Muy buena",0.062,0.046,0.149,0.075,0.01,0.011,0.037,0,0
"P49","Buena",0.125,0.079,0.142,0.092,0.051,0.048,0.182,0.037,0.017
"P49","Ni buena ni mala",0.315,0.336,0.275,0.207,0.322,0.56,0.143,0.504,0.208
"P49","Mala",0.185,0.174,0.156,0.097,0.101,0.087,0.328,0.029,0.04
"P49","Muy mala",0.167,0.147,0.115,0.319,0.372,0.247,0.167,0.389,0.154
"P49","No sabe",0.146,0.218,0.163,0.21,0.144,0.047,0.143,0.041,0.581
"P50","Muy buena",0.013,0.009,0.148,0.312,0.129,0.011,0.086,0,0
"P50","Buena",0.04,0.042,0.058,0.064,0.184,0.025,0.278,0.201,0
"P50","Ni buena ni mala",0.256,0.249,0.277,0.146,0.179,0.398,0.239,0.16,0.207
"P50","Mala",0.21,0.204,0.145,0.051,0.213,0.257,0.124,0.042,0.04
"P50","Muy mala",0.267,0.258,0.183,0.183,0.162,0.297,0.154,0.346,0.173
"P50","No sabe",0.214,0.238,0.189,0.244,0.133,0.012,0.119,0.251,0.58
"P51","Muy buena",0.003,0,0.034,0.069,0.234,0.037,0.082,0.042,0
"P51","Buena",0.05,0.032,0.043,0.043,0.26,0.061,0.309,0,0
"P51","Ni buena ni mala",0.293,0.296,0.408,0.289,0.111,0.52,0.33,0.366,0.188
"P51","Mala",0.12,0.167,0.1,0.181,0.133,0.098,0.128,0,0.041
"P51","Muy mala",0.152,0.177,0.17,0.183,0.045,0.223,0.065,0.346,0.157
"P51","No sabe",0.382,0.328,0.245,0.235,0.217,0.061,0.086,0.246,0.614
"P52","Muy buena",0.012,0.021,0.017,0.064,0.011,0.55,0.017,0,0
"P52","Buena",0.013,0.014,0.022,0.025,0.008,0,0.097,0,0
"P52","Ni buena ni mala",0.329,0.307,0.373,0.282,0.302,0.092,0.401,0.388,0.19
"P52","Mala",0.143,0.128,0.108,0.154,0.141,0.061,0.13,0,0.041
"P52","Muy mala",0.094,0.174,0.141,0.168,0.17,0.166,0.013,0.345,0.163
"P52","No sabe",0.409,0.356,0.339,0.307,0.368,0.131,0.342,0.267,0.606
"P53","Muy buena",0,0,0.026,0.025,0.022,0,0.157,0,0
"P53","Buena",0.019,0.025,0.018,0.03,0.112,0.216,0.18,0.044,0
"P53","Ni buena ni mala",0.335,0.318,0.379,0.294,0.297,0.149,0.331,0.344,0.05
"P53","Mala",0.143,0.118,0.1,0.102,0.051,0.313,0.071,0,0.048
"P53","Muy mala",0.094,0.169,0.159,0.249,0.148,0.176,0.027,0.345,0.191
"P53","No sabe",0.409,0.37,0.318,0.3,0.37,0.146,0.234,0.267,0.711
"P54","Muy buena",0.024,0.002,0.037,0.069,0.037,0.026,0.167,0.22,0.147
"P54","Buena",0.044,0.021,0.138,0.125,0.132,0.066,0.278,0.276,0
"P54","Ni buena ni mala",0.244,0.219,0.318,0.165,0.27,0.169,0.208,0.03,0.074
"P54","Mala",0.24,0.264,0.184,0.152,0.123,0.277,0.13,0.197,0
"P54","Muy mala",0.307,0.312,0.179,0.294,0.236,0.432,0.192,0.277,0.067
"P54","No sabe",0.141,0.182,0.144,0.195,0.202,0.03,0.025,0,0.712
"P55","Muy buena",0.004,0.001,0.016,0.023,0,0.027,0.052,0.096,0.023
"P55","Buena",0.035,0.001,0.046,0.02,0.02,0,0.124,0.113,0.022
"P55","Ni buena ni mala",0.273,0.284,0.382,0.317,0.282,0.442,0.35,0.205,0.05
"P55","Mala",0.127,0.154,0.13,0.119,0.088,0.279,0.117,0,0.049
"P55","Muy mala",0.137,0.192,0.132,0.18,0.223,0.188,0.079,0.277,0.193
"P55","No sabe",0.424,0.368,0.294,0.341,0.387,0.064,0.278,0.309,0.663
"P56","Si",0.575,0.509,0.512,0.49,0.481,0.436,0.409,0.546,0.229
"P56","No",0.425,0.491,0.488,0.51,0.519,0.564,0.591,0.454,0.771
