"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Suarez/Abed","Fernández Sagasti/Tanus","Ramón/Vadillo","Barbeito/Sosa"
"Hebe Casado","Positiva",0.151,0.144,0.157,0.135,0.124,0.142,0.236,0.138,0.155,0.155,0.06,0.224,0.251,0.228,0.049,0.183,0
"Hebe Casado","Neutra",0.293,0.27,0.32,0.258,0.287,0.297,0.338,0.4,0.278,0.221,0.318,0.275,0.176,0.27,0.293,0.174,0.337
"Hebe Casado","Negativa",0.305,0.354,0.25,0.394,0.325,0.272,0.212,0.269,0.262,0.386,0.397,0.25,0.442,0.25,0.432,0.407,0.505
"Hebe Casado","No sabe",0.251,0.232,0.273,0.213,0.264,0.289,0.214,0.193,0.305,0.238,0.225,0.251,0.131,0.252,0.226,0.236,0.158
"Omar Parisi","Positiva",0.163,0.136,0.193,0.156,0.16,0.153,0.191,0.147,0.174,0.165,0.356,0.082,0.168,0.083,0.398,0.312,0.04
"Omar Parisi","Neutra",0.327,0.334,0.32,0.216,0.332,0.347,0.403,0.365,0.318,0.305,0.329,0.321,0.408,0.341,0.285,0.323,0.485
"Omar Parisi","Negativa",0.366,0.421,0.304,0.437,0.366,0.34,0.327,0.335,0.338,0.422,0.212,0.463,0.364,0.453,0.212,0.303,0.396
"Omar Parisi","No sabe",0.144,0.109,0.183,0.191,0.142,0.16,0.079,0.153,0.17,0.108,0.103,0.134,0.06,0.123,0.105,0.062,0.079
"Guillermo Carmona","Positiva",0.187,0.177,0.198,0.219,0.16,0.211,0.178,0.136,0.214,0.2,0.439,0.08,0.17,0.082,0.493,0.242,0.122
"Guillermo Carmona","Neutra",0.251,0.226,0.279,0.196,0.252,0.27,0.283,0.265,0.275,0.212,0.222,0.246,0.297,0.265,0.191,0.292,0.441
"Guillermo Carmona","Negativa",0.43,0.496,0.357,0.391,0.45,0.41,0.456,0.466,0.343,0.499,0.263,0.554,0.493,0.549,0.24,0.434,0.359
"Guillermo Carmona","No sabe",0.132,0.101,0.166,0.194,0.138,0.109,0.083,0.133,0.168,0.089,0.076,0.12,0.04,0.104,0.076,0.032,0.078
"Lucas Ilardo","Positiva",0.152,0.131,0.175,0.156,0.135,0.17,0.16,0.135,0.154,0.166,0.364,0.061,0.144,0.066,0.387,0.272,0.086
"Lucas Ilardo","Neutra",0.241,0.213,0.274,0.167,0.257,0.267,0.252,0.302,0.236,0.196,0.23,0.232,0.297,0.241,0.219,0.182,0.299
"Lucas Ilardo","Negativa",0.395,0.476,0.303,0.432,0.388,0.365,0.412,0.369,0.349,0.469,0.249,0.499,0.358,0.491,0.247,0.337,0.479
"Lucas Ilardo","No sabe",0.212,0.18,0.248,0.245,0.22,0.198,0.176,0.194,0.261,0.169,0.157,0.208,0.201,0.202,0.147,0.209,0.136
"Liliana Paponet","Positiva",0.1,0.108,0.092,0.156,0.083,0.092,0.088,0.085,0.086,0.13,0.197,0.055,0.162,0.058,0.22,0.174,0
"Liliana Paponet","Neutra",0.312,0.295,0.33,0.288,0.289,0.347,0.336,0.346,0.335,0.255,0.352,0.265,0.373,0.301,0.339,0.22,0.372
"Liliana Paponet","Negativa",0.294,0.327,0.257,0.331,0.307,0.276,0.251,0.325,0.234,0.336,0.211,0.351,0.326,0.326,0.226,0.355,0.268
"Liliana Paponet","No sabe",0.294,0.27,0.321,0.225,0.321,0.285,0.325,0.244,0.345,0.279,0.24,0.329,0.139,0.315,0.215,0.251,0.36
"Patricia Giménez","Positiva",0.082,0.094,0.068,0.03,0.083,0.094,0.114,0.081,0.073,0.091,0.054,0.118,0.085,0.122,0.042,0.007,0.02
"Patricia Giménez","Neutra",0.355,0.321,0.394,0.302,0.361,0.362,0.391,0.429,0.336,0.316,0.396,0.325,0.387,0.338,0.409,0.254,0.365
"Patricia Giménez","Negativa",0.266,0.316,0.21,0.372,0.253,0.254,0.2,0.276,0.24,0.288,0.272,0.273,0.273,0.263,0.294,0.263,0.293
"Patricia Giménez","No sabe",0.297,0.269,0.328,0.296,0.303,0.29,0.295,0.214,0.351,0.305,0.278,0.284,0.255,0.277,0.255,0.476,0.322
"Noelia Barbeito","Positiva",0.117,0.142,0.088,0.052,0.153,0.128,0.089,0.128,0.105,0.122,0.224,0.052,0.218,0.058,0.245,0.193,0.627
"Noelia Barbeito","Neutra",0.238,0.211,0.269,0.173,0.21,0.24,0.36,0.335,0.2,0.204,0.309,0.203,0.235,0.211,0.293,0.24,0.141
"Noelia Barbeito","Negativa",0.48,0.52,0.434,0.587,0.443,0.51,0.409,0.395,0.461,0.568,0.317,0.611,0.469,0.602,0.327,0.42,0.105
"Noelia Barbeito","No sabe",0.165,0.127,0.209,0.188,0.194,0.122,0.142,0.142,0.234,0.106,0.15,0.134,0.078,0.129,0.135,0.147,0.127
"Alfredo Guevara","Positiva",0.083,0.06,0.107,0.079,0.071,0.085,0.108,0.07,0.088,0.088,0.187,0.04,0.088,0.04,0.21,0.11,0.074
"Alfredo Guevara","Neutra",0.286,0.262,0.314,0.235,0.292,0.275,0.343,0.299,0.307,0.251,0.321,0.261,0.333,0.284,0.295,0.342,0.324
"Alfredo Guevara","Negativa",0.361,0.416,0.301,0.42,0.342,0.375,0.324,0.386,0.31,0.4,0.278,0.416,0.447,0.407,0.273,0.392,0.362
"Alfredo Guevara","No sabe",0.27,0.262,0.278,0.266,0.295,0.265,0.225,0.245,0.295,0.261,0.214,0.283,0.132,0.269,0.222,0.156,0.24
"Nicolás Guillén","Positiva",0.07,0.06,0.081,0.074,0.074,0.051,0.085,0.066,0.076,0.065,0.135,0.04,0.05,0.045,0.146,0.112,0.023
"Nicolás Guillén","Neutra",0.338,0.297,0.383,0.246,0.33,0.374,0.402,0.353,0.361,0.298,0.402,0.302,0.414,0.325,0.381,0.419,0.42
"Nicolás Guillén","Negativa",0.325,0.382,0.263,0.438,0.302,0.301,0.289,0.341,0.274,0.373,0.232,0.387,0.335,0.382,0.243,0.313,0.321
"Nicolás Guillén","No sabe",0.267,0.261,0.273,0.242,0.294,0.274,0.224,0.24,0.289,0.264,0.231,0.271,0.201,0.248,0.23,0.156,0.236
"Lorena Martin","Positiva",0.056,0.045,0.067,0.073,0.072,0.034,0.03,0.076,0.053,0.041,0.123,0.015,0.032,0.035,0.097,0.06,0
"Lorena Martin","Neutra",0.317,0.311,0.325,0.267,0.304,0.349,0.354,0.411,0.31,0.251,0.324,0.308,0.296,0.302,0.325,0.354,0.515
"Lorena Martin","Negativa",0.27,0.314,0.22,0.363,0.273,0.229,0.227,0.264,0.231,0.319,0.193,0.315,0.365,0.309,0.219,0.268,0.246
"Lorena Martin","No sabe",0.357,0.33,0.388,0.297,0.351,0.388,0.389,0.249,0.406,0.389,0.36,0.362,0.307,0.354,0.359,0.318,0.239
"Lautaro Giménez","Positiva",0.067,0.063,0.072,0.066,0.087,0.053,0.046,0.07,0.073,0.058,0.124,0.033,0.098,0.035,0.133,0.121,0.467
"Lautaro Giménez","Neutra",0.31,0.288,0.333,0.155,0.323,0.331,0.412,0.397,0.28,0.271,0.346,0.298,0.366,0.316,0.331,0.294,0.23
"Lautaro Giménez","Negativa",0.34,0.407,0.266,0.543,0.309,0.285,0.272,0.289,0.3,0.429,0.272,0.387,0.395,0.383,0.292,0.362,0.058
"Lautaro Giménez","No sabe",0.283,0.242,0.329,0.236,0.281,0.331,0.27,0.244,0.347,0.242,0.258,0.282,0.141,0.266,0.244,0.223,0.245
"Patricia Galván","Positiva",0.052,0.041,0.063,0.044,0.057,0.041,0.063,0.083,0.03,0.051,0.121,0.014,0,0.029,0.11,0.061,0
"Patricia Galván","Neutra",0.322,0.319,0.327,0.225,0.328,0.358,0.358,0.396,0.334,0.249,0.345,0.313,0.33,0.313,0.346,0.298,0.477
"Patricia Galván","Negativa",0.271,0.313,0.224,0.429,0.263,0.238,0.177,0.246,0.241,0.326,0.214,0.305,0.363,0.301,0.235,0.295,0.267
"Patricia Galván","No sabe",0.355,0.327,0.386,0.302,0.352,0.363,0.402,0.275,0.395,0.374,0.32,0.368,0.307,0.357,0.309,0.346,0.256
"Victor da Vila","Positiva",0.043,0.036,0.052,0.05,0.054,0.036,0.025,0.059,0.032,0.044,0.041,0.038,0.054,0.042,0.044,0.029,0.32
"Victor da Vila","Neutra",0.311,0.279,0.346,0.2,0.327,0.296,0.416,0.392,0.279,0.278,0.337,0.299,0.417,0.313,0.317,0.328,0.303
"Victor da Vila","Negativa",0.305,0.375,0.226,0.469,0.29,0.254,0.229,0.3,0.29,0.325,0.267,0.322,0.362,0.311,0.301,0.391,0.079
"Victor da Vila","No sabe",0.341,0.31,0.376,0.281,0.329,0.414,0.33,0.249,0.399,0.353,0.355,0.341,0.167,0.334,0.338,0.252,0.298
"Nadya Ortiz Gazzo","Positiva",0.038,0.036,0.04,0.056,0.034,0.042,0.022,0.03,0.047,0.035,0.055,0.022,0.064,0.031,0.062,0.061,0.161
"Nadya Ortiz Gazzo","Neutra",0.308,0.309,0.308,0.256,0.304,0.33,0.338,0.407,0.286,0.255,0.361,0.284,0.357,0.285,0.345,0.346,0.275
"Nadya Ortiz Gazzo","Negativa",0.297,0.342,0.245,0.408,0.29,0.267,0.244,0.281,0.272,0.338,0.243,0.317,0.354,0.319,0.258,0.311,0.217
"Nadya Ortiz Gazzo","No sabe",0.357,0.313,0.407,0.28,0.372,0.361,0.396,0.282,0.395,0.372,0.341,0.377,0.225,0.365,0.335,0.282,0.347
