"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P49","Buena",0.067,0.122,0.119,0.038,0.099
"P49","Ni buena ni mala",0.31,0.261,0.271,0.454,0.429
"P49","Mala",0.141,0.187,0.184,0.089,0.056
"P49","Muy mala",0.267,0.192,0.159,0.399,0.068
"P49","No sabe",0.182,0.157,0.16,0.02,0.295
"P50","Muy buena",0.301,0.008,0.017,0,0.042
"P50","Buena",0.168,0.027,0.005,0.039,0.076
"P50","Ni buena ni mala",0.213,0.209,0.258,0.398,0.32
"P50","Mala",0.105,0.234,0.186,0.061,0.109
"P50","Muy mala",0.07,0.328,0.29,0.482,0.104
"P50","No sabe",0.143,0.194,0.244,0.02,0.349
"P51","Muy buena",0.139,0.001,0.006,0,0.003
"P51","Buena",0.165,0.032,0.004,0,0.069
"P51","Ni buena ni mala",0.293,0.274,0.335,0.489,0.373
"P51","Mala",0.112,0.182,0.149,0.014,0.038
"P51","Muy mala",0.057,0.18,0.239,0.399,0.127
"P51","No sabe",0.234,0.331,0.267,0.098,0.39
"P52","Muy buena",0.066,0.018,0.041,0,0.039
"P52","Buena",0.05,0.007,0,0.102,0.005
"P52","Ni buena ni mala",0.333,0.273,0.297,0.376,0.429
"P52","Mala",0.103,0.169,0.145,0.015,0.043
"P52","Muy mala",0.064,0.154,0.221,0.394,0.086
"P52","No sabe",0.384,0.379,0.296,0.113,0.398
"P53","Muy buena",0.054,0.001,0.002,0,0
"P53","Buena",0.091,0.02,0.026,0.02,0.014
"P53","Ni buena ni mala",0.356,0.299,0.251,0.44,0.433
"P53","Mala",0.039,0.154,0.168,0.033,0.073
"P53","Muy mala",0.131,0.148,0.224,0.292,0.074
"P53","No sabe",0.329,0.378,0.329,0.215,0.406
"P54","Muy buena",0.081,0.005,0.006,0.39,0.031
"P54","Buena",0.211,0.023,0.052,0.145,0.049
"P54","Ni buena ni mala",0.316,0.186,0.138,0.339,0.396
"P54","Mala",0.098,0.306,0.284,0,0.06
"P54","Muy mala",0.146,0.357,0.343,0.111,0.166
"P54","No sabe",0.148,0.123,0.177,0.015,0.298
"P55","Muy buena",0.027,0.004,0.002,0.066,0.008
"P55","Buena",0.057,0.001,0.032,0.119,0.02
"P55","Ni buena ni mala",0.35,0.272,0.234,0.348,0.452
"P55","Mala",0.09,0.149,0.217,0.06,0.03
"P55","Muy mala",0.113,0.185,0.23,0.236,0.073
"P55","No sabe",0.363,0.389,0.285,0.171,0.417
"P56","Si",0.562,0.543,0.495,0.387,0.393
"P56","No",0.438,0.457,0.505,0.613,0.607
