"var","categoria","Alfredo Cornejo por Cambia Mendoza","Luis Petri por Cambia Mendoza","Omar De Marchi por La Unión Mendocina","Omar Parisi por Elegí Mendoza","Guillermo Carmona por Elegí Mendoza","Nicolás Guillén por Elegí Mendoza","Alfredo Guevara por Elegí Mendoza","Lautaro Giménez por el Frente de Izquierda","Victor da Vila por el Frente de Izquierda","No sabe"
"P26","Puede que lo vote",0.012,0.012,0.048,0.24,0.194,0.102,0.185,0.008,0,0.097
"P26","Nunca lo votaría",0.834,0.88,0.703,0.503,0.446,0.604,0.164,0.651,0.573,0.403
"P26","No sabe",0.145,0.108,0.226,0.227,0.322,0.283,0.12,0.305,0.427,0.471
"P27","Lo votaría",0.02,0,0.02,0.016,0.015,0.041,0.09,0.523,0.148,0.027
"P27","Puede que lo vote",0.012,0.006,0.036,0.192,0.097,0.03,0.399,0.008,0.3,0.043
"P27","Nunca lo votaría",0.811,0.864,0.706,0.563,0.548,0.583,0.232,0.396,0.122,0.43
"P27","No sabe",0.157,0.13,0.238,0.229,0.34,0.346,0.279,0.073,0.43,0.5
"P28","Lo votaría",0.018,0,0.015,0.012,0.022,0.014,0.032,0.062,0.231,0
"P28","Puede que lo vote",0.03,0.007,0.058,0.086,0.035,0.083,0.246,0.245,0.28,0.068
"P28","Nunca lo votaría",0.809,0.855,0.718,0.646,0.583,0.532,0.327,0.422,0.27,0.419
"P28","No sabe",0.143,0.138,0.209,0.256,0.36,0.371,0.395,0.271,0.219,0.513
"P29","La votaría",0.292,0.065,0.055,0.015,0.01,0.011,0.043,0.199,0.182,0.039
"P29","Puede que la vote",0.136,0.147,0.066,0.095,0.024,0.086,0.044,0.01,0.045,0.064
"P29","Nunca la votaría",0.412,0.517,0.662,0.66,0.542,0.555,0.659,0.541,0.184,0.435
"P29","No sabe",0.16,0.271,0.217,0.23,0.424,0.348,0.254,0.25,0.589,0.462
"P30","La votaría",0.08,0.16,0.054,0.038,0.087,0,0.012,0,0,0.003
"P30","Puede que la vote",0.159,0.097,0.054,0.089,0.065,0.058,0.022,0.012,0,0.116
"P30","Nunca la votaría",0.532,0.443,0.606,0.637,0.548,0.643,0.663,0.626,0.41,0.445
"P30","No sabe",0.229,0.3,0.286,0.236,0.3,0.299,0.303,0.362,0.59,0.436
"P31","Lo votaría",0.043,0.041,0.312,0.027,0.09,0.283,0,0,0,0.013
"P31","Puede que lo vote",0.155,0.131,0.184,0.13,0.144,0.087,0.149,0.014,0.218,0.133
"P31","Nunca lo votaría",0.625,0.642,0.298,0.744,0.601,0.354,0.664,0.656,0.376,0.416
"P31","No sabe",0.177,0.186,0.206,0.099,0.165,0.276,0.187,0.33,0.406,0.438
"P32","Lo votaría",0.008,0.01,0.058,0.544,0.123,0.06,0.188,0,0.036,0.015
"P32","Puede que lo vote",0.026,0.042,0.081,0.125,0.331,0.154,0.376,0.044,0.171,0.055
"P32","Nunca lo votaría",0.776,0.763,0.627,0.26,0.356,0.549,0.298,0.644,0.413,0.455
"P32","No sabe",0.19,0.185,0.234,0.071,0.19,0.237,0.138,0.312,0.38,0.475
"P33","La votaría",0.002,0.006,0.022,0.128,0.297,0.074,0.185,0.013,0.131,0.004
"P33","Puede que la vote",0.016,0.043,0.054,0.164,0.192,0.052,0.212,0,0,0.112
"P33","Nunca la votaría",0.743,0.705,0.647,0.454,0.271,0.569,0.331,0.668,0.578,0.365
"P33","No sabe",0.239,0.246,0.277,0.254,0.24,0.305,0.272,0.319,0.291,0.519
"P34","La votaría",0.033,0.002,0.058,0.007,0.069,0.259,0.104,0,0.033,0
"P34","Puede que la vote",0.013,0.015,0.052,0.124,0.045,0.041,0.22,0.04,0,0.104
"P34","Nunca la votaría",0.709,0.702,0.659,0.565,0.365,0.386,0.187,0.479,0.613,0.381
"P34","No sabe",0.245,0.281,0.231,0.304,0.521,0.314,0.489,0.481,0.354,0.515
"P35","La votaría",0.008,0,0.018,0,0.013,0.11,0.334,0,0.214,0
"P35","Puede que la vote",0.024,0.022,0.022,0.12,0.078,0.013,0.237,0.144,0,0.156
"P35","Nunca la votaría",0.706,0.695,0.681,0.544,0.344,0.54,0.182,0.832,0.43,0.335
"P35","No sabe",0.262,0.283,0.279,0.336,0.565,0.337,0.247,0.024,0.356,0.509
"P36","La votaría",0.006,0.011,0.057,0.046,0.083,0.044,0.195,0.428,0.204,0.038
"P36","Puede que la vote",0.039,0.029,0.051,0.199,0.149,0.012,0.456,0.191,0.169,0.084
"P36","Nunca la votaría",0.861,0.841,0.738,0.656,0.589,0.64,0.206,0.357,0.496,0.412
"P36","No sabe",0.094,0.119,0.154,0.099,0.179,0.304,0.143,0.024,0.131,0.466
"P37","La votaría",0.005,0,0.015,0,0.01,0,0.039,0.35,0.06,0.003
"P37","Puede que la vote",0.017,0.009,0.035,0.068,0.011,0.012,0.24,0.059,0.187,0.069
"P37","Nunca la votaría",0.766,0.739,0.696,0.633,0.518,0.544,0.33,0.382,0.401,0.432
"P37","No sabe",0.212,0.252,0.254,0.299,0.461,0.444,0.391,0.209,0.352,0.496
"P38","Muy buena",0.593,0.191,0.067,0.02,0.103,0.055,0.01,0.281,0.224,0.019
"P38","Buena",0.217,0.282,0.15,0.049,0.026,0.065,0.011,0,0.043,0.122
"P38","Ni buena ni mala",0.133,0.269,0.231,0.082,0.129,0.385,0.144,0.2,0,0.279
"P38","Mala",0.05,0.187,0.277,0.168,0.238,0.012,0.169,0.17,0.146,0.254
"P38","Muy mala",0.006,0.066,0.27,0.625,0.504,0.483,0.666,0.349,0.459,0.203
"P38","No sabe",0.001,0.005,0.005,0.056,0,0,0,0,0.128,0.123
"P39","Muy buena",0.249,0.535,0.104,0.011,0.075,0.079,0,0.195,0.034,0.022
"P39","Buena",0.321,0.236,0.195,0.084,0.159,0.016,0.022,0,0.043,0.062
"P39","Ni buena ni mala",0.298,0.109,0.369,0.348,0.252,0.428,0.192,0.332,0.279,0.4
"P39","Mala",0.079,0.043,0.169,0.128,0.195,0.268,0.066,0.074,0.083,0.153
"P39","Muy mala",0.016,0.046,0.092,0.387,0.292,0.189,0.559,0.399,0.432,0.063
"P39","No sabe",0.037,0.031,0.071,0.042,0.027,0.02,0.161,0,0.129,0.3
"P40","Muy buena",0.072,0.075,0.467,0.026,0.015,0.238,0.029,0,0.034,0.038
"P40","Buena",0.213,0.219,0.282,0.08,0.082,0.12,0.052,0,0,0.101
"P40","Ni buena ni mala",0.305,0.362,0.206,0.275,0.414,0.439,0.216,0.278,0.322,0.315
"P40","Mala",0.253,0.144,0.025,0.193,0.181,0.064,0.192,0.274,0.027,0.167
"P40","Muy mala",0.126,0.154,0.02,0.426,0.294,0.139,0.386,0.448,0.488,0.11
"P40","No sabe",0.031,0.046,0,0,0.014,0,0.125,0,0.129,0.269
"P41","Muy buena",0.009,0.008,0.054,0.455,0.057,0,0.115,0,0.213,0.016
"P41","Buena",0.042,0.049,0.092,0.278,0.17,0.173,0.316,0.035,0.09,0.069
"P41","Ni buena ni mala",0.326,0.428,0.357,0.089,0.413,0.133,0.338,0.53,0.262,0.297
"P41","Mala",0.292,0.198,0.236,0.054,0.137,0.192,0.113,0.041,0,0.111
"P41","Muy mala",0.227,0.153,0.178,0.094,0.131,0.251,0.055,0.36,0.252,0.139
"P41","No sabe",0.104,0.164,0.083,0.03,0.092,0.251,0.063,0.034,0.183,0.368
"P42","Muy buena",0.003,0.006,0.032,0.181,0.527,0.027,0.242,0,0.032,0.003
"P42","Buena",0.029,0.037,0.116,0.39,0.21,0.211,0.256,0.028,0.091,0.081
"P42","Ni buena ni mala",0.26,0.269,0.329,0.205,0.068,0.154,0.298,0.579,0.248,0.249
"P42","Mala",0.354,0.299,0.216,0.168,0.044,0.094,0.079,0.039,0.08,0.115
"P42","Muy mala",0.285,0.268,0.221,0.036,0.093,0.257,0.072,0.354,0.421,0.142
"P42","No sabe",0.069,0.121,0.086,0.02,0.058,0.257,0.053,0,0.128,0.41
"P43","Muy buena",0.005,0.004,0.021,0.06,0.085,0.218,0.057,0,0.032,0
"P43","Buena",0.025,0.006,0.014,0.112,0.09,0.066,0.167,0.057,0,0.067
"P43","Ni buena ni mala",0.288,0.378,0.409,0.398,0.395,0.122,0.366,0.313,0.245,0.287
"P43","Mala",0.251,0.192,0.19,0.126,0.09,0,0,0.227,0.273,0.094
"P43","Muy mala",0.192,0.142,0.19,0.096,0.096,0.255,0.07,0.369,0.295,0.108
"P43","No sabe",0.239,0.278,0.176,0.208,0.244,0.339,0.34,0.034,0.155,0.444
"P44","Muy buena",0.002,0,0.018,0.064,0.057,0.016,0.645,0,0,0.002
"P44","Buena",0.02,0.002,0.011,0.158,0.182,0.112,0.133,0.029,0,0.034
"P44","Ni buena ni mala",0.291,0.325,0.332,0.392,0.233,0.345,0.04,0.283,0.202,0.213
"P44","Mala",0.227,0.183,0.186,0.08,0.207,0.017,0.029,0.034,0.147,0.125
"P44","Muy mala",0.232,0.193,0.205,0.075,0.112,0.418,0,0.419,0.494,0.179
"P44","No sabe",0.228,0.297,0.248,0.231,0.209,0.092,0.153,0.235,0.157,0.447
"P45","Muy buena",0,0,0.018,0.035,0.068,0.054,0.37,0.091,0.167,0.002
"P45","Buena",0.024,0.002,0.023,0.172,0.048,0.052,0.097,0.104,0,0.035
"P45","Ni buena ni mala",0.271,0.377,0.352,0.346,0.325,0.361,0.217,0.316,0.195,0.266
"P45","Mala",0.237,0.136,0.149,0.111,0.169,0.12,0.096,0.034,0.273,0.115
"P45","Muy mala",0.204,0.164,0.242,0.121,0.132,0.336,0.012,0.256,0.152,0.132
"P45","No sabe",0.264,0.321,0.216,0.215,0.258,0.077,0.208,0.199,0.213,0.45
"P46","Muy buena",0,0.025,0.026,0,0.031,0.052,0.112,0,0.19,0
"P46","Buena",0.014,0.025,0.008,0.063,0.013,0.035,0.048,0.122,0.125,0.037
"P46","Ni buena ni mala",0.302,0.258,0.343,0.391,0.282,0.321,0.487,0.35,0.207,0.285
"P46","Mala",0.193,0.128,0.13,0.117,0.171,0.063,0.061,0,0.329,0.104
"P46","Muy mala",0.179,0.138,0.226,0.076,0.191,0.352,0.024,0.262,0.149,0.107
"P46","No sabe",0.312,0.426,0.267,0.353,0.312,0.177,0.268,0.266,0,0.467
"P47","Muy buena",0.169,0.06,0.018,0,0.015,0,0,0,0,0.004
"P47","Buena",0.165,0.078,0.047,0.053,0.047,0,0.046,0,0,0.07
"P47","Ni buena ni mala",0.272,0.345,0.281,0.29,0.187,0.534,0.206,0.361,0.233,0.349
"P47","Mala",0.149,0.065,0.135,0.089,0.215,0.079,0.131,0,0.11,0.063
"P47","Muy mala",0.062,0.076,0.302,0.367,0.348,0.218,0.428,0.608,0.628,0.108
"P47","No sabe",0.183,0.376,0.217,0.201,0.188,0.169,0.189,0.031,0.029,0.406
"P48","Muy buena",0.035,0.087,0.013,0.012,0.015,0,0,0,0,0
"P48","Buena",0.108,0.056,0.023,0.028,0.08,0,0.01,0,0,0.006
"P48","Ni buena ni mala",0.328,0.415,0.344,0.418,0.292,0.283,0.369,0.585,0.264,0.358
"P48","Mala",0.17,0.087,0.117,0.169,0.139,0.097,0.142,0.071,0.071,0.063
"P48","Muy mala",0.08,0.068,0.236,0.101,0.242,0.516,0.158,0.28,0.633,0.105
"P48","No sabe",0.279,0.287,0.267,0.272,0.232,0.104,0.321,0.064,0.032,0.468
"P49","Muy buena",0.027,0.023,0.266,0.025,0.032,0.36,0.073,0,0,0.01
"P49","Buena",0.128,0.093,0.139,0.075,0.104,0.106,0.107,0.038,0.039,0.049
"P49","Ni buena ni mala",0.264,0.363,0.244,0.262,0.318,0.223,0.218,0.547,0.296,0.405
"P49","Mala",0.217,0.138,0.132,0.204,0.088,0.147,0.204,0.029,0.071,0.093
"P49","Muy mala",0.202,0.153,0.099,0.361,0.301,0.13,0.172,0.386,0.594,0.106
"P49","No sabe",0.162,0.23,0.12,0.073,0.157,0.034,0.226,0,0,0.337
"P50","Muy buena",0.003,0.007,0.059,0.66,0.067,0.04,0.262,0,0,0.018
"P50","Buena",0.036,0.033,0.037,0.099,0.231,0.089,0.251,0.238,0,0.015
"P50","Ni buena ni mala",0.22,0.293,0.275,0.131,0.303,0.255,0.109,0.365,0.294,0.238
"P50","Mala",0.255,0.171,0.167,0.039,0.175,0.041,0.124,0,0.11,0.121
"P50","Muy mala",0.307,0.263,0.263,0.015,0.147,0.501,0.047,0.397,0.596,0.136
"P50","No sabe",0.179,0.233,0.199,0.056,0.077,0.074,0.207,0,0,0.472
"P51","Muy buena",0,0,0.018,0.096,0.24,0.112,0.08,0,0.039,0.002
"P51","Buena",0.042,0.017,0.031,0.104,0.273,0.114,0.286,0,0,0.002
"P51","Ni buena ni mala",0.305,0.327,0.368,0.351,0.188,0.153,0.239,0.579,0.259,0.311
"P51","Mala",0.173,0.15,0.099,0.177,0.099,0.453,0.092,0,0.072,0.063
"P51","Muy mala",0.167,0.178,0.233,0.037,0.026,0,0.199,0.348,0.597,0.163
"P51","No sabe",0.313,0.328,0.251,0.235,0.174,0.168,0.104,0.073,0.033,0.459
"P52","Muy buena",0.024,0,0.062,0.057,0.032,0.313,0.06,0,0.039,0.036
"P52","Buena",0.028,0,0.015,0.03,0.011,0.016,0.097,0,0,0
"P52","Ni buena ni mala",0.273,0.351,0.314,0.344,0.384,0.199,0.293,0.361,0.253,0.34
"P52","Mala",0.171,0.114,0.113,0.127,0.118,0.341,0.062,0,0.071,0.074
"P52","Muy mala",0.141,0.157,0.198,0.05,0.132,0,0.036,0.49,0.603,0.121
"P52","No sabe",0.363,0.378,0.298,0.392,0.323,0.131,0.452,0.149,0.034,0.429
"P53","Muy buena",0.005,0,0.016,0,0.03,0.016,0.212,0,0.052,0
"P53","Buena",0.034,0.006,0.034,0.079,0.103,0.175,0.098,0,0,0
"P53","Ni buena ni mala",0.282,0.37,0.334,0.408,0.365,0.284,0.207,0.361,0,0.309
"P53","Mala",0.184,0.084,0.095,0.048,0.048,0.435,0.044,0,0.094,0.105
"P53","Muy mala",0.138,0.147,0.211,0.144,0.179,0,0.035,0.49,0.809,0.117
"P53","No sabe",0.357,0.393,0.31,0.321,0.275,0.09,0.404,0.149,0.045,0.469
"P54","Muy buena",0.017,0.008,0.043,0.027,0.056,0.096,0.251,0.185,0.328,0.005
"P54","Buena",0.034,0.069,0.082,0.141,0.195,0.036,0.395,0.444,0,0.022
"P54","Ni buena ni mala",0.194,0.203,0.214,0.339,0.385,0.173,0.13,0.043,0.17,0.291
"P54","Mala",0.323,0.288,0.176,0.132,0.092,0.182,0.083,0,0.326,0.089
"P54","Muy mala",0.329,0.277,0.326,0.177,0.198,0.496,0.085,0.328,0.085,0.203
"P54","No sabe",0.103,0.155,0.159,0.184,0.074,0.017,0.056,0,0.091,0.39
"P55","Muy buena",0.003,0.002,0.013,0.009,0,0.055,0.147,0,0.096,0
"P55","Buena",0.037,0.003,0.026,0.064,0.032,0,0.052,0.161,0,0.007
"P55","Ni buena ni mala",0.253,0.288,0.347,0.33,0.405,0.638,0.37,0.36,0,0.293
"P55","Mala",0.162,0.158,0.163,0.11,0.085,0.117,0.071,0,0.414,0.062
"P55","Muy mala",0.18,0.163,0.186,0.074,0.213,0.053,0.048,0.328,0.49,0.145
"P55","No sabe",0.365,0.386,0.265,0.413,0.265,0.137,0.312,0.151,0,0.493
"P56","Si",0.558,0.521,0.543,0.539,0.413,0.744,0.593,0.437,0.613,0.366
"P56","No",0.442,0.479,0.457,0.461,0.587,0.256,0.407,0.563,0.387,0.634
