"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.854,0.144,0.129,0.352,0.254,0.204,0.114
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.059,0.403,0.79,0.222,0.256,0.169,0.094
"P39","En blanco",0.052,0.289,0.055,0.256,0.191,0.246,0.121
"P39","No sabe",0.035,0.164,0.026,0.17,0.299,0.381,0.671
"P40","Lo votaría",0.848,0.108,0.112,0.302,0.203,0.172,0.072
"P40","Puede que lo vote",0.046,0.115,0.145,0.159,0.205,0.115,0.106
"P40","Nunca lo votaría",0.08,0.746,0.706,0.416,0.385,0.431,0.405
"P40","No sabe",0.026,0.031,0.037,0.123,0.207,0.282,0.417
"P41","Lo votaría",0.125,0.735,0.158,0.146,0.097,0.128,0.09
"P41","Puede que lo vote",0.074,0.082,0.338,0.181,0.075,0.174,0.224
"P41","Nunca lo votaría",0.752,0.157,0.469,0.502,0.678,0.405,0.28
"P41","No sabe",0.049,0.026,0.035,0.171,0.15,0.293,0.406
"P42","Lo votaría",0.044,0.222,0.698,0.094,0.086,0.108,0.046
"P42","Puede que lo vote",0.075,0.273,0.132,0.184,0.096,0.2,0.146
"P42","Nunca lo votaría",0.845,0.444,0.153,0.614,0.697,0.388,0.386
"P42","No sabe",0.036,0.061,0.017,0.108,0.121,0.304,0.422
"P43","Lo votaría",0.14,0.041,0.111,0.1,0.473,0.056,0.066
"P43","Puede que lo vote",0.362,0.176,0.147,0.233,0.226,0.114,0.207
"P43","Nunca lo votaría",0.429,0.72,0.703,0.536,0.193,0.515,0.33
"P43","No sabe",0.069,0.063,0.039,0.131,0.108,0.315,0.397
"P44","Lo votaría",0.109,0.074,0.07,0.55,0.136,0.084,0.04
"P44","Puede que lo vote",0.289,0.278,0.231,0.154,0.191,0.101,0.147
"P44","Nunca lo votaría",0.529,0.563,0.649,0.211,0.526,0.545,0.295
"P44","No sabe",0.073,0.085,0.05,0.085,0.147,0.27,0.518
"P53","Sergio Massa y Javier Milei",0.719,0.131,0.4,0.503,0.558,0.445,0.352
"P53","Patricia Bullrich y Javier Milei",0.113,0.722,0.502,0.295,0.272,0.297,0.475
"P53","Sergio Massa y Patricia Bullrich",0.168,0.147,0.098,0.202,0.17,0.258,0.173
"P54","Muy buena",0.096,0.033,0.076,0.093,0.104,0.058,0.017
"P54","Buena",0.158,0.1,0.06,0.05,0.28,0.068,0.069
"P54","Regular",0.422,0.048,0.085,0.145,0.131,0.151,0.138
"P54","Mala",0.234,0.275,0.194,0.298,0.205,0.276,0.335
"P54","Muy mala",0.09,0.544,0.585,0.414,0.28,0.447,0.441
"P55","Muy buena",0.084,0.017,0.021,0.025,0.095,0.014,0.029
"P55","Buena",0.292,0.02,0.036,0.033,0.064,0.028,0.029
"P55","Regular",0.358,0.052,0.088,0.204,0.287,0.124,0.152
"P55","Mala",0.168,0.26,0.237,0.266,0.127,0.379,0.265
"P55","Muy mala",0.098,0.651,0.618,0.472,0.427,0.455,0.525
"P56","Muy buena",0.201,0.032,0.101,0.017,0.125,0.034,0.01
"P56","Buena",0.372,0.138,0.209,0.097,0.067,0.071,0.071
"P56","Regular",0.29,0.408,0.357,0.338,0.364,0.305,0.313
"P56","Mala",0.087,0.263,0.179,0.475,0.206,0.35,0.305
"P56","Muy mala",0.05,0.159,0.154,0.073,0.238,0.24,0.301
"P57","Muy buena",0.074,0.024,0.04,0.044,0.135,0.046,0
"P57","Buena",0.336,0.138,0.132,0.086,0.071,0.136,0.064
"P57","Regular",0.43,0.463,0.419,0.379,0.369,0.352,0.376
"P57","Mala",0.123,0.248,0.248,0.359,0.218,0.255,0.255
"P57","Muy mala",0.037,0.127,0.161,0.132,0.207,0.211,0.305
"P58","Muy buena",0.123,0.024,0.033,0.02,0.107,0.112,0.018
"P58","Buena",0.351,0.101,0.099,0.116,0.102,0.078,0.121
"P58","Regular",0.362,0.292,0.288,0.358,0.413,0.32,0.217
"P58","Mala",0.124,0.342,0.306,0.329,0.243,0.353,0.351
"P58","Muy mala",0.04,0.241,0.274,0.177,0.135,0.137,0.293
"P59","Muy buena",0.171,0.046,0.126,0.04,0.027,0.076,0.014
"P59","Buena",0.438,0.202,0.252,0.199,0.187,0.136,0.123
"P59","Regular",0.302,0.471,0.391,0.413,0.488,0.379,0.331
"P59","Mala",0.065,0.197,0.14,0.281,0.187,0.247,0.303
"P59","Muy mala",0.024,0.084,0.091,0.067,0.111,0.162,0.229
"P60","Ha aumentado significativamente",0.142,0.027,0.058,0.064,0.128,0.063,0.025
"P60","Ha aumentado ligeramente",0.303,0.14,0.169,0.091,0.104,0.145,0.198
"P60","Se mantiene igual",0.328,0.268,0.281,0.277,0.266,0.304,0.203
"P60","Ha disminuido ligeramente",0.154,0.256,0.23,0.276,0.222,0.249,0.198
"P60","Ha disminuido significativamente",0.073,0.309,0.262,0.292,0.28,0.239,0.376
"P61","Muy baja",0.05,0.035,0.053,0.096,0.115,0.06,0.084
"P61","Baja",0.083,0.05,0.06,0.069,0.051,0.149,0.05
"P61","Moderada",0.169,0.051,0.07,0.121,0.073,0.071,0.044
"P61","Alta",0.436,0.169,0.147,0.319,0.155,0.221,0.25
"P61","Muy alta",0.262,0.695,0.67,0.395,0.606,0.499,0.572
"P62","Muy bajas",0.03,0.055,0.078,0.045,0.034,0.045,0.057
"P62","Bajas",0.089,0.124,0.106,0.031,0.057,0.111,0.061
"P62","Adecuadas",0.352,0.218,0.177,0.174,0.178,0.094,0.238
"P62","Altas",0.361,0.316,0.273,0.403,0.259,0.367,0.33
"P62","Muy altas",0.168,0.287,0.366,0.347,0.472,0.383,0.314
"P63","No, ninguna dificultad",0.433,0.241,0.244,0.197,0.157,0.163,0.228
"P63","Alguna dificultad ocasional",0.289,0.358,0.307,0.388,0.371,0.307,0.315
"P63","Sí, dificultades frecuentes",0.278,0.401,0.449,0.415,0.472,0.53,0.457
"P64","Sí, absolutamente",0.678,0.263,0.347,0.451,0.581,0.329,0.385
"P64","Sí, en cierta medida",0.244,0.41,0.302,0.366,0.298,0.349,0.428
"P64","No, en absoluto",0.078,0.327,0.351,0.183,0.121,0.322,0.187
"P65","Reducir la inflación",0.509,0.386,0.378,0.512,0.487,0.502,0.423
"P65","Implementar reformas fiscales",0.125,0.111,0.114,0.081,0.117,0.056,0.027
"P65","Establecer políticas de control de precios",0.251,0.064,0.09,0.181,0.226,0.106,0.175
"P65","Reducir el gasto público",0.057,0.387,0.379,0.188,0.068,0.187,0.327
"P65","Estimular la inversión extranjera",0.038,0.044,0.031,0.035,0.028,0.149,0.043
"P65","Aumentar los subsidios a los servicios públicos",0.02,0.008,0.008,0.003,0.074,0,0.005
"P66","Fomentar la competencia entre proveedores",0.234,0.419,0.501,0.332,0.31,0.403,0.254
"P66","Incrementar la inversión en infraestructura",0.219,0.25,0.16,0.194,0.142,0.156,0.223
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.238,0.076,0.085,0.125,0.159,0.18,0.214
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.309,0.255,0.254,0.349,0.389,0.261,0.309
"P67","Muy positiva",0.392,0.135,0.157,0.138,0.153,0.087,0.102
"P67","Positiva",0.296,0.116,0.17,0.227,0.367,0.221,0.174
"P67","Neutral",0.164,0.314,0.312,0.385,0.318,0.348,0.256
"P67","Algo negativa",0.068,0.148,0.109,0.134,0.06,0.131,0.128
"P67","Negativa",0.013,0.179,0.17,0.041,0.06,0.088,0.027
"P67","No sabe",0.067,0.108,0.082,0.075,0.042,0.125,0.313
"P68","Muy positivo",0.311,0.049,0.091,0.027,0.112,0.143,0.062
"P68","Positivo",0.354,0.106,0.148,0.26,0.368,0.209,0.075
"P68","Neutral",0.199,0.383,0.33,0.347,0.301,0.267,0.391
"P68","Algo negativo",0.038,0.155,0.13,0.087,0.032,0.1,0.081
"P68","Negativo",0.018,0.187,0.191,0.113,0.089,0.131,0.017
"P68","No sabe",0.08,0.12,0.11,0.166,0.098,0.15,0.374
"P69","Muy positivo",0.216,0.041,0.054,0.017,0.091,0.08,0.039
"P69","Positivo",0.28,0.071,0.122,0.192,0.262,0.107,0.031
"P69","Neutral",0.328,0.505,0.463,0.462,0.493,0.503,0.354
"P69","Algo negativo",0.046,0.127,0.089,0.084,0.036,0.052,0.063
"P69","Negativo",0.015,0.126,0.154,0.069,0.031,0.11,0.033
"P69","No sabe",0.115,0.13,0.118,0.176,0.087,0.148,0.48
"P70","Muy positiva",0.604,0.118,0.174,0.296,0.405,0.263,0.209
"P70","Positiva",0.225,0.196,0.221,0.217,0.258,0.063,0.22
"P70","Neutral",0.108,0.331,0.297,0.358,0.279,0.374,0.207
"P70","Algo negativa",0.022,0.146,0.093,0.061,0.014,0.086,0.113
"P70","Negativa",0.02,0.16,0.167,0.039,0.026,0.175,0.051
"P70","No sabe",0.021,0.049,0.048,0.029,0.018,0.039,0.2
"P71","Muy positivo",0.609,0.114,0.175,0.318,0.245,0.274,0.2
"P71","Positivo",0.24,0.166,0.266,0.286,0.382,0.133,0.136
"P71","Neutral",0.085,0.335,0.237,0.316,0.204,0.373,0.308
"P71","Algo negativo",0.025,0.166,0.106,0.03,0.007,0.056,0.04
"P71","Negativo",0.022,0.174,0.18,0.04,0.08,0.128,0.071
"P71","No sabe",0.019,0.045,0.036,0.01,0.082,0.036,0.245
"P72","Muy positivo",0.566,0.111,0.17,0.209,0.181,0.197,0.193
"P72","Positivo",0.252,0.196,0.256,0.217,0.342,0.262,0.3
"P72","Neutral",0.12,0.411,0.327,0.227,0.441,0.38,0.242
"P72","Algo negativo",0.017,0.103,0.059,0.1,0.004,0,0.013
"P72","Negativo",0.026,0.143,0.151,0.101,0.032,0.126,0.042
"P72","No sabe",0.019,0.036,0.037,0.146,0,0.035,0.21
"P73","Muy positiva",0.421,0.063,0.127,0.134,0.157,0.11,0.047
"P73","Positiva",0.346,0.136,0.199,0.263,0.366,0.254,0.08
"P73","Neutral",0.121,0.327,0.295,0.237,0.377,0.263,0.31
"P73","Algo negativa",0.037,0.167,0.091,0.067,0.032,0.089,0.091
"P73","Negativa",0.025,0.228,0.223,0.087,0.049,0.184,0.124
"P73","No sabe",0.05,0.079,0.065,0.212,0.019,0.1,0.348
"P74","Muy positivo",0.385,0.052,0.088,0.199,0.165,0.063,0.037
"P74","Positivo",0.358,0.104,0.191,0.169,0.361,0.172,0.082
"P74","Neutral",0.152,0.351,0.265,0.23,0.369,0.454,0.351
"P74","Algo negativo",0.035,0.179,0.137,0.097,0.048,0.097,0.103
"P74","Negativo",0.022,0.237,0.247,0.114,0.045,0.08,0.136
"P74","No sabe",0.048,0.077,0.072,0.191,0.012,0.134,0.291
"P75","Muy positivo",0.323,0.052,0.063,0.177,0.102,0.061,0.041
"P75","Positivo",0.32,0.093,0.167,0.232,0.408,0.098,0.061
"P75","Neutral",0.246,0.422,0.351,0.35,0.409,0.547,0.512
"P75","Algo negativo",0.031,0.149,0.118,0.016,0.028,0.08,0.012
"P75","Negativo",0.025,0.193,0.216,0.101,0.024,0.072,0.128
"P75","No sabe",0.055,0.091,0.085,0.124,0.029,0.142,0.246
"P76","Muy positiva",0.571,0.163,0.294,0.195,0.473,0.285,0.178
"P76","Positiva",0.214,0.19,0.238,0.411,0.241,0.223,0.239
"P76","Neutral",0.127,0.254,0.226,0.248,0.215,0.24,0.147
"P76","Algo negativa",0.024,0.126,0.064,0.043,0.05,0.116,0.107
"P76","Negativa",0.025,0.198,0.138,0.091,0.006,0.046,0.141
"P76","No sabe",0.039,0.069,0.04,0.012,0.015,0.09,0.188
"P77","Muy positivo",0.572,0.157,0.29,0.213,0.401,0.306,0.174
"P77","Positivo",0.238,0.198,0.263,0.294,0.16,0.234,0.242
"P77","Neutral",0.103,0.246,0.197,0.32,0.186,0.222,0.192
"P77","Algo negativo",0.031,0.144,0.088,0.103,0.112,0.124,0.05
"P77","Negativo",0.025,0.206,0.126,0.059,0.02,0.04,0.07
"P77","No sabe",0.031,0.049,0.036,0.011,0.121,0.074,0.272
"P78","Muy positivo",0.492,0.153,0.24,0.15,0.286,0.287,0.154
"P78","Positivo",0.211,0.177,0.251,0.188,0.255,0.162,0.255
"P78","Neutral",0.218,0.344,0.3,0.545,0.338,0.247,0.303
"P78","Algo negativo",0.024,0.099,0.056,0.067,0.046,0.119,0.059
"P78","Negativo",0.017,0.16,0.116,0.044,0,0.04,0.021
"P78","No sabe",0.038,0.067,0.037,0.006,0.075,0.145,0.208
"P79","Si",0.583,0.514,0.515,0.524,0.483,0.653,0.495
"P79","No",0.417,0.486,0.485,0.476,0.517,0.347,0.505
