"var","categoria","A Sergio Massa","A Daniel Scioli","A algún candidato del peronismo","Wado de Pedro"
"P14","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.015,0.111,0.007,0.021
"P14","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.027,0,0.01,0.013
"P14","En blanco",0.035,0.05,0,0.066
"P14","No sabe",0.028,0.145,0.145,0.149
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.799,0.708,0.52,0.743
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.082,0.095,0.204,0.007
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.016,0.053,0.008,0.008
"P15","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.016,0,0,0.024
"P15"," En blanco",0.048,0.052,0.06,0.097
"P15","No sabe",0.039,0.092,0.208,0.121
"P16","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.696,0.363,0.457,0.931
"P16","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.121,0.169,0.249,0.011
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.025,0.076,0.009,0
"P16","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.039,0.04,0,0
"P16","En blanco",0.082,0.258,0.155,0.036
"P16","No sabe",0.037,0.094,0.13,0.022
"P17","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.778,0.283,0.343,0.939
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.124,0.221,0.35,0.006
"P17","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.016,0.079,0.011,0
"P17","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.043,0.058,0,0.007
"P17","En blanco",0.036,0.259,0.168,0.032
"P17","No sabe",0.003,0.1,0.128,0.016
"P18","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.762,0.837,0.605,0.722
"P18","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.111,0.047,0.302,0.004
"P18","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.036,0.062,0.029,0
"P18","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.022,0,0,0.021
"P18","En blanco",0.024,0.04,0,0.099
"P18","No sabe",0.045,0.014,0.064,0.154
"P19","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.791,0.795,0.493,0.739
"P19","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.136,0.009,0.319,0
"P19","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0,0.061,0.012,0.004
"P19","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.022,0.031,0,0.021
"P19","En blanco",0.024,0.017,0.019,0.094
"P19","No sabe",0.027,0.087,0.157,0.142
"P20","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.74,0.442,0.326,0.912
"P20","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.108,0.009,0.316,0.005
"P20","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0,0.182,0.052,0.012
"P20","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.047,0.075,0,0.018
"P20","En blanco",0.058,0.189,0.202,0.014
"P20","No sabe",0.047,0.103,0.104,0.039
"P21","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.738,0.354,0.365,0.961
"P21","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.14,0.078,0.335,0
"P21","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0,0.227,0.01,0
"P21","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.036,0.091,0.016,0.005
"P21","En blanco",0.047,0.211,0.179,0.01
"P21","No sabe",0.039,0.039,0.095,0.024
"P22","Lo votaría",0.724,0.783,0.402,0.357
"P22","Puede que lo vote",0.152,0.119,0.368,0.39
"P22","Nunca lo votaría",0.088,0.098,0.148,0.201
"P22","No sabe",0.036,0,0.082,0.052
"P23","Lo votaría",0.67,0.104,0.198,0.697
"P23","Puede que lo vote",0.145,0.288,0.108,0.207
"P23","Nunca lo votaría",0.12,0.586,0.444,0.054
"P23","No sabe",0.065,0.022,0.25,0.042
"P24","La votaría",0.317,0.053,0.172,0.027
"P24","Puede que la vote",0.109,0.123,0.285,0.173
"P24","Nunca la votaría",0.467,0.773,0.463,0.762
"P24","No sabe",0.107,0.051,0.08,0.038
"P25","Lo votaría",0.251,0.052,0.216,0.043
"P25","Puede que lo vote",0.163,0.13,0.278,0.103
"P25","Nunca lo votaría",0.481,0.818,0.321,0.769
"P25","No sabe",0.105,0,0.185,0.085
"P26","Lo votaría",0.236,0.117,0.083,0.011
"P26","Puede que lo vote",0.066,0.188,0.27,0.125
"P26","Nunca lo votaría",0.534,0.672,0.449,0.762
"P26","No sabe",0.164,0.023,0.198,0.102
"P27","Lo votaría",0.259,0.118,0,0.031
"P27","Puede que lo vote",0.077,0.111,0.092,0.127
"P27","Nunca lo votaría",0.486,0.739,0.592,0.704
"P27","No sabe",0.178,0.032,0.316,0.138
"P28","Lo votaría",0.807,0.562,0.533,0.854
"P28","Puede que lo vote",0.09,0.237,0.077,0.046
"P28","Nunca lo votaría",0.066,0.201,0.356,0.072
"P28","No sabe",0.037,0,0.034,0.028
"P29","La votaría",0.464,0.5,0.151,0.175
"P29","Puede que la vote",0.337,0.248,0.446,0.41
"P29","Nunca la votaría",0.138,0.182,0.369,0.362
"P29","No sabe",0.061,0.07,0.034,0.053
"P30","Lo votaría",0.35,0.106,0.089,0.026
"P30","Puede que lo vote",0.084,0.073,0.211,0.111
"P30","Nunca lo votaría",0.507,0.579,0.507,0.827
"P30","No sabe",0.059,0.242,0.193,0.036
"P31","Lo votaría",0.289,0.048,0.228,0.005
"P31","Puede que lo vote",0.112,0.191,0.17,0.094
"P31","Nunca lo votaría",0.531,0.691,0.456,0.875
"P31","No sabe",0.068,0.07,0.146,0.026
"P32","La votaría",0.281,0.118,0.144,0
"P32","Puede que la vote",0.109,0.191,0.041,0.092
"P32","Nunca la votaría",0.529,0.621,0.519,0.871
"P32","No sabe",0.081,0.07,0.296,0.037
"P33","Lo votaría",0.714,0.332,0.034,0.202
"P33","Puede que lo vote",0.199,0.275,0.355,0.555
"P33","Nunca lo votaría",0.052,0.323,0.544,0.2
"P33","No sabe",0.035,0.07,0.067,0.043
"P34","Lo votaría",0.602,0.327,0.27,0.897
"P34","Puede que lo vote",0.284,0.252,0.354,0.09
"P34","Nunca lo votaría",0.057,0.397,0.302,0.013
"P34","No sabe",0.057,0.024,0.074,0
"P35","Lo votaría",0.344,0.678,0.135,0.146
"P35","Puede que lo vote",0.527,0.061,0.416,0.536
"P35","Nunca lo votaría",0.112,0.251,0.415,0.295
"P35","No sabe",0.017,0.01,0.034,0.023
"P36","La votaría",0.243,0.187,0.257,0.028
"P36","Puede que la vote",0.181,0.124,0.052,0.122
"P36","Nunca la votaría",0.528,0.679,0.498,0.85
"P36","No sabe",0.048,0.01,0.193,0
"P37","Lo votaría",0.213,0.064,0.261,0
"P37","Puede que lo vote",0.205,0.308,0.111,0.083
"P37","Nunca lo votaría",0.542,0.628,0.47,0.917
"P37","No sabe",0.04,0,0.158,0
"P38","Lo votaría",0.193,0.048,0.179,0
"P38","Puede que lo vote",0.193,0.272,0.121,0.065
"P38","Nunca lo votaría",0.541,0.68,0.542,0.917
"P38","No sabe",0.073,0,0.158,0.018
"P39","Si",0.505,0.437,0.466,0.479
"P39","No",0.495,0.563,0.534,0.521
