"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda"," En blanco","No sabe"
"P26","Lo votaría",0.128,0.167,0.442,0.042,0.109,0.011
"P26","Puede que lo vote",0.171,0.184,0.222,0.082,0.176,0.169
"P26","Nunca lo votaría",0.584,0.497,0.187,0.555,0.622,0.544
"P26","No sabe",0.117,0.152,0.149,0.321,0.093,0.276
"P27","Lo votaría",0.13,0.092,0.12,0.152,0.058,0
"P27","Puede que lo vote",0.161,0.12,0.174,0.097,0.192,0.227
"P27","Nunca lo votaría",0.565,0.675,0.498,0.483,0.669,0.507
"P27","No sabe",0.144,0.113,0.208,0.268,0.081,0.266
"P28","Lo votaría",0.766,0.096,0.079,0.248,0.495,0.325
"P28","Puede que lo vote",0.106,0.125,0.137,0.055,0.172,0.153
"P28","Nunca lo votaría",0.088,0.749,0.755,0.41,0.326,0.314
"P28","No sabe",0.04,0.03,0.029,0.287,0.007,0.208
"P29","La votaría",0.371,0.128,0.059,0.042,0.124,0.05
"P29","Puede que la vote",0.39,0.099,0.171,0.074,0.263,0.245
"P29","Nunca la votaría",0.193,0.712,0.748,0.535,0.538,0.353
"P29","No sabe",0.046,0.061,0.022,0.349,0.075,0.352
"P30","Lo votaría",0.204,0.481,0.185,0.212,0.12,0.117
"P30","Puede que lo vote",0.104,0.168,0.336,0.074,0.188,0.075
"P30","Nunca lo votaría",0.627,0.279,0.353,0.535,0.588,0.424
"P30","No sabe",0.065,0.072,0.126,0.179,0.104,0.384
"P31","Lo votaría",0.116,0.705,0.183,0.348,0.171,0.071
"P31","Puede que lo vote",0.119,0.195,0.415,0.019,0.194,0.251
"P31","Nunca lo votaría",0.702,0.062,0.38,0.461,0.597,0.472
"P31","No sabe",0.063,0.038,0.022,0.172,0.038,0.206
"P32","La votaría",0.133,0.15,0.433,0.383,0.189,0.055
"P32","Puede que la vote",0.089,0.214,0.166,0,0.113,0.105
"P32","Nunca la votaría",0.67,0.542,0.25,0.409,0.615,0.497
"P32","No sabe",0.108,0.094,0.151,0.208,0.083,0.343
"P33","Lo votaría",0.415,0.083,0.199,0.213,0.195,0.142
"P33","Puede que lo vote",0.362,0.126,0.177,0.338,0.198,0.201
"P33","Nunca lo votaría",0.186,0.728,0.594,0.297,0.452,0.445
"P33","No sabe",0.037,0.063,0.03,0.152,0.155,0.212
"P34","Lo votaría",0.631,0.098,0.077,0.236,0.436,0.225
"P34","Puede que lo vote",0.218,0.098,0.22,0.097,0.098,0.147
"P34","Nunca lo votaría",0.115,0.768,0.698,0.515,0.419,0.389
"P34","No sabe",0.036,0.036,0.005,0.152,0.047,0.239
"P35","Lo votaría",0.299,0.11,0.088,0.215,0.124,0.221
"P35","Puede que lo vote",0.461,0.171,0.189,0.074,0.384,0.231
"P35","Nunca lo votaría",0.224,0.605,0.689,0.559,0.445,0.365
"P35","No sabe",0.016,0.114,0.034,0.152,0.047,0.183
"P36","La votaría",0.116,0.684,0.526,0.216,0.286,0.248
"P36","Puede que la vote",0.183,0.146,0.189,0.193,0.094,0.159
"P36","Nunca la votaría",0.669,0.168,0.274,0.495,0.541,0.4
"P36","No sabe",0.032,0.002,0.011,0.096,0.079,0.193
"P37","Lo votaría",0.068,0.688,0.225,0.298,0.281,0.071
"P37","Puede que lo vote",0.174,0.211,0.204,0.193,0.163,0.247
"P37","Nunca lo votaría",0.733,0.094,0.516,0.395,0.556,0.466
"P37","No sabe",0.025,0.007,0.055,0.114,0,0.216
"P38","Lo votaría",0.075,0.213,0.762,0.216,0.151,0.155
"P38","Puede que lo vote",0.16,0.318,0.114,0.192,0.287,0.162
"P38","Nunca lo votaría",0.727,0.352,0.112,0.496,0.562,0.494
"P38","No sabe",0.038,0.117,0.012,0.096,0,0.189
"P39","Si",0.444,0.34,0.492,0.339,0.325,0.292
"P39","No",0.556,0.66,0.508,0.661,0.675,0.708
