"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P19","Otros",0.005,0.006,0.011,0.016,0.098,0.218,0.057,0.102
"P19","En blanco",0.004,0.003,0.001,0.024,0.017,0.007,0.039,0.043
"P19","No sabe",0.005,0.009,0.007,0,0.011,0.023,0.085,0.225
"P22","Totalmente seguro",0.706,0.621,0.681,0.485,0.483,0.652,0.6,0.442
"P22","Bastante seguro",0.164,0.199,0.135,0.276,0.216,0.148,0.075,0.159
"P22","Algo seguro",0.081,0.118,0.142,0.19,0.198,0.11,0.198,0.094
"P22","Para nada seguro",0.049,0.062,0.042,0.049,0.103,0.09,0.127,0.305
"P29","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.562,0.039,0.064,0.247,0.175,0.125,0.089,0.127
"P29","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.242,0.016,0.016,0.25,0.215,0.11,0.08,0.041
"P29","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.044,0.48,0.358,0.097,0.24,0.3,0.311,0.259
"P29","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.036,0.336,0.063,0.055,0.072,0.115,0.067,0.138
"P29","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.064,0.1,0.466,0.052,0.083,0.103,0.091,0.039
"P29","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.011,0.001,0.002,0.231,0,0.08,0.027,0.019
"P29","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.003,0.005,0.002,0,0.15,0.024,0,0
"P29","Otros",0.022,0.005,0.017,0.024,0.059,0.113,0.064,0.129
"P29","En blanco",0.007,0.006,0.008,0.039,0,0.019,0.133,0.005
"P29","No sabe",0.009,0.012,0.004,0.005,0.006,0.011,0.138,0.243
"P34","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.915,0.029,0.026,0.251,0.038,0.096,0.032,0.108
"P34","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.024,0.835,0.209,0.119,0.28,0.265,0.48,0.3
"P34","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.022,0.046,0.725,0.016,0.024,0,0.005,0.025
"P34","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.02,0.017,0.019,0.431,0.01,0.05,0.037,0.02
"P34","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.003,0.014,0.004,0.101,0.628,0.006,0,0.003
"P34","Otros",0.007,0.028,0.014,0.048,0.006,0.525,0.024,0.004
"P34","En blanco",0.004,0.008,0.001,0.034,0.014,0.009,0.298,0.011
"P34","No sabe",0.005,0.023,0.002,0,0,0.049,0.124,0.529
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.923,0.087,0.064,0.58,0.253,0.212,0.101,0.228
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.019,0.821,0.64,0.102,0.38,0.363,0.568,0.409
"P36","En blanco",0.04,0.047,0.2,0.251,0.101,0.152,0.16,0.082
"P36","No sabe",0.018,0.045,0.096,0.067,0.266,0.273,0.171,0.281
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.108,0.804,0.219,0.318,0.359,0.373,0.563,0.4
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.055,0.096,0.73,0.027,0.187,0.033,0.017,0.12
"P37","En blanco",0.617,0.051,0.022,0.466,0.305,0.291,0.352,0.11
"P37","No sabe",0.22,0.049,0.029,0.189,0.149,0.303,0.068,0.37
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.904,0.072,0.085,0.528,0.159,0.242,0.164,0.189
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.019,0.856,0.436,0.082,0.158,0.322,0.142,0.202
"P38","En blanco",0.051,0.047,0.334,0.227,0.329,0.181,0.548,0.027
"P38","No sabe",0.026,0.025,0.145,0.163,0.354,0.255,0.146,0.582
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.168,0.798,0.072,0.332,0.235,0.223,0.26,0.224
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.047,0.108,0.883,0.018,0.172,0.155,0.149,0.153
"P39","En blanco",0.559,0.045,0.03,0.367,0.421,0.24,0.443,0.145
"P39","No sabe",0.226,0.049,0.015,0.283,0.172,0.382,0.148,0.478
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.914,0.104,0.042,0.651,0.202,0.256,0.118,0.193
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.03,0.351,0.891,0.06,0.34,0.263,0.204,0.156
"P40","En blanco",0.039,0.303,0.031,0.204,0.24,0.21,0.616,0.082
"P40","No sabe",0.017,0.242,0.036,0.085,0.218,0.271,0.062,0.569
"P50","Lo votaría",0.896,0.078,0.023,0.379,0.058,0.144,0.078,0.161
"P50","Puede que lo vote",0.046,0.087,0.14,0.238,0.406,0.157,0.03,0.05
"P50","Nunca lo votaría",0.036,0.799,0.803,0.311,0.395,0.639,0.865,0.517
"P50","No sabe",0.022,0.036,0.034,0.072,0.141,0.06,0.027,0.272
"P51","Lo votaría",0.614,0.014,0.028,0.41,0.117,0.258,0.166,0.111
"P51","Puede que lo vote",0.238,0.051,0.068,0.156,0.277,0.047,0,0.111
"P51","Nunca lo votaría",0.098,0.921,0.891,0.281,0.514,0.657,0.805,0.652
"P51","No sabe",0.05,0.014,0.013,0.153,0.092,0.038,0.029,0.126
"P52","Lo votaría",0.061,0.679,0.326,0.076,0.302,0.458,0.687,0.346
"P52","Puede que lo vote",0.069,0.121,0.328,0.055,0.122,0.051,0.044,0.151
"P52","Nunca lo votaría",0.835,0.18,0.325,0.793,0.522,0.443,0.25,0.329
"P52","No sabe",0.035,0.02,0.021,0.076,0.054,0.048,0.019,0.174
"P53","Lo votaría",0.023,0.686,0.137,0.081,0.246,0.231,0.134,0.132
"P53","Puede que lo vote",0.088,0.228,0.296,0.101,0.152,0.167,0.266,0.234
"P53","Nunca lo votaría",0.85,0.072,0.529,0.69,0.458,0.56,0.475,0.37
"P53","No sabe",0.039,0.014,0.038,0.128,0.144,0.042,0.125,0.264
"P54","Lo votaría",0.037,0.126,0.763,0.012,0.03,0.153,0.028,0.114
"P54","Puede que lo vote",0.043,0.308,0.164,0.012,0.176,0.153,0.082,0.104
"P54","Nunca lo votaría",0.9,0.532,0.058,0.833,0.633,0.64,0.707,0.534
"P54","No sabe",0.02,0.034,0.015,0.143,0.161,0.054,0.183,0.248
"P55","Lo votaría",0.088,0.035,0.077,0.461,0.042,0.033,0.064,0.022
"P55","Puede que lo vote",0.355,0.041,0.046,0.234,0.099,0.179,0.09,0.117
"P55","Nunca lo votaría",0.502,0.893,0.845,0.253,0.69,0.734,0.846,0.718
"P55","No sabe",0.055,0.031,0.032,0.052,0.169,0.054,0,0.143
"P56","Lo votaría",0.031,0.032,0.039,0.122,0.289,0.018,0.054,0.019
"P56","Puede que lo vote",0.222,0.187,0.139,0.216,0.274,0.127,0.036,0.203
"P56","Nunca lo votaría",0.688,0.729,0.754,0.598,0.273,0.747,0.898,0.496
"P56","No sabe",0.059,0.052,0.068,0.064,0.164,0.108,0.012,0.282
"P60","Si",0.543,0.513,0.546,0.491,0.535,0.536,0.484,0.499
"P60","No",0.457,0.487,0.454,0.509,0.465,0.464,0.516,0.501
