"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P34","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.023,0.464,0.047,0.035
"P34","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.031,0.019,0.07,0.009
"P34","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.011,0.012,0.024,0.034
"P34","Otros",0.021,0.024,0.045,0.066
"P34","En blanco",0.008,0.01,0.042,0.007
"P34","No sabe",0.018,0.012,0.026,0.142
"P35","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.807,0.033,0.094,0.048
"P35","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.082,0.343,0.655,0.587
"P35","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.021,0.546,0.041,0.055
"P35","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.036,0.004,0.031,0.015
"P35","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.006,0.013,0.02,0.02
"P35","Otros",0.02,0.026,0.046,0.066
"P35","En blanco",0.006,0.013,0.087,0.01
"P35","No sabe",0.022,0.022,0.026,0.199
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.913,0.052,0.052,0.091
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.051,0.752,0.724,0.603
"P36","En blanco",0.024,0.124,0.205,0.055
"P36","No sabe",0.012,0.072,0.019,0.251
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.166,0.438,0.696,0.621
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.044,0.519,0.047,0.066
"P37","En blanco",0.577,0.023,0.233,0.038
"P37","No sabe",0.213,0.02,0.024,0.275
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.883,0.063,0.083,0.056
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.065,0.609,0.579,0.628
"P38","En blanco",0.028,0.221,0.307,0.015
"P38","No sabe",0.024,0.107,0.031,0.301
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.242,0.3,0.638,0.59
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.036,0.644,0.062,0.063
"P39","En blanco",0.503,0.029,0.267,0.041
"P39","No sabe",0.219,0.027,0.033,0.306
"P50","Lo votaría",0.841,0.034,0.086,0.054
"P50","Puede que lo vote",0.087,0.121,0.048,0.07
"P50","Nunca lo votaría",0.047,0.82,0.838,0.713
"P50","No sabe",0.025,0.025,0.028,0.163
"P51","Lo votaría",0.566,0.028,0.072,0.046
"P51","Puede que lo vote",0.24,0.065,0.039,0.029
"P51","Nunca lo votaría",0.142,0.899,0.88,0.834
"P51","No sabe",0.052,0.008,0.009,0.091
"P52","Lo votaría",0.087,0.463,0.6,0.627
"P52","Puede que lo vote",0.075,0.25,0.101,0.101
"P52","Nunca lo votaría",0.802,0.27,0.288,0.166
"P52","No sabe",0.036,0.017,0.011,0.106
"P53","Lo votaría",0.07,0.315,0.524,0.553
"P53","Puede que lo vote",0.11,0.279,0.178,0.203
"P53","Nunca lo votaría",0.781,0.379,0.268,0.114
"P53","No sabe",0.039,0.027,0.03,0.13
"P54","Lo votaría",0.042,0.532,0.074,0.084
"P54","Puede que lo vote",0.056,0.301,0.131,0.148
"P54","Nunca lo votaría",0.879,0.145,0.748,0.623
"P54","No sabe",0.023,0.022,0.047,0.145
"P55","Lo votaría",0.108,0.058,0.049,0.026
"P55","Puede que lo vote",0.336,0.05,0.083,0.024
"P55","Nunca lo votaría",0.503,0.858,0.857,0.845
"P55","No sabe",0.053,0.034,0.011,0.105
"P56","Lo votaría",0.051,0.033,0.018,0.035
"P56","Puede que lo vote",0.221,0.177,0.123,0.179
"P56","Nunca lo votaría",0.661,0.735,0.826,0.628
"P56","No sabe",0.067,0.055,0.033,0.158
"P60","Si",0.52,0.536,0.544,0.451
"P60","No",0.48,0.464,0.456,0.549
