"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.023,0.758,0.436,0.172,0.191,0.414,0.34,0.336
"P38","En blanco",0.033,0.1,0.341,0.327,0.267,0.12,0.307,0.032
"P38","No sabe",0.03,0.072,0.132,0.168,0.352,0.158,0.052,0.47
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.172,0.652,0.124,0.373,0.328,0.35,0.599,0.296
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.046,0.209,0.834,0.141,0.182,0.116,0.023,0.043
"P39","En blanco",0.551,0.073,0.025,0.348,0.336,0.233,0.288,0.117
"P39","No sabe",0.231,0.066,0.017,0.138,0.154,0.301,0.09,0.544
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.94,0.08,0.054,0.412,0.279,0.268,0.235,0.217
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.019,0.397,0.879,0.208,0.233,0.248,0.235,0.119
"P40","En blanco",0.018,0.288,0.04,0.342,0.216,0.211,0.456,0.112
"P40","No sabe",0.023,0.235,0.027,0.038,0.272,0.273,0.074,0.552
"P50","Lo votaría",0.898,0.059,0.042,0.404,0.129,0.204,0.153,0.065
"P50","Puede que lo vote",0.042,0.084,0.13,0.164,0.402,0.168,0.068,0.179
"P50","Nunca lo votaría",0.032,0.833,0.797,0.262,0.329,0.565,0.713,0.416
"P50","No sabe",0.028,0.024,0.031,0.17,0.14,0.063,0.066,0.34
"P51","Lo votaría",0.603,0.017,0.04,0.351,0.258,0.248,0.267,0.105
"P51","Puede que lo vote",0.258,0.027,0.065,0.186,0.206,0.051,0.198,0.107
"P51","Nunca lo votaría",0.091,0.944,0.876,0.375,0.444,0.656,0.482,0.592
"P51","No sabe",0.048,0.012,0.019,0.088,0.092,0.045,0.053,0.196
"P52","Lo votaría",0.049,0.765,0.212,0.136,0.141,0.289,0.244,0.132
"P52","Puede que lo vote",0.063,0.089,0.399,0.112,0.133,0.096,0.057,0.269
"P52","Nunca lo votaría",0.851,0.131,0.365,0.7,0.64,0.563,0.662,0.344
"P52","No sabe",0.037,0.015,0.024,0.052,0.086,0.052,0.037,0.255
"P53","Lo votaría",0.021,0.569,0.187,0.171,0.158,0.348,0.466,0.242
"P53","Puede que lo vote",0.09,0.256,0.268,0.143,0.181,0.078,0.089,0.233
"P53","Nunca lo votaría",0.849,0.143,0.51,0.656,0.477,0.511,0.296,0.315
"P53","No sabe",0.04,0.032,0.035,0.03,0.184,0.063,0.149,0.21
"P54","Lo votaría",0.019,0.157,0.782,0.109,0.098,0.227,0.076,0.078
"P54","Puede que lo vote",0.047,0.295,0.122,0.165,0.137,0.09,0.034,0.185
"P54","Nunca lo votaría",0.914,0.502,0.075,0.694,0.516,0.628,0.733,0.519
"P54","No sabe",0.02,0.046,0.021,0.032,0.249,0.055,0.157,0.218
"P55","Lo votaría",0.081,0.02,0.114,0.361,0,0.039,0.289,0.081
"P55","Puede que lo vote",0.361,0.038,0.028,0.294,0.298,0.14,0.093,0.107
"P55","Nunca lo votaría",0.496,0.923,0.82,0.341,0.506,0.759,0.618,0.573
"P55","No sabe",0.062,0.019,0.038,0.004,0.196,0.062,0,0.239
"P56","Lo votaría",0.027,0.026,0.048,0.049,0.279,0.04,0.109,0.089
"P56","Puede que lo vote",0.234,0.174,0.135,0.21,0.335,0.086,0.037,0.173
"P56","Nunca lo votaría",0.668,0.757,0.746,0.688,0.226,0.746,0.674,0.487
"P56","No sabe",0.071,0.043,0.071,0.053,0.16,0.128,0.18,0.251
"P60","Si",0.539,0.519,0.58,0.481,0.413,0.56,0.341,0.381
"P60","No",0.461,0.481,0.42,0.519,0.587,0.44,0.659,0.619
