"var","categoria","Unión por la Patria","Juntos por el Cambio","Liberales","Izquierda","Otro","No sabe"
"P48","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.123,0.832,0.195,0.021,0.084,0.279
"P48","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.072,0.074,0.691,0.381,0.596,0.17
"P48","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.001,0.01,0.179,0.145,0.043
"P48","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.005,0.063,0.028,0.167,0.055,0.101
"P48","Otros",0.014,0.002,0.003,0,0.078,0.113
"P48","En blanco",0.007,0,0,0.015,0,0.154
"P49","Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.84,0.046,0.125,0.343,0.154,0.257
"P49","Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.085,0.81,0.458,0.034,0.271,0.213
"P49","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.023,0.091,0.377,0.175,0.297,0.123
"P49","Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.038,0,0.011,0.448,0.087,0.006
"P49","Otros",0.004,0.029,0.007,0,0.116,0.083
"P49","En blanco",0.01,0.024,0.022,0,0.075,0.318
"P50","Al candidato a intendente de Union por la Patria",0.782,0.061,0.145,0.086,0.079,0.222
"P50","Al candidato a intendente por Juntos por el Cambio",0.105,0.783,0.451,0.552,0.336,0.239
"P50","Al candidato a intendente por la Libertad Avanza",0.011,0.081,0.37,0.085,0.235,0.027
"P50","Al candidato a intendente por el Frente de Izquierda",0.058,0.003,0,0.269,0.028,0.084
"P50","Otros",0.039,0.051,0.017,0.008,0.299,0.051
"P50","En blanco",0.005,0.021,0.017,0,0.023,0.377
"P51","Totalmente seguro",0.768,0.725,0.696,0.259,0.626,0.224
"P51","Bastante seguro",0.123,0.22,0.148,0.262,0.158,0.165
"P51","Algo seguro",0.085,0.028,0.111,0.267,0.144,0.179
"P51","Para nada seguro",0.024,0.027,0.045,0.212,0.072,0.432
"P52","Si",0.534,0.448,0.406,0.367,0.415,0.321
"P52","No",0.466,0.552,0.594,0.633,0.585,0.679
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.892,0.071,0.036,0.159,0.048,0.191
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.032,0.813,0.114,0.042,0.083,0.097
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.044,0.075,0.823,0.201,0.579,0.211
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.017,0.005,0.004,0.427,0.048,0.034
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.002,0.018,0.012,0.075,0.112,0.038
"PRESIDENTE","Otros",0.004,0.011,0.002,0.078,0.095,0.094
"PRESIDENTE","En blanco",0.004,0.003,0.005,0.018,0.003,0.108
"PRESIDENTE","No sabe",0.005,0.004,0.004,0,0.032,0.227
"GOBERNADOR","Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.907,0.071,0.047,0.249,0.072,0.2
"GOBERNADOR","Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.028,0.817,0.196,0.051,0.102,0.064
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.031,0.073,0.735,0.132,0.621,0.214
"GOBERNADOR","Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.02,0.004,0.004,0.481,0.036,0.021
"GOBERNADOR","Otros",0.002,0.019,0.003,0.077,0.118,0.109
"GOBERNADOR","En blanco",0.005,0.012,0.011,0.01,0.014,0.15
"GOBERNADOR","No sabe",0.007,0.004,0.004,0,0.037,0.242
"CORTA_PRESIDENTE","Si",0.086,0.132,0.158,0.501,0.223,0.379
"CORTA_PRESIDENTE","No",0.914,0.868,0.842,0.499,0.777,0.621
"CORTA_GOBERNADOR","Si",0.095,0.179,0.302,0.567,0.255,0.517
"CORTA_GOBERNADOR","No",0.905,0.821,0.698,0.433,0.745,0.483
