"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P44","No sabe",0.087,0.042,0.056,0.061,0.032,0.394,0.025,0.517
"P47","Si",0.351,0.601,0.459,0.731,0.954,0.663,0.37,0.637
"P47","No",0.649,0.399,0.541,0.269,0.046,0.337,0.63,0.363
"P48","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.768,0.04,0.045,0.09,0.02,0.025,0.236,0.263
"P48","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.091,0.828,0.133,0.116,0.032,0.329,0,0.12
"P48","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.085,0.076,0.79,0.374,0.362,0.036,0,0.098
"P48","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.036,0.004,0,0.268,0.206,0,0,0.099
"P48","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.004,0.052,0.029,0.129,0.361,0.263,0,0
"P48","Otros",0.013,0,0.003,0,0,0.347,0.171,0.043
"P48","En blanco",0.003,0,0,0.023,0.019,0,0.593,0.377
"P49","Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.804,0.065,0.114,0.45,0.022,0.354,0.413,0.288
"P49","Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.082,0.788,0.434,0.052,0.036,0.057,0.375,0.127
"P49","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.02,0.105,0.414,0.056,0.495,0.014,0,0.083
"P49","Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.067,0.014,0,0.442,0.023,0.017,0,0.018
"P49","Otros",0.014,0.012,0.013,0,0.361,0.032,0,0.052
"P49","En blanco",0.013,0.016,0.025,0,0.063,0.526,0.212,0.432
"P50","Al candidato a intendente de Union por la Patria",0.733,0.099,0.121,0.136,0.06,0.336,0.438,0.166
"P50","Al candidato a intendente por Juntos por el Cambio",0.111,0.776,0.406,0.588,0.486,0.071,0.366,0.17
"P50","Al candidato a intendente por la Libertad Avanza",0.008,0.036,0.446,0.073,0.278,0.012,0,0.048
"P50","Al candidato a intendente por el Frente de Izquierda",0.078,0.018,0.003,0.19,0.022,0,0.196,0.086
"P50","Otros",0.051,0.054,0.018,0.013,0.102,0.038,0,0.066
"P50","En blanco",0.019,0.017,0.006,0,0.052,0.543,0,0.464
"P51","Totalmente seguro",0.743,0.7,0.697,0.362,0.032,0.406,0.359,0.089
"P51","Bastante seguro",0.161,0.191,0.176,0.171,0.123,0,0.449,0.118
"P51","Algo seguro",0.071,0.094,0.08,0.083,0.502,0.053,0,0.244
"P51","Para nada seguro",0.025,0.015,0.047,0.384,0.343,0.541,0.192,0.549
"P52","Si",0.532,0.465,0.379,0.302,0.935,0.293,0.24,0.391
"P52","No",0.468,0.535,0.621,0.698,0.065,0.707,0.76,0.609
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.958,0.016,0.013,0.029,0.011,0.009,0.034,0.082
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.016,0.937,0.034,0.045,0.019,0.129,0,0.036
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.014,0.031,0.944,0.102,0.159,0.016,0,0.031
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.007,0.001,0,0.775,0.084,0,0,0.032
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.001,0.015,0.008,0.041,0.719,0.091,0,0
"PRESIDENTE","Otros",0.003,0,0.001,0,0,0.755,0.027,0.012
"PRESIDENTE","En blanco",0.001,0,0,0.008,0.008,0,0.939,0.112
"PRESIDENTE","No sabe",0,0,0,0,0,0,0,0.695
"GOBERNADOR","Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.962,0.02,0.027,0.156,0.023,0.099,0.027,0.078
"GOBERNADOR","Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.016,0.924,0.103,0.018,0.049,0.02,0.02,0.032
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.005,0.04,0.861,0.026,0.453,0.004,0,0.019
"GOBERNADOR","Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.011,0.004,0,0.8,0.028,0.006,0,0.004
"GOBERNADOR","Otros",0.003,0.006,0.004,0,0.346,0.724,0,0.012
"GOBERNADOR","En blanco",0.003,0.006,0.005,0,0.101,0.147,0.953,0.092
"GOBERNADOR","No sabe",0,0,0,0,0,0,0,0.763
"CORTA_PRESIDENTE","Si",0.09,0.142,0.129,0.535,0.626,0.446,0.156,0.637
"CORTA_PRESIDENTE","No",0.91,0.858,0.871,0.465,0.374,0.554,0.844,0.363
"CORTA_GOBERNADOR","Si",0.091,0.182,0.296,0.448,0.954,0.643,0.334,0.637
"CORTA_GOBERNADOR","No",0.909,0.818,0.704,0.552,0.046,0.357,0.666,0.363
