"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.882,0.129,0.108,0.628,0.244,0.302,0.37,0.394
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.056,0.82,0.517,0.143,0.431,0.271,0.191,0.164
"P31","En blanco",0.04,0.024,0.212,0.067,0.064,0.177,0.351,0.046
"P31","No sabe",0.022,0.027,0.163,0.162,0.261,0.25,0.088,0.396
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.154,0.605,0.241,0.306,0.31,0.295,0.188,0.22
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.085,0.311,0.668,0.123,0.302,0.321,0.249,0.139
"P32","En blanco",0.528,0.059,0.076,0.398,0.154,0.132,0.447,0.106
"P32","No sabe",0.233,0.025,0.015,0.173,0.234,0.252,0.116,0.535
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.869,0.131,0.084,0.666,0.274,0.295,0.364,0.362
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.074,0.558,0.837,0.108,0.419,0.36,0.327,0.155
"P33","En blanco",0.037,0.158,0.054,0.151,0.101,0.094,0.2,0.012
"P33","No sabe",0.02,0.153,0.025,0.075,0.206,0.251,0.109,0.471
"P40","Lo votaría",0.852,0.152,0.064,0.608,0.266,0.211,0.378,0.339
"P40","Puede que lo vote",0.041,0.082,0.132,0.155,0.135,0.282,0.093,0.076
"P40","Nunca lo votaría",0.095,0.75,0.78,0.175,0.435,0.481,0.48,0.227
"P40","No sabe",0.012,0.016,0.024,0.062,0.164,0.026,0.049,0.358
"P41","Lo votaría",0.081,0.611,0.315,0.15,0.245,0.232,0.235,0.098
"P41","Puede que lo vote",0.092,0.214,0.231,0.233,0.349,0.198,0.078,0.129
"P41","Nunca lo votaría",0.79,0.152,0.412,0.585,0.274,0.444,0.662,0.354
"P41","No sabe",0.037,0.023,0.042,0.032,0.132,0.126,0.025,0.419
"P42","Lo votaría",0.066,0.298,0.71,0.102,0.289,0.378,0.268,0.129
"P42","Puede que lo vote",0.059,0.255,0.195,0.162,0.228,0.152,0.049,0.088
"P42","Nunca lo votaría",0.838,0.402,0.088,0.717,0.387,0.403,0.61,0.386
"P42","No sabe",0.037,0.045,0.007,0.019,0.096,0.067,0.073,0.397
"P43","Lo votaría",0.101,0.043,0.127,0.323,0.117,0.031,0.064,0.141
"P43","Puede que lo vote",0.303,0.115,0.105,0.371,0.187,0.288,0.135,0.069
"P43","Nunca lo votaría",0.512,0.778,0.749,0.232,0.46,0.612,0.704,0.384
"P43","No sabe",0.084,0.064,0.019,0.074,0.236,0.069,0.097,0.406
"P44","Lo votaría",0.053,0.061,0.056,0.171,0.159,0.026,0.042,0.055
"P44","Puede que lo vote",0.222,0.196,0.173,0.251,0.476,0.261,0.088,0.096
"P44","Nunca lo votaría",0.628,0.688,0.726,0.537,0.195,0.61,0.81,0.476
"P44","No sabe",0.097,0.055,0.045,0.041,0.17,0.103,0.06,0.373
"P47","Si",0.362,0.559,0.428,0.597,0.705,0.506,0.42,0.668
"P47","No",0.638,0.441,0.572,0.403,0.295,0.494,0.58,0.332
"P48","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.661,0.057,0.09,0.524,0.075,0.221,0.221,0.219
"P48","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.189,0.535,0.323,0.18,0.611,0.33,0.185,0.152
"P48","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.088,0.346,0.559,0.119,0.145,0.056,0.273,0.26
"P48","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.046,0.006,0.015,0.057,0.032,0.065,0.026,0.05
"P48","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.002,0.054,0,0.11,0.137,0.158,0.142,0
"P48","Otros",0.007,0.002,0.013,0.01,0,0.155,0.026,0.086
"P48","En blanco",0.007,0,0,0,0,0.015,0.127,0.233
"P49","Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.741,0.07,0.146,0.654,0.221,0.345,0.283,0.304
"P49","Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.131,0.753,0.369,0.153,0.495,0.22,0.35,0.176
"P49","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.059,0.132,0.401,0.021,0,0.253,0.183,0.182
"P49","Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.042,0.007,0.053,0.161,0.075,0,0,0.012
"P49","Otros",0.015,0.008,0.013,0.011,0.07,0.039,0.15,0.023
"P49","En blanco",0.012,0.03,0.018,0,0.139,0.143,0.034,0.303
"P50","Al candidato a intendente de Union por la Patria",0.713,0.097,0.111,0.442,0.311,0.347,0.3,0.229
"P50","Al candidato a intendente por Juntos por el Cambio",0.193,0.653,0.548,0.234,0.249,0.432,0.341,0.24
"P50","Al candidato a intendente por la Libertad Avanza",0.022,0.174,0.279,0,0.195,0.021,0.211,0.101
"P50","Al candidato a intendente por el Frente de Izquierda",0.046,0.006,0.025,0.217,0,0.041,0.051,0
"P50","Otros",0.026,0.051,0.02,0.102,0.065,0.014,0.029,0.094
"P50","En blanco",0,0.019,0.017,0.005,0.18,0.145,0.068,0.336
"P51","Totalmente seguro",0.692,0.725,0.643,0.702,0.762,0.389,0.416,0.381
"P51","Bastante seguro",0.152,0.185,0.129,0.273,0.158,0.262,0.151,0.073
"P51","Algo seguro",0.114,0.074,0.139,0.025,0.063,0.02,0.214,0.092
"P51","Para nada seguro",0.042,0.016,0.089,0,0.017,0.329,0.219,0.454
"P52","Si",0.519,0.482,0.341,0.546,0.472,0.316,0.505,0.593
"P52","No",0.481,0.518,0.659,0.454,0.528,0.684,0.495,0.407
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.816,0.109,0.091,0.624,0.209,0.199,0.321,0.412
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.068,0.567,0.178,0.129,0.369,0.196,0.104,0.132
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.075,0.294,0.697,0.078,0.151,0.264,0.29,0.159
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.022,0.003,0.004,0.098,0.125,0.029,0.067,0.033
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.002,0.022,0,0.06,0.099,0.059,0.036,0
"PRESIDENTE","Otros",0.009,0.001,0.005,0.005,0.047,0.139,0.085,0.055
"PRESIDENTE","En blanco",0.002,0,0.017,0,0,0.006,0.049,0.101
"PRESIDENTE","No sabe",0.006,0.004,0.008,0.006,0,0.108,0.048,0.108
"GOBERNADOR","Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.827,0.108,0.105,0.68,0.28,0.249,0.327,0.39
"GOBERNADOR","Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.055,0.655,0.199,0.119,0.279,0.136,0.168,0.138
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.073,0.216,0.648,0.057,0.127,0.351,0.249,0.114
"GOBERNADOR","Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.021,0.003,0.012,0.121,0.137,0.003,0.063,0.018
"GOBERNADOR","Otros",0.012,0.004,0.006,0.006,0.099,0.112,0.099,0.054
"GOBERNADOR","En blanco",0.004,0.011,0.021,0.004,0.078,0.039,0.045,0.097
"GOBERNADOR","No sabe",0.008,0.003,0.009,0.013,0,0.11,0.049,0.189
"CORTA_PRESIDENTE","Si",0.092,0.143,0.126,0.211,0.452,0.174,0.161,0.409
"CORTA_PRESIDENTE","No",0.908,0.857,0.874,0.789,0.548,0.826,0.839,0.591
"CORTA_GOBERNADOR","Si",0.13,0.254,0.167,0.199,0.486,0.383,0.221,0.444
"CORTA_GOBERNADOR","No",0.87,0.746,0.833,0.801,0.514,0.617,0.779,0.556
