"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P16","Bastante seguro",0.141,0.157,0.121,0.106
"P16","Algo seguro",0.106,0.164,0.09,0.159
"P16","Para nada seguro",0.065,0.109,0.105,0.316
"P17","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.612,0.034,0,0.048
"P17","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria",0.023,0.046,0,0
"P17","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.199,0.276,0.112,0.064
"P17","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.04,0.373,0,0
"P17","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0,0.149,0.102,0
"P17","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0.015,0,0,0
"P17","En blanco",0.049,0.079,0.786,0.689
"P17","No sabe",0.062,0.043,0,0.199
"P20","Sí",0.491,0.57,0.545,0.559
"P20","No",0.509,0.43,0.455,0.441
"P21","Martín Soria a Diputado Nacional por Unión por la Patria",0.49,0.083,0.215,0.266
"P21","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.121,0.335,0.087,0.033
"P21","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.041,0.149,0.016,0.021
"P21","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.161,0.161,0.042,0.152
"P21","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.039,0.151,0.343,0.211
"P21","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.034,0.011,0.086,0.011
"P21","En blanco",0.032,0.025,0.053,0.061
"P21","No sabe",0.082,0.085,0.158,0.245
"P25","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.719,0.019,0.037,0.096
"P25","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.09,0.542,0.082,0.096
"P25","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.084,0.147,0.116,0.072
"P25","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.033,0.145,0.577,0.362
"P25","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.025,0.057,0.034
"P25","Otros",0.027,0.052,0.032,0.063
"P25","En blanco",0.019,0.011,0.025,0.037
"P25","No sabe",0.008,0.059,0.074,0.24
"P29","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.667,0.041,0.066,0.064
"P29","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.08,0.48,0.011,0.028
"P29","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.096,0.123,0.116,0.118
"P29","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.032,0.228,0.592,0.34
"P29","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.036,0.008,0.066,0.027
"P29","Otros",0.049,0.064,0.059,0.125
"P29","En blanco",0.013,0.007,0.03,0.046
"P29","No sabe",0.027,0.049,0.06,0.252
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.851,0.058,0.053,0.052
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.081,0.773,0.324,0.209
"P33","En blanco",0.017,0.068,0.399,0.094
"P33","No sabe",0.051,0.101,0.224,0.645
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.275,0.585,0.097,0.085
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.027,0.268,0.584,0.386
"P34","En blanco",0.455,0.049,0.303,0.042
"P34","No sabe",0.243,0.098,0.016,0.487
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.243,0.635,0.077,0.037
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.047,0.334,0.564,0.326
"P36","En blanco",0.518,0.01,0.344,0.135
"P36","No sabe",0.192,0.021,0.015,0.502
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.86,0.068,0.074,0.126
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.053,0.47,0.653,0.391
"P37","En blanco",0.041,0.253,0.235,0.084
"P37","No sabe",0.046,0.209,0.038,0.399
"P38","Lo votaría",0.854,0.009,0.072,0.133
"P38","Puede que lo vote",0.096,0.102,0.211,0.127
"P38","Nunca lo votaría",0.041,0.805,0.668,0.519
"P38","No sabe",0.009,0.084,0.049,0.221
"P39","Lo votaría",0.526,0.036,0.062,0.097
"P39","Puede que lo vote",0.242,0.044,0.104,0.119
"P39","Nunca lo votaría",0.19,0.847,0.737,0.522
"P39","No sabe",0.042,0.073,0.097,0.262
"P40","Lo votaría",0.138,0.662,0.164,0.133
"P40","Puede que lo vote",0.044,0.166,0.147,0.236
"P40","Nunca lo votaría",0.784,0.118,0.596,0.358
"P40","No sabe",0.034,0.054,0.093,0.273
"P41","Lo votaría",0.074,0.561,0.014,0.048
"P41","Puede que lo vote",0.057,0.321,0.145,0.162
"P41","Nunca lo votaría",0.813,0.069,0.713,0.453
"P41","No sabe",0.056,0.049,0.128,0.337
"P42","Lo votaría",0.095,0.188,0.112,0.113
"P42","Puede que lo vote",0.151,0.182,0.154,0.061
"P42","Nunca lo votaría",0.553,0.419,0.631,0.381
"P42","No sabe",0.201,0.211,0.103,0.445
"P43","Lo votaría",0.061,0.272,0.588,0.342
"P43","Puede que lo vote",0.05,0.251,0.148,0.103
"P43","Nunca lo votaría",0.831,0.42,0.247,0.321
"P43","No sabe",0.058,0.057,0.017,0.234
"P44","Lo votaría",0.082,0.049,0.185,0.055
"P44","Puede que lo vote",0.301,0.077,0.129,0.072
"P44","Nunca lo votaría",0.52,0.781,0.629,0.589
"P44","No sabe",0.097,0.093,0.057,0.284
"P45","Si",0.448,0.437,0.42,0.358
"P45","No",0.552,0.563,0.58,0.642
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.671,0.013,0.026,0.076
"PRESIDENTE","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.174,0.007,0.109,0.075
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.083,0.528,0.08,0.089
"PRESIDENTE","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.012,0.229,0.04,0.03
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.027,0.173,0.598,0.414
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.009,0.004,0.037,0.024
"PRESIDENTE","En blanco",0.008,0.008,0.046,0.074
"PRESIDENTE","No sabe",0.016,0.038,0.064,0.218
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.694,0.059,0.2,0.26
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.073,0.402,0.078,0.064
"DIPUTADOS","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.022,0.157,0.016,0.017
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.12,0.162,0.06,0.163
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.018,0.153,0.463,0.28
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.017,0.008,0.055,0.006
"DIPUTADOS","En blanco",0.017,0.013,0.044,0.075
"DIPUTADOS","No sabe",0.039,0.046,0.084,0.135
