"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P12","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.029,0.705,0.066,0.103
"P12","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0,0.032,0.033
"P12","En blanco",0.005,0.002,0.018,0.039
"P12","No sabe",0.031,0.007,0.047,0.193
"P16","Totalmente seguro",0.521,0.766,0.634,0.496
"P16","Bastante seguro",0.198,0.123,0.076,0.118
"P16","Algo seguro",0.168,0.04,0.226,0.084
"P16","Para nada seguro",0.113,0.071,0.064,0.302
"P17","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.11,0,0.271,0.555
"P17","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria",0.054,0.051,0,0
"P17","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.448,0.134,0.056,0
"P17","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.321,0.054,0,0
"P17","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0,0.371,0,0
"P17","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0,0,0.034,0
"P17","En blanco",0.023,0.39,0.43,0.326
"P17","No sabe",0.044,0,0.209,0.119
"P20","Sí",0.588,0.597,0.48,0.528
"P20","No",0.412,0.403,0.52,0.472
"P21","Martín Soria a Diputado Nacional por Unión por la Patria",0.17,0.174,0.417,0.453
"P21","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.341,0.151,0.06,0.024
"P21","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.145,0.05,0.022,0.017
"P21","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.159,0.093,0.137,0.164
"P21","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.025,0.401,0.099,0.053
"P21","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0.003,0.117,0.011
"P21","En blanco",0.029,0.066,0.044,0.002
"P21","No sabe",0.127,0.062,0.104,0.276
"P25","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.152,0.033,0.591,0.418
"P25","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.506,0.173,0.066,0.093
"P25","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.159,0.076,0.105,0.064
"P25","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.028,0.666,0.067,0.057
"P25","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.012,0.02,0.059,0.036
"P25","Otros",0.056,0.011,0.037,0.084
"P25","En blanco",0.031,0,0.017,0.043
"P25","No sabe",0.056,0.021,0.058,0.205
"P29","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.173,0.044,0.521,0.398
"P29","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.475,0.092,0.025,0.041
"P29","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.146,0.089,0.109,0.071
"P29","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.054,0.716,0.073,0.09
"P29","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.006,0.024,0.064,0.049
"P29","Otros",0.075,0.01,0.119,0.089
"P29","En blanco",0.009,0.005,0.025,0.052
"P29","No sabe",0.062,0.02,0.064,0.21
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.231,0.054,0.652,0.45
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.638,0.436,0.119,0.099
"P33","En blanco",0.062,0.255,0.069,0.045
"P33","No sabe",0.069,0.255,0.16,0.406
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.664,0.153,0.13,0.194
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.1,0.713,0.063,0.078
"P34","En blanco",0.116,0.094,0.632,0.092
"P34","No sabe",0.12,0.04,0.175,0.636
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.277,0.059,0.667,0.434
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.656,0.376,0.012,0.044
"P35","En blanco",0.048,0.385,0.243,0.018
"P35","No sabe",0.019,0.18,0.078,0.504
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.305,0.018,0.691,0.451
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.231,0.86,0.108,0.087
"P37","En blanco",0.292,0.032,0.188,0.012
"P37","No sabe",0.172,0.09,0.013,0.45
"P38","Lo votaría",0.252,0.032,0.639,0.499
"P38","Puede que lo vote",0.049,0.206,0.158,0.065
"P38","Nunca lo votaría",0.664,0.672,0.184,0.225
"P38","No sabe",0.035,0.09,0.019,0.211
"P39","Lo votaría",0.134,0.061,0.412,0.345
"P39","Puede que lo vote",0.083,0.048,0.28,0.134
"P39","Nunca lo votaría",0.725,0.784,0.257,0.29
"P39","No sabe",0.058,0.107,0.051,0.231
"P40","Lo votaría",0.578,0.329,0.094,0.112
"P40","Puede que lo vote",0.137,0.226,0.052,0.083
"P40","Nunca lo votaría",0.24,0.4,0.765,0.566
"P40","No sabe",0.045,0.045,0.089,0.239
"P41","Lo votaría",0.546,0.14,0.007,0.045
"P41","Puede que lo vote",0.242,0.2,0.091,0.124
"P41","Nunca lo votaría",0.177,0.526,0.825,0.56
"P41","No sabe",0.035,0.134,0.077,0.271
"P42","Lo votaría",0.191,0.116,0.112,0.066
"P42","Puede que lo vote",0.133,0.149,0.172,0.129
"P42","Nunca lo votaría",0.445,0.54,0.558,0.436
"P42","No sabe",0.231,0.195,0.158,0.369
"P43","Lo votaría",0.096,0.79,0.055,0.054
"P43","Puede que lo vote",0.193,0.116,0.111,0.119
"P43","Nunca lo votaría",0.652,0.064,0.782,0.597
"P43","No sabe",0.059,0.03,0.052,0.23
"P44","Lo votaría",0.064,0.075,0.136,0.065
"P44","Puede que lo vote",0.073,0.1,0.32,0.193
"P44","Nunca lo votaría",0.758,0.77,0.439,0.489
"P44","No sabe",0.105,0.055,0.105,0.253
"P45","Si",0.458,0.492,0.379,0.333
"P45","No",0.542,0.508,0.621,0.667
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.184,0.01,0.523,0.369
"PRESIDENTE","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.024,0.02,0.201,0.129
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.494,0.175,0.065,0.07
"PRESIDENTE","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.224,0.051,0.004,0.046
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.029,0.721,0.066,0.103
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0,0.033,0.033
"PRESIDENTE","En blanco",0.006,0.016,0.051,0.049
"PRESIDENTE","No sabe",0.035,0.007,0.057,0.201
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.183,0.135,0.613,0.523
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.399,0.138,0.042,0.038
"DIPUTADOS","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.128,0.065,0.013,0.021
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.159,0.084,0.121,0.154
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.041,0.502,0.07,0.064
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0.002,0.06,0.007
"DIPUTADOS","En blanco",0.016,0.04,0.033,0.044
"DIPUTADOS","No sabe",0.07,0.034,0.048,0.149
